,group,variable,month,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS DENTRO,SRP 2DA. DOSIS FUERA,SRP 2DA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,1,1,0,0,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,6,1,6,6,12,7,19
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,18,13,3,2,21,15,36
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,9,7,13,2,22,9,31
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,0,3,1,0,1,3,4
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,0,0,6,7,6,7,13
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,69,73,0,0,69,73,142
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,2,5,0,0,2,5,7
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,12,8,0,0,12,8,20
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,14,20,4,0,18,20,38
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,0,0,3,4,3,4,7
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,0,1,1,1,1,2,3
OCURI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,3,5,4,2,7,7,14
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,9,9,0,0,9,9,18
PORCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,5,3,1,1,6,4,10
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,6,4,0,0,6,4,10
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,0,0,1,6,1,6,7
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,17,6,2,4,19,10,29
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,5,1,3,6,8,7,15
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,0,0,2,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,1,1,0,1,1,2,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,8,10,0,0,8,10,18
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,3,6,4,1,7,7,14
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,29,22,4,7,33,29,62
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,1,1,1,0,2,1,3
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,4,2,0,1,4,3,7
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,136,137,0,0,136,137,273
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,1,0,1,1,2,1,3
TOMINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,4,1,2,0,6,1,7
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,6,7,0,0,6,7,13
TUPIZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,1,0,2,1,3,1,4
UYUNI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,4,0,0,0,4,0,4
VILA VILA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,1,2,2,1,3,3,6
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-01-01,3,13,3,2,6,15,21
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,1,1,0,1,1,2
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,1,1,0,0,1,1,2
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,2,1,1,1,3,2,5
ARQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,0,1,1,1,1,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,8,4,0,0,8,4,12
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,4,3,3,0,7,3,10
BAURES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,2,4,0,0,2,4,6
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,3,1,0,0,3,1,4
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,0,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,3,2,0,0,3,2,5
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,14,12,2,2,16,14,30
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,1,0,0,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,0,4,5,4,5,9
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,4,3,3,3,7,10
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,2,6,15,4,17,10,27
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,23,27,4,4,27,31,58
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,1,2,11,6,12,8,20
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,19,16,1,2,20,18,38
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,8,11,4,1,12,12,24
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,0,2,1,2,1,3
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,4,3,0,0,4,3,7
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,5,6,0,0,5,6,11
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,73,86,2,1,75,87,162
LLICA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,2,0,0,0,2,2
LORETO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,0,2,2,2,2,4
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,3,1,0,0,3,1,4
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,2,2,1,1,3,3,6
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,0,0,3,0,3,3
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,1,0,0,0,1,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,16,11,1,0,17,11,28
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,8,16,4,5,12,21,33
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,4,1,3,3,7,4,11
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,3,1,3,1,6,7
OCURI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,2,0,1,0,3,3
ORURO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,4,2,0,0,4,2,6
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,4,6,1,2,5,8,13
POOPO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,0,0,1,0,1,1
PORCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,0,3,3,3,3,6
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,5,8,3,0,8,8,16
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,10,14,0,0,10,14,24
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,1,4,3,9,4,13,17
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,1,3,0,0,1,3,4
REYES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,10,13,0,0,10,13,23
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,10,11,0,1,10,12,22
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,0,0,1,0,1,1
SACACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,0,1,1,1,1,2
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,1,3,0,0,1,3,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,4,8,11,9,15,17,32
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,1,0,0,0,1,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,18,9,0,0,18,9,27
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,6,3,2,1,8,4,12
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,2,0,0,0,2,0,2
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,2,1,0,0,2,1,3
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,5,5,1,0,6,5,11
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,108,170,0,0,108,170,278
SENA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,3,3,0,1,3,4,7
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,1,4,4,4,5,9
SUCRE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,0,2,0,0,0,2,2
TOMINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,5,5,3,2,8,7,15
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,10,6,0,0,10,6,16
TUPIZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,2,7,2,0,4,7,11
URUBICHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,1,0,8,8,9,8,17
UYUNI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,19,24,2,0,21,24,45
VIACHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,3,2,0,0,3,2,5
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,4,6,0,0,4,6,10
WARNES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-02-01,2,4,0,0,2,4,6
ACACIO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,2,2,0,0,2,2,4
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,22,19,10,16,32,35,67
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,9,4,1,0,10,4,14
ALCALA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,1,0,0,1,1,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,4,11,1,3,5,14,19
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,12,13,12,24,24,37,61
APOLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,11,16,15,27,26,43,69
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,1,2,5,2,6,8
ARBIETO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,0,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,10,5,4,3,14,8,22
ATOCHA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,10,4,10,11,20,15,35
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,13,17,5,2,18,19,37
BAURES,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,1,4,6,4,7,11
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,0,5,16,6,16,22
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,53,62,19,20,72,82,154
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,1,0,0,0,1,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,0,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,7,11,10,8,17,19,36
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,7,5,12,12,19,17,36
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,2,1,1,0,3,1,4
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,9,6,2,0,11,6,17
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,0,2,0,3,0,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,35,20,2,8,37,28,65
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,7,9,0,0,7,9,16
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,5,4,4,1,9,5,14
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,43,35,6,10,49,45,94
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,24,26,2,0,26,26,52
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,2,1,0,1,2,2,4
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,12,16,4,2,16,18,34
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,9,11,1,2,10,13,23
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,0,0,1,0,1,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,6,5,1,6,7,11,18
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,0,6,3,6,3,9
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,3,0,1,1,4,5
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,0,0,6,1,6,7
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,4,1,0,2,4,6
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,2,3,2,6,4,9,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,1,3,6,3,7,10
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,3,4,4,0,7,4,11
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,12,12,7,8,19,20,39
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,23,13,11,4,34,17,51
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,149,129,40,31,189,160,349
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,10,7,1,1,11,8,19
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,2,1,1,1,3,2,5
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,3,0,0,0,3,3
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,4,4,8,10,12,14,26
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,0,5,11,5,11,16
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,27,19,1,1,28,20,48
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,2,0,0,1,2,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,28,24,0,3,28,27,55
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,9,4,10,13,19,17,36
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,16,17,1,2,17,19,36
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,1,0,0,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,2,1,4,2,6,8
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,2,4,1,2,3,6,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,1,0,0,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,67,60,0,2,67,62,129
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,4,3,14,12,18,15,33
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,11,10,2,4,13,14,27
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,2,4,4,2,6,6,12
CURVA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,4,2,2,1,6,3,9
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,0,6,4,6,4,10
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,441,478,122,111,563,589,1152
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,0,0,0,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,4,8,2,4,6,12,18
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,32,28,19,8,51,36,87
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,2,5,0,1,2,6,8
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,47,48,22,32,69,80,149
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,2,0,1,0,3,3
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,2,1,1,2,3,5
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,2,3,2,4,4,8
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,2,0,1,0,3,0,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,9,15,0,1,9,16,25
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,5,2,2,3,7,5,12
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,0,1,0,1,0,1
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,1,3,3,4,4,8
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,19,26,3,2,22,28,50
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,12,3,3,3,15,18
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,8,6,1,1,9,7,16
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,5,10,4,9,9,19,28
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,7,4,9,3,16,7,23
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,2,3,0,0,2,3,5
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,3,0,0,0,3,0,3
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,0,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,0,9,4,9,4,13
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,2,2,2,2,4,6
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,10,14,8,6,18,20,38
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,20,24,3,3,23,27,50
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,96,62,0,2,96,64,160
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,275,294,4,7,279,301,580
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,4,6,5,5,9,11,20
LAJA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,20,26,3,3,23,29,52
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,2,1,5,7,7,8,15
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,15,14,9,4,24,18,42
LLICA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,1,2,2,2,3,4,7
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,6,3,0,0,6,3,9
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,3,1,0,0,3,1,4
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,1,0,0,0,1,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,10,12,0,0,10,12,22
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,44,37,2,0,46,37,83
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,0,1,0,0,0,1,1
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,4,4,2,3,6,7,13
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,8,12,4,6,12,18,30
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 2da. dosis,2018-03-01,25,27,2,1,27,28,55
