,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
AYATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,1,2,2,4,3,7
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,3,1,1,4,4,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,14,13,7,8,21,21,42
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,7,5,7,5,12
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,7,7,7,2,14,9,23
BAURES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,4,5,0,1,4,6,10
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,2,2,2,2,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,25,28,1,3,26,31,57
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,8,11,10,2,18,13,31
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,2,3,2,3,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,2,2,3,4,5,9
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,4,2,11,12,15,14,29
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,20,23,17,11,37,34,71
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,6,6,5,3,11,9,20
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,4,1,5,6,9,7,16
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,10,3,0,0,10,3,13
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,2,2,2,2,4
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,9,11,3,2,12,13,25
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,13,11,2,1,15,12,27
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,3,0,0,2,3,5
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,23,38,8,3,31,41,72
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,15,10,6,3,21,13,34
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,3,0,0,1,3,4
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,7,4,5,5,12,9,21
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,34,35,1,3,35,38,73
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,6,3,9,10,15,13,28
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,2,0,2,1,4,5
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,1,3,7,5,8,13
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,21,26,12,14,33,40,73
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,4,3,2,0,6,3,9
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,5,2,7,8,12,10,22
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,0,0,1,0,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,4,3,2,7,6,10,16
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,14,10,4,2,18,12,30
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,1,2,1,2,3
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,0,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,2,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,16,10,3,1,19,11,30
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,2,1,1,2,3,5
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,6,4,1,2,7,6,13
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,5,3,4,3,9,6,15
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,13,9,5,5,18,14,32
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,42,28,6,8,48,36,84
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,8,4,14,9,22,13,35
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,611,560,5,10,616,570,1186
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,34,47,1,1,35,48,83
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,10,5,0,0,10,5,15
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,1,0,1,0,2,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,7,7,3,2,10,9,19
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,7,0,4,2,11,13
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,13,16,7,8,20,24,44
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,4,1,5,1,6
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,4,1,7,9,11,10,21
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,16,13,1,2,17,15,32
COMBAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,0,1,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,23,19,9,8,32,27,59
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,6,3,2,5,8,13
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,15,8,0,0,15,8,23
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,1,3,1,4,2,6
COROICO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,11,5,1,2,12,7,19
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,4,2,3,3,7,10
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,6,4,5,7,11,11,22
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,55,61,7,4,62,65,127
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,17,10,9,2,26,12,38
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,3,5,5,6,8,14
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,11,8,3,3,14,11,25
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,2,0,0,0,2,2
CURVA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,0,1,0,3,0,3
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,6,10,7,10,17
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,529,600,154,160,683,760,1443
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,5,0,0,1,5,1,6
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,11,12,1,3,12,15,27
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,3,7,4,9,7,16
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,40,58,10,13,50,71,121
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,1,1,0,3,1,4
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,14,13,5,6,19,19,38
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,37,40,0,0,37,40,77
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,2,1,3,1,5,6
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,0,1,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,1,1,1,4,2,6
EXALTACION,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,8,3,6,6,14,9,23
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,2,0,3,0,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,18,13,3,2,21,15,36
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,1,3,2,6,3,9
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,9,7,6,10,15,25
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,5,0,2,2,7,9
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,34,24,16,7,50,31,81
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,3,7,8,9,11,20
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,3,1,0,1,3,4
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,1,1,2,1,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,19,8,5,4,24,12,36
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,1,3,2,4,3,7
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,2,6,5,7,7,14
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,1,7,4,8,5,13
ICLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,1,3,7,5,8,13
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,6,3,4,4,10,14
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,10,12,5,1,15,13,28
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,6,6,3,1,9,7,16
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,8,2,2,5,10,15
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,31,36,0,0,31,36,67
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,128,114,3,4,131,118,249
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,579,569,20,25,599,594,1193
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,0,5,6,8,6,14
LAJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,18,5,3,3,21,8,29
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,0,0,1,2,1,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,21,24,18,12,39,36,75
LLICA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,2,0,0,3,2,5
LORETO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,15,17,15,17,32
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,1,3,0,5,1,6
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,4,7,0,0,4,7,11
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,3,6,4,6,7,13
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,3,6,3,9,6,15
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,20,13,3,1,23,14,37
MALLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,1,1,0,1,1,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,16,10,3,3,19,13,32
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,5,4,0,0,5,4,9
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,13,19,7,5,20,24,44
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,12,14,9,5,21,19,40
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,4,6,4,8,8,16
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,5,2,3,4,8,12
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,20,20,1,0,21,20,41
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,89,110,26,11,115,121,236
MORO MORO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,2,5,4,6,6,12
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,9,3,9,3,12
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,1,1,1,1,2,3
OCURI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,4,7,7,4,11,11,22
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,14,11,0,0,14,11,25
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,2,3,3,3,6
ORURO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,239,191,6,15,245,206,451
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,14,17,4,4,18,21,39
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,9,9,0,0,9,9,18
PAILON,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,21,16,8,4,29,20,49
PALCA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,14,9,3,2,17,11,28
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,11,14,8,6,19,20,39
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,7,2,2,3,9,5,14
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,3,0,1,2,4,6
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,19,14,0,2,19,16,35
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,0,2,0,5,0,5
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,4,3,4,4,8,12
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,1,18,14,19,15,34
POCONA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,2,1,1,2,3,5
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,8,9,2,1,10,10,20
POOPO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,10,9,10,9,19
PORCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,7,6,1,7,8,13,21
POROMA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,3,6,4,6,10
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,1,8,7,9,8,17
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,11,18,2,1,13,19,32
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,4,5,9,5,13,10,23
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,2,0,0,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,183,175,31,28,214,203,417
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,5,3,4,3,9,6,15
PUCARA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,1,1,0,1,1,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,9,14,7,3,16,17,33
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,5,2,2,3,7,10
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,8,4,9,7,17,24
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,1,6,1,6,7
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,1,2,2,2,4
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,12,16,0,0,12,16,28
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,6,0,1,2,7,9
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,1,0,0,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,16,6,1,2,17,8,25
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,33,34,3,2,36,36,72
PUNA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,3,7,5,10,8,18
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,18,9,2,5,20,14,34
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,76,62,31,28,107,90,197
QUIME,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,4,5,3,6,7,13
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,2,0,0,2,2,4
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,4,1,4,8,8,9,17
REYES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,11,9,0,0,11,9,20
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,52,61,34,21,86,82,168
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,0,0,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,10,14,1,3,11,17,28
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,1,0,0,2,1,3
SACABA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,85,106,4,4,89,110,199
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,4,0,0,3,4,7
SACACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,4,2,4,6,8,8,16
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,0,3,3,3,3,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,5,3,2,4,7,7,14
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,9,12,4,4,13,16,29
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,2,2,0,4,2,6
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,2,2,3,2,5
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,1,0,0,0,1,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,1,2,3,2,4,6
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,13,5,1,0,14,5,19
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,51,48,2,4,53,52,105
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,3,5,6,8,9,17
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,6,8,3,5,9,13,22
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,21,16,3,3,24,19,43
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,49,39,7,11,56,50,106
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,0,2,1,0,1,2,3
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,15,9,0,0,15,9,24
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,8,6,2,2,10,8,18
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,7,8,27,20,34,28,62
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,2,0,2,8,4,8,12
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,48,44,12,7,60,51,111
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,3,5,4,3,7,8,15
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,15,14,3,0,18,14,32
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp 1ra. dosis,2018-01-01,13,6,6,13,19,19,38
