,group,variable,month,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS FUERA,PENTAVALENTE 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,3,1,0,0,3,1,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,3,5,0,0,3,5,8
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,0,0,1,0,1,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,0,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,3,1,0,1,3,4
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,2,0,0,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,3,2,0,0,3,2,5
PADILLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,1,0,0,0,1,1
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,0,1,1,1,1,2
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,0,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,2,1,0,0,2,1,3
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,1,1,0,0,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,2,1,0,2,2,3,5
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,1,0,1,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,3,2,0,0,3,2,5
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,6,1,0,0,6,1,7
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,0,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,10,15,2,0,12,15,27
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,1,1,0,0,1,1,2
SENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,2,0,0,0,2,0,2
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,1,0,0,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,3,2,0,0,3,2,5
TAHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,1,0,0,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,2,0,0,0,2,0,2
TIPUANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,0,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,4,0,0,0,4,0,4
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,0,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,3,4,0,0,3,4,7
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,1,1,0,0,1,1,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,1,0,1,0,2,2
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,1,1,2,1,3,4
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,2,0,1,1,3,1,4
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-01-01,0,0,1,0,1,0,1
ALALAY,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,0,1,0,1,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,2,0,0,0,2,0,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,1,0,0,1,1,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,2,0,1,0,3,0,3
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,3,2,0,0,3,2,5
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,1,1,2,1,3
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,1,0,0,1,1,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,0,2,0,2,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,10,5,4,1,14,6,20
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,1,0,2,0,2
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,0,1,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,1,0,1,1,2,3
ESCOMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,4,1,1,0,5,1,6
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,2,0,0,0,2,0,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,2,2,0,1,2,3,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,3,7,0,0,3,7,10
LAJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,2,11,2,2,4,13,17
OCURI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,3,1,0,0,3,1,4
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,1,0,0,1,1,2
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
PORVENIR,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,4,1,0,0,4,1,5
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,1,0,2,0,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,1,1,1,1,2
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
SAIPINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,1,0,2,0,2
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,1,0,0,1,1,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,2,3,1,1,3,4,7
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,2,1,3,3,5,4,9
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,2,0,0,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,20,31,0,1,20,32,52
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,1,0,0,0,1,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,0,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,2,0,0,0,2,0,2
SORACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,2,1,0,0,2,1,3
TAHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,1,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,8,0,0,1,8,9
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,1,1,1,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,1,0,0,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,1,0,0,1,1,2
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,0,2,0,0,0,2,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-02-01,1,0,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,1,1,0,2,1,3
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,0,1,0,1,1
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,2,2,2,2,4
CAMARGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,0,0,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,1,0,2,0,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,6,10,0,0,6,10,16
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,0,0,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,1,0,0,1,1,2
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,1,2,1,3,4
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,0,1,0,2,2
CULPINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,15,7,3,5,18,12,30
ESCOMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,1,1,1,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,0,1,0,2,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,0,2,0,2,2
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,10,7,1,0,11,7,18
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,1,3,2,3,5
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,2,0,2,1,4,5
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,2,1,2,1,3
PALCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
PORCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
POROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,4,1,0,2,4,6
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,2,0,0,0,2,0,2
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,1,1,1,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,0,0,0,1,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,1,3,2,3,5
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,0,0,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,5,4,0,0,5,4,9
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,2,0,2,0,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,2,0,0,0,2,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,4,1,4,1,5
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,26,24,3,0,29,24,53
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,1,0,1,1,2
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,0,0,0,1,1
SENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,2,1,3,1,4
SORATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,0,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,1,1,2,2,3,5
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,2,1,1,0,3,1,4
TOLATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,2,0,0,0,2,0,2
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,0,0,0,1,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,0,0,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,1,0,0,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,0,0,0,1,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,2,0,0,0,2,0,2
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,5,0,0,0,5,5
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,4,0,1,0,5,0,5
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-03-01,0,1,2,2,2,3,5
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,0,0,1,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,3,0,0,0,3,3
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,0,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,1,0,0,0,1,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,0,1,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,0,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,1,0,0,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,1,1,2,1,3,4
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,1,0,0,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,1,0,0,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,1,0,1,0,2,0,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,0,1,3,1,3,4
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,9,8,1,1,10,9,19
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,3,1,0,0,3,1,4
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,1,0,0,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,1,0,0,0,1,1
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,1,0,0,0,1,1
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,0,1,1,1,1,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,0,0,1,0,1,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,1,0,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,2,0,0,0,2,0,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,2,4,1,2,3,6,9
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,13,19,2,7,15,26,41
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,1,0,0,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,2,1,0,1,2,3
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,1,0,0,0,1,0,1
EXALTACION,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,1,1,0,0,1,1,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2018-04-01,0,0,1,1,1,1,2
