,group,variable,month,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS VIVAX,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,L 21.1 NÚMERO DE MUESTRAS HEMÁTICAS TOMADAS FALCIPARUM,TOTALES,TOTALES,TOTALES
CONCEPCION,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,5,2,0,0,5,2,7
COROICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,1,0,0,0,1,0,1
CUEVO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,0,1,0,0,0,1,1
EL TORNO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,62,51,0,0,62,51,113
ENTRE RIOS TRJ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,12,24,0,0,12,24,36
EUREKA (SANTOS MERCADO),malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,54,66,0,0,54,66,120
FILADELFIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,65,16,0,0,65,16,81
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,2,2,0,0,2,2,4
GUANAY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,17,13,0,0,17,13,30
GUAYARAMERIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,760,674,0,1,760,675,1435
GUTIERREZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,0,29,0,0,0,29,29
HUACARETA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,6,12,0,0,6,12,18
INGAVI (HUMAITA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,58,22,0,0,58,22,80
IXIAMAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,20,7,0,0,20,7,27
LA ASUNTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,14,15,0,0,14,15,29
LA GUARDIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,6,6,0,0,6,6,12
LAGUNILLAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,9,20,0,0,9,20,29
MACHARETI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,0,6,0,0,0,6,6
MAGDALENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,71,80,0,0,71,80,151
MAIRANA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,1,1,0,0,1,1,2
MAPIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,10,3,0,0,10,3,13
MOJOCOYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,0,1,0,0,0,1,1
MONTEAGUDO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,51,52,0,0,51,52,103
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,51,5,0,0,51,5,56
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,79,68,0,0,79,68,147
PADCAYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,8,3,0,0,8,3,11
PADILLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,3,1,0,0,3,1,4
PAILON,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,2,25,0,0,2,25,27
PALOS BLANCOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,11,19,0,1,11,20,31
POROMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,18,7,0,0,18,7,25
PORONGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,5,0,0,0,5,0,5
PORTACHUELO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,8,3,8,3,16,6,22
PORVENIR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,100,39,0,0,100,39,139
POSTRER VALLE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,5,1,0,0,5,1,6
PUERTO GONZALO MORENO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,12,9,0,0,12,9,21
PUERTO RICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,114,103,0,0,114,103,217
PUERTO SILES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,0,1,0,0,0,1,1
QUIRUSILLAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,1,0,0,0,1,0,1
REYES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,5,7,0,0,5,7,12
RIBERALTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,727,493,3,0,730,493,1223
SACABA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,0,1,0,0,0,1,1
SAIPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,64,52,0,0,64,52,116
SAN BORJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,0,2,0,0,0,2,2
SAN CARLOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,17,17,0,0,17,17,34
SAN LORENZO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,239,17,0,0,239,17,256
SAN LUCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,12,42,0,0,12,42,54
SAN PEDRO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,19,12,0,0,19,12,31
SANTA CRUZ DE LA SIERRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,0,2,0,0,0,2,2
SANTA ROSA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,9,7,0,0,9,7,16
SENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,71,65,0,0,71,65,136
SHINAOTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,3,1,0,0,3,1,4
SOPACHUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,7,11,0,0,7,11,18
SUCRE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,10,4,0,2,10,6,16
TARABUCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,1,1,0,0,1,1,2
TEOPONTE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,8,8,0,0,8,8,16
TOMINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,2,1,0,0,2,1,3
TORO TORO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,41,25,0,0,41,25,66
TRINIDAD,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,2,0,0,0,2,0,2
VALLEGRANDE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,1,1,0,0,1,1,2
VILA VILA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,2,0,0,0,2,0,2
VILLA CHARCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,1,10,0,0,1,10,11
VILLA MONTES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,39,43,0,0,39,43,82
VILLA NUEVA (LOMA ALTA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,36,36,0,0,36,36,72
VILLA SERRANO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,7,8,0,0,7,8,15
VILLA TUNARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,6,6,0,0,6,6,12
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,9,20,0,0,9,20,29
YACUIBA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,146,137,0,0,146,137,283
YAPACANI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-01-01,1,0,0,0,1,0,1
AIQUILE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,2,1,0,0,2,1,3
ALCALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,8,0,0,1,8,9
APOLO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,44,35,0,0,44,35,79
AYATA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,2,2,0,0,2,2,4
AZURDUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,2,1,0,0,2,1,3
BAURES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,22,21,0,0,22,21,43
BELLA FLOR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,34,21,0,0,34,21,55
BERMEJO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,25,17,0,0,25,17,42
BETANZOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,0,0,0,1,0,1
BOLPEBRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,3,0,0,0,3,0,3
BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,20,18,0,0,20,18,38
CAMARGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,0,0,0,1,0,1
CAMIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,27,13,0,0,27,13,40
CARANAVI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,8,10,0,0,8,10,18
CARAPARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,10,7,0,0,10,7,17
COBIJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,63,28,0,0,63,28,91
CONCEPCION,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,10,3,0,0,10,3,13
COTOCA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,0,0,0,1,0,1
CUEVO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,0,0,0,1,0,1
CULPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,4,4,0,0,4,4,8
EL TORNO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,72,65,0,0,72,65,137
EUREKA (SANTOS MERCADO),malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,106,68,0,0,106,68,174
FILADELFIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,33,22,0,0,33,22,55
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,10,11,0,0,10,11,21
GUANAY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,7,2,0,0,7,2,9
GUAYARAMERIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,344,524,36,33,380,557,937
HUACARETA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,46,57,0,0,46,57,103
ICLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,0,1,0,0,0,1,1
INCAHUASI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,1,0,0,1,1,2
INGAVI (HUMAITA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,30,18,0,0,30,18,48
IXIAMAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,25,11,1,0,26,11,37
LA ASUNTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,19,14,0,0,19,14,33
LA GUARDIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,11,7,0,0,11,7,18
LA PAZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,2,0,2,0,4,0,4
LAGUNILLAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,12,14,0,0,12,14,26
MACHARETI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,10,16,0,0,10,16,26
MAGDALENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,65,71,0,0,65,71,136
MAPIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,29,32,0,0,29,32,61
MIZQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,6,11,0,0,6,11,17
MONTEAGUDO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,39,43,0,0,39,43,82
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,32,13,0,0,32,13,45
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,117,70,0,0,117,70,187
PADCAYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,23,16,0,0,23,16,39
PADILLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,6,10,0,0,6,10,16
PAILON,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,2,15,0,0,2,15,17
PALOS BLANCOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,37,35,0,0,37,35,72
POROMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,13,17,0,0,13,17,30
PORONGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,11,8,0,0,11,8,19
PORTACHUELO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,3,0,3,0,6,0,6
PORVENIR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,50,28,0,0,50,28,78
POSTRER VALLE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,2,2,0,0,2,2,4
PUERTO GONZALO MORENO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,39,34,0,0,39,34,73
PUERTO RICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,210,87,0,0,210,87,297
REYES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,10,7,0,2,10,9,19
RIBERALTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,561,445,23,1,584,446,1030
ROBORE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,0,0,0,1,0,1
RURRENABAQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,3,2,3,2,6,4,10
SAIPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,46,43,0,0,46,43,89
SAN BORJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,1,0,0,1,1,2
SAN BUENA VENTURA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,4,0,0,1,4,5
SAN CARLOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,28,29,0,0,28,29,57
SAN JAVIER(STC),malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,0,2,0,0,0,2,2
SAN JOSE DE CHIQUITOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,8,12,0,0,8,12,20
SAN LORENZO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,123,153,0,0,123,153,276
SAN LUCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,21,58,0,0,21,58,79
SAN MATIAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,15,19,0,0,15,19,34
SAN PEDRO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,26,18,0,0,26,18,44
SANTA CRUZ DE LA SIERRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,1,0,0,1,1,2
SANTA ROSA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,6,3,0,0,6,3,9
SENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,100,55,0,0,100,55,155
SHINAOTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,2,0,0,0,2,0,2
SUCRE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,1,0,0,1,1,2
TARABUCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,0,2,0,0,0,2,2
TEOPONTE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,30,21,0,0,30,21,51
TORO TORO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,6,5,0,0,6,5,11
VALLEGRANDE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,3,1,0,0,3,1,4
VILA VILA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,2,0,0,1,2,3
VILLA CHARCAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,0,2,0,0,0,2,2
VILLA MONTES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,206,183,0,0,206,183,389
VILLA NUEVA (LOMA ALTA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,42,37,0,0,42,37,79
VILLA SERRANO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,2,3,0,0,2,3,5
VILLA TUNARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,4,0,0,0,4,0,4
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,11,35,0,0,11,35,46
YACUIBA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,195,252,0,0,195,252,447
YAMPARAEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,1,0,0,0,1,0,1
YAPACANI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,0,1,0,0,0,1,1
ZUDAÑEZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-02-01,0,1,0,0,0,1,1
AIQUILE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,4,3,0,0,4,3,7
ALCALA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,2,12,0,0,2,12,14
APOLO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,30,25,0,0,30,25,55
AYATA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,9,8,0,0,9,8,17
AZURDUY,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,8,9,0,0,8,9,17
BAURES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,12,15,0,0,12,15,27
BELLA FLOR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,21,11,0,0,21,11,32
BERMEJO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,42,36,0,0,42,36,78
BETANZOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,170,195,0,0,170,195,365
BOLPEBRA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,29,0,0,0,29,0,29
BUENA VISTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,12,12,0,0,12,12,24
CABEZAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,7,2,0,0,7,2,9
CAMIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,17,16,0,0,17,16,33
CARANAVI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,7,12,0,0,7,12,19
CARAPARI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,22,10,0,0,22,10,32
COBIJA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,80,8,0,0,80,8,88
COMARAPA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,1,0,0,1,1,2
CONCEPCION,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,22,21,0,0,22,21,43
COROICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,0,1,0,0,0,1,1
COTOCA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,0,1,0,0,0,1,1
CUEVO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,0,2,0,0,0,2,2
CULPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,2,5,0,0,2,5,7
EL TORNO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,103,107,0,0,103,107,210
ENTRE RIOS TRJ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,53,38,1,1,54,39,93
EUREKA (SANTOS MERCADO),malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,44,52,0,0,44,52,96
FILADELFIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,17,17,0,0,17,17,34
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,26,9,0,0,26,9,35
GUAYARAMERIN,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,584,550,0,0,584,550,1134
HUACARETA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,99,81,0,0,99,81,180
HUACAYA (VILLA DE HUACAYA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,24,21,0,0,24,21,45
ICLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,0,1,1,0,1,1,2
INCAHUASI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,40,31,0,0,40,31,71
IXIAMAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,28,16,0,0,28,16,44
LA ASUNTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,25,18,0,0,25,18,43
LA GUARDIA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,3,2,0,0,3,2,5
LA PAZ,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,49,29,49,29,98,58,156
LAGUNILLAS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,14,26,0,0,14,26,40
MACHARETI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,40,90,0,0,40,90,130
MAGDALENA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,92,72,0,0,92,72,164
MAIRANA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,1,0,0,1,1,2
MAPIRI,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,57,59,0,0,57,59,116
MIZQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,9,6,0,0,9,6,15
MOJOCOYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,2,0,0,1,2,3
MONTEAGUDO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,165,215,0,0,165,215,380
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,17,13,0,0,17,13,30
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,102,69,0,0,102,69,171
OMEREQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,0,1,0,0,0,1,1
PADCAYA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,21,9,0,0,21,9,30
PADILLA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,48,72,0,0,48,72,120
PAILON,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,0,19,0,0,0,19,19
PALOS BLANCOS,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,15,14,0,0,15,14,29
PASORAPA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,0,0,0,1,0,1
POROMA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,0,1,0,0,0,1,1
PORONGO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,32,32,0,0,32,32,64
PORTACHUELO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,6,0,6,0,12,0,12
PORVENIR,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,100,13,0,0,100,13,113
POSTRER VALLE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,0,3,0,0,0,3,3
PRESTO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,2,1,0,0,2,1,3
PUERTO GONZALO MORENO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,23,23,0,0,23,23,46
PUERTO RICO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,195,117,0,0,195,117,312
REYES,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,13,11,0,0,13,11,24
RIBERALTA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,890,890,1,1,891,891,1782
ROBORE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,8,2,0,0,8,2,10
RURRENABAQUE,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,5,2,5,2,10,4,14
SACABA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,0,0,0,1,0,1
SAIPINA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,45,57,0,0,45,57,102
SAN BUENA VENTURA,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,1,0,0,1,1,2
SAN IGNACIO DE VELASCO,malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,34,28,0,0,34,28,62
SAN JAVIER(STC),malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,1,1,0,0,1,1,2
SAN LORENZO(PND),malaria,l 21.1       numero de muestras hematicas tomadas,2012-03-01,135,74,0,0,135,74,209
