,group,variable,month,L 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,L 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS VIVAX,L 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,L 21.5 NÚMERO DE TRATAMIENTOS INICIADOS ANTES DE LAS 48 HORAS FALCIPARUM,TOTALES,TOTALES,TOTALES
COTOCA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-02-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-02-01,0,1,2,0,2,1,3
IXIAMAS,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-02-01,25,11,1,0,26,11,37
MAGDALENA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-02-01,0,1,0,0,0,1,1
PADILLA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-02-01,3,4,0,0,3,4,7
POSTRER VALLE,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-02-01,2,1,0,0,2,1,3
PUERTO GONZALO MORENO,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-02-01,1,1,0,0,1,1,2
RIBERALTA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-02-01,14,2,1,0,15,2,17
TORO TORO,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-02-01,1,1,0,0,1,1,2
AZURDUY,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-03-01,1,0,0,0,1,0,1
BAURES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-03-01,1,1,0,0,1,1,2
IXIAMAS,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-03-01,28,23,0,0,28,23,51
MAGDALENA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-03-01,1,0,0,0,1,0,1
PADILLA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-03-01,0,3,0,0,0,3,3
PORONGO,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-03-01,1,1,0,0,1,1,2
PORVENIR,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-03-01,2,1,0,0,2,1,3
RIBERALTA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-03-01,11,7,0,0,11,7,18
SANTA CRUZ DE LA SIERRA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-03-01,0,0,6,0,6,0,6
TORO TORO,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-03-01,1,1,0,0,1,1,2
VILLA MONTES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-03-01,1,1,0,0,1,1,2
BAURES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-04-01,5,0,0,0,5,0,5
HUACARETA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-04-01,0,2,0,0,0,2,2
INGAVI (HUMAITA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-04-01,8,2,0,0,8,2,10
IXIAMAS,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-04-01,35,23,0,0,35,23,58
MAGDALENA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-04-01,0,1,0,0,0,1,1
MIZQUE,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-04-01,4,11,0,0,4,11,15
SAIPINA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-04-01,1,0,0,0,1,0,1
AZURDUY,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-05-01,3,0,0,0,3,0,3
BUENA VISTA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-05-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-05-01,4,4,0,0,4,4,8
IXIAMAS,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-05-01,41,26,0,0,41,26,67
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-05-01,6,2,0,0,6,2,8
REYES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-05-01,1,1,0,0,1,1,2
RIBERALTA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-05-01,9,2,1,0,10,2,12
SAIPINA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-05-01,1,0,0,0,1,0,1
AZURDUY,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-06-01,3,0,0,0,3,0,3
BAURES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-06-01,1,0,0,0,1,0,1
BUENA VISTA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-06-01,2,1,0,0,2,1,3
GUAYARAMERIN,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-06-01,3,0,0,0,3,0,3
HUACARETA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-06-01,0,1,0,0,0,1,1
INGAVI (HUMAITA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-06-01,3,4,0,0,3,4,7
IXIAMAS,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-06-01,19,9,0,0,19,9,28
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-06-01,13,11,0,0,13,11,24
PADILLA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-06-01,1,1,0,0,1,1,2
RIBERALTA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-06-01,3,7,0,0,3,7,10
SAN LORENZO(PND),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-06-01,3,0,0,0,3,0,3
BAURES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-07-01,9,2,0,0,9,2,11
GUAYARAMERIN,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-07-01,2,2,0,0,2,2,4
INGAVI (HUMAITA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-07-01,3,3,0,0,3,3,6
IXIAMAS,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-07-01,14,21,0,0,14,21,35
MAGDALENA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-07-01,0,1,0,0,0,1,1
MIZQUE,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-07-01,10,9,0,0,10,9,19
POROMA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-07-01,0,1,0,0,0,1,1
RIBERALTA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-07-01,7,2,0,0,7,2,9
SAN JOAQUIN,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-07-01,1,0,0,0,1,0,1
BAURES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-08-01,9,6,0,0,9,6,15
INGAVI (HUMAITA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-08-01,5,1,0,0,5,1,6
IXIAMAS,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-08-01,22,9,0,0,22,9,31
MIZQUE,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-08-01,8,4,0,0,8,4,12
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-08-01,3,4,0,0,3,4,7
RIBERALTA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-08-01,9,1,0,0,9,1,10
SAIPINA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-08-01,0,1,0,0,0,1,1
TEOPONTE,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-08-01,1,2,0,0,1,2,3
TORO TORO,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-08-01,1,1,0,0,1,1,2
BAURES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-09-01,11,4,0,0,11,4,15
COBIJA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-09-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-09-01,0,1,0,0,0,1,1
MIZQUE,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-09-01,7,4,0,0,7,4,11
PADILLA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-09-01,0,1,0,0,0,1,1
POROMA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-09-01,3,0,0,0,3,0,3
RIBERALTA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-09-01,3,2,0,0,3,2,5
TEOPONTE,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-09-01,2,0,0,0,2,0,2
BAURES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-10-01,8,2,0,0,8,2,10
BUENA VISTA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-10-01,1,0,0,0,1,0,1
HUACARETA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-10-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-10-01,1,0,0,0,1,0,1
IXIAMAS,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-10-01,11,6,0,0,11,6,17
MAGDALENA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-10-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-10-01,3,0,0,0,3,0,3
PUERTO GONZALO MORENO,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-10-01,1,1,1,1,2,2,4
BAURES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-11-01,3,2,0,0,3,2,5
HUACARETA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-11-01,0,1,0,0,0,1,1
IXIAMAS,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-11-01,35,10,0,0,35,10,45
PADILLA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-11-01,2,2,0,0,2,2,4
POROMA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-11-01,2,0,0,0,2,0,2
SAN JOAQUIN,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-11-01,7,0,0,0,7,0,7
VALLEGRANDE,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-11-01,1,0,0,0,1,0,1
VILLA NUEVA (LOMA ALTA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-11-01,2,2,0,0,2,2,4
VILLA VACA GUZMAN (MUYUPAMPA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-11-01,1,1,0,0,1,1,2
BAURES,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,4,1,0,0,4,1,5
CULPINA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,2,0,0,0,2,0,2
IXIAMAS,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,17,12,1,0,18,12,30
MAGDALENA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,1,1,0,0,1,1,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,1,0,0,0,1,0,1
PADILLA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,1,0,0,0,1,0,1
POSTRER VALLE,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,0,1,0,0,0,1,1
PUERTO GONZALO MORENO,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,1,0,0,0,1,0,1
RIBERALTA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,10,3,0,0,10,3,13
SAIPINA,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,1,0,0,0,1,0,1
TORO TORO,malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),malaria,l 21.5       numero de tratamientos iniciados antes de las 48 horas,2012-12-01,1,0,0,0,1,0,1
