,group,variable,month,L 21.2 TOTAL DE CASOS CONFIRMADOS VIVAX,L 21.2 TOTAL DE CASOS CONFIRMADOS VIVAX,L 21.2 TOTAL DE CASOS CONFIRMADOS FALCIPARUM,L 21.2 TOTAL DE CASOS CONFIRMADOS FALCIPARUM,TOTALES,TOTALES,TOTALES
POROMA,malaria,l 21.2       total de casos confirmados,2012-01-01,2,1,0,0,2,1,3
PORONGO,malaria,l 21.2       total de casos confirmados,2012-01-01,2,0,0,0,2,0,2
PUERTO GONZALO MORENO,malaria,l 21.2       total de casos confirmados,2012-01-01,2,0,0,0,2,0,2
PUERTO RICO,malaria,l 21.2       total de casos confirmados,2012-01-01,2,0,0,0,2,0,2
QUIRUSILLAS,malaria,l 21.2       total de casos confirmados,2012-01-01,1,0,0,0,1,0,1
REYES,malaria,l 21.2       total de casos confirmados,2012-01-01,3,2,0,0,3,2,5
RIBERALTA,malaria,l 21.2       total de casos confirmados,2012-01-01,68,29,3,0,71,29,100
SACABA,malaria,l 21.2       total de casos confirmados,2012-01-01,0,1,0,0,0,1,1
SAIPINA,malaria,l 21.2       total de casos confirmados,2012-01-01,11,14,0,0,11,14,25
SAN LORENZO(PND),malaria,l 21.2       total de casos confirmados,2012-01-01,4,6,0,0,4,6,10
SAN PEDRO(PND),malaria,l 21.2       total de casos confirmados,2012-01-01,0,2,1,0,1,2,3
SANTA CRUZ DE LA SIERRA,malaria,l 21.2       total de casos confirmados,2012-01-01,0,0,0,0,0,0,0
SANTA ROSA,malaria,l 21.2       total de casos confirmados,2012-01-01,1,0,0,0,1,0,1
SENA,malaria,l 21.2       total de casos confirmados,2012-01-01,3,0,0,0,3,0,3
SUCRE,malaria,l 21.2       total de casos confirmados,2012-01-01,2,0,0,0,2,0,2
TORO TORO,malaria,l 21.2       total de casos confirmados,2012-01-01,2,0,0,0,2,0,2
VILLA CHARCAS,malaria,l 21.2       total de casos confirmados,2012-01-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,l 21.2       total de casos confirmados,2012-01-01,1,0,0,0,1,0,1
VILLA SERRANO,malaria,l 21.2       total de casos confirmados,2012-01-01,0,2,0,0,0,2,2
YACUIBA,malaria,l 21.2       total de casos confirmados,2012-01-01,1,2,0,0,1,2,3
AZURDUY,malaria,l 21.2       total de casos confirmados,2012-02-01,2,0,0,0,2,0,2
BAURES,malaria,l 21.2       total de casos confirmados,2012-02-01,4,0,0,0,4,0,4
BELLA FLOR,malaria,l 21.2       total de casos confirmados,2012-02-01,1,0,0,0,1,0,1
CAMIRI,malaria,l 21.2       total de casos confirmados,2012-02-01,1,0,0,0,1,0,1
CARANAVI,malaria,l 21.2       total de casos confirmados,2012-02-01,1,0,0,0,1,0,1
COBIJA,malaria,l 21.2       total de casos confirmados,2012-02-01,4,3,0,0,4,3,7
COTOCA,malaria,l 21.2       total de casos confirmados,2012-02-01,1,0,0,0,1,0,1
EL TORNO,malaria,l 21.2       total de casos confirmados,2012-02-01,4,4,0,0,4,4,8
FILADELFIA,malaria,l 21.2       total de casos confirmados,2012-02-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.2       total de casos confirmados,2012-02-01,1,2,0,0,1,2,3
GUAYARAMERIN,malaria,l 21.2       total de casos confirmados,2012-02-01,39,37,4,1,43,38,81
HUACARETA,malaria,l 21.2       total de casos confirmados,2012-02-01,2,2,0,0,2,2,4
INGAVI (HUMAITA),malaria,l 21.2       total de casos confirmados,2012-02-01,2,0,0,0,2,0,2
IXIAMAS,malaria,l 21.2       total de casos confirmados,2012-02-01,25,11,1,0,26,11,37
LA GUARDIA,malaria,l 21.2       total de casos confirmados,2012-02-01,0,1,0,0,0,1,1
LA PAZ,malaria,l 21.2       total de casos confirmados,2012-02-01,2,0,0,0,2,0,2
MAGDALENA,malaria,l 21.2       total de casos confirmados,2012-02-01,0,1,0,0,0,1,1
MONTEAGUDO,malaria,l 21.2       total de casos confirmados,2012-02-01,2,2,0,0,2,2,4
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.2       total de casos confirmados,2012-02-01,5,5,0,0,5,5,10
PADILLA,malaria,l 21.2       total de casos confirmados,2012-02-01,3,2,0,0,3,2,5
PALOS BLANCOS,malaria,l 21.2       total de casos confirmados,2012-02-01,0,1,0,0,0,1,1
POROMA,malaria,l 21.2       total de casos confirmados,2012-02-01,1,1,0,0,1,1,2
PORONGO,malaria,l 21.2       total de casos confirmados,2012-02-01,1,2,0,0,1,2,3
PORTACHUELO,malaria,l 21.2       total de casos confirmados,2012-02-01,1,0,0,0,1,0,1
PORVENIR,malaria,l 21.2       total de casos confirmados,2012-02-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,l 21.2       total de casos confirmados,2012-02-01,1,1,0,1,1,2,3
PUERTO RICO,malaria,l 21.2       total de casos confirmados,2012-02-01,1,1,0,0,1,1,2
REYES,malaria,l 21.2       total de casos confirmados,2012-02-01,7,6,0,1,7,7,14
RIBERALTA,malaria,l 21.2       total de casos confirmados,2012-02-01,46,18,4,1,50,19,69
SAIPINA,malaria,l 21.2       total de casos confirmados,2012-02-01,14,6,0,0,14,6,20
SAN BUENA VENTURA,malaria,l 21.2       total de casos confirmados,2012-02-01,0,1,0,0,0,1,1
SAN CARLOS,malaria,l 21.2       total de casos confirmados,2012-02-01,0,1,0,0,0,1,1
SAN LORENZO(PND),malaria,l 21.2       total de casos confirmados,2012-02-01,7,4,0,0,7,4,11
SENA,malaria,l 21.2       total de casos confirmados,2012-02-01,2,0,0,0,2,0,2
VALLEGRANDE,malaria,l 21.2       total de casos confirmados,2012-02-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,l 21.2       total de casos confirmados,2012-02-01,18,6,0,0,18,6,24
VILLA NUEVA (LOMA ALTA),malaria,l 21.2       total de casos confirmados,2012-02-01,0,1,0,1,0,2,2
YACUIBA,malaria,l 21.2       total de casos confirmados,2012-02-01,2,1,0,0,2,1,3
AIQUILE,malaria,l 21.2       total de casos confirmados,2012-03-01,0,1,0,0,0,1,1
AZURDUY,malaria,l 21.2       total de casos confirmados,2012-03-01,3,0,0,0,3,0,3
BAURES,malaria,l 21.2       total de casos confirmados,2012-03-01,1,1,0,0,1,1,2
BELLA FLOR,malaria,l 21.2       total de casos confirmados,2012-03-01,1,0,0,0,1,0,1
BERMEJO,malaria,l 21.2       total de casos confirmados,2012-03-01,0,1,0,0,0,1,1
BUENA VISTA,malaria,l 21.2       total de casos confirmados,2012-03-01,1,1,0,0,1,1,2
CABEZAS,malaria,l 21.2       total de casos confirmados,2012-03-01,7,2,0,0,7,2,9
CAMIRI,malaria,l 21.2       total de casos confirmados,2012-03-01,1,0,0,0,1,0,1
COBIJA,malaria,l 21.2       total de casos confirmados,2012-03-01,2,0,2,0,4,0,4
EL TORNO,malaria,l 21.2       total de casos confirmados,2012-03-01,4,2,0,0,4,2,6
EUREKA (SANTOS MERCADO),malaria,l 21.2       total de casos confirmados,2012-03-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.2       total de casos confirmados,2012-03-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,l 21.2       total de casos confirmados,2012-03-01,34,38,0,2,34,40,74
INGAVI (HUMAITA),malaria,l 21.2       total de casos confirmados,2012-03-01,2,1,0,0,2,1,3
IXIAMAS,malaria,l 21.2       total de casos confirmados,2012-03-01,28,16,0,0,28,16,44
MAGDALENA,malaria,l 21.2       total de casos confirmados,2012-03-01,1,0,0,0,1,0,1
MIZQUE,malaria,l 21.2       total de casos confirmados,2012-03-01,6,6,0,0,6,6,12
MONTEAGUDO,malaria,l 21.2       total de casos confirmados,2012-03-01,2,5,0,0,2,5,7
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.2       total de casos confirmados,2012-03-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.2       total de casos confirmados,2012-03-01,3,5,0,0,3,5,8
OMEREQUE,malaria,l 21.2       total de casos confirmados,2012-03-01,0,1,0,0,0,1,1
PADCAYA,malaria,l 21.2       total de casos confirmados,2012-03-01,1,0,0,0,1,0,1
PADILLA,malaria,l 21.2       total de casos confirmados,2012-03-01,0,3,0,0,0,3,3
PORONGO,malaria,l 21.2       total de casos confirmados,2012-03-01,5,3,0,0,5,3,8
PORVENIR,malaria,l 21.2       total de casos confirmados,2012-03-01,2,1,0,0,2,1,3
PRESTO,malaria,l 21.2       total de casos confirmados,2012-03-01,0,1,0,0,0,1,1
PUERTO RICO,malaria,l 21.2       total de casos confirmados,2012-03-01,1,0,0,0,1,0,1
REYES,malaria,l 21.2       total de casos confirmados,2012-03-01,0,2,0,0,0,2,2
RIBERALTA,malaria,l 21.2       total de casos confirmados,2012-03-01,49,32,1,1,50,33,83
RURRENABAQUE,malaria,l 21.2       total de casos confirmados,2012-03-01,2,0,0,0,2,0,2
SACABA,malaria,l 21.2       total de casos confirmados,2012-03-01,1,0,0,0,1,0,1
SAIPINA,malaria,l 21.2       total de casos confirmados,2012-03-01,6,8,0,0,6,8,14
SAN LORENZO(PND),malaria,l 21.2       total de casos confirmados,2012-03-01,8,6,0,0,8,6,14
SANTA ROSA,malaria,l 21.2       total de casos confirmados,2012-03-01,0,1,0,0,0,1,1
SENA,malaria,l 21.2       total de casos confirmados,2012-03-01,2,3,0,0,2,3,5
VALLEGRANDE,malaria,l 21.2       total de casos confirmados,2012-03-01,2,0,0,0,2,0,2
VILLA CHARCAS,malaria,l 21.2       total de casos confirmados,2012-03-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,l 21.2       total de casos confirmados,2012-03-01,12,8,0,0,12,8,20
VILLA NUEVA (LOMA ALTA),malaria,l 21.2       total de casos confirmados,2012-03-01,4,1,0,0,4,1,5
YACUIBA,malaria,l 21.2       total de casos confirmados,2012-03-01,3,3,0,0,3,3,6
AZURDUY,malaria,l 21.2       total de casos confirmados,2012-04-01,1,0,0,0,1,0,1
BAURES,malaria,l 21.2       total de casos confirmados,2012-04-01,5,0,0,0,5,0,5
BELLA FLOR,malaria,l 21.2       total de casos confirmados,2012-04-01,1,0,0,0,1,0,1
BERMEJO,malaria,l 21.2       total de casos confirmados,2012-04-01,0,1,0,0,0,1,1
COBIJA,malaria,l 21.2       total de casos confirmados,2012-04-01,3,1,0,0,3,1,4
EL TORNO,malaria,l 21.2       total de casos confirmados,2012-04-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.2       total de casos confirmados,2012-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,l 21.2       total de casos confirmados,2012-04-01,21,19,0,0,21,19,40
HUACARETA,malaria,l 21.2       total de casos confirmados,2012-04-01,1,0,0,0,1,0,1
INCAHUASI,malaria,l 21.2       total de casos confirmados,2012-04-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,l 21.2       total de casos confirmados,2012-04-01,8,2,0,0,8,2,10
IXIAMAS,malaria,l 21.2       total de casos confirmados,2012-04-01,35,23,0,0,35,23,58
MAGDALENA,malaria,l 21.2       total de casos confirmados,2012-04-01,0,1,0,0,0,1,1
MAIRANA,malaria,l 21.2       total de casos confirmados,2012-04-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,l 21.2       total de casos confirmados,2012-04-01,0,2,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.2       total de casos confirmados,2012-04-01,2,0,0,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.2       total de casos confirmados,2012-04-01,2,2,1,0,3,2,5
OMEREQUE,malaria,l 21.2       total de casos confirmados,2012-04-01,2,0,0,0,2,0,2
PADCAYA,malaria,l 21.2       total de casos confirmados,2012-04-01,2,3,0,0,2,3,5
POROMA,malaria,l 21.2       total de casos confirmados,2012-04-01,2,1,0,0,2,1,3
PORONGO,malaria,l 21.2       total de casos confirmados,2012-04-01,1,2,0,0,1,2,3
PUERTO GONZALO MORENO,malaria,l 21.2       total de casos confirmados,2012-04-01,0,0,0,1,0,1,1
PUERTO RICO,malaria,l 21.2       total de casos confirmados,2012-04-01,1,0,0,0,1,0,1
REYES,malaria,l 21.2       total de casos confirmados,2012-04-01,1,1,0,0,1,1,2
RIBERALTA,malaria,l 21.2       total de casos confirmados,2012-04-01,24,17,0,1,24,18,42
RURRENABAQUE,malaria,l 21.2       total de casos confirmados,2012-04-01,1,0,0,0,1,0,1
SAIPINA,malaria,l 21.2       total de casos confirmados,2012-04-01,5,3,0,0,5,3,8
SAN JOAQUIN,malaria,l 21.2       total de casos confirmados,2012-04-01,0,1,0,0,0,1,1
SAN LORENZO(PND),malaria,l 21.2       total de casos confirmados,2012-04-01,4,1,0,0,4,1,5
TORO TORO,malaria,l 21.2       total de casos confirmados,2012-04-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,l 21.2       total de casos confirmados,2012-04-01,10,6,0,0,10,6,16
VILLA NUEVA (LOMA ALTA),malaria,l 21.2       total de casos confirmados,2012-04-01,1,2,2,0,3,2,5
YACUIBA,malaria,l 21.2       total de casos confirmados,2012-04-01,4,0,0,0,4,0,4
AYATA,malaria,l 21.2       total de casos confirmados,2012-05-01,1,0,0,0,1,0,1
AZURDUY,malaria,l 21.2       total de casos confirmados,2012-05-01,1,1,0,0,1,1,2
BAURES,malaria,l 21.2       total de casos confirmados,2012-05-01,2,0,0,0,2,0,2
CABEZAS,malaria,l 21.2       total de casos confirmados,2012-05-01,0,1,0,0,0,1,1
CAMIRI,malaria,l 21.2       total de casos confirmados,2012-05-01,1,0,0,0,1,0,1
CARAPARI,malaria,l 21.2       total de casos confirmados,2012-05-01,1,0,0,0,1,0,1
COBIJA,malaria,l 21.2       total de casos confirmados,2012-05-01,4,1,0,0,4,1,5
EL TORNO,malaria,l 21.2       total de casos confirmados,2012-05-01,1,1,0,0,1,1,2
EUREKA (SANTOS MERCADO),malaria,l 21.2       total de casos confirmados,2012-05-01,2,1,0,0,2,1,3
GUAYARAMERIN,malaria,l 21.2       total de casos confirmados,2012-05-01,60,39,0,0,60,39,99
INCAHUASI,malaria,l 21.2       total de casos confirmados,2012-05-01,1,0,0,0,1,0,1
INGAVI (HUMAITA),malaria,l 21.2       total de casos confirmados,2012-05-01,3,4,0,0,3,4,7
IXIAMAS,malaria,l 21.2       total de casos confirmados,2012-05-01,41,26,0,0,41,26,67
MIZQUE,malaria,l 21.2       total de casos confirmados,2012-05-01,1,0,0,0,1,0,1
MONTEAGUDO,malaria,l 21.2       total de casos confirmados,2012-05-01,0,1,0,0,0,1,1
MONTERO,malaria,l 21.2       total de casos confirmados,2012-05-01,0,0,0,1,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.2       total de casos confirmados,2012-05-01,6,2,0,0,6,2,8
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.2       total de casos confirmados,2012-05-01,1,2,0,0,1,2,3
PADCAYA,malaria,l 21.2       total de casos confirmados,2012-05-01,0,1,0,0,0,1,1
PADILLA,malaria,l 21.2       total de casos confirmados,2012-05-01,6,2,0,0,6,2,8
POROMA,malaria,l 21.2       total de casos confirmados,2012-05-01,2,2,0,0,2,2,4
PORONGO,malaria,l 21.2       total de casos confirmados,2012-05-01,1,0,0,0,1,0,1
PORTACHUELO,malaria,l 21.2       total de casos confirmados,2012-05-01,1,0,0,0,1,0,1
PORVENIR,malaria,l 21.2       total de casos confirmados,2012-05-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,l 21.2       total de casos confirmados,2012-05-01,0,2,0,0,0,2,2
PUERTO RICO,malaria,l 21.2       total de casos confirmados,2012-05-01,1,0,0,0,1,0,1
REYES,malaria,l 21.2       total de casos confirmados,2012-05-01,1,3,0,0,1,3,4
RIBERALTA,malaria,l 21.2       total de casos confirmados,2012-05-01,56,27,3,0,59,27,86
SAIPINA,malaria,l 21.2       total de casos confirmados,2012-05-01,3,3,0,0,3,3,6
SAN BUENA VENTURA,malaria,l 21.2       total de casos confirmados,2012-05-01,0,1,0,0,0,1,1
SAN CARLOS,malaria,l 21.2       total de casos confirmados,2012-05-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,malaria,l 21.2       total de casos confirmados,2012-05-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,l 21.2       total de casos confirmados,2012-05-01,5,2,0,0,5,2,7
SANTA ROSA,malaria,l 21.2       total de casos confirmados,2012-05-01,0,2,0,0,0,2,2
SENA,malaria,l 21.2       total de casos confirmados,2012-05-01,3,1,0,0,3,1,4
VILLA MONTES,malaria,l 21.2       total de casos confirmados,2012-05-01,22,12,0,0,22,12,34
VILLA NUEVA (LOMA ALTA),malaria,l 21.2       total de casos confirmados,2012-05-01,3,2,1,0,4,2,6
YACUIBA,malaria,l 21.2       total de casos confirmados,2012-05-01,3,8,0,0,3,8,11
APOLO,malaria,l 21.2       total de casos confirmados,2012-06-01,0,2,0,0,0,2,2
AZURDUY,malaria,l 21.2       total de casos confirmados,2012-06-01,1,0,0,0,1,0,1
BAURES,malaria,l 21.2       total de casos confirmados,2012-06-01,1,0,0,0,1,0,1
BUENA VISTA,malaria,l 21.2       total de casos confirmados,2012-06-01,1,1,0,0,1,1,2
CABEZAS,malaria,l 21.2       total de casos confirmados,2012-06-01,3,3,0,0,3,3,6
COBIJA,malaria,l 21.2       total de casos confirmados,2012-06-01,5,2,0,0,5,2,7
CONCEPCION,malaria,l 21.2       total de casos confirmados,2012-06-01,0,0,1,1,1,1,2
EL TORNO,malaria,l 21.2       total de casos confirmados,2012-06-01,1,0,0,0,1,0,1
GUAYARAMERIN,malaria,l 21.2       total de casos confirmados,2012-06-01,76,71,0,0,76,71,147
INCAHUASI,malaria,l 21.2       total de casos confirmados,2012-06-01,1,1,0,0,1,1,2
INGAVI (HUMAITA),malaria,l 21.2       total de casos confirmados,2012-06-01,7,6,0,0,7,6,13
IXIAMAS,malaria,l 21.2       total de casos confirmados,2012-06-01,19,9,0,0,19,9,28
LA PAZ,malaria,l 21.2       total de casos confirmados,2012-06-01,3,1,0,0,3,1,4
MAGDALENA,malaria,l 21.2       total de casos confirmados,2012-06-01,2,0,0,0,2,0,2
MONTEAGUDO,malaria,l 21.2       total de casos confirmados,2012-06-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.2       total de casos confirmados,2012-06-01,15,11,0,0,15,11,26
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.2       total de casos confirmados,2012-06-01,1,4,0,0,1,4,5
PADILLA,malaria,l 21.2       total de casos confirmados,2012-06-01,3,0,0,0,3,0,3
PORONGO,malaria,l 21.2       total de casos confirmados,2012-06-01,2,0,0,0,2,0,2
PORVENIR,malaria,l 21.2       total de casos confirmados,2012-06-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,l 21.2       total de casos confirmados,2012-06-01,4,1,0,0,4,1,5
PUERTO RICO,malaria,l 21.2       total de casos confirmados,2012-06-01,1,0,0,0,1,0,1
REYES,malaria,l 21.2       total de casos confirmados,2012-06-01,1,3,0,0,1,3,4
RIBERALTA,malaria,l 21.2       total de casos confirmados,2012-06-01,68,50,0,1,68,51,119
RURRENABAQUE,malaria,l 21.2       total de casos confirmados,2012-06-01,0,0,1,0,1,0,1
SAN LORENZO(PND),malaria,l 21.2       total de casos confirmados,2012-06-01,10,5,0,0,10,5,15
SAN PEDRO DE BUENA VISTA,malaria,l 21.2       total de casos confirmados,2012-06-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,l 21.2       total de casos confirmados,2012-06-01,2,1,0,0,2,1,3
VALLEGRANDE,malaria,l 21.2       total de casos confirmados,2012-06-01,0,1,0,0,0,1,1
VILLA MONTES,malaria,l 21.2       total de casos confirmados,2012-06-01,5,3,0,0,5,3,8
VILLA NUEVA (LOMA ALTA),malaria,l 21.2       total de casos confirmados,2012-06-01,5,2,0,0,5,2,7
YACUIBA,malaria,l 21.2       total de casos confirmados,2012-06-01,1,0,0,0,1,0,1
AZURDUY,malaria,l 21.2       total de casos confirmados,2012-07-01,1,2,0,0,1,2,3
BAURES,malaria,l 21.2       total de casos confirmados,2012-07-01,9,2,0,0,9,2,11
CARANAVI,malaria,l 21.2       total de casos confirmados,2012-07-01,1,0,0,0,1,0,1
COBIJA,malaria,l 21.2       total de casos confirmados,2012-07-01,2,5,0,0,2,5,7
EL TORNO,malaria,l 21.2       total de casos confirmados,2012-07-01,1,0,0,0,1,0,1
ENTRE RIOS TRJ,malaria,l 21.2       total de casos confirmados,2012-07-01,2,0,0,0,2,0,2
EUREKA (SANTOS MERCADO),malaria,l 21.2       total de casos confirmados,2012-07-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,l 21.2       total de casos confirmados,2012-07-01,65,58,3,3,68,61,129
INCAHUASI,malaria,l 21.2       total de casos confirmados,2012-07-01,2,1,0,0,2,1,3
INGAVI (HUMAITA),malaria,l 21.2       total de casos confirmados,2012-07-01,3,3,0,0,3,3,6
IXIAMAS,malaria,l 21.2       total de casos confirmados,2012-07-01,14,21,0,0,14,21,35
MAGDALENA,malaria,l 21.2       total de casos confirmados,2012-07-01,0,1,0,0,0,1,1
MONTEAGUDO,malaria,l 21.2       total de casos confirmados,2012-07-01,0,1,0,0,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.2       total de casos confirmados,2012-07-01,2,4,0,0,2,4,6
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.2       total de casos confirmados,2012-07-01,8,4,0,0,8,4,12
PADILLA,malaria,l 21.2       total de casos confirmados,2012-07-01,1,0,0,0,1,0,1
POROMA,malaria,l 21.2       total de casos confirmados,2012-07-01,2,0,0,0,2,0,2
PUERTO GONZALO MORENO,malaria,l 21.2       total de casos confirmados,2012-07-01,6,2,0,0,6,2,8
RAVELO,malaria,l 21.2       total de casos confirmados,2012-07-01,1,3,0,0,1,3,4
REYES,malaria,l 21.2       total de casos confirmados,2012-07-01,3,3,0,0,3,3,6
RIBERALTA,malaria,l 21.2       total de casos confirmados,2012-07-01,60,33,1,3,61,36,97
RURRENABAQUE,malaria,l 21.2       total de casos confirmados,2012-07-01,1,0,0,0,1,0,1
SAIPINA,malaria,l 21.2       total de casos confirmados,2012-07-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,malaria,l 21.2       total de casos confirmados,2012-07-01,1,0,0,0,1,0,1
SAN JOAQUIN,malaria,l 21.2       total de casos confirmados,2012-07-01,1,0,0,0,1,0,1
SAN LORENZO(PND),malaria,l 21.2       total de casos confirmados,2012-07-01,7,1,1,0,8,1,9
SAN LORENZO(TJA),malaria,l 21.2       total de casos confirmados,2012-07-01,0,1,0,0,0,1,1
SAN PEDRO(PND),malaria,l 21.2       total de casos confirmados,2012-07-01,1,0,0,0,1,0,1
SANTA ROSA,malaria,l 21.2       total de casos confirmados,2012-07-01,0,1,0,0,0,1,1
SENA,malaria,l 21.2       total de casos confirmados,2012-07-01,1,0,0,0,1,0,1
TORO TORO,malaria,l 21.2       total de casos confirmados,2012-07-01,1,1,0,0,1,1,2
VILLA CHARCAS,malaria,l 21.2       total de casos confirmados,2012-07-01,1,0,0,0,1,0,1
VILLA MONTES,malaria,l 21.2       total de casos confirmados,2012-07-01,3,7,0,0,3,7,10
VILLA NUEVA (LOMA ALTA),malaria,l 21.2       total de casos confirmados,2012-07-01,0,2,0,0,0,2,2
YACUIBA,malaria,l 21.2       total de casos confirmados,2012-07-01,1,1,0,0,1,1,2
APOLO,malaria,l 21.2       total de casos confirmados,2012-08-01,1,2,0,0,1,2,3
BAURES,malaria,l 21.2       total de casos confirmados,2012-08-01,8,6,0,0,8,6,14
CABEZAS,malaria,l 21.2       total de casos confirmados,2012-08-01,0,1,0,0,0,1,1
COBIJA,malaria,l 21.2       total de casos confirmados,2012-08-01,2,0,0,0,2,0,2
ENTRE RIOS TRJ,malaria,l 21.2       total de casos confirmados,2012-08-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),malaria,l 21.2       total de casos confirmados,2012-08-01,0,1,0,0,0,1,1
GUAYARAMERIN,malaria,l 21.2       total de casos confirmados,2012-08-01,77,60,0,0,77,60,137
INCAHUASI,malaria,l 21.2       total de casos confirmados,2012-08-01,0,1,0,0,0,1,1
INGAVI (HUMAITA),malaria,l 21.2       total de casos confirmados,2012-08-01,5,1,0,0,5,1,6
IXIAMAS,malaria,l 21.2       total de casos confirmados,2012-08-01,22,10,0,0,22,10,32
LA PAZ,malaria,l 21.2       total de casos confirmados,2012-08-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),malaria,l 21.2       total de casos confirmados,2012-08-01,4,5,0,0,4,5,9
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.2       total de casos confirmados,2012-08-01,5,3,0,0,5,3,8
POROMA,malaria,l 21.2       total de casos confirmados,2012-08-01,1,2,0,0,1,2,3
PORONGO,malaria,l 21.2       total de casos confirmados,2012-08-01,2,0,0,0,2,0,2
PORVENIR,malaria,l 21.2       total de casos confirmados,2012-08-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,malaria,l 21.2       total de casos confirmados,2012-08-01,1,0,0,0,1,0,1
PUERTO RICO,malaria,l 21.2       total de casos confirmados,2012-08-01,1,0,0,0,1,0,1
REYES,malaria,l 21.2       total de casos confirmados,2012-08-01,2,1,0,0,2,1,3
