,group,variable,month,L 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,L 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA VIVAX,L 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,L 21.4 TRATAMIENTOS INICIADOS POR SOSPECHA FALCIPARUM,TOTALES,TOTALES,TOTALES
CHARAGUA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,13,7,0,0,13,7,20
CULPINA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,1,1,0,0,1,1,2
HUACARETA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,3,3,0,0,3,3,6
PADILLA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,1,1,0,0,1,1,2
POROMA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,1,0,0,0,1,0,1
PORONGO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,1,0,0,0,1,0,1
POSTRER VALLE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,2,1,0,0,2,1,3
TEOPONTE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,3,1,0,0,3,1,4
TORO TORO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,4,3,0,0,4,3,7
VILA VILA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-02-01,1,2,0,0,1,2,3
APOLO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,0,1,0,0,0,1,1
AZURDUY,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,3,3,0,0,3,3,6
BUENA VISTA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,2,2,0,0,2,2,4
CHARAGUA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,9,10,0,0,9,10,19
COROICO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,0,1,0,0,0,1,1
HUACARETA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,5,2,0,0,5,2,7
LA ASUNTA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,2,0,0,0,2,0,2
MIZQUE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,9,6,0,0,9,6,15
MONTEAGUDO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,0,1,0,0,0,1,1
PASORAPA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,1,0,0,0,1,0,1
PORONGO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,1,1,0,0,1,1,2
POSTRER VALLE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,0,3,0,0,0,3,3
PRESTO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,1,0,0,0,1,0,1
TAPACARI,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,3,1,0,0,3,1,4
TEOPONTE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,1,0,0,0,1,0,1
TORO TORO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,1,1,0,0,1,1,2
VILA VILA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,1,1,0,0,1,1,2
YACUIBA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-03-01,2,1,0,0,2,1,3
APOLO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,3,3,0,0,3,3,6
AZURDUY,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,6,3,0,0,6,3,9
BUENA VISTA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,1,0,0,0,1,0,1
COBIJA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,2,0,0,0,2,0,2
COCAPATA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,2,0,0,0,2,0,2
COCHABAMBA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,0,1,0,0,0,1,1
HUACARETA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,2,3,0,0,2,3,5
IXIAMAS,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,1,1,0,0,1,1,2
LA ASUNTA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,0,0,0,1,0,1,1
LA PAZ,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,1,1,0,0,1,1,2
MIZQUE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,4,11,0,0,4,11,15
POROMA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,0,1,0,0,0,1,1
RIBERALTA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-04-01,1,0,0,0,1,0,1
APOLO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-05-01,1,0,0,0,1,0,1
AZURDUY,malaria,l 21.4       tratamientos iniciados por sospecha,2012-05-01,2,1,0,0,2,1,3
BUENA VISTA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-05-01,1,0,0,0,1,0,1
HUACARETA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-05-01,12,8,0,0,12,8,20
IXIAMAS,malaria,l 21.4       tratamientos iniciados por sospecha,2012-05-01,1,0,0,0,1,0,1
PADILLA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-05-01,2,1,0,0,2,1,3
POROMA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-05-01,1,1,0,0,1,1,2
PUERTO SILES,malaria,l 21.4       tratamientos iniciados por sospecha,2012-05-01,1,0,0,0,1,0,1
SAN MATIAS,malaria,l 21.4       tratamientos iniciados por sospecha,2012-05-01,1,0,0,0,1,0,1
APOLO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-06-01,0,2,0,0,0,2,2
AZURDUY,malaria,l 21.4       tratamientos iniciados por sospecha,2012-06-01,4,3,0,0,4,3,7
COBIJA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-06-01,2,0,0,0,2,0,2
HUACARETA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-06-01,3,2,0,0,3,2,5
IXIAMAS,malaria,l 21.4       tratamientos iniciados por sospecha,2012-06-01,19,9,0,0,19,9,28
LA ASUNTA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-06-01,0,1,0,0,0,1,1
PADILLA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-06-01,0,2,0,0,0,2,2
RAVELO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-06-01,1,1,0,0,1,1,2
VILLA CHARCAS,malaria,l 21.4       tratamientos iniciados por sospecha,2012-06-01,0,1,0,0,0,1,1
APOLO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,0,2,0,0,0,2,2
AZURDUY,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,1,0,0,0,1,0,1
BUENA VISTA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,1,1,0,0,1,1,2
COBIJA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,2,1,0,0,2,1,3
CULPINA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,1,2,0,0,1,2,3
GUAYARAMERIN,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,1,0,0,0,1,0,1
HUACARETA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,1,0,0,0,1,0,1
IXIAMAS,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,14,21,0,0,14,21,35
MIZQUE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,10,9,0,0,10,9,19
PADILLA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,0,1,0,0,0,1,1
POROMA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,0,1,0,0,0,1,1
RAVELO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,2,2,0,0,2,2,4
VILA VILA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-07-01,0,0,1,0,1,0,1
AZURDUY,malaria,l 21.4       tratamientos iniciados por sospecha,2012-08-01,0,1,0,0,0,1,1
BAURES,malaria,l 21.4       tratamientos iniciados por sospecha,2012-08-01,1,0,0,0,1,0,1
BUENA VISTA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-08-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.4       tratamientos iniciados por sospecha,2012-08-01,0,1,0,0,0,1,1
GUTIERREZ,malaria,l 21.4       tratamientos iniciados por sospecha,2012-08-01,1,0,0,0,1,0,1
MIZQUE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-08-01,8,4,0,0,8,4,12
PORTACHUELO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-08-01,0,1,0,0,0,1,1
RAVELO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-08-01,1,1,0,0,1,1,2
TEOPONTE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-08-01,1,1,0,0,1,1,2
TORO TORO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-08-01,1,3,0,0,1,3,4
VILA VILA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-08-01,1,0,0,0,1,0,1
YAPACANI,malaria,l 21.4       tratamientos iniciados por sospecha,2012-08-01,0,1,0,0,0,1,1
AZURDUY,malaria,l 21.4       tratamientos iniciados por sospecha,2012-09-01,1,2,0,0,1,2,3
GUTIERREZ,malaria,l 21.4       tratamientos iniciados por sospecha,2012-09-01,1,0,0,0,1,0,1
HUACARETA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-09-01,1,0,0,0,1,0,1
MIZQUE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-09-01,7,4,0,0,7,4,11
POROMA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-09-01,2,0,0,0,2,0,2
RAVELO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-09-01,2,0,0,0,2,0,2
TEOPONTE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-09-01,1,0,0,0,1,0,1
AZURDUY,malaria,l 21.4       tratamientos iniciados por sospecha,2012-10-01,0,2,0,0,0,2,2
BUENA VISTA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-10-01,1,0,0,0,1,0,1
HUACARETA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-10-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,l 21.4       tratamientos iniciados por sospecha,2012-10-01,3,0,0,0,3,0,3
APOLO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-11-01,2,1,0,0,2,1,3
GRAL. J.J. PEREZ (CHARAZANI),malaria,l 21.4       tratamientos iniciados por sospecha,2012-11-01,0,0,2,0,2,0,2
HUACARETA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-11-01,2,1,0,0,2,1,3
PADILLA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-11-01,1,2,0,0,1,2,3
POROMA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-11-01,2,0,0,0,2,0,2
RAVELO,malaria,l 21.4       tratamientos iniciados por sospecha,2012-11-01,0,2,0,0,0,2,2
VILA VILA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-11-01,1,0,0,0,1,0,1
BUENA VISTA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-12-01,1,0,0,0,1,0,1
CULPINA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-12-01,2,0,0,0,2,0,2
HUACARETA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-12-01,3,1,0,0,3,1,4
INCAHUASI,malaria,l 21.4       tratamientos iniciados por sospecha,2012-12-01,0,1,0,0,0,1,1
POSTRER VALLE,malaria,l 21.4       tratamientos iniciados por sospecha,2012-12-01,1,1,0,0,1,1,2
VILA VILA,malaria,l 21.4       tratamientos iniciados por sospecha,2012-12-01,0,1,0,0,0,1,1
