,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
AYATA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,17,17,1,4,18,21,39
AYO AYO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,20,8,2,5,22,13,35
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,63,61,0,1,63,62,125
AZURDUY,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,32,39,0,0,32,39,71
BATALLAS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,10,9,8,9,18,18,36
BAURES,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,13,11,2,3,15,14,29
BELEN DE ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,1,0,0,0,1,0,1
BELEN DE URMIRI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,3,2,0,0,3,2,5
BELLA FLOR,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,10,7,0,0,10,7,17
BERMEJO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,202,186,17,17,219,203,422
BETANZOS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,54,35,1,0,55,35,90
BOLIVAR,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,7,8,0,0,7,8,15
BOLPEBRA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,7,5,0,0,7,5,12
BOYUIBE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,12,20,0,0,12,20,32
BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,46,42,8,11,54,53,107
CABEZAS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,102,104,11,10,113,114,227
CAIROMA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,43,28,7,5,50,33,83
"CAIZA ""D""",consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,18,20,0,0,18,20,38
CAJUATA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,57,51,0,1,57,52,109
CALACOTO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,7,11,1,1,8,12,20
CALAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,17,11,1,0,18,11,29
CAMARGO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,30,24,0,1,30,25,55
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,3,3,2,0,5,3,8
CAMIRI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,179,158,28,15,207,173,380
CAPINOTA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,62,60,11,8,73,68,141
CAQUIAVIRI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,16,7,0,0,16,7,23
CARACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,85,74,0,0,85,74,159
CARANAVI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,121,107,110,101,231,208,439
CARAPARI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,46,36,2,2,48,38,86
CARIPUYO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,13,9,0,0,13,9,22
CARMEN RIVERO TORREZ,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,14,14,2,3,16,17,33
CATACORA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,2,5,2,1,4,6,10
CHACARILLA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,1,1,1,1,2,2,4
CHALLAPATA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,110,97,4,4,114,101,215
CHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,21,13,0,0,21,13,34
CHARAGUA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,189,135,17,21,206,156,362
CHARAÑA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,3,2,0,0,3,2,5
CHAYANTA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,13,27,0,0,13,27,40
CHIMORE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,183,171,24,20,207,191,398
CHIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,5,2,0,0,5,2,7
CHOQUE COTA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,0,4,0,0,0,4,4
CHUA COCANI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,5,2,0,1,5,3,8
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,82,52,7,3,89,55,144
CHUMA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,12,14,0,0,12,14,26
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,13,10,0,0,13,10,23
CKOCHAS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,26,14,1,0,27,14,41
CLIZA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,55,52,36,46,91,98,189
COBIJA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,175,166,33,29,208,195,403
COCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,69,56,0,2,69,58,127
COCHABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,2436,2311,767,808,3203,3119,6322
COIPASA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,1,0,0,0,1,0,1
COLCAPIRHUA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,120,89,101,97,221,186,407
"COLCHA ""K""",consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,43,31,3,1,46,32,78
COLLANA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,6,0,0,0,6,0,6
COLOMI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,71,35,17,11,88,46,134
COLPA BELGICA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,17,18,4,7,21,25,46
COLQUECHACA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,90,60,0,1,90,61,151
COLQUENCHA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,22,20,0,0,22,20,42
COLQUIRI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,25,20,0,0,25,20,45
COMANCHE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,0,3,0,0,0,3,3
COMARAPA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,43,33,7,4,50,37,87
COMBAYA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,1,2,1,0,2,2,4
CONCEPCION,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,64,60,4,1,68,61,129
COPACABANA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,14,13,2,1,16,14,30
CORIPATA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,40,42,12,11,52,53,105
CORO CORO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,26,16,1,0,27,16,43
COROICO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,23,26,45,28,68,54,122
CORQUE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,9,5,1,0,10,5,15
COTAGAITA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,72,51,7,9,79,60,139
COTOCA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,229,216,31,30,260,246,506
CUATRO CAÑADAS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,96,81,29,29,125,110,235
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,6,2,0,0,6,2,8
CUEVO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,28,16,6,10,34,26,60
CULPINA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,28,28,0,1,28,29,57
CURAHUARA DE CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,7,10,0,1,7,11,18
CURVA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,5,6,0,0,5,6,11
DESAGUADERO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,1,1,2,4,3,5,8
EL ALTO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,2342,2332,1086,1157,3428,3489,6917
EL CHORO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,7,8,0,0,7,8,15
EL PUENTE(STC),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,47,48,0,1,47,49,96
EL PUENTE(TJA),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,35,29,2,0,37,29,66
EL TORNO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,238,285,101,121,339,406,745
EL VILLAR,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,20,15,0,0,20,15,35
ENTRE RIOS TRJ,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,52,75,2,4,54,79,133
ENTRE RIOS CBBA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,226,239,8,14,234,253,487
ESCARA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,1,0,0,0,1,0,1
ESCOMA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,13,9,13,6,26,15,41
ESMERALDA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,1,0,0,0,1,0,1
EUCALIPTUS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,16,9,0,1,16,10,26
EUREKA (SANTOS MERCADO),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,4,3,0,0,4,3,7
EXALTACION,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,13,10,2,0,15,10,25
FERNANDEZ ALONSO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,59,36,8,9,67,45,112
FILADELFIA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,25,17,0,0,25,17,42
GENERAL SAAVEDRA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,85,86,20,17,105,103,208
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,17,15,3,0,20,15,35
GUANAY,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,66,44,16,14,82,58,140
GUAQUI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,1,5,0,0,1,5,6
GUAYARAMERIN,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,135,132,11,11,146,143,289
GUTIERREZ,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,78,78,17,18,95,96,191
HUACARETA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,33,21,3,3,36,24,60
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,11,6,1,1,12,7,19
HUACHACALLA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,5,1,0,0,5,1,6
HUANUNI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,53,49,10,11,63,60,123
HUARACAJE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,7,12,0,4,7,16,23
HUARINA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,17,10,4,6,21,16,37
HUATAJATA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,4,0,2,0,6,0,6
HUAYLLAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,1,2,0,1,1,3,4
HUMANATA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,4,6,0,0,4,6,10
ICHOCA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,7,9,0,1,7,10,17
ICLA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,18,14,2,3,20,17,37
INCAHUASI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,43,34,0,0,43,34,77
INGAVI (HUMAITA),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,12,5,0,3,12,8,20
INQUISIVI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,26,36,0,2,26,38,64
IRUPANA (VILLA DE LANZA),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,47,48,21,11,68,59,127
IXIAMAS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,53,59,3,3,56,62,118
JESUS DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,17,26,12,5,29,31,60
LA ASUNTA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,140,104,8,7,148,111,259
LA GUARDIA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,349,345,86,103,435,448,883
LA PAZ,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,2356,2195,821,802,3177,2997,6174
LA RIVERA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,1,0,0,0,1,0,1
LAGUNILLAS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,23,17,6,0,29,17,46
LAJA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,29,22,6,6,35,28,63
LAS CARRERAS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,9,6,0,0,9,6,15
LICOMA PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,8,4,0,0,8,4,12
LLALLAGUA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,160,163,4,0,164,163,327
LLICA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,11,4,0,0,11,4,15
LORETO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,19,11,0,0,19,11,30
LURIBAY,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,18,21,2,1,20,22,42
MACHACAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,2,8,0,1,2,9,11
MACHARETI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,24,27,0,0,24,27,51
MAGDALENA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,41,30,4,1,45,31,76
MAIRANA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,50,27,6,7,56,34,90
MALLA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,3,6,0,0,3,6,9
MAPIRI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,46,65,0,2,46,67,113
MECAPACA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,22,19,1,1,23,20,43
MINEROS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,72,74,17,12,89,86,175
MIZQUE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,97,92,6,5,103,97,200
MOCOMOCO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,8,11,0,3,8,14,22
MOJINETE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,1,1,0,0,1,1,2
MOJOCOYA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,12,16,3,0,15,16,31
MONTEAGUDO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,117,79,4,4,121,83,204
MONTERO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,637,628,121,98,758,726,1484
MORO MORO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,8,5,2,0,10,5,15
MOROCHATA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,15,16,2,2,17,18,35
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,13,12,0,1,13,13,26
NAZACARA DE PACAJES,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,0,6,1,3,1,9,10
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,0,7,0,0,0,7,7
OCURI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,28,34,0,0,28,34,62
OKINAWA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,40,40,4,5,44,45,89
OMEREQUE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,21,27,0,1,21,28,49
ORURO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,903,881,265,268,1168,1149,2317
PADCAYA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,44,63,1,8,45,71,116
PADILLA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,73,34,0,1,73,35,108
PAILON,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,85,61,16,20,101,81,182
PALCA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,43,51,0,1,43,52,95
PALOS BLANCOS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,120,139,10,11,130,150,280
PAMPA AULLAGAS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,5,6,6,7,11,13,24
PAMPA GRANDE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,17,25,3,2,20,27,47
PAPEL PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,14,7,0,0,14,7,21
PASORAPA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,5,7,1,0,6,7,13
PATACAMAYA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,104,81,13,11,117,92,209
PAZÑA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,8,19,0,1,8,20,28
PELECHUCO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,23,31,3,5,26,36,62
POCOATA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,33,30,0,0,33,30,63
POCONA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,17,28,3,0,20,28,48
POJO (CBBA),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,33,35,4,4,37,39,76
POOPO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,21,12,2,0,23,12,35
PORCO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,21,27,2,0,23,27,50
POROMA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,31,23,0,0,31,23,54
PORONGO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,43,23,4,1,47,24,71
PORTACHUELO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,58,52,1,0,59,52,111
PORVENIR,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,15,16,1,3,16,19,35
POSTRER VALLE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,2,11,1,0,3,11,14
POTOSI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,712,677,84,94,796,771,1567
PRESTO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,23,20,0,0,23,20,43
PUCARA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,7,2,2,1,9,3,12
PUCARANI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,42,28,3,1,45,29,74
PUERTO ACOSTA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,11,9,9,7,20,16,36
PUERTO CARABUCO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,4,7,1,0,5,7,12
PUERTO GONZALO MORENO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,15,32,13,10,28,42,70
PUERTO PEREZ,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,5,9,0,0,5,9,14
PUERTO QUIJARRO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,45,50,8,4,53,54,107
PUERTO RICO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,22,24,0,0,22,24,46
PUERTO SILES,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,6,4,0,1,6,5,11
PUERTO SUAREZ,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,59,54,25,13,84,67,151
PUERTO VILLARROEL,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,359,406,25,24,384,430,814
PUNA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,31,21,1,1,32,22,54
PUNATA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,122,81,13,9,135,90,225
QUIABAYA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,6,4,0,1,6,5,11
QUILLACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,335,316,186,159,521,475,996
QUIME,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,22,13,0,0,22,13,35
QUIRUSILLAS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,4,6,0,0,4,6,10
RAQAYPAMPA(ETA),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,19,18,0,0,19,18,37
RAVELO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,17,27,0,1,17,28,45
REYES,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,23,18,0,1,23,19,42
RIBERALTA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,313,318,51,65,364,383,747
ROBORE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,42,32,5,0,47,32,79
RURRENABAQUE,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,62,60,2,1,64,61,125
SABAYA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,8,17,4,2,12,19,31
SACABA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,553,513,156,166,709,679,1388
SACABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,12,3,1,2,13,5,18
SACACA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,25,41,0,0,25,41,66
SAIPINA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,22,18,2,4,24,22,46
SALINAS DE GARCI MENDOZA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,18,16,1,0,19,16,35
SAMAIPATA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,17,14,17,15,34,29,63
SAN AGUSTIN,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,2,4,0,0,2,4,6
SAN ANDRES,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,55,52,1,2,56,54,110
SAN ANDRES DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,15,5,2,1,17,6,23
SAN ANTONIO DE ESMORUCO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,8,4,1,0,9,4,13
SAN ANTONIO DE LOMERIO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,23,29,0,2,23,31,54
SAN BENITO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,32,28,7,5,39,33,72
SAN BORJA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,146,101,12,8,158,109,267
SAN BUENA VENTURA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,30,25,2,4,32,29,61
SAN CARLOS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,95,63,8,8,103,71,174
SAN IGNACIO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,146,106,11,16,157,122,279
SAN IGNACIO DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,230,205,8,12,238,217,455
SAN JAVIER(BNI),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,5,8,0,0,5,8,13
SAN JAVIER(STC),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,25,40,2,0,27,40,67
SAN JOAQUIN,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,29,18,0,2,29,20,49
SAN JOSE DE CHIQUITOS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,52,61,10,5,62,66,128
SAN JUAN DE YAPACANI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,31,22,3,3,34,25,59
SAN JULIAN,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,164,137,45,52,209,189,398
SAN LORENZO(PND),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,14,14,6,0,20,14,34
SAN LORENZO(TJA),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,83,72,2,8,85,80,165
SAN LUCAS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,67,63,11,16,78,79,157
SAN MATIAS,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,31,37,0,0,31,37,68
SAN MIGUEL DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,29,23,1,4,30,27,57
SAN PABLO DE LIPEZ,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,6,12,0,0,6,12,18
SAN PEDRO,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,80,49,4,6,84,55,139
SAN PEDRO DE BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,59,45,9,13,68,58,126
SAN PEDRO DE CURAHUARA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,11,7,0,0,11,7,18
SAN PEDRO DE QUEMES,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,5,0,0,0,5,0,5
SAN PEDRO DE TIQUINA,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,10,1,1,2,11,3,14
SAN PEDRO(PND),consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,11,2,0,0,11,2,13
SAN RAFAEL,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,19,15,43,25,62,40,102
SAN RAMON BENI,consulta externa,ninos de 6 meses a < 1 ano,2019-01-01,37,24,3,2,40,26,66
