,group,variable,month,AQV FEMENINO < 15,AQV FEMENINO 15 - 19,AQV FEMENINO 20 - 34,AQV FEMENINO 35 - 49,AQV FEMENINO 50 Y +,TOTALES
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,1,2,0,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,4,3,0,7
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,1,16,12,0,29
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,0,1,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,0,4,0,4
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,7,2,0,9
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,1,1,0,2
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,4,3,0,7
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,5,2,0,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,26,1,9,0,36
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,5,3,0,8
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,3,4,0,7
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,0,1,0,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,1,1,0,2
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,22,20,0,42
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,3,2,0,5
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,1,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,11,2,0,13
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,2,1,0,3
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,2,3,0,5
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-01-01,0,0,0,1,0,1
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,1,0,2
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,0,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,4,1,0,5
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,3,0,4
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,5,1,0,6
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,2,0,3
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,0,0,1
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,1,0,2
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,0,2,0,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,6,3,0,9
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,1,57,28,0,86
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,0,0,1
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,0,0,1
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,22,8,0,30
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,7,4,0,11
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,0,0,1
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,24,12,0,36
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,2,3,0,5
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,0,0,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,2,0,3
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,0,2,0,2
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,8,0,0,8
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,5,6,0,11
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,3,1,0,4
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,2,0,3
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,0,1,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,5,4,0,9
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,2,23,7,0,32
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,1,9,0,0,10
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,2,0,0,2
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,0,6,0,6
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,2,1,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,5,4,0,9
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,12,10,0,22
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,4,0,5
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,1,0,2
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,0,1,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,40,27,0,67
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,0,1,0,1
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,1,0,2
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,12,6,0,18
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,1,0,0,1
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,0,2,0,2
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-02-01,0,0,6,1,0,7
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,1,1,0,2
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,0,1,0,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,3,2,0,5
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,0,1,0,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,2,1,0,3
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,0,1,0,1
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,0,1,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,23,7,0,30
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,2,65,24,0,91
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,2,2,0,4
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,19,10,0,29
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,3,0,0,3
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,8,13,0,21
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,3,2,0,5
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,2,1,0,3
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,5,2,0,7
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,4,0,0,4
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,9,4,0,13
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,4,3,0,7
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,1,1,0,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,0,2,0,2
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,1,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,0,1,0,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,2,4,0,6
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,2,32,4,1,39
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,3,2,0,5
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,1,4,0,5
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,8,2,0,10
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,3,1,0,4
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,0,6,0,6
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,5,1,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,6,3,0,9
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,2,13,9,0,24
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,5,0,0,5
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,25,15,0,40
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,1,5,2,0,8
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,2,0,0,2
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,0,2,0,2
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,8,5,0,13
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,3,1,0,4
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,2,2,0,4
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-03-01,0,0,2,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,1,2,2,0,5
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,7,0,0,7
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,1,1,0,2
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,2,0,0,2
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,0,1,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,14,5,0,19
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,1,50,32,0,83
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,4,0,0,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,12,6,0,18
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,7,3,0,10
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,4,0,0,4
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,1,2,0,3
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,2,1,0,3
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,5,1,0,6
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,0,4,0,4
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,16,4,0,20
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,2,2,0,4
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,0,2,0,2
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,4,3,0,7
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,1,0,0,1
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,1,27,6,0,34
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,0,5,0,5
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,1,3,0,4
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,2,1,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,2,2,0,4
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,0,1,0,1
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,6,2,0,8
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,11,0,0,11
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,2,2,0,4
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,13,20,0,33
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,3,6,0,9
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,1,0,0,1
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,2,0,0,2
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,1,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,1,11,3,0,15
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,1,1,0,2
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-04-01,0,0,1,0,0,1
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,0,1,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,3,2,0,5
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,4,2,0,6
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,0,1,0,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,1,1,0,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,1,16,3,0,20
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,1,77,25,93,196
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,0,4,0,4
CUEVO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,6,3,0,9
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,3,1,0,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,2,1,0,3
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,1,0,0,1
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,1,2,0,3
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,3,1,0,4
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,5,0,0,5
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,17,4,0,21
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,3,1,0,4
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,2,1,0,3
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,3,4,0,7
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,0,3,0,3
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,20,10,0,30
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,0,1,0,1
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,4,2,0,6
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,0,1,0,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,1,1,0,2
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,1,2,1,0,4
SAN RAMON SCZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,0,2,0,2
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,3,1,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,1,1,0,2
SOPACHUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,18,3,0,21
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,4,5,0,9
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,19,10,0,29
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,1,2,0,0,3
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,1,0,1,0,2
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,0,1,0,1
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2020-05-01,0,0,11,4,0,15
