municipality,group,variable,month,Nro de Primeras visitas Familares realizadas,TOTAL
CAMIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,249,249
CAPINOTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,210,210
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,79,79
CARACOLLO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,249,249
CARANAVI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,91,91
CARAPARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,124,124
CARIPUYO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,143,143
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,25,25
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,102,102
CHAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,280,280
CHARAGUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,186,186
CHAYANTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,62,62
CHIMORE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,95,95
CHUMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,75,75
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,26,26
CKOCHAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,185,185
COBIJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,227,227
COCAPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,29,29
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,129,129
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,222,222
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,284,284
COLLANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,124,124
COLPA BELGICA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,4,4
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,96,96
COLQUENCHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,34,34
COLQUIRI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,88,88
COMARAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,276,276
COMBAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,255,255
CONCEPCION,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,12,12
CORIPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,9,9
CORO CORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,85,85
CORQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,157,157
COTAGAITA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,335,335
COTOCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,44,44
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,144,144
CUEVO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,4,4
CULPINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,22,22
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,83,83
CURVA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,18,18
DESAGUADERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,7,7
EL ALTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,2076,2076
EL CHORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,78,78
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,49,49
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,263,263
EL TORNO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,574,574
EL VILLAR,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,40,40
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,112,112
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,44,44
EUCALIPTUS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,1,1
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,113,113
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,54,54
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,142,142
GIA-TIM,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,46,46
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,63,63
GUAQUI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,60,60
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,432,432
HUACARAJE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,95,95
HUACARETA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,68,68
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,65,65
HUACHACALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,8,8
HUANUNI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,48,48
HUARINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,52,52
HUATAJATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,6,6
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,92,92
HUMANATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,38,38
ICHOCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,47,47
ICLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,218,218
INCAHUASI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,214,214
INQUISIVI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,51,51
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,24,24
IXIAMAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,11,11
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,56,56
LA ASUNTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,28,28
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,56,56
LA PAZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,58,58
LAGUNILLAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,211,211
LAS CARRERAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,43,43
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,148,148
LLICA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,78,78
LORETO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,186,186
MACHACAMARCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,82,82
MACHARETI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,155,155
MAGDALENA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,157,157
MAIRANA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,13,13
MECAPACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,58,58
MINEROS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,39,39
MIZQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,379,379
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,297,297
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,163,163
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,274,274
MONTERO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,4,4
MOROCHATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,60,60
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,9,9
OCURI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,71,71
OKINAWA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,34,34
ORURO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,599,599
PADCAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,367,367
PADILLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,196,196
PAILON,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,87,87
PALCA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,264,264
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,125,125
PAMPA GRANDE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,29,29
PAPEL PAMPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,110,110
PASORAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,18,18
PAZÑA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,36,36
PELECHUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,56,56
POCOATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,344,344
POJO (CBBA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,8,8
POOPO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,93,93
PORCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,69,69
POROMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,348,348
PORONGO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,93,93
PORTACHUELO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,8,8
POSTRER VALLE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,3,3
POTOSI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,674,674
PRESTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,181,181
PUCARA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,98,98
PUCARANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,370,370
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,34,34
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,80,80
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,10,10
PUERTO RICO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,110,110
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,6,6
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,30,30
PUNA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,174,174
PUNATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,570,570
QUIABAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,27,27
QUIME,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,20,20
QUIRUSILLAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,207,207
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,20,20
RAVELO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,209,209
REYES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,6,6
RIBERALTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,520,520
ROBORE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,49,49
RURRENABAQUE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,8,8
SABAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,135,135
SACABA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,785,785
SACABAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,44,44
SACACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,173,173
SAIPINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,257,257
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,150,150
SAMAIPATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,68,68
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,61,61
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,53,53
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,47,47
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,10,10
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,2,2
SAN BENITO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,212,212
SAN BORJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,596,596
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,3,3
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,181,181
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,188,188
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,364,364
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,5,5
SAN JOAQUIN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,55,55
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,62,62
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,42,42
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,859,859
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,75,75
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,443,443
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,244,244
SAN MATIAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,36,36
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,28,28
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,45,45
SAN PEDRO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,29,29
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,83,83
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,70,70
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,45,45
SAN RAFAEL,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,6,6
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,104,104
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,511,511
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,145,145
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,9,9
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,63,63
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,338,338
SENA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,177,177
SHINAOTA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,52,52
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,11,11
SICAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,37,37
SOPACHUY,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,95,95
SORACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,217,217
SORATA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,98,98
SUCRE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,727,727
TACACOMA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,5,5
TACOBAMBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,3,3
TACOPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,18,18
TAHUA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,11,11
TARABUCO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,248,248
TARACO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,80,80
TARIJA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,1314,1314
TARVITA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,231,231
TIAHUANACU,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,14,14
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,236,236
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,380,380
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,350,350
TODOS SANTOS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,11,11
TOLEDO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,119,119
TOMAVE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,56,56
TOMINA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,124,124
TORO TORO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,25,25
TOTORA(ORR),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,115,115
TRIGAL,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,123,123
TRINIDAD,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,233,233
TUPIZA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,574,574
UMALA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,81,81
UNCIA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,256,256
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,270,270
URUBICHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,92,92
UYUNI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,143,143
VACAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,75,75
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,349,349
VIACHA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,48,48
VILA VILA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,141,141
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,242,242
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,511,511
VILLA SERRANO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,200,200
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,171,171
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,94,94
VILLAZON,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,786,786
VINTO,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,617,617
VITICHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,127,127
WARNES,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,240,240
YACUIBA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,288,288
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,407,407
YANACACHI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,168,168
YAPACANI,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,239,239
YOCALLA,actividades del establecimiento y con la comunidad,nro de primeras visitas familares realizadas,2024-01-01,152,152
