municipality,group,variable,month,9.25 Nro de Terceras visitas Familiares,TOTAL
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,4,4
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,3,3
SORATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,3,3
TARIJA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,170,170
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,39,39
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,4,4
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,5,5
TUPIZA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,10,10
UMALA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,22,22
UNCIA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,6,6
UYUNI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,5,5
VIACHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,5,5
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,10,10
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,2,2
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,19,19
WARNES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-01-01,6,6
ACHACACHI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,5,5
ANZALDO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,15,15
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,3,3
ATOCHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,9,9
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,20,20
BAURES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,31,31
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,58,58
CABEZAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,11,11
CARACOLLO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,105,105
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,10,10
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,118,118
CHARAGUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,3,3
CHIMORE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,3,3
CHUMA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,27,27
COMBAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,2,2
CORO CORO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,5,5
COTOCA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,1,1
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,15,15
EL ALTO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,182,182
EL CHORO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,5,5
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,4,4
EL TORNO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,1,1
GIA-TIM,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,2,2
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,50,50
HUACARAJE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,4,4
LA PAZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,72,72
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,75,75
LORETO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,10,10
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,23,23
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,3,3
MONTERO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,16,16
ORURO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,5,5
PADCAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,12,12
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,38,38
PAMPA GRANDE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,5,5
POCOATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,7,7
POJO (CBBA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,15,15
PORCO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,37,37
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,10,10
PUERTO RICO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,1,1
PUNA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,109,109
REYES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,5,5
RIBERALTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,379,379
ROBORE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,3,3
SACABA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,56,56
SACABAMBA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,3,3
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,1,1
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,21,21
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,50,50
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,23,23
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,1,1
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,2,2
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,10,10
TAPACARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,6,6
TARACO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,19,19
TARIJA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,35,35
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,45,45
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,2,2
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,2,2
TRIGAL,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,2,2
TRINIDAD,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,4,4
TUPIZA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,17,17
UNCIA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,2,2
URUBICHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,19,19
UYUNI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,2,2
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,156,156
VIACHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,8,8
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,11,11
VILLAZON,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,171,171
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,50,50
WARNES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-02-01,9,9
ALALAY,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,13,13
ANZALDO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,10,10
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,3,3
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,2,2
ATOCHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,34,34
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,15,15
BAURES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,9,9
BETANZOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,18,18
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,43,43
BOYUIBE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,28,28
CABEZAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,9,9
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,27,27
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,1,1
CAMIRI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,79,79
CARACOLLO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,71,71
CARAPARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,1,1
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,8,8
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,144,144
CHARAGUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,4,4
CHAYANTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,6,6
CKOCHAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,10,10
COBIJA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,10,10
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,36,36
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,10,10
COMBAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,28,28
CONCEPCION,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,73,73
COTAGAITA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,14,14
COTOCA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,3,3
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,69,69
CUEVO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,14,14
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,10,10
EL ALTO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,146,146
EL CHORO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,5,5
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,29,29
EL TORNO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,6,6
GIA-TIM,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,3,3
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,54,54
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,10,10
LA PAZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,5,5
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,72,72
LLICA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,188,188
LORETO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,17,17
MACHACAMARCA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,27,27
MAGDALENA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,21,21
MALLA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,45,45
MIZQUE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,53,53
MOJOCOYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,4,4
MONTERO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,13,13
OKINAWA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,83,83
PADCAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,5,5
PADILLA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,1,1
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,3,3
PAPEL PAMPA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,8,8
PASORAPA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,16,16
PELECHUCO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,1,1
POJO (CBBA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,7,7
POROMA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,8,8
POTOSI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,77,77
PUCARA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,19,19
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,9,9
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,6,6
PUNA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,3,3
QUILLACOLLO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,1,1
RAVELO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,1,1
REYES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,11,11
RIBERALTA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,133,133
SACABA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,131,131
SACABAMBA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,30,30
SAMAIPATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,42,42
SAN AGUSTIN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,10,10
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,4,4
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,2,2
SAN BORJA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,52,52
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,45,45
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,14,14
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,23,23
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,60,60
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,8,8
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,3,3
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,192,192
SANTA ROSA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,7,7
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,113,113
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,40,40
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,8,8
TAPACARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,5,5
TARIJA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,9,9
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,62,62
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,5,5
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,1,1
TRIGAL,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,26,26
TUPIZA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,19,19
UNCIA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,28,28
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,25,25
UYUNI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,56,56
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,140,140
VIACHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,18,18
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,26,26
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,1,1
VILLAZON,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,1,1
VITICHI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,30,30
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,30,30
WARNES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,71,71
YAMPARAEZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,9,9
YAPACANI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,212,212
YOCALLA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,24,24
YOTALA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-03-01,32,32
ACHACACHI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,11,11
ANDAMARCA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,11,11
ANZALDO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,10,10
ARAMPAMPA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,21,21
ARBIETO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,53,53
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,5,5
ATOCHA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,65,65
BAURES,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,10,10
BERMEJO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,2,2
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,13,13
BOYUIBE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,33,33
CABEZAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,2,2
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,40,40
CAJUATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,4,4
CAMIRI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,50,50
CARACOLLO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,101,101
CARAPARI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,16,16
CARIPUYO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,24,24
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,12,12
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,122,122
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,4,4
CKOCHAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,6,6
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,97,97
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,35,35
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,75,75
COLQUIRI,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,11,11
COMARAPA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,24,24
COMBAYA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,84,84
CORQUE,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,17,17
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,8,8
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,3,3
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,25,25
EL ALTO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,243,243
EL CHORO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,7,7
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,40,40
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,44,44
EL TORNO,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,44,44
EL VILLAR,actividades del establecimiento y con la comunidad,nro de terceras visitas familiares,2024-04-01,15,15
