municipality,group,variable,month,Nº de Personas con Discapacidad atendidas en la comunidad,TOTAL
COROICO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
COTOCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
DESAGUADERO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,6,6
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,7,7
EL TORNO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
GIA-TIM,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
GUAQUI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,3,3
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
HUACARETA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,6,6
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,5,5
HUANUNI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
HUARINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
HUATAJATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
INCAHUASI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,12,12
INQUISIVI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,3,3
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,7,7
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
LAJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
LICOMA PAMPA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,4,4
LLICA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
MACHARETI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
MAGDALENA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,5,5
MECAPACA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
MIZQUE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,3,3
MOCOMOCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,3,3
MOJOCOYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,6,6
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,23,23
PADCAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,4,4
PADILLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,16,16
PALCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,11,11
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,9,9
PATACAMAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
PELECHUCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
POROMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,7,7
PORONGO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
PORVENIR,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,19,19
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,31,31
PRESTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,15,15
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,5,5
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
PUNA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
PUNATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,5,5
QUIABAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
ROBORE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,4,4
SACABA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,6,6
SACACA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
SAN ANDRES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,72,72
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,3,3
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,20,20
SAN BORJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,12,12
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
SAN IGNACIO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,4,4
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
SAN LORENZO(PND),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,15,15
SAN LUCAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,7,7
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,4,4
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,8,8
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,16,16
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
SAPAHAQUI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
SHINAOTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
SIPE SIPE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
SORATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,6,6
SUCRE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,17,17
TACACOMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
TACOPAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,3,3
TARABUCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
TARIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,7,7
TARVITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
TIAHUANACU,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,7,7
TINGUIPAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
TIQUIPAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,11,11
TRINIDAD,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
UMALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
UYUNI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
VALLEGRANDE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,31,31
VIACHA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,6,6
VILA VILA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
VILLA MONTES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
VILLA RIVERO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,3,3
VILLA SERRANO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,17,17
VILLA TUNARI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,15,15
VINTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,3,3
WARNES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,12,12
YACO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
YACUIBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,5,5
YAMPARAEZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,6,6
YAPACANI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,2,2
YOTALA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,7,7
YUNCHARA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,1,1
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-01-01,4,4
ACHACACHI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,9,9
ACHOCALLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,16,16
ALALAY,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
ARANI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
AYATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
AYO AYO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,4,4
AZURDUY,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,14,14
BATALLAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
BAURES,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
BELLA FLOR,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
BERMEJO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
BETANZOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
BOLPEBRA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
BOYUIBE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,3,3
BUENA VISTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,7,7
CABEZAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
CAIROMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
CAJUATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
CALACOTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
CALAMARCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
CAMARGO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,3,3
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,12,12
CAPINOTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,5,5
CARANAVI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,20,20
CARAPARI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,8,8
CHALLAPATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
CHUMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,4,4
CKOCHAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,3,3
CLIZA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,3,3
COBIJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,4,4
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,5,5
COLQUENCHA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,9,9
COPACABANA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,3,3
CORO CORO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,6,6
COROICO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
COTAGAITA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
CUEVO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,4,4
CULPINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,4,4
CURVA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
EL ALTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,8,8
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,10,10
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
EXALTACION,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
GIA-TIM,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
GUAQUI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,3,3
HUACARETA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,6,6
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,4,4
HUANUNI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,4,4
HUARINA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
INCAHUASI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,5,5
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,5,5
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,5,5
LA ASUNTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
LA GUARDIA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,5,5
LA PAZ,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
LAGUNILLAS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,5,5
LAJA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
LLICA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
LURIBAY,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
MAGDALENA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,3,3
MIZQUE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,7,7
MOJINETE,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
MOJOCOYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
MONTEAGUDO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,13,13
ORURO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
PADCAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,6,6
PADILLA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
PALCA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,6,6
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,5,5
PAPEL PAMPA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
PELECHUCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
POROMA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,9,9
PORONGO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,2,2
PORVENIR,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,16,16
POTOSI,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,39,39
PRESTO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,11,11
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,4,4
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
PUERTO QUIJARRO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,3,3
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,5,5
PUNA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
PUNATA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,4,4
QUIABAYA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
QUILLACOLLO,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,6,6
SACABA,actividades del establecimiento y con la comunidad,no de personas con discapacidad atendidas en la comunidad,2024-02-01,4,4
