municipality,group,variable,month,9.24 Nro de segundas visitas Familiares realizadas,TOTAL
HUARINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,1,1
HUMANATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,4,4
INQUISIVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,40,40
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,6,6
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,43,43
LA PAZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,1,1
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,78,78
LLICA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,15,15
MAGDALENA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,14,14
MAIRANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,3,3
MECAPACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,13,13
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,58,58
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,77,77
MONTERO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,77,77
MORO MORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,27,27
OCURI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,1,1
OKINAWA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,9,9
ORURO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,70,70
PADCAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,61,61
PAILON,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,12,12
PALCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,14,14
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,89,89
PAPEL PAMPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,106,106
POCOATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,1,1
POOPO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,4,4
PORCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,108,108
PORONGO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,11,11
PORTACHUELO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,18,18
POSTRER VALLE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,9,9
POTOSI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,172,172
PUCARA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,95,95
PUCARANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,104,104
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,12,12
PUERTO RICO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,106,106
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,8,8
PUNA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,67,67
RAQAYPAMPA(ETA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,24,24
REYES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,12,12
RIBERALTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,198,198
ROBORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,4,4
RURRENABAQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,2,2
SACABA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,121,121
SACACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,8,8
SAIPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,98,98
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,60,60
SAN BORJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,193,193
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,42,42
SAN CARLOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,501,501
SAN IGNACIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,43,43
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,352,352
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,20,20
SAN JULIAN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,71,71
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,54,54
SAN LUCAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,15,15
SAN PEDRO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,18,18
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,5,5
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,2,2
SAN RAMON BENI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,81,81
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,142,142
SENA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,90,90
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,7,7
SICAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,37,37
SORACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,104,104
SORATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,7,7
SUCRE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,60,60
TACOPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,3,3
TAHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,4,4
TARACO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,65,65
TARIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,466,466
TIAHUANACU,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,59,59
TINGUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,66,66
TIQUIPAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,152,152
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,187,187
TOMAVE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,22,22
TRINIDAD,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,152,152
TUPIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,92,92
UMALA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,55,55
UNCIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,110,110
UYUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,65,65
VACAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,5,5
VALLEGRANDE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,241,241
VIACHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,6,6
VILLA MONTES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,20,20
VILLA TUNARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,58,58
WARNES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,355,355
YAPACANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,750,750
YOCALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-01-01,102,102
ACHACACHI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,3,3
ACHOCALLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,42,42
ALALAY,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,39,39
APOLO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,4,4
ARBIETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,30,30
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,194,194
ATOCHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,23,23
AYATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,40,40
BATALLAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,15,15
BAURES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,63,63
BOLPEBRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,53,53
BOYUIBE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,128,128
CABEZAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,13,13
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,103,103
CAMARGO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,46,46
CAMIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,35,35
CARACOLLO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,152,152
CARANAVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,2,2
CARAPARI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,22,22
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,191,191
CHARAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,69,69
CHAYANTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,8,8
CHIMORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,88,88
CHUMA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,118,118
CKOCHAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,49,49
CLIZA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,36,36
COBIJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,175,175
COCHABAMBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,66,66
COLCAPIRHUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,133,133
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,63,63
COLQUECHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,12,12
COLQUENCHA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,3,3
COLQUIRI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,1,1
COMARAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,68,68
CORO CORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,11,11
COTAGAITA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,29,29
COTOCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,35,35
CUATRO CAÑADAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,113,113
CUEVO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,57,57
CULPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,35,35
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,6,6
EL ALTO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,653,653
EL CHORO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,15,15
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,17,17
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,137,137
EL TORNO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,305,305
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,190,190
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,20,20
GAIOC JATUN AYLLU YURA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,50,50
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,108,108
GIA-TIM,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,5,5
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,17,17
GUAQUI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,35,35
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,188,188
HUANUNI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,45,45
HUARINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,21,21
HUATAJATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,75,75
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,57,57
HUMANATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,5,5
ICHOCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,41,41
INQUISIVI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,25,25
LA GUARDIA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,42,42
LA PAZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,13,13
LAGUNILLAS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,5,5
LLALLAGUA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,202,202
LORETO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,6,6
MACHARETI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,17,17
MAGDALENA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,36,36
MAIRANA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,24,24
MINEROS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,2,2
MIZQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,71,71
MOCOMOCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,37,37
MONTEAGUDO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,142,142
MONTERO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,97,97
NACEBE (SANTA ROSA DEL ABUNA),actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,3,3
OCURI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,1,1
OKINAWA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,82,82
ORURO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,165,165
PADCAYA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,53,53
PADILLA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,2,2
PAILON,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,17,17
PALCA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,15,15
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,71,71
PAPEL PAMPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,54,54
PASORAPA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,18,18
POCOATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,11,11
POOPO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,4,4
PORCO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,67,67
PORONGO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,12,12
PORTACHUELO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,8,8
POSTRER VALLE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,5,5
POTOSI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,209,209
PUCARA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,36,36
PUCARANI,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,143,143
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,1,1
PUERTO PEREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,12,12
PUERTO RICO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,11,11
PUERTO SUAREZ,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,21,21
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,62,62
PUNA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,81,81
PUNATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,55,55
RAVELO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,18,18
REYES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,52,52
RIBERALTA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,403,403
ROBORE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,1,1
RURRENABAQUE,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,31,31
SACABA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,436,436
SACABAMBA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,7,7
SACACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,150,150
SAIPINA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,57,57
SAMAIPATA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,41,41
SAN ANDRES,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,33,33
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,15,15
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,1,1
SAN BENITO,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,14,14
SAN BORJA,actividades del establecimiento y con la comunidad,nro de segundas visitas familiares realizadas,2024-02-01,103,103
