municipality,group,variable,month,N°de beneficiarios(as) con promoción en Salud Oral,TOTAL
HUACARETA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,19,19
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,3,3
HUANUNI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,3,3
HUARINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,7,7
HUATAJATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,5,5
HUMANATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,8,8
ICLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,22,22
INCAHUASI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,71,71
INQUISIVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,55,55
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,20,20
LA GUARDIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,20,20
LA PAZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,1112,1112
LAGUNILLAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,35,35
LAJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,12,12
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,4,4
LICOMA PAMPA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,99,99
LURIBAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,45,45
MACHARETI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,22,22
MAGDALENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,25,25
MALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,71,71
MAPIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,29,29
MIZQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,7,7
MOJOCOYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,19,19
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,93,93
MONTERO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,44,44
OCURI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,70,70
ORURO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,22,22
PADILLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,13,13
PALCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,50,50
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,151,151
POCOATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,10,10
POCONA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,23,23
POOPO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,75,75
POROMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,99,99
PORONGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,11,11
POTOSI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,10,10
PRESTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,38,38
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,23,23
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,5,5
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,9,9
PUERTO RICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,24,24
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,44,44
PUNATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,6,6
QUIME,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,4,4
RIBERALTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,104,104
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,10,10
SACABA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,71,71
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,72,72
SAN ANDRES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,11,11
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,52,52
SAN BENITO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,108,108
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,14,14
SAN JULIAN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,19,19
SAN LUCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,19,19
SAN MATIAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,2,2
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,16,16
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,1,1
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,161,161
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,3046,3046
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,153,153
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,4,4
SENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,102,102
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,14,14
SOPACHUY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,30,30
SORACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,19,19
SORATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,167,167
SUCRE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,1581,1581
TARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,46,46
TARIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,492,492
TARVITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,122,122
TEOPONTE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,23,23
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,48,48
TOLATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,2,2
TOMINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,34,34
TRINIDAD,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,220,220
TUPIZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,2,2
TURCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,25,25
UNCIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,290,290
URUBICHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,13,13
VALLEGRANDE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,19,19
VIACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,123,123
VILA VILA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,5,5
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,47,47
VILLA MONTES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,43,43
VILLA RIVERO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,12,12
VILLA SERRANO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,20,20
VILLA TUNARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,22,22
VITICHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,34,34
YACO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,55,55
YAMPARAEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,72,72
YAPACANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,189,189
YOTALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,131,131
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-01-01,58,58
ACHACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,83,83
ACHOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,542,542
ALTO BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,22,22
ANCORAIMES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,25,25
ANDAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,47,47
ANTEQUERA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,4,4
ANZALDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,1,1
APOLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,50,50
ARQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,330,330
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,266,266
ATOCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,133,133
AYATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,16,16
BAURES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,27,27
BELLA FLOR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,30,30
BERMEJO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,145,145
BETANZOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,79,79
BOLIVAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,79,79
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,4,4
CABEZAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,74,74
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,107,107
CALAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,63,63
CAMARGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,30,30
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,27,27
CAMIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,183,183
CAPINOTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,34,34
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,57,57
CARACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,10,10
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,52,52
CATACORA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,6,6
CHALLAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,117,117
CHARAGUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,108,108
CHIMORE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,10,10
CHUA COCANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,27,27
CHUMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,42,42
CKOCHAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,12,12
COBIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,319,319
COCAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,51,51
COCHABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,35,35
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,64,64
COLLANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,1,1
COLOMI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,38,38
COLQUECHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,44,44
COLQUENCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,190,190
COLQUIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,91,91
COPACABANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,4,4
CORO CORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,39,39
COTAGAITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,37,37
COTOCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,97,97
CUCHUMUELA (V. G. VILLARROEL),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,21,21
CULPINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,40,40
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,48,48
CURVA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,10,10
EL ALTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,194,194
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,98,98
EL TORNO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,79,79
EL VILLAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,24,24
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,76,76
EXALTACION,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,49,49
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,30,30
GUAQUI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,66,66
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,142,142
HUACARETA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,5,5
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,22,22
HUATAJATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,44,44
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,41,41
ICLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,35,35
INCAHUASI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,34,34
INQUISIVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,54,54
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,30,30
IXIAMAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,15,15
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,7,7
LA GUARDIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,13,13
LA PAZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,921,921
LAGUNILLAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,2,2
LAJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,12,12
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,2,2
LICOMA PAMPA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,160,160
LORETO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,18,18
LURIBAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,38,38
MACHARETI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,49,49
MAGDALENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,20,20
MALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,35,35
MIZQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,35,35
MOCOMOCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,31,31
MOJOCOYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,17,17
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,59,59
MONTERO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,42,42
OCURI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,22,22
ORURO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,12,12
PADILLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,7,7
PALCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,100,100
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,264,264
PELECHUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,3,3
POCOATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,264,264
POOPO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,82,82
POROMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,27,27
PORONGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con promocion en salud oral,2024-02-01,23,23
