municipality,group,variable,month,N°de beneficiarios(as) con educación en Salud Oral,TOTAL
MECAPACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,73,73
MIZQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,24,24
MOJOCOYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,19,19
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,182,182
MONTERO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,495,495
ORURO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,1,1
PADILLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,19,19
PALCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,50,50
PALOS BLANCOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,61,61
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,30,30
POCOATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,15,15
POCONA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,28,28
POOPO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,75,75
POROMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,99,99
PORONGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,11,11
POTOSI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,642,642
PRESTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,38,38
PUERTO ACOSTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,39,39
PUERTO CARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,23,23
PUERTO GONZALO MORENO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,9,9
PUERTO RICO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,24,24
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,44,44
QUILLACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,121,121
QUIME,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,30,30
RIBERALTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,173,173
RURRENABAQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,69,69
SACABA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,26,26
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,31,31
SAN ANDRES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,11,11
SAN ANDRES DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,28,28
SAN BENITO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,1,1
SAN BORJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,92,92
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,18,18
SAN JAVIER(BNI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,14,14
SAN JULIAN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,74,74
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,24,24
SAN LUCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,19,19
SAN MATIAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,2,2
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,16,16
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,1,1
SAN PEDRO DE MACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,161,161
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,4032,4032
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,141,141
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,15,15
SENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,102,102
SOPACHUY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,72,72
SORACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,19,19
SORATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,105,105
SUCRE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,1917,1917
TARABUCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,46,46
TARIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,595,595
TARVITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,122,122
TEOPONTE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,23,23
TIAHUANACU,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,6,6
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,16,16
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,13,13
TOLATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,2,2
TOMINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,106,106
TRINIDAD,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,248,248
TURCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,25,25
UMALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,95,95
UNCIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,290,290
URUBICHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,30,30
UYUNI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,24,24
VALLEGRANDE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,19,19
VIACHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,178,178
VILA VILA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,14,14
VILLA CHARCAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,124,124
VILLA MONTES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,58,58
VILLA SERRANO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,20,20
VILLA TUNARI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,78,78
VITICHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,34,34
WARNES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,83,83
YACO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,30,30
YAMPARAEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,72,72
YAPACANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,90,90
YOTALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,131,131
ZUDAÑEZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-01-01,73,73
ACHACACHI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,12,12
ACHOCALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,656,656
ALCALA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,40,40
ALTO BENI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,45,45
ANCORAIMES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,30,30
ANDAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,47,47
APOLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,50,50
ARBIETO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,21,21
ARQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,330,330
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,266,266
ATOCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,133,133
AYATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,16,16
BAURES,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,27,27
BELLA FLOR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,30,30
BERMEJO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,58,58
BETANZOS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,357,357
BOLIVAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,24,24
BOLPEBRA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,4,4
CABEZAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,73,73
"CAIZA ""D""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,257,257
CALAMARCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,135,135
CAMARGO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,30,30
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,27,27
CAMIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,340,340
CAPINOTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,30,30
CAQUIAVIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,57,57
CARACOLLO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,10,10
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,52,52
CHALLAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,117,117
CHARAGUA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,103,103
CHARAÑA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,35,35
CHIMORE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,10,10
CHUA COCANI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,27,27
CHUMA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,41,41
CKOCHAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,17,17
COBIJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,319,319
COCAPATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,51,51
COCHABAMBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,124,124
"COLCHA ""K""",actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,100,100
COLLANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,1,1
COLOMI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,100,100
COLQUECHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,12,12
COLQUENCHA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,159,159
COLQUIRI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,79,79
COPACABANA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,4,4
CORO CORO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,379,379
COTAGAITA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,12,12
COTOCA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,97,97
CULPINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,60,60
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,47,47
CURVA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,2,2
EL ALTO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,1239,1239
EL PUENTE(STC),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,98,98
EL TORNO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,133,133
EL VILLAR,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,43,43
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,21,21
EXALTACION,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,49,49
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,30,30
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,31,31
GUANAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,17,17
GUAQUI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,24,24
GUAYARAMERIN,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,182,182
HUACARETA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,15,15
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,41,41
HUARINA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,153,153
HUATAJATA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,44,44
ICLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,51,51
INCAHUASI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,34,34
INQUISIVI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,82,82
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,30,30
IXIAMAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,15,15
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,30,30
LA ASUNTA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,29,29
LA GUARDIA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,13,13
LA PAZ,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,737,737
LAJA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,16,16
LAS CARRERAS,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,2,2
LORETO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,18,18
LURIBAY,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,38,38
MACHARETI,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,49,49
MAGDALENA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,12,12
MALLA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,67,67
MIZQUE,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,35,35
MOCOMOCO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,12,12
MOJOCOYA,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,23,23
MONTEAGUDO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,119,119
MONTERO,actividades del establecimiento y con la comunidad,nde beneficiarios(as) con educacion en salud oral,2024-02-01,129,129
