municipality,group,variable,month,Mujeres de 15 a 49 años 1ra dosis de dT,TOTAL
CARMEN RIVERO TORREZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,12,12
CHACARILLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,2,2
CHALLAPATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,49,49
CHAQUI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,9,9
CHARAGUA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,28,28
CHARAÑA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,25,25
CHIMORE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,25,25
CHOQUE COTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,6,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,38,38
CHUMA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,8,8
CLIZA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,153,153
COBIJA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,243,243
COCHABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1749,1749
COLCAPIRHUA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,111,111
"COLCHA ""K""",otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,4,4
COLLANA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,3,3
COLOMI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,45,45
COLPA BELGICA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,8,8
COLQUECHACA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,163,163
COLQUENCHA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,11,11
COLQUIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,19,19
COMARAPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,30,30
CONCEPCION,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,32,32
COPACABANA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,38,38
CORIPATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,78,78
COROICO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,9,9
CORQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
COTAGAITA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,14,14
COTOCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,159,159
CUATRO CAÑADAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,4,4
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,2,2
CUEVO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
CULPINA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,52,52
CURAHUARA DE CARANGAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,34,34
CURVA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,7,7
DESAGUADERO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,10,10
EL ALTO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,2874,2874
EL CHORO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,13,13
EL PUENTE(STC),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
EL PUENTE(TJA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,35,35
EL TORNO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,78,78
EL VILLAR,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,4,4
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,29,29
ENTRE RIOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,92,92
EUCALIPTUS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,4,4
EXALTACION,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,27,27
FERNANDEZ ALONSO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,16,16
GENERAL SAAVEDRA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,31,31
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,5,5
GUANAY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,19,19
GUAQUI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,19,19
GUAYARAMERIN,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,127,127
GUTIERREZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,13,13
HUACARETA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,36,36
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,4,4
HUANUNI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,163,163
HUARACAJE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
HUAYLLAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,10,10
ICHOCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,16,16
ICLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,3,3
INCAHUASI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,102,102
INQUISIVI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,29,29
IRUPANA (VILLA DE LANZA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,23,23
IXIAMAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,4,4
JESUS DE MACHACA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,2,2
LA ASUNTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,131,131
LA GUARDIA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,58,58
LA PAZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,3061,3061
LAJA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,25,25
LAS CARRERAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
LICOMA PAMPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,4,4
LLALLAGUA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,271,271
LORETO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,13,13
LURIBAY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,51,51
MACHACAMARCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,12,12
MACHARETI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,21,21
MAGDALENA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,34,34
MAIRANA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,46,46
MALLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,3,3
MAPIRI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,19,19
MECAPACA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,24,24
MINEROS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,43,43
MIZQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,57,57
MOCOMOCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,13,13
MOJINETE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,2,2
MOJOCOYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,30,30
MONTEAGUDO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,40,40
MONTERO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,262,262
MORO MORO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,7,7
MOROCHATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,62,62
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
OCURI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,36,36
OKINAWA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,39,39
OMEREQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,35,35
ORURO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,511,511
PADCAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,29,29
PADILLA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,102,102
PAILON,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,42,42
PALCA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,9,9
PALOS BLANCOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,35,35
PAMPA AULLAGAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,14,14
PAMPA GRANDE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,19,19
PAPEL PAMPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,7,7
PATACAMAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,43,43
PAZÑA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,5,5
PELECHUCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,5,5
POCOATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,32,32
POCONA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,46,46
POJO (CBBA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,35,35
POOPO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,15,15
PORCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,10,10
POROMA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,96,96
PORONGO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,17,17
PORTACHUELO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,16,16
PORVENIR,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,35,35
POSTRER VALLE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,6,6
POTOSI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,503,503
PRESTO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,26,26
PUCARA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,2,2
PUCARANI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,45,45
PUERTO ACOSTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,30,30
PUERTO CARABUCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,24,24
PUERTO PEREZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,2,2
PUERTO QUIJARRO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,59,59
PUERTO RICO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,19,19
PUERTO SUAREZ,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,42,42
PUERTO VILLARROEL,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,75,75
PUNA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,73,73
PUNATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,161,161
QUIABAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,23,23
QUILLACOLLO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,515,515
QUIME,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,15,15
RAVELO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,24,24
REYES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,35,35
RIBERALTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,247,247
ROBORE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,41,41
RURRENABAQUE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,44,44
SABAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,3,3
SACABA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,824,824
SACABAMBA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
SACACA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,18,18
SAIPINA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,18,18
SALINAS DE GARCI MENDOZA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,10,10
SAMAIPATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,8,8
SAN ANDRES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,21,21
SAN ANTONIO DE LOMERIO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,2,2
SAN BENITO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,7,7
SAN BORJA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,100,100
SAN BUENA VENTURA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,25,25
SAN CARLOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,40,40
SAN IGNACIO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,89,89
SAN IGNACIO DE VELASCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,60,60
SAN JAVIER(BNI),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,63,63
SAN JAVIER(STC),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,5,5
SAN JOAQUIN,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,13,13
SAN JOSE DE CHIQUITOS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,15,15
SAN JUAN DE YAPACANI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,10,10
SAN JULIAN,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,89,89
SAN LORENZO(PND),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
SAN LORENZO(TJA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,41,41
SAN LUCAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,92,92
SAN MATIAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,24,24
SAN MIGUEL DE VELASCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
SAN PEDRO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,42,42
SAN PEDRO DE BUENA VISTA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,21,21
SAN PEDRO DE TIQUINA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,7,7
SAN RAFAEL,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,4,4
SAN RAMON,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,8,8
SAN RAMON,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,7,7
SANTA ANA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,22,22
SANTA CRUZ DE LA SIERRA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,4139,4139
SANTA ROSA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,88,88
SANTA ROSA DEL SARA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,29,29
SANTIAGO DE CALLAPA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,11,11
SANTIAGO DE HUARI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,27,27
SANTIVAÑES,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,77,77
SANTUARIO DE QUILLACAS,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,3,3
SAPAHAQUI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,4,4
SENA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,8,8
SICA SICA (VILLA AROMA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,22,22
SICAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,2,2
SIPE SIPE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,51,51
SOPACHUY,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,13,13
SORACACHI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,17,17
SORATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,26,26
SUCRE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,458,458
TACACHI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,2,2
TACACOMA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,36,36
TACOBAMBA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,5,5
TACOPAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,15,15
TAPACARI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,85,85
TARABUCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,34,34
TARACO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,16,16
TARATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,16,16
TARIJA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1141,1141
TARVITA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,64,64
TEOPONTE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,2,2
TIAWANACU,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,15,15
TINGUIPAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,52,52
TIPUANI,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,11,11
TIQUIPAYA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,100,100
TIRAQUE (CBBA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,66,66
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
TOCO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,23,23
TOLATA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,802,802
TOLEDO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,14,14
TOMAVE,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,22,22
TOMINA,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,18,18
TORO TORO,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,8,8
TOTORA(CBBA),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,29,29
TOTORA(ORR),otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,9,9
TRIGAL,otras vacunaciones,mujeres de 15 a 49 anos 1ra dosis de dt,2007-01-01,1,1
