municipality,group,variable,month,Antirrábica canina,TOTAL
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2007-01-01,6218,6218
SANTIAGO DE HUARI,otras vacunaciones,antirrabica canina,2007-01-01,10,10
SAPAHAQUI,otras vacunaciones,antirrabica canina,2007-01-01,9,9
SIPE SIPE,otras vacunaciones,antirrabica canina,2007-01-01,262,262
SUCRE,otras vacunaciones,antirrabica canina,2007-01-01,45,45
TACOPAYA,otras vacunaciones,antirrabica canina,2007-01-01,20,20
TAPACARI,otras vacunaciones,antirrabica canina,2007-01-01,212,212
TARABUCO,otras vacunaciones,antirrabica canina,2007-01-01,375,375
TARACO,otras vacunaciones,antirrabica canina,2007-01-01,295,295
TARATA,otras vacunaciones,antirrabica canina,2007-01-01,25,25
TARIJA,otras vacunaciones,antirrabica canina,2007-01-01,248,248
TIAWANACU,otras vacunaciones,antirrabica canina,2007-01-01,44,44
TINGUIPAYA,otras vacunaciones,antirrabica canina,2007-01-01,139,139
TIQUIPAYA,otras vacunaciones,antirrabica canina,2007-01-01,297,297
TIRAQUE (CBBA),otras vacunaciones,antirrabica canina,2007-01-01,9,9
TOCO,otras vacunaciones,antirrabica canina,2007-01-01,13,13
TOLATA,otras vacunaciones,antirrabica canina,2007-01-01,112,112
TOLEDO,otras vacunaciones,antirrabica canina,2007-01-01,25,25
TOMAVE,otras vacunaciones,antirrabica canina,2007-01-01,40,40
TOMINA,otras vacunaciones,antirrabica canina,2007-01-01,18,18
TOTORA(CBBA),otras vacunaciones,antirrabica canina,2007-01-01,50,50
TUPIZA,otras vacunaciones,antirrabica canina,2007-01-01,264,264
TURCO,otras vacunaciones,antirrabica canina,2007-01-01,3,3
VIACHA,otras vacunaciones,antirrabica canina,2007-01-01,1,1
VILA VILA,otras vacunaciones,antirrabica canina,2007-01-01,7,7
VILLA MONTES,otras vacunaciones,antirrabica canina,2007-01-01,34,34
VILLA RIVERO,otras vacunaciones,antirrabica canina,2007-01-01,23,23
VILLA TUNARI,otras vacunaciones,antirrabica canina,2007-01-01,30,30
VILLAZON,otras vacunaciones,antirrabica canina,2007-01-01,16,16
VINTO,otras vacunaciones,antirrabica canina,2007-01-01,201,201
WARNES,otras vacunaciones,antirrabica canina,2007-01-01,3,3
YACUIBA,otras vacunaciones,antirrabica canina,2007-01-01,212,212
YAMPARAEZ,otras vacunaciones,antirrabica canina,2007-01-01,53,53
YAPACANI,otras vacunaciones,antirrabica canina,2007-01-01,44,44
YOTALA,otras vacunaciones,antirrabica canina,2007-01-01,10,10
AIQUILE,otras vacunaciones,antirrabica canina,2007-02-01,3,3
ALALAY,otras vacunaciones,antirrabica canina,2007-02-01,10,10
ANDAMARCA,otras vacunaciones,antirrabica canina,2007-02-01,4,4
ANZALDO,otras vacunaciones,antirrabica canina,2007-02-01,2,2
ARANI,otras vacunaciones,antirrabica canina,2007-02-01,8,8
ARBIETO,otras vacunaciones,antirrabica canina,2007-02-01,3,3
ARQUE,otras vacunaciones,antirrabica canina,2007-02-01,60,60
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica canina,2007-02-01,89,89
AZURDUY,otras vacunaciones,antirrabica canina,2007-02-01,130,130
BERMEJO,otras vacunaciones,antirrabica canina,2007-02-01,55,55
BETANZOS,otras vacunaciones,antirrabica canina,2007-02-01,15,15
BOLIVAR,otras vacunaciones,antirrabica canina,2007-02-01,11,11
CABEZAS,otras vacunaciones,antirrabica canina,2007-02-01,24,24
CAJUATA,otras vacunaciones,antirrabica canina,2007-02-01,20,20
CALAMARCA,otras vacunaciones,antirrabica canina,2007-02-01,78,78
CAMARGO,otras vacunaciones,antirrabica canina,2007-02-01,11,11
CAPINOTA,otras vacunaciones,antirrabica canina,2007-02-01,9,9
CARANAVI,otras vacunaciones,antirrabica canina,2007-02-01,6,6
CARAPARI,otras vacunaciones,antirrabica canina,2007-02-01,1878,1878
CHALLAPATA,otras vacunaciones,antirrabica canina,2007-02-01,74,74
CHIMORE,otras vacunaciones,antirrabica canina,2007-02-01,10,10
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica canina,2007-02-01,77,77
CLIZA,otras vacunaciones,antirrabica canina,2007-02-01,8,8
COCHABAMBA,otras vacunaciones,antirrabica canina,2007-02-01,1865,1865
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2007-02-01,199,199
COLOMI,otras vacunaciones,antirrabica canina,2007-02-01,26,26
COLPA BELGICA,otras vacunaciones,antirrabica canina,2007-02-01,5,5
COLQUENCHA,otras vacunaciones,antirrabica canina,2007-02-01,34,34
COLQUIRI,otras vacunaciones,antirrabica canina,2007-02-01,273,273
COROICO,otras vacunaciones,antirrabica canina,2007-02-01,5,5
CORQUE,otras vacunaciones,antirrabica canina,2007-02-01,15,15
CULPINA,otras vacunaciones,antirrabica canina,2007-02-01,35,35
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica canina,2007-02-01,4,4
EL ALTO,otras vacunaciones,antirrabica canina,2007-02-01,1831,1831
EL CHORO,otras vacunaciones,antirrabica canina,2007-02-01,5,5
EL PUENTE(TJA),otras vacunaciones,antirrabica canina,2007-02-01,30,30
EL TORNO,otras vacunaciones,antirrabica canina,2007-02-01,18,18
EL VILLAR,otras vacunaciones,antirrabica canina,2007-02-01,234,234
ENTRE RIOS,otras vacunaciones,antirrabica canina,2007-02-01,3,3
ENTRE RIOS,otras vacunaciones,antirrabica canina,2007-02-01,305,305
GUAQUI,otras vacunaciones,antirrabica canina,2007-02-01,5,5
HUACARETA,otras vacunaciones,antirrabica canina,2007-02-01,10,10
HUACHACALLA,otras vacunaciones,antirrabica canina,2007-02-01,4,4
ICHOCA,otras vacunaciones,antirrabica canina,2007-02-01,39,39
IRUPANA (VILLA DE LANZA),otras vacunaciones,antirrabica canina,2007-02-01,1218,1218
JESUS DE MACHACA,otras vacunaciones,antirrabica canina,2007-02-01,113,113
LA GUARDIA,otras vacunaciones,antirrabica canina,2007-02-01,5,5
LA PAZ,otras vacunaciones,antirrabica canina,2007-02-01,1495,1495
LAJA,otras vacunaciones,antirrabica canina,2007-02-01,132,132
LLALLAGUA,otras vacunaciones,antirrabica canina,2007-02-01,6,6
MIZQUE,otras vacunaciones,antirrabica canina,2007-02-01,152,152
MONTERO,otras vacunaciones,antirrabica canina,2007-02-01,50,50
MOROCHATA,otras vacunaciones,antirrabica canina,2007-02-01,260,260
OCURI,otras vacunaciones,antirrabica canina,2007-02-01,13,13
OKINAWA,otras vacunaciones,antirrabica canina,2007-02-01,138,138
OMEREQUE,otras vacunaciones,antirrabica canina,2007-02-01,63,63
ORURO,otras vacunaciones,antirrabica canina,2007-02-01,1822,1822
PADCAYA,otras vacunaciones,antirrabica canina,2007-02-01,3,3
PADILLA,otras vacunaciones,antirrabica canina,2007-02-01,58,58
PAILON,otras vacunaciones,antirrabica canina,2007-02-01,50,50
PAZÑA,otras vacunaciones,antirrabica canina,2007-02-01,3,3
POCONA,otras vacunaciones,antirrabica canina,2007-02-01,231,231
POJO (CBBA),otras vacunaciones,antirrabica canina,2007-02-01,2,2
PORCO,otras vacunaciones,antirrabica canina,2007-02-01,8,8
POROMA,otras vacunaciones,antirrabica canina,2007-02-01,11,11
PORTACHUELO,otras vacunaciones,antirrabica canina,2007-02-01,10,10
PORVENIR,otras vacunaciones,antirrabica canina,2007-02-01,23,23
PUCARANI,otras vacunaciones,antirrabica canina,2007-02-01,292,292
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2007-02-01,66,66
PUNA,otras vacunaciones,antirrabica canina,2007-02-01,10,10
PUNATA,otras vacunaciones,antirrabica canina,2007-02-01,85,85
QUILLACOLLO,otras vacunaciones,antirrabica canina,2007-02-01,2535,2535
QUIME,otras vacunaciones,antirrabica canina,2007-02-01,302,302
ROBORE,otras vacunaciones,antirrabica canina,2007-02-01,93,93
SABAYA,otras vacunaciones,antirrabica canina,2007-02-01,27,27
SACABA,otras vacunaciones,antirrabica canina,2007-02-01,2426,2426
SALINAS DE GARCI MENDOZA,otras vacunaciones,antirrabica canina,2007-02-01,15,15
SAN ANDRES DE MACHACA,otras vacunaciones,antirrabica canina,2007-02-01,93,93
SAN BENITO,otras vacunaciones,antirrabica canina,2007-02-01,5,5
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica canina,2007-02-01,163,163
SAN JOAQUIN,otras vacunaciones,antirrabica canina,2007-02-01,13,13
SAN JUAN DE YAPACANI,otras vacunaciones,antirrabica canina,2007-02-01,4,4
SAN JULIAN,otras vacunaciones,antirrabica canina,2007-02-01,217,217
SAN LORENZO(TJA),otras vacunaciones,antirrabica canina,2007-02-01,57,57
SAN LUCAS,otras vacunaciones,antirrabica canina,2007-02-01,30,30
SAN PEDRO DE BUENA VISTA,otras vacunaciones,antirrabica canina,2007-02-01,20,20
SANTA ANA,otras vacunaciones,antirrabica canina,2007-02-01,275,275
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2007-02-01,3617,3617
SANTIVAÑES,otras vacunaciones,antirrabica canina,2007-02-01,24,24
SAPAHAQUI,otras vacunaciones,antirrabica canina,2007-02-01,5,5
SICAYA,otras vacunaciones,antirrabica canina,2007-02-01,16,16
SIPE SIPE,otras vacunaciones,antirrabica canina,2007-02-01,453,453
SUCRE,otras vacunaciones,antirrabica canina,2007-02-01,26,26
TACOPAYA,otras vacunaciones,antirrabica canina,2007-02-01,9,9
TAPACARI,otras vacunaciones,antirrabica canina,2007-02-01,154,154
TARABUCO,otras vacunaciones,antirrabica canina,2007-02-01,261,261
TARACO,otras vacunaciones,antirrabica canina,2007-02-01,69,69
TARATA,otras vacunaciones,antirrabica canina,2007-02-01,280,280
TARIJA,otras vacunaciones,antirrabica canina,2007-02-01,107,107
TIAWANACU,otras vacunaciones,antirrabica canina,2007-02-01,12,12
TINGUIPAYA,otras vacunaciones,antirrabica canina,2007-02-01,4,4
TIQUIPAYA,otras vacunaciones,antirrabica canina,2007-02-01,234,234
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,antirrabica canina,2007-02-01,21,21
TOCO,otras vacunaciones,antirrabica canina,2007-02-01,21,21
TOLATA,otras vacunaciones,antirrabica canina,2007-02-01,1466,1466
TOLEDO,otras vacunaciones,antirrabica canina,2007-02-01,29,29
TOMAVE,otras vacunaciones,antirrabica canina,2007-02-01,26,26
TOMINA,otras vacunaciones,antirrabica canina,2007-02-01,200,200
TORO TORO,otras vacunaciones,antirrabica canina,2007-02-01,1,1
TOTORA(CBBA),otras vacunaciones,antirrabica canina,2007-02-01,63,63
TURCO,otras vacunaciones,antirrabica canina,2007-02-01,4,4
VIACHA,otras vacunaciones,antirrabica canina,2007-02-01,1029,1029
VILLA SERRANO,otras vacunaciones,antirrabica canina,2007-02-01,831,831
VILLA TUNARI,otras vacunaciones,antirrabica canina,2007-02-01,80,80
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,antirrabica canina,2007-02-01,61,61
VINTO,otras vacunaciones,antirrabica canina,2007-02-01,364,364
WARNES,otras vacunaciones,antirrabica canina,2007-02-01,31,31
YAMPARAEZ,otras vacunaciones,antirrabica canina,2007-02-01,25,25
ACHACACHI,otras vacunaciones,antirrabica canina,2007-03-01,1821,1821
AIQUILE,otras vacunaciones,antirrabica canina,2007-03-01,62,62
ALALAY,otras vacunaciones,antirrabica canina,2007-03-01,30,30
ANDAMARCA,otras vacunaciones,antirrabica canina,2007-03-01,11,11
ANZALDO,otras vacunaciones,antirrabica canina,2007-03-01,34,34
ARANI,otras vacunaciones,antirrabica canina,2007-03-01,879,879
ARBIETO,otras vacunaciones,antirrabica canina,2007-03-01,489,489
ARQUE,otras vacunaciones,antirrabica canina,2007-03-01,104,104
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica canina,2007-03-01,249,249
AZURDUY,otras vacunaciones,antirrabica canina,2007-03-01,182,182
BOLIVAR,otras vacunaciones,antirrabica canina,2007-03-01,65,65
CABEZAS,otras vacunaciones,antirrabica canina,2007-03-01,20,20
CAJUATA,otras vacunaciones,antirrabica canina,2007-03-01,82,82
CALAMARCA,otras vacunaciones,antirrabica canina,2007-03-01,128,128
CAPINOTA,otras vacunaciones,antirrabica canina,2007-03-01,516,516
CARACOLLO,otras vacunaciones,antirrabica canina,2007-03-01,10,10
CARAPARI,otras vacunaciones,antirrabica canina,2007-03-01,1931,1931
CHIMORE,otras vacunaciones,antirrabica canina,2007-03-01,366,366
CHIPAYA,otras vacunaciones,antirrabica canina,2007-03-01,6,6
CLIZA,otras vacunaciones,antirrabica canina,2007-03-01,1405,1405
COCHABAMBA,otras vacunaciones,antirrabica canina,2007-03-01,3068,3068
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2007-03-01,2777,2777
COLOMI,otras vacunaciones,antirrabica canina,2007-03-01,26,26
COLQUENCHA,otras vacunaciones,antirrabica canina,2007-03-01,16,16
COLQUIRI,otras vacunaciones,antirrabica canina,2007-03-01,848,848
COMANCHE,otras vacunaciones,antirrabica canina,2007-03-01,118,118
COMBAYA,otras vacunaciones,antirrabica canina,2007-03-01,184,184
COPACABANA,otras vacunaciones,antirrabica canina,2007-03-01,287,287
COROICO,otras vacunaciones,antirrabica canina,2007-03-01,10,10
CORQUE,otras vacunaciones,antirrabica canina,2007-03-01,45,45
COTAGAITA,otras vacunaciones,antirrabica canina,2007-03-01,30,30
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,antirrabica canina,2007-03-01,50,50
CURAHUARA DE CARANGAS,otras vacunaciones,antirrabica canina,2007-03-01,11,11
EL ALTO,otras vacunaciones,antirrabica canina,2007-03-01,1178,1178
EL PUENTE(TJA),otras vacunaciones,antirrabica canina,2007-03-01,663,663
ENTRE RIOS,otras vacunaciones,antirrabica canina,2007-03-01,5,5
ENTRE RIOS,otras vacunaciones,antirrabica canina,2007-03-01,171,171
GUAQUI,otras vacunaciones,antirrabica canina,2007-03-01,190,190
HUACARETA,otras vacunaciones,antirrabica canina,2007-03-01,10,10
HUACHACALLA,otras vacunaciones,antirrabica canina,2007-03-01,6,6
ICHOCA,otras vacunaciones,antirrabica canina,2007-03-01,156,156
INQUISIVI,otras vacunaciones,antirrabica canina,2007-03-01,39,39
IRUPANA (VILLA DE LANZA),otras vacunaciones,antirrabica canina,2007-03-01,40,40
JESUS DE MACHACA,otras vacunaciones,antirrabica canina,2007-03-01,20,20
LA PAZ,otras vacunaciones,antirrabica canina,2007-03-01,2089,2089
LAJA,otras vacunaciones,antirrabica canina,2007-03-01,17,17
LLALLAGUA,otras vacunaciones,antirrabica canina,2007-03-01,120,120
MIZQUE,otras vacunaciones,antirrabica canina,2007-03-01,206,206
MOJOCOYA,otras vacunaciones,antirrabica canina,2007-03-01,30,30
MONTEAGUDO,otras vacunaciones,antirrabica canina,2007-03-01,294,294
MOROCHATA,otras vacunaciones,antirrabica canina,2007-03-01,268,268
OKINAWA,otras vacunaciones,antirrabica canina,2007-03-01,48,48
OMEREQUE,otras vacunaciones,antirrabica canina,2007-03-01,3,3
ORURO,otras vacunaciones,antirrabica canina,2007-03-01,218,218
PADILLA,otras vacunaciones,antirrabica canina,2007-03-01,286,286
PAZÑA,otras vacunaciones,antirrabica canina,2007-03-01,3,3
POCONA,otras vacunaciones,antirrabica canina,2007-03-01,260,260
POJO (CBBA),otras vacunaciones,antirrabica canina,2007-03-01,110,110
POROMA,otras vacunaciones,antirrabica canina,2007-03-01,103,103
PORVENIR,otras vacunaciones,antirrabica canina,2007-03-01,18,18
POTOSI,otras vacunaciones,antirrabica canina,2007-03-01,79,79
PUCARANI,otras vacunaciones,antirrabica canina,2007-03-01,296,296
PUERTO VILLARROEL,otras vacunaciones,antirrabica canina,2007-03-01,432,432
PUNATA,otras vacunaciones,antirrabica canina,2007-03-01,2957,2957
QUILLACOLLO,otras vacunaciones,antirrabica canina,2007-03-01,1050,1050
RAVELO,otras vacunaciones,antirrabica canina,2007-03-01,6,6
RIBERALTA,otras vacunaciones,antirrabica canina,2007-03-01,617,617
ROBORE,otras vacunaciones,antirrabica canina,2007-03-01,315,315
SACABA,otras vacunaciones,antirrabica canina,2007-03-01,838,838
SALINAS DE GARCI MENDOZA,otras vacunaciones,antirrabica canina,2007-03-01,8,8
SAN ANDRES DE MACHACA,otras vacunaciones,antirrabica canina,2007-03-01,151,151
SAN BENITO,otras vacunaciones,antirrabica canina,2007-03-01,710,710
SAN IGNACIO,otras vacunaciones,antirrabica canina,2007-03-01,172,172
SAN IGNACIO DE VELASCO,otras vacunaciones,antirrabica canina,2007-03-01,150,150
SAN JAVIER(STC),otras vacunaciones,antirrabica canina,2007-03-01,268,268
SAN JULIAN,otras vacunaciones,antirrabica canina,2007-03-01,469,469
SAN MATIAS,otras vacunaciones,antirrabica canina,2007-03-01,90,90
SAN RAMON,otras vacunaciones,antirrabica canina,2007-03-01,36,36
SANTA ANA,otras vacunaciones,antirrabica canina,2007-03-01,298,298
SANTA CRUZ DE LA SIERRA,otras vacunaciones,antirrabica canina,2007-03-01,5924,5924
SANTIAGO DE HUARI,otras vacunaciones,antirrabica canina,2007-03-01,15,15
SANTIVAÑES,otras vacunaciones,antirrabica canina,2007-03-01,222,222
SAPAHAQUI,otras vacunaciones,antirrabica canina,2007-03-01,387,387
SIPE SIPE,otras vacunaciones,antirrabica canina,2007-03-01,2040,2040
SUCRE,otras vacunaciones,antirrabica canina,2007-03-01,144,144
TACACHI,otras vacunaciones,antirrabica canina,2007-03-01,60,60
TACOPAYA,otras vacunaciones,antirrabica canina,2007-03-01,15,15
TAPACARI,otras vacunaciones,antirrabica canina,2007-03-01,139,139
TARABUCO,otras vacunaciones,antirrabica canina,2007-03-01,655,655
TARACO,otras vacunaciones,antirrabica canina,2007-03-01,20,20
TARATA,otras vacunaciones,antirrabica canina,2007-03-01,1549,1549
TARIJA,otras vacunaciones,antirrabica canina,2007-03-01,129,129
TIAWANACU,otras vacunaciones,antirrabica canina,2007-03-01,47,47
TIQUIPAYA,otras vacunaciones,antirrabica canina,2007-03-01,140,140
TIRAQUE (CBBA),otras vacunaciones,antirrabica canina,2007-03-01,1696,1696
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,antirrabica canina,2007-03-01,15,15
TOCO,otras vacunaciones,antirrabica canina,2007-03-01,1571,1571
TOLATA,otras vacunaciones,antirrabica canina,2007-03-01,40,40
TOLEDO,otras vacunaciones,antirrabica canina,2007-03-01,13,13
TOMAVE,otras vacunaciones,antirrabica canina,2007-03-01,60,60
TOTORA(CBBA),otras vacunaciones,antirrabica canina,2007-03-01,73,73
TUPIZA,otras vacunaciones,antirrabica canina,2007-03-01,54,54
TURCO,otras vacunaciones,antirrabica canina,2007-03-01,6,6
VACAS,otras vacunaciones,antirrabica canina,2007-03-01,1021,1021
VIACHA,otras vacunaciones,antirrabica canina,2007-03-01,9,9
VILLA RIVERO,otras vacunaciones,antirrabica canina,2007-03-01,266,266
VILLA SERRANO,otras vacunaciones,antirrabica canina,2007-03-01,1724,1724
VILLA TUNARI,otras vacunaciones,antirrabica canina,2007-03-01,92,92
VINTO,otras vacunaciones,antirrabica canina,2007-03-01,4807,4807
WARNES,otras vacunaciones,antirrabica canina,2007-03-01,4,4
YACUIBA,otras vacunaciones,antirrabica canina,2007-03-01,8,8
YAPACANI,otras vacunaciones,antirrabica canina,2007-03-01,512,512
YOTALA,otras vacunaciones,antirrabica canina,2007-03-01,18,18
ACHACACHI,otras vacunaciones,antirrabica canina,2007-04-01,572,572
AIQUILE,otras vacunaciones,antirrabica canina,2007-04-01,1237,1237
ALALAY,otras vacunaciones,antirrabica canina,2007-04-01,10,10
ANDAMARCA,otras vacunaciones,antirrabica canina,2007-04-01,2,2
ANZALDO,otras vacunaciones,antirrabica canina,2007-04-01,44,44
ARANI,otras vacunaciones,antirrabica canina,2007-04-01,57,57
ARBIETO,otras vacunaciones,antirrabica canina,2007-04-01,1277,1277
ARQUE,otras vacunaciones,antirrabica canina,2007-04-01,146,146
AYO AYO,otras vacunaciones,antirrabica canina,2007-04-01,80,80
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,antirrabica canina,2007-04-01,40,40
AZURDUY,otras vacunaciones,antirrabica canina,2007-04-01,149,149
BELEN DE URMIRI,otras vacunaciones,antirrabica canina,2007-04-01,2,2
BERMEJO,otras vacunaciones,antirrabica canina,2007-04-01,38,38
BOLIVAR,otras vacunaciones,antirrabica canina,2007-04-01,31,31
CAJUATA,otras vacunaciones,antirrabica canina,2007-04-01,208,208
CALAMARCA,otras vacunaciones,antirrabica canina,2007-04-01,67,67
CAPINOTA,otras vacunaciones,antirrabica canina,2007-04-01,7,7
CARACOLLO,otras vacunaciones,antirrabica canina,2007-04-01,17,17
CARANAVI,otras vacunaciones,antirrabica canina,2007-04-01,2760,2760
CARAPARI,otras vacunaciones,antirrabica canina,2007-04-01,137,137
CHALLAPATA,otras vacunaciones,antirrabica canina,2007-04-01,1,1
CHIMORE,otras vacunaciones,antirrabica canina,2007-04-01,43,43
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,antirrabica canina,2007-04-01,82,82
CLIZA,otras vacunaciones,antirrabica canina,2007-04-01,1,1
COCHABAMBA,otras vacunaciones,antirrabica canina,2007-04-01,3092,3092
COLCAPIRHUA,otras vacunaciones,antirrabica canina,2007-04-01,180,180
COLOMI,otras vacunaciones,antirrabica canina,2007-04-01,23,23
