municipality,group,variable,month,Vacunaciones antiamarílica en personas a part,TOTAL
PADILLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,107,107
PAILON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,234,234
PALCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,55,55
PALOS BLANCOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,61,61
PAMPA AULLAGAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,9,9
PAMPA GRANDE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,18,18
PATACAMAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,55,55
POCOATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,19,19
POCONA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,61,61
POJO (CBBA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,51,51
POOPO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,9,9
PORCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,16,16
POROMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,5,5
PORONGO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,18,18
PORTACHUELO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,35,35
PORVENIR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,76,76
POSTRER VALLE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,18,18
POTOSI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,159,159
PRESTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
PUCARANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,20,20
PUERTO ACOSTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,4,4
PUERTO CARABUCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,23,23
PUERTO PEREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,6,6
PUERTO QUIJARRO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,14,14
PUERTO RICO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,15,15
PUERTO SUAREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,183,183
PUERTO VILLARROEL,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,141,141
PUNA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,20,20
PUNATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,718,718
QUILLACOLLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1824,1824
QUIME,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,4,4
RAVELO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,31,31
REYES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,4,4
RIBERALTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,141,141
ROBORE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,164,164
RURRENABAQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,91,91
SACABA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1065,1065
SACABAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
SACACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,7,7
SAIPINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,7,7
SAMAIPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,9,9
SAN ANDRES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,12,12
SAN ANTONIO DE LOMERIO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,9,9
SAN BENITO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,14,14
SAN BORJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,63,63
SAN BUENA VENTURA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,32,32
SAN CARLOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,34,34
SAN IGNACIO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,46,46
SAN IGNACIO DE VELASCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,177,177
SAN JAVIER(BNI),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,12,12
SAN JOAQUIN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,14,14
SAN JOSE DE CHIQUITOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,250,250
SAN JUAN DE YAPACANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,74,74
SAN JULIAN,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,26,26
SAN LORENZO(TJA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,12,12
SAN LUCAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,402,402
SAN MATIAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,34,34
SAN MIGUEL DE VELASCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1,1
SAN PEDRO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,82,82
SAN PEDRO DE BUENA VISTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,42,42
SAN PEDRO DE TIQUINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
SAN RAFAEL,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
SAN RAMON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,2,2
SAN RAMON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,18,18
SANTA ANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,41,41
SANTA CRUZ DE LA SIERRA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,6891,6891
SANTA ROSA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,157,157
SANTA ROSA DEL SARA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,121,121
SANTIAGO DE MACHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
SANTIVAÑES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,25,25
SAPAHAQUI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,6,6
SICA SICA (VILLA AROMA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1,1
SICAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,3,3
SIPE SIPE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,149,149
SORACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,5,5
SORATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,26,26
SUCRE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,955,955
TACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,7,7
TACOBAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,13,13
TACOPAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,6,6
TAPACARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,18,18
TARABUCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,6,6
TARACO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,8,8
TARATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,176,176
TARIJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1816,1816
TARVITA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,29,29
TEOPONTE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,27,27
TINGUIPAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,10,10
TIPUANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,8,8
TIQUIPAYA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,8,8
TIRAQUE (CBBA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,231,231
TOCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,28,28
TOLATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,880,880
TOMAVE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,11,11
TOMINA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,23,23
TORO TORO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,2,2
TOTORA(CBBA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1,1
TRINIDAD,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,461,461
TUPIZA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,69,69
TURCO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1,1
UNCIA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,20,20
URIONDO (A. CONCEPCION),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,2,2
UYUNI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,2,2
VACAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,99,99
VALLEGRANDE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,15,15
VIACHA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,76,76
VILA VILA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,8,8
VILLA MONTES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,191,191
VILLA RIVERO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,25,25
VILLA SERRANO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1,1
VILLA TUNARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,570,570
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,16,16
VILLAZON,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,130,130
VINTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,21,21
VITICHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1,1
WARNES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,138,138
YACO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,18,18
YACUIBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,272,272
YAMPARAEZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,4,4
YANACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,21,21
YAPACANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,50,50
YOTALA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,1,1
YUNCHARA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,9,9
ZUDAÑEZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-01-01,17,17
ACACIO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,3,3
ACHACACHI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,80,80
ACHOCALLA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,25,25
AIQUILE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,93,93
ALALAY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,90,90
ANCORAIMES,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,6,6
ANZALDO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,1,1
APOLO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,12,12
ARANI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,1916,1916
ARBIETO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,30,30
ARQUE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,6,6
ASCENCION DE GUARAYOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,27,27
ATOCHA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,14,14
AYATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,13,13
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,216,216
AZURDUY,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,72,72
BATALLAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,1,1
BELEN DE URMIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,5,5
BELLA FLOR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,19,19
BERMEJO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,106,106
BETANZOS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,26,26
BOLIVAR,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,15,15
BOLPEBRA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,12,12
BUENA VISTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,660,660
CABEZAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,410,410
CAIROMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,11,11
"CAIZA ""D""",otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,124,124
CALACOTO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,5,5
CALAMARCA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,20,20
CAMARGO,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,43,43
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,6,6
CAMIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,55,55
CAPINOTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,31,31
CARANAVI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,814,814
CARANGAS,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,2,2
CARAPARI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,17,17
CARMEN RIVERO TORREZ,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,10,10
CHALLAPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,5,5
CHARAGUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,3,3
CHARAÑA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,2,2
CHAYANTA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,18,18
CHIMORE,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,125,125
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,94,94
CHUMA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,12,12
CLIZA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,76,76
COBIJA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,449,449
COCHABAMBA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,8078,8078
COLCAPIRHUA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,270,270
COLLANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,1,1
COLOMI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,69,69
COLPA BELGICA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,28,28
COLQUECHACA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,107,107
COLQUIRI,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,25,25
COMARAPA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,11,11
CONCEPCION,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,20,20
COPACABANA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,5,5
CORIPATA,otras vacunaciones,vacunaciones antiamarilica en personas a part,2007-02-01,16,16
