,group,variable,month,TOTAL HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,TOTAL HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,TOTAL HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTAL HEPATITIS B 1RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
LA PAZ,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-02-01,8,4,24,8,32,12,44
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-02-01,7,7,0,0,7,7,14
SUCRE,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-02-01,0,2,0,0,0,2,2
TARIJA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,0,1,0,1,1
YACUIBA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-02-01,0,2,0,0,0,2,2
YAPACANI,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-02-01,2,0,1,1,3,1,4
BATALLAS,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,10,18,10,18,28
CARACOLLO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-03-01,0,9,0,0,0,9,9
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-03-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-03-01,0,1,0,0,0,1,1
HUACARETA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-03-01,0,5,0,2,0,7,7
LA PAZ,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-03-01,0,3,0,0,0,3,3
SAN JUAN DE YAPACANI,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-03-01,0,1,1,3,1,4,5
SANTA ANA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-03-01,0,1,0,1,0,2,2
TARIJA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-03-01,1,1,0,0,1,1,2
BERMEJO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-04-01,1,0,0,0,1,0,1
COLLANA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-04-01,1,0,0,0,1,0,1
HUACARETA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-04-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-04-01,5,5,0,0,5,5,10
SAN JUAN DE YAPACANI,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-04-01,1,0,0,1,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-04-01,0,2,0,0,0,2,2
SUCRE,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-04-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-05-01,0,1,8,12,8,13,21
COCHABAMBA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-05-01,0,2,0,0,0,2,2
LA ASUNTA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,3,5,3,5,8
LA PAZ,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-05-01,0,3,0,0,0,3,3
MONTEAGUDO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-05-01,3,1,5,5,8,6,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-05-01,10,4,0,0,10,4,14
SUCRE,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-05-01,3,1,0,0,3,1,4
ATOCHA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-06-01,3,3,0,0,3,3,6
"COLCHA ""K""",otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-06-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-06-01,4,1,0,0,4,1,5
PUCARANI,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,2,0,2,0,2
SUCRE,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-06-01,0,4,0,0,0,4,4
TOLEDO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-06-01,6,1,9,14,15,15,30
BATALLAS,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,2,0,5,0,7,0,7
BERMEJO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,2,0,0,0,2,0,2
CARANAVI,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,1,0,1,1,2,1,3
CHAYANTA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,4,17,6,11,10,28,38
"COLCHA ""K""",otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,1,2,0,0,1,2,3
LA PAZ,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,2,11,1,0,3,11,14
MONTEAGUDO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,8,4,8,4,12
SAN PEDRO DE CURAHUARA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,4,1,19,18,23,19,42
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,8,6,0,0,8,6,14
SUCRE,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,3,2,0,0,3,2,5
TOLEDO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,0,1,1,1,1,2,3
VILLAZON,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,1,0,0,0,1,0,1
VINTO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-07-01,0,1,0,0,0,1,1
CKOCHAS,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-08-01,5,1,0,0,5,1,6
COCHABAMBA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-08-01,64,72,0,0,64,72,136
EL ALTO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-08-01,2,0,0,0,2,0,2
LA PAZ,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-08-01,5,4,0,0,5,4,9
LLALLAGUA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-08-01,2,2,0,0,2,2,4
TRINIDAD,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-08-01,1,6,0,0,1,6,7
YACUIBA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-08-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-09-01,1,2,0,0,1,2,3
HUACARETA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-09-01,0,1,0,0,0,1,1
LA PAZ,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-09-01,5,6,0,1,5,7,12
SAN CARLOS,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-09-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-09-01,2,2,0,0,2,2,4
SUCRE,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-09-01,2,0,0,0,2,0,2
VINTO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-09-01,14,5,7,8,21,13,34
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-10-01,4,4,0,0,4,4,8
COPACABANA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,2,1,2,1,3
HUACARETA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,1,0,1,0,1
LA PAZ,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-10-01,1,4,0,0,1,4,5
ORURO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-10-01,0,1,0,0,0,1,1
SAN JAVIER(BNI),otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-10-01,0,0,11,14,11,14,25
SAN JOSE DE CHIQUITOS,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-10-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-10-01,2,1,0,0,2,1,3
YACUIBA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-10-01,4,4,0,0,4,4,8
BATALLAS,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,2,4,0,0,2,4,6
COPACABANA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,1,0,1,0,1
LA PAZ,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,8,0,0,0,8,0,8
LLALLAGUA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,4,3,0,0,4,3,7
MOCOMOCO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,6,0,6,0,6
ORURO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,0,1,0,0,0,1,1
ROBORE,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,0,5,0,0,0,5,5
SAN JAVIER(BNI),otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,0,0,18,17,18,17,35
SAN JULIAN,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,0,2,0,0,0,2,2
SUCRE,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,1,1,0,0,1,1,2
TARIJA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,1,0,0,0,1,0,1
YACUIBA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-11-01,8,3,0,0,8,3,11
AYO AYO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-12-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-12-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-12-01,7,4,0,0,7,4,11
COPACABANA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-12-01,1,0,1,3,2,3,5
COROICO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-12-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-12-01,1,1,0,2,1,3,4
LA ASUNTA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-12-01,0,1,0,2,0,3,3
LA PAZ,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-12-01,8,11,0,0,8,11,19
TRINIDAD,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-12-01,1,0,0,0,1,0,1
YACUIBA,otras vacunaciones,total hepatitis b  1ra. dosis  poblacion vulnerable (vih),2015-12-01,1,4,0,0,1,4,5
