,group,variable,month,TOTAL HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,TOTAL HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) DENTRO,TOTAL HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTAL HEPATITIS B 3RA. DOSIS POBLACIÓN VULNERABLE (VIH) FUERA,TOTALES,TOTALES,TOTALES
VILLA CHARCAS,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-01-01,1,0,0,0,1,0,1
ACHACACHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,7,0,7,0,7
BERMEJO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,1,0,0,0,1,0,1
COTAGAITA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,5,0,5,0,5
EL ALTO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,0,29,0,29,29
FILADELFIA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,4,3,0,0,4,3,7
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,1,0,1,0,1
LA PAZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,8,1,13,1,21,22
MONTERO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,1,0,1,0,1
PADCAYA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,1,0,0,0,1,1
PALOS BLANCOS,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,1,0,1,0,1
PUCARANI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,10,0,10,0,10
RURRENABAQUE,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,4,0,4,0,4
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,31,0,31,0,31
SORATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,1,0,1,0,1
TACACOMA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,3,0,3,0,3
TEOPONTE,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,5,0,5,0,5
VIACHA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,1,0,1,0,1
VILA VILA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,0,0,1,0,1,0,1
YACUIBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-02-01,12,6,1,0,13,6,19
ACHACACHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,2,0,2,0,2
ALALAY,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,1,0,1,0,1
ALTO BENI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,2,0,2,0,2
BATALLAS,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,1,0,0,0,1,1
BOYUIBE,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,4,0,4,0,4
EL ALTO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,2,0,0,0,2,0,2
EL PUENTE(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,5,0,5,0,5
GENERAL SAAVEDRA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,17,0,17,0,17
GUTIERREZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,2,0,2,0,2
INQUISIVI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,50,0,50,0,50
LA PAZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,1,24,2,24,3,27
MIZQUE,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,27,0,27,0,27
MONTERO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,239,0,239,0,239
PAILON,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,10,5,10,5,15
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,7,0,7,0,7
SAN PEDRO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,5,0,5,0,5
SORATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,4,0,4,0,4
TACACOMA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,2,0,2,0,2
TARIJA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,1,5,1,5,2,7
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,2,0,2,0,2
TRINIDAD,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,1,0,0,0,1,1
VILA VILA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,22,0,22,0,22
VILLA TUNARI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-03-01,0,0,29,0,29,0,29
ACHACACHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,84,0,84,0,84
ALTO BENI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,20,0,20,0,20
ANCORAIMES,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,46,0,46,0,46
BELEN DE ANDAMARCA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,1,0,1,0,1
BERMEJO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,1,0,1,0,1
COTAGAITA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,102,0,102,0,102
CRUZ DE MACHACAMARCA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,1,0,1,0,1
EL PUENTE(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,127,1,127,1,128
ESMERALDA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,3,0,3,0,3
GENERAL SAAVEDRA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,21,0,21,0,21
HUARINA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,49,0,49,0,49
ICLA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,17,0,17,0,17
IRUPANA (VILLA DE LANZA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,1,0,1,0,1
LA PAZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,5,3,0,0,5,3,8
MECAPACA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,9,0,9,0,9
MONTERO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,59,0,59,0,59
ORURO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,7,0,7,0,7
PADCAYA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,1,0,1,0,1
PALCA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,1,0,1,0,1
PUCARA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,1,0,1,0,1
PUERTO PEREZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,11,0,11,0,11
RURRENABAQUE,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,1,0,1,0,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,4,0,4,0,4
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,12,0,12,0,12
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,1,0,0,0,1,0,1
SANTIAGO DE HUATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,32,0,32,0,32
SORATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,45,0,45,0,45
TACACOMA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,1,0,1,0,1
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,5,0,5,0,5
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,11,0,11,0,11
VACAS,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,15,0,15,0,15
VILA VILA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,8,0,8,0,8
VILLA TUNARI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,3,0,3,0,3
VITICHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,3,0,3,0,3
YACUIBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,222,0,222,0,222
YANACACHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,17,0,17,0,17
YUNGUYO DE LITORAL,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-04-01,0,0,1,0,1,0,1
ALTO BENI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,3,0,3,0,3
ANCORAIMES,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,5,0,5,0,5
BATALLAS,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,1,0,3,0,4,4
CHOQUE COTA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,18,0,18,0,18
CHUA COCANI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,1,18,11,18,12,30
"COLCHA ""K""",otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,1,0,1,0,1
COTAGAITA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,1,0,36,0,37,0,37
EL PUENTE(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,4,0,4,0,4
GUAYARAMERIN,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,4,0,4,0,4
HUANUNI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,11,0,11,0,11
HUARINA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,11,0,11,0,11
ICLA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,7,0,7,0,7
LA ASUNTA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,0,15,0,15,15
LA PAZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,1,0,5,5,6,5,11
MECAPACA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,5,5,5,5,10
MIZQUE,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,2,0,2,0,2
MONTEAGUDO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,0,1,0,1,1
MONTERO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,26,0,26,0,26
ORURO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,32,0,32,0,32
PALCA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,38,0,38,0,38
PUERTO PEREZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,1,0,1,0,1
SAN CARLOS,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,5,0,5,0,5
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,1,0,0,0,1,0,1
SANTIAGO DE HUATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,17,0,17,0,17
SORATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,12,0,12,0,12
SUCRE,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,7,11,0,0,7,11,18
TACACOMA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,1,1,1,1,2
TAPACARI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,2,0,2,0,2
TIRAQUE (CBBA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,7,0,7,0,7
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,1,0,1,0,1
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,2,0,2,0,2
VIACHA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,1,0,1,0,1
VILA VILA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,1,0,1,0,1
VITICHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,1,0,1,0,1
YACUIBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-05-01,0,0,1,0,1,0,1
ACHACACHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,25,0,25,0,25
ALALAY,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,2,0,2,0,2
ATOCHA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,11,0,0,0,11,11
BATALLAS,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,1,0,0,0,1,1
CHUMA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,0,1,0,1,1
COCHABAMBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,114,0,114,0,114
COTAGAITA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,7,0,7,0,7
EL PUENTE(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,3,1,3,1,4
ENTRE RIOS TRJ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,1,0,1,0,1
ESMERALDA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,3,0,3,0,3
GUAYARAMERIN,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,5,0,5,0,5
HUANUNI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,3,0,3,0,3
LA PAZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,4,1,1,1,5,2,7
MIZQUE,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,1,0,1,0,1
MONTERO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,1,0,1,0,1
ORURO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,1,0,1,0,1
PUERTO PEREZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,6,0,6,0,6
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,1,0,1,0,1
SAN PEDRO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,16,0,16,0,16
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,14,15,0,0,14,15,29
SANTIAGO DE HUATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,1,0,1,0,1
SICA SICA (VILLA AROMA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,6,0,6,0,6
SORATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,9,0,9,0,9
TACACOMA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,1,0,1,0,1
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,1,0,1,0,1
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,1,1,1,1,2
VILA VILA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,9,0,9,0,9
VITICHI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,60,0,60,0,60
YACUIBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,0,1,0,1,0,1
YOTALA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-06-01,0,1,0,0,0,1,1
ALALAY,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,1,0,1,0,1
ALTO BENI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,1,0,1,0,1
CHAYANTA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,0,2,0,2,2
CHOQUE COTA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,1,0,1,0,1
COTAGAITA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,4,0,4,0,4
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,1,0,1,0,1
EL ALTO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,0,8,0,8,8
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,0,1,0,1,1
HUANUNI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,1,0,1,0,1
LA ASUNTA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,2,6,0,3,2,9,11
LA PAZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,2,0,0,0,2,2
MIZQUE,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,1,0,1,0,1
MONTERO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,42,0,42,0,42
PUERTO GONZALO MORENO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,2,2,0,0,2,2,4
SORATA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,2,0,2,0,2
TAPACARI,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,1,0,1,0,1
TINGUIPAYA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,1,0,0,0,1,1
TIRAQUE (CBBA),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,13,0,13,0,13
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,0,0,1,0,1,1
TOLEDO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,3,0,0,0,3,3
VINTO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,0,1,0,0,0,1,1
YACUIBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-07-01,1,0,8,0,9,0,9
ANCORAIMES,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,0,1,0,1,0,1
BERMEJO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,2,0,0,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,0,1,0,1,0,1
COCHABAMBA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,18,9,0,0,18,9,27
COPACABANA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,0,1,0,1,0,1
COTAGAITA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,0,7,0,7,0,7
EL ALTO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,2,0,2,38,4,38,42
EL PUENTE(STC),otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,1,2,0,0,1,2,3
EL TORNO,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,1,2,0,0,1,2,3
GENERAL SAAVEDRA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,0,0,1,0,1,0,1
HUACARETA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,1,0,0,0,1,0,1
LA ASUNTA,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,1,1,5,3,6,4,10
LA PAZ,otras vacunaciones,total hepatitis b  3ra. dosis  poblacion vulnerable (vih),2015-08-01,3,1,2,0,5,1,6
