,group,variable,month,TOTAL DT 4TA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 4TA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 4TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 4TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,3,0,0,7,3,7,10
BATALLAS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,3,0,4,4
BELEN DE ANDAMARCA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,1,0,1,0,1
BELLA FLOR,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
BERMEJO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
BETANZOS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,2,0,7,1,9,10
BOLIVAR,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,3,0,4,4
BOLPEBRA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
BOYUIBE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
BUENA VISTA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,8,0,7,1,15,16
CABEZAS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,24,37,44,29,68,66,134
CAIROMA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,2,0,3,3
"CAIZA ""D""",otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,0,0,0,2,0,2
CAJUATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
CAMIRI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,9,7,4,1,13,8,21
CAPINOTA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,2,7,26,9,28,37
CARACOLLO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
CARANAVI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,7,3,5,3,12,15
CARAPARI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,3,2,6,0,9,2,11
CARIPUYO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,5,0,6,6
CHALLAPATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CHARAGUA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,5,0,4,0,9,9
CHIMORE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,5,0,0,2,5,7
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
CKOCHAS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
CLIZA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,9,2,11,3,20,23
COBIJA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,15,0,0,1,15,16
COCHABAMBA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,37,127,10,64,47,191,238
COLCAPIRHUA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,15,5,21,6,36,42
"COLCHA ""K""",otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,3,8,12,2,15,10,25
COLLANA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
COLOMI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
COLQUECHACA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
COMARAPA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
CONCEPCION,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,3,1,4,5
COPACABANA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,1,1,0,2,1,3
CORIPATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CORO CORO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
COROICO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,1,1,2,3
COTAGAITA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
COTOCA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,17,0,10,1,27,28
CRUZ DE MACHACAMARCA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,1,1,1,1,2
CUATRO CAÑADAS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
CUEVO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,2,0,5,5
CULPINA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,2,0,3,3
CURAHUARA DE CARANGAS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,26,380,18,87,44,467,511
EL TORNO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,7,27,0,6,7,33,40
EL VILLAR,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
ENTRE RIOS TRJ,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,5,3,1,3,6,9
ENTRE RIOS CBBA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,14,1,1,3,15,18
ESCOMA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
EUREKA (SANTOS MERCADO),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
FILADELFIA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,1,1,1,2,3
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
GUANAY,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,7,0,2,0,9,9
GUAQUI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
GUAYARAMERIN,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,7,0,3,0,10,10
GUTIERREZ,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,1,6,1,6,7
HUACARETA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,4,1,3,8,7,9,16
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,0,0,0,2,0,2
HUANUNI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,5,0,0,0,5,5
HUARINA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
HUATAJATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
HUAYLLAMARCA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
ICLA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
INCAHUASI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
INQUISIVI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
IXIAMAS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
LA ASUNTA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,2,2,2,3,5
LA GUARDIA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,8,17,2,9,10,26,36
LA PAZ,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,37,236,7,12,44,248,292
LAGUNILLAS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,6,5,0,0,6,5,11
LAJA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,1,2,1,3,4
LLALLAGUA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,2,8,2,10,12
LORETO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
MACHACAMARCA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
MACHARETI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,3,2,3,3,6
MAIRANA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
MAPIRI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,4,0,7,7
MIZQUE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,3,5,0,0,3,5,8
MOCOMOCO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,3,0,3,3
MOJOCOYA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
MONTEAGUDO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,8,1,2,0,10,1,11
MONTERO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,17,0,2,2,19,21
MOROCHATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
OKINAWA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,3,3,0,5,3,8,11
OMEREQUE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,4,0,5,5
ORURO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,13,55,0,0,13,55,68
PADCAYA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,8,0,0,0,8,8
PADILLA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,1,0,1,2,3
PAILON,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,4,6,1,4,5,10,15
PALCA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,4,0,1,0,5,5
PALOS BLANCOS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,2,1,3,2,5,7
PAMPA GRANDE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,9,0,11,11
PASORAPA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
POCOATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
POCONA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,1,3,1,5,6
POJO (CBBA),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,1,3,1,3,4
POOPO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
POROMA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,10,0,2,0,12,12
PORONGO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,5,0,7,7
PORTACHUELO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,5,0,0,0,5,5
POTOSI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,3,35,1,5,4,40,44
PUCARANI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,4,0,5,5
PUERTO ACOSTA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,1,0,1,0,1
PUERTO GONZALO MORENO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
PUERTO PEREZ,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
PUERTO VILLARROEL,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,6,17,2,6,8,23,31
PUNA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,3,0,3,3
PUNATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,7,9,6,4,13,13,26
QUILLACOLLO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,7,20,5,8,12,28,40
QUIME,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
QUIRUSILLAS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
REYES,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
RIBERALTA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,4,0,4,1,8,9
ROBORE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
RURRENABAQUE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,3,29,3,5,6,34,40
SAIPINA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
SAMAIPATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,11,0,3,0,14,14
SAN ANDRES,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,5,0,4,0,9,9
SAN BENITO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,6,0,1,2,7,9
SAN BORJA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,11,0,0,1,11,12
SAN CARLOS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,9,1,1,3,10,13
SAN IGNACIO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,3,4,2,1,5,5,10
SAN IGNACIO DE VELASCO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,4,18,0,4,4,22,26
SAN JAVIER(BNI),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,3,0,3,3
SAN JAVIER(STC),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
SAN JOSE DE CHIQUITOS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,7,0,0,0,7,7
SAN JULIAN,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,5,1,16,1,21,22
SAN LORENZO(TJA),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,5,0,0,1,5,6
SAN LUCAS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
SAN MATIAS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,2,0,1,1,3,4
SAN MIGUEL DE VELASCO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,5,0,0,0,5,5
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,1,0,1,1,2
SAN RAMON BENI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,5,0,0,0,5,5
SAN RAMON SCZ,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,102,441,23,66,125,507,632
SANTA ROSA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SANTA ROSA DEL SARA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
SANTIAGO DE HUATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SANTIVAÑES,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,4,0,1,0,5,5
SENA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SHINAOTA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,1,0,1,0,1
SIPE SIPE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,9,1,7,1,16,17
SORATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,5,0,5,5
SUCRE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,5,24,0,11,5,35,40
TACACHI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
TAPACARI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,1,0,1,0,1
TARABUCO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
TARATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,1,4,1,6,7
TARIJA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,40,83,6,34,46,117,163
TARVITA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,3,0,1,2,4,6
TEOPONTE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,2,0,4,4
TIAWANACU,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
TIQUIPAYA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,7,0,0,2,7,9
TIRAQUE (CBBA),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
TOCO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,2,0,1,1,3,4
TOLATA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,3,0,5,5
TOMAVE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
TOMINA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,3,0,0,1,3,4
TORO TORO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
TOTORA(CBBA),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,1,1,7,2,8,10
TRINIDAD,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,48,0,6,2,54,56
TUPIZA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,9,0,5,0,14,14
UNCIA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,5,0,0,1,5,6
URUBICHA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,16,0,17,17
UYUNI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
VACAS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,2,0,3,3
VALLEGRANDE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,6,0,1,1,7,8
VIACHA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,23,0,4,0,27,27
VILLA CHARCAS,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
VILLA MONTES,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,14,6,9,4,23,10,33
VILLA NUEVA (LOMA ALTA),otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,4,0,0,0,4,4
VILLA RIVERO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
VILLA SERRANO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,12,9,14,10,26,36
VILLAZON,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,5,1,1,1,6,7
VINTO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,15,0,9,2,24,26
WARNES,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,4,40,0,1,4,41,45
YACUIBA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,20,11,1,3,21,14,35
YAMPARAEZ,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,1,2,4,2,5,7
YANACACHI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,2,14,2,14,4,18
YAPACANI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,2,6,1,5,3,11,14
YOTALA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
YUNCHARA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
ACACIO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-02-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-02-01,0,2,0,4,0,6,6
ACHOCALLA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-02-01,0,9,1,0,1,9,10
AIQUILE,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-02-01,0,3,12,12,12,15,27
ALALAY,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-02-01,0,0,5,4,5,4,9
ALCALA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-02-01,0,0,0,3,0,3,3
ANCORAIMES,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-02-01,0,6,0,0,0,6,6
ANDAMARCA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-02-01,0,1,0,1,0,2,2
ANZALDO,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-02-01,0,0,0,1,0,1,1
ARAMPAMPA,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-02-01,0,1,0,3,0,4,4
ARANI,otras vacunaciones,total dt 4ta. dosis de 10 a 49 anos,2015-02-01,0,0,0,2,0,2,2
