,group,variable,month,TOTAL HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTAL HEPATITIS B 1RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
CHAYANTA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,2,0,0,0,2,2
CHIMORE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,5,5,0,0,5,5,10
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,2,4,0,0,2,4,6
COBIJA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,4,0,0,0,4,4
COCHABAMBA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,2,0,0,1,2,3
COLQUECHACA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,3,8,0,0,3,8,11
COPACABANA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,2,3,5,5,7,8,15
CORIPATA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,2,4,0,0,2,4,6
COTOCA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,2,2,0,0,2,2,4
EL ALTO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,27,26,157,35,184,61,245
EL PUENTE(TJA),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,2,0,0,0,2,2
EL VILLAR,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,2,2,0,0,2,2,4
ENTRE RIOS TRJ,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
ESCOMA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
HUACARETA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,7,6,0,0,7,6,13
HUMANATA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,2,0,0,1,2,3
LA ASUNTA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,4,0,0,1,4,5
LA GUARDIA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,0,5,0,5,0,5
LA PAZ,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,61,90,0,0,61,90,151
LURIBAY,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,2,0,0,0,2,0,2
MACHARETI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
MAPIRI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,2,0,0,0,2,2
MOJINETE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
MOJOCOYA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,5,9,0,0,5,9,14
MONTEAGUDO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,1,0,0,1,1,2
MONTERO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,11,39,0,0,11,39,50
PADCAYA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
PALOS BLANCOS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,2,17,8,17,10,27
POTOSI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,7,23,0,0,7,23,30
PUCARANI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,3,5,2,0,5,5,10
PUERTO PEREZ,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,5,3,2,3,7,10
ROBORE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,3,0,0,1,3,4
SAN CARLOS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,2,5,0,0,2,5,7
SAN IGNACIO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
SAN JUAN DE YAPACANI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,2,0,0,0,2,2
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,2,0,0,0,2,2
SANTA ANA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,7,3,0,0,7,3,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,21,33,0,0,21,33,54
SAPAHAQUI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,1,0,0,1,1,2
SUCRE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,17,34,0,4,17,38,55
TARIJA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,6,36,0,0,6,36,42
TINGUIPAYA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,5,0,0,1,5,6
TRINIDAD,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,51,106,0,0,51,106,157
VALLEGRANDE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,3,0,0,0,3,3
VIACHA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,6,0,0,0,6,6
VILLAZON,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,1,1,0,0,1,1,2
VINTO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,1,0,1,0,2,2
WARNES,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,0,3,0,0,0,3,3
YACUIBA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,28,13,0,0,28,13,41
YANACACHI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,4,5,0,0,4,5,9
YAPACANI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-01-01,2,11,0,0,2,11,13
ALTO BENI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,1,2,0,0,1,2,3
ANCORAIMES,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
BATALLAS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,4,0,5,0,9,9
BERMEJO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,1,0,2,2
CABEZAS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,1,3,0,0,1,3,4
CALAMARCA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,5,0,0,0,5,5
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,0,1,9,1,9,10
CAMIRI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,1,4,0,0,1,4,5
CHALLAPATA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,3,4,0,0,3,4,7
CHARAGUA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,5,5,0,0,5,5,10
CHIMORE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,3,2,0,0,3,2,5
COCHABAMBA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,1,0,0,0,1,0,1
COLLANA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,3,0,0,0,3,3
CORIPATA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
COTOCA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,6,15,0,0,6,15,21
EL ALTO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,13,24,15,48,28,72,100
ESCOMA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,1,5,0,0,1,5,6
HUACARETA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,7,1,0,0,7,1,8
ICHOCA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
INQUISIVI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,3,2,0,0,3,2,5
LA ASUNTA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,2,1,0,0,2,1,3
LA GUARDIA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,2,1,2,1,4,5
LA PAZ,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,42,78,22,80,64,158,222
LURIBAY,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,11,6,0,0,11,6,17
MACHARETI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
MAPIRI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,2,0,0,0,2,0,2
MOCOMOCO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,0,0,1,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,2,0,0,0,2,2
ORURO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,12,23,0,0,12,23,35
PORTACHUELO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,3,1,0,0,3,1,4
POTOSI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,9,11,0,0,9,11,20
PUCARANI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,3,11,0,0,3,11,14
PUERTO CARABUCO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,5,8,0,0,5,8,13
PUERTO PEREZ,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
PUERTO SUAREZ,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,0,0,2,0,2,2
SAN ANDRES,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,0,1,0,1,0,1
SAN BORJA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,5,4,0,0,5,4,9
SAN CARLOS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,7,10,0,0,7,10,17
SAN JUAN DE YAPACANI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
SANTA ANA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,18,35,0,0,18,35,53
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,12,17,0,0,12,17,29
SUCRE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,23,48,2,2,25,50,75
TARABUCO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,4,4,0,0,4,4,8
TARIJA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,3,15,0,0,3,15,18
TEOPONTE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,2,0,8,2,10,2,12
TINGUIPAYA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,2,8,0,0,2,8,10
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,1,0,8,0,9,9
VALLEGRANDE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,1,0,0,0,1,0,1
VIACHA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,1,7,0,0,1,7,8
VILLA CHARCAS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,4,3,0,0,4,3,7
VILLAZON,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,1,2,0,0,1,2,3
YANACACHI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,8,4,0,0,8,4,12
YAPACANI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,0,0,0,1,0,1,1
YOCALLA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-02-01,1,1,0,0,1,1,2
BELEN DE URMIRI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,2,1,0,1,2,2,4
BERMEJO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,2,0,0,0,2,2
CABEZAS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,5,5,0,0,5,5,10
CAMIRI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,1,12,0,0,1,12,13
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,4,1,0,0,4,1,5
COCHABAMBA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,6,10,0,0,6,10,16
COLQUECHACA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,4,3,0,0,4,3,7
COPACABANA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,0,0,4,0,4,4
COTAGAITA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,2,0,0,0,2,2
COTOCA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,1,5,0,0,1,5,6
CUATRO CAÑADAS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,6,12,0,0,6,12,18
EL ALTO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,17,205,4,44,21,249,270
HUACARETA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,4,1,0,0,4,1,5
HUACHACALLA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,2,2,0,8,2,10,12
HUANUNI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,2,0,0,0,2,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,0,3,1,3,1,4
LA GUARDIA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,0,5,2,5,2,7
LA PAZ,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,100,88,6,12,106,100,206
MOCOMOCO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,1,0,0,0,1,0,1
MONTEAGUDO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,2,0,0,0,2,2
MONTERO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,1,2,0,0,1,2,3
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,0,1,9,1,9,10
ORURO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,1,19,0,0,1,19,20
PORTACHUELO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,4,0,0,0,4,4
POTOSI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,12,14,0,0,12,14,26
PUCARANI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,0,3,0,3,0,3
PUERTO PEREZ,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
SAN ANDRES,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,7,6,0,0,7,6,13
SAN BORJA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,2,0,0,0,2,0,2
SAN IGNACIO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,3,0,0,0,3,3
SAN JUAN DE YAPACANI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,2,1,0,1,2,3
SAN LUCAS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,2,0,1,0,3,0,3
SANTA ANA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,5,3,2,3,7,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,14,37,0,0,14,37,51
SANTA ROSA DEL SARA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,2,0,0,0,2,2
SAPAHAQUI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,0,8,0,8,0,8
SUCRE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,5,22,0,0,5,22,27
TACOBAMBA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,5,0,0,0,5,5
TARIJA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,3,3,0,0,3,3,6
TRINIDAD,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,6,0,0,0,6,6
TUPIZA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
UYUNI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,1,7,0,0,1,7,8
VILLA TUNARI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,0,1,0,1,0,1
VILLAZON,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,3,6,0,0,3,6,9
YACO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,1,4,0,0,1,4,5
YAPACANI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-03-01,0,0,4,4,4,4,8
ARQUE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,2,0,0,0,2,2
BATALLAS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,0,8,0,8,0,8
BERMEJO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,6,3,0,0,6,3,9
CABEZAS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,0,0,5,0,5,5
CAMIRI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,6,2,0,0,6,2,8
CARACOLLO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,1,0,15,0,16,0,16
CHALLAPATA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
CHARAGUA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,1,0,0,0,1,0,1
COCAPATA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,6,5,0,0,6,5,11
COCHABAMBA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,33,114,0,0,33,114,147
"COLCHA ""K""",otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,5,1,0,0,5,1,6
COLLANA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,4,4,3,7,7,11,18
COLOMI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,0,2,5,2,5,7
COTAGAITA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,2,0,0,0,2,0,2
COTOCA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,25,56,26,94,51,150,201
EL PUENTE(TJA),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,3,0,0,0,3,3
ENTRE RIOS TRJ,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,2,0,0,0,2,2
EUREKA (SANTOS MERCADO),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
FILADELFIA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,0,1,0,1,0,1
HUACARETA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,2,0,0,0,2,0,2
HUACHACALLA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,2,0,0,0,2,2
HUANUNI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,1,9,0,0,1,9,10
HUMANATA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,1,1,0,0,1,1,2
IXIAMAS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,0,2,0,2,0,2
LA PAZ,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,10,52,0,0,10,52,62
LAJA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,1,116,109,116,110,226
LAS CARRERAS,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,2,0,0,0,2,0,2
MAGDALENA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,1,8,0,0,1,8,9
MOCOMOCO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,1,0,0,0,1,0,1
MONTEAGUDO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,0,13,30,13,30,43
OMEREQUE,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,2,0,2,0,4,4
ORURO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,18,19,0,0,18,19,37
PADCAYA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,0,9,17,9,17,26
PORTACHUELO,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,4,0,0,0,4,4
PORVENIR,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,1,4,0,0,1,4,5
POTOSI,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,6,4,0,0,6,4,10
PUERTO ACOSTA,otras vacunaciones,total hepatitis b 1ra. dosis trabajadores de salud,2015-04-01,0,0,0,5,0,5,5
