,group,variable,month,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTAL INFLUENZA ESTACIONAL A PERSONAL DE SALUD FUERA,TOTALES,TOTALES,TOTALES
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,4,6,0,0,4,6,10
SENA,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,18,11,0,0,18,11,29
SUCRE,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,8,0,0,0,8,0,8
VALLEGRANDE,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,total influenza estacional a personal de salud,2015-01-01,0,1,0,0,0,1,1
ACHACACHI,otras vacunaciones,total influenza estacional a personal de salud,2015-02-01,0,0,0,1,0,1,1
MONTERO,otras vacunaciones,total influenza estacional a personal de salud,2015-02-01,0,2,0,0,0,2,2
SANTA ANA,otras vacunaciones,total influenza estacional a personal de salud,2015-02-01,14,26,0,0,14,26,40
SAPAHAQUI,otras vacunaciones,total influenza estacional a personal de salud,2015-03-01,0,0,5,0,5,0,5
POTOSI,otras vacunaciones,total influenza estacional a personal de salud,2015-04-01,10,14,0,0,10,14,24
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personal de salud,2015-04-01,1,10,0,0,1,10,11
ACHACACHI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,10,15,3,2,13,17,30
ACHOCALLA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,9,4,8,4,17,21
ALALAY,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,0,0,0,1,0,1
ALTO BENI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,8,9,1,2,9,11,20
ANCORAIMES,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,16,1,0,8,16,24
ANDAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,13,5,7,10,20,30
ANZALDO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,3,1,1,4,4,8
ARANI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,8,0,0,5,8,13
ARBIETO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,24,1,3,8,27,35
ARQUE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,5,1,0,8,5,13
ASCENCION DE GUARAYOS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,4,0,0,1,4,5
ATOCHA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,21,19,15,24,36,43,79
AUCAPATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,1,3,1,3,4
AYATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,2,4,2,6,4,10
AYO AYO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,2,0,0,2,2,4
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,3,15,10,16,13,29
BELEN DE ANDAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,1,1,1,1,2
BELEN DE URMIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,4,2,4,3,8,11
BERMEJO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,7,0,0,2,7,9
BETANZOS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,28,18,9,5,37,23,60
BOLIVAR,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,5,0,0,6,5,11
BOYUIBE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,3,0,0,1,3,4
BUENA VISTA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,15,9,0,1,15,10,25
CABEZAS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,8,0,0,6,8,14
CAIROMA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,3,7,12,8,15,23
"CAIZA ""D""",otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,6,0,0,6,6,12
CAJUATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,5,0,0,5,5,10
CALACOTO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,1,5,1,5,6
CALAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,8,3,0,10,8,18
CAMARGO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,4,0,0,3,4,7
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,11,1,0,8,11,19
CAMIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,4,8,0,0,4,8,12
CAPINOTA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,12,20,1,8,13,28,41
CAQUIAVIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,11,11,0,4,11,15,26
CARACOLLO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,27,4,8,13,35,48
CARANAVI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,29,48,1,0,30,48,78
CARAPARI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,10,1,7,8,17,25
CARIPUYO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,1,0,0,2,1,3
CARMEN RIVERO TORREZ,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,4,0,0,3,4,7
CHACARILLA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,0,0,0,3,0,3
CHALLAPATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,8,19,3,5,11,24,35
CHAQUI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,9,1,3,10,12,22
CHARAGUA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,18,16,3,1,21,17,38
CHARAÑA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,3,0,0,5,3,8
CHIMORE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,14,17,0,0,14,17,31
CHOQUE COTA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,2,0,0,1,2,3
CHUA COCANI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,3,10,3,10,13
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,11,15,1,3,12,18,30
CHUMA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,4,0,0,5,4,9
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,3,0,0,0,3,3
CLIZA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,15,18,7,7,22,25,47
COBIJA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,23,44,24,19,47,63,110
COCHABAMBA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,371,632,91,278,462,910,1372
COLCAPIRHUA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,11,33,0,2,11,35,46
COLOMI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,1,10,14,10,15,25
COLQUIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,12,11,0,0,12,11,23
COMANCHE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,2,1,3,1,5,6
COMARAPA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,16,0,0,3,16,19
COMBAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,2,0,0,1,2,3
COPACABANA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,1,2,1,2,3
CORIPATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,12,0,1,5,13,18
CORO CORO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,2,0,0,1,2,3
COROICO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,3,9,18,10,21,31
CORQUE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,13,18,4,4,17,22,39
COTAGAITA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,18,19,1,8,19,27,46
COTOCA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,12,30,0,5,12,35,47
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,2,0,0,1,2,3
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,10,4,1,0,11,4,15
CUEVO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,7,0,0,7,7,14
CULPINA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,13,30,0,0,13,30,43
CURAHUARA DE CARANGAS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,2,4,1,5,3,8
DESAGUADERO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,1,0,0,1,1,2
EL ALTO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,303,475,105,34,408,509,917
EL CHORO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,4,0,0,2,4,6
EL TORNO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,26,0,0,9,26,35
ENTRE RIOS CBBA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,4,0,0,3,4,7
ESCOMA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,2,7,7,9,9,18
EUCALIPTUS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,4,6,0,0,4,6,10
EUREKA (SANTOS MERCADO),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,6,0,0,7,6,13
FILADELFIA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,10,13,0,0,10,13,23
GENERAL SAAVEDRA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,23,0,0,6,23,29
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,3,2,2,5,5,10
GUANAY,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,2,0,0,9,2,11
GUAQUI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,4,7,0,0,4,7,11
HUACARETA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,9,2,2,8,11,19
HUACHACALLA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,11,0,0,5,11,16
HUANUNI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,12,53,0,3,12,56,68
HUARINA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,3,2,0,4,3,7
HUATAJATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,11,0,0,6,11,17
HUAYLLAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,4,10,0,1,4,11,15
ICHOCA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,0,0,2,2,2,4
ICLA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,19,21,0,1,19,22,41
INCAHUASI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,2,0,0,2,2,4
INQUISIVI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,4,0,0,2,4,6
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,17,1,5,8,22,30
IXIAMAS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,3,0,0,0,3,3
JESUS DE MACHACA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,16,19,1,0,17,19,36
LA ASUNTA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,17,15,1,2,18,17,35
LA GUARDIA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,18,36,8,25,26,61,87
LA PAZ,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,276,509,124,125,400,634,1034
LAGUNILLAS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,11,7,0,0,11,7,18
LAJA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,12,18,7,9,19,27,46
LICOMA PAMPA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,4,0,0,1,4,5
LLICA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,7,0,0,9,7,16
LORETO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,0,1,0,1,1
LURIBAY,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,15,21,15,21,36
MACHACAMARCA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,5,2,2,5,7,12
MACHARETI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,2,0,0,3,2,5
MAIRANA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,5,0,0,3,5,8
MALLA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,2,0,0,6,2,8
MAPIRI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,4,4,0,0,4,4,8
MECAPACA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,6,0,0,2,6,8
MIZQUE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,4,1,0,2,4,6
MOCOMOCO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,8,1,0,6,8,14
MOJINETE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,5,1,0,2,5,7
MOJOCOYA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,1,0,0,3,1,4
MONTEAGUDO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,11,37,0,0,11,37,48
MONTERO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,2,0,0,2,2,4
MORO MORO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,3,0,0,1,3,4
NAZACARA DE PACAJES,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,2,0,0,1,2,3
OKINAWA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,26,0,0,6,26,32
OMEREQUE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,8,2,4,9,12,21
ORURO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,56,128,18,42,74,170,244
PADCAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,1,0,0,1,1,2
PAILON,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,4,6,4,6,10
PALCA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,1,9,9,11,10,21
PALOS BLANCOS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,4,11,0,0,4,11,15
PAMPA GRANDE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,8,8,0,0,8,8,16
PAPEL PAMPA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,4,0,0,2,4,6
PASORAPA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,7,0,0,9,7,16
PATACAMAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,1,2,1,2,3
PAZÑA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,9,2,5,4,14,18
PELECHUCO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,1,0,0,3,1,4
POCOATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,3,12,16,19,19,38
POCONA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,7,0,1,3,8,11
POJO (CBBA),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,7,0,0,9,7,16
POOPO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,11,4,4,9,15,24
PORCO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,4,9,1,1,5,10,15
POROMA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,14,0,0,9,14,23
PORONGO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,11,14,1,2,12,16,28
PORTACHUELO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,1,0,0,1,1,2
POSTRER VALLE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,4,0,0,1,4,5
POTOSI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,240,401,8,16,248,417,665
PRESTO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,8,12,2,2,10,14,24
PUCARA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,5,0,0,1,5,6
PUCARANI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,5,2,3,2,8,10
PUERTO CARABUCO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,8,8,0,0,8,8,16
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,10,12,5,9,15,21,36
PUERTO PEREZ,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,4,1,0,2,4,6
PUERTO QUIJARRO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,18,23,0,0,18,23,41
PUERTO RICO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,11,0,0,1,11,12
PUERTO SUAREZ,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,23,0,2,7,25,32
PUERTO VILLARROEL,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,23,54,8,9,31,63,94
PUNA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,4,1,2,7,6,13
PUNATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,31,75,0,0,31,75,106
QUIABAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,6,0,0,3,6,9
QUILLACOLLO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,66,150,4,3,70,153,223
QUIME,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,4,0,0,5,4,9
QUIRUSILLAS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,6,0,0,3,6,9
ROBORE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,4,0,0,1,4,5
SABAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,4,0,0,0,4,4
SACABA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,32,55,19,11,51,66,117
SACABAMBA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,7,3,0,9,7,16
SACACA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,8,5,8,5,13
SAIPINA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,9,0,0,2,9,11
SAMAIPATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,12,0,1,6,13,19
SAN ANDRES,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,1,0,2,1,3,4
SAN ANDRES DE MACHACA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,13,9,2,1,15,10,25
SAN ANTONIO DE ESMORUCO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,4,0,0,6,4,10
SAN BENITO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,14,12,1,2,15,14,29
SAN BUENA VENTURA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,6,0,0,5,6,11
SAN CARLOS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,1,0,0,2,1,3
SAN IGNACIO DE VELASCO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,32,105,0,0,32,105,137
SAN JAVIER(BNI),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,3,10,3,10,13
SAN JAVIER(STC),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,12,18,0,0,12,18,30
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,17,24,3,12,20,36,56
SAN JULIAN,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,13,0,0,7,13,20
SAN LORENZO(TJA),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,31,0,0,9,31,40
SAN LUCAS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,5,0,0,2,5,7
SAN MATIAS,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,10,2,1,8,11,19
SAN MIGUEL DE VELASCO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,21,0,0,9,21,30
SAN PEDRO DE CURAHUARA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,5,0,0,1,5,6
SAN PEDRO DE TIQUINA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,7,1,3,3,10,13
SAN RAFAEL,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,1,3,1,3,4
SAN RAMON BENI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,12,20,0,0,12,20,32
SAN RAMON SCZ,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,11,12,0,0,11,12,23
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,422,852,386,691,808,1543,2351
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,8,11,1,2,9,13,22
SANTIAGO DE CALLAPA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,1,1,1,1,2
SANTIAGO DE HUARI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,1,4,1,4,2,6
SANTIAGO DE HUATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,14,2,3,8,17,25
SANTIAGO DE MACHACA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,1,0,1,0,1
SANTIVAÑES,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,15,1,3,8,18,26
SAPAHAQUI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,6,5,3,8,9,17
SHINAOTA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,16,36,0,0,16,36,52
SICA SICA (VILLA AROMA),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,5,2,7,5,12,17
SICAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,4,0,0,5,4,9
SIPE SIPE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,28,44,2,5,30,49,79
SOPACHUY,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,4,17,0,0,4,17,21
SORATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,7,3,5,6,12,18
SUCRE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,208,379,51,95,259,474,733
TACACHI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,3,8,0,0,3,8,11
TACACOMA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,1,0,1,0,1
TACOPAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,7,3,0,0,7,3,10
TAHUA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,1,0,7,0,8,8
TAPACARI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,17,25,0,4,17,29,46
TARABUCO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,24,0,0,9,24,33
TARACO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,5,0,0,5,5,10
TARATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,15,17,0,0,15,17,32
TARIJA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,45,146,6,15,51,161,212
TEOPONTE,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,5,6,5,4,10,10,20
TIAWANACU,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,10,17,0,2,10,19,29
TINGUIPAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,5,0,0,6,5,11
TIPUANI,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,0,0,1,2,1,2,3
TIQUIPAYA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,19,45,3,8,22,53,75
TIRAQUE (CBBA),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,17,0,0,2,17,19
TOCO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,8,11,0,0,8,11,19
TOLATA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,9,15,0,0,9,15,24
TOLEDO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,12,0,0,1,12,13
TOMINA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,1,0,0,1,1,2
TOTORA(CBBA),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,1,0,0,2,1,3
TOTORA(ORR),otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,1,8,0,0,1,8,9
TRIGAL,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,2,2,0,0,2,2,4
TRINIDAD,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,34,78,0,0,34,78,112
TUPIZA,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,14,8,0,4,14,12,26
TURCO,otras vacunaciones,total influenza estacional a personal de salud,2015-05-01,6,16,0,0,6,16,22
