,group,variable,month,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS DENTRO,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTAL INFLUENZA ESTACIONAL A PERSONAS CON ENFERMEDADES CRÓNICAS FUERA,TOTALES,TOTALES,TOTALES
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,4,8,0,0,4,8,12
SAN RAMON BENI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,49,93,0,0,49,93,142
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,1,5,0,0,1,5,6
SENA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,0,0,2,1,2,1,3
TINGUIPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,0,0,0,2,0,2,2
TRINIDAD,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,20,22,16,13,36,35,71
URUBICHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,5,17,0,0,5,17,22
VALLEGRANDE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,9,10,7,3,16,13,29
VILLAZON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-01-01,0,0,3,0,3,0,3
SAN PEDRO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-02-01,0,3,0,0,0,3,3
LA PAZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-03-01,9,10,0,0,9,10,19
SAPAHAQUI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-03-01,0,0,5,0,5,0,5
BERMEJO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-04-01,0,1,0,1,0,2,2
POTOSI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-04-01,13,13,0,0,13,13,26
ACACIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,2,1,2,1,3
ACHACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,1,2,2,3,3,6
ACHOCALLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,2,0,0,1,2,3
AIQUILE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,16,12,16,12,28
ALALAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,17,19,17,19,36
ALTO BENI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,6,9,1,0,7,9,16
ANCORAIMES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,2,1,2,2,4
ANDAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,3,9,4,9,7,16
ANZALDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,4,7,4,7,11
APOLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,13,4,9,6,22,28
ARANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,8,16,3,3,11,19,30
ARBIETO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,13,7,16,33,29,40,69
ARQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,7,1,2,2,9,11
ATOCHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,2,1,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,5,15,23,19,28,47
BATALLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,2,3,2,3,5
BELEN DE URMIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,2,13,14,14,16,30
BERMEJO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,14,11,0,4,14,15,29
BETANZOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,12,13,31,44,43,57,100
BOLIVAR,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,1,1,1,1,2
BOYUIBE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,4,1,11,1,15,16
BUENA VISTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,3,0,2,2,5,7
CABEZAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,28,2,0,5,28,33
CAIROMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,0,7,3,10,3,13
"CAIZA ""D""",otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,0,3,0,4,4
CAJUATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,2,5,5,5,7,12
CALACOTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,1,3,1,3,4
CALAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,1,0,1,0,1
CAMARGO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,1,1,0,2,1,3
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,0,0,1,0,1
CAMIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,5,6,0,0,5,6,11
CAPINOTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,4,0,2,4,6,10
CAQUIAVIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,2,27,23,27,25,52
CARACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,2,4,2,4,6
CARANAVI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,23,32,7,24,30,56,86
CARAPARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,2,11,15,11,17,28
CARMEN RIVERO TORREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,1,0,0,1,1,2
CATACORA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,8,7,8,7,15
CHAQUI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,3,14,10,17,13,30
CHARAGUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,7,12,3,5,10,17,27
CHARAÑA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,0,3,0,3,3
CHIMORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,11,10,2,3,13,13,26
CHOQUE COTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,5,3,5,3,10,6,16
CHUA COCANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,1,3,1,3,4
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,10,7,10,8,18
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,5,0,0,2,5,7
CLIZA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,14,9,11,23,25,32,57
COBIJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,4,21,17,25,21,46
COCAPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,10,3,10,3,13
COCHABAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,682,958,113,150,795,1108,1903
COLCAPIRHUA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,73,62,2,1,75,63,138
"COLCHA ""K""",otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,0,0,0,1,1
COLOMI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,1,4,1,5,6
COLQUENCHA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,3,4,3,4,7
COMANCHE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,23,23,23,23,46
COMARAPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,7,2,4,7,11,9,20
COMBAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,1,2,0,3,1,4
COPACABANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,2,4,3,4,7
CORIPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,1,1,0,3,1,4
CORO CORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,2,1,2,2,4,6
COROICO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,12,13,12,14,26
CORQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,2,1,2,2,4,6
COTAGAITA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,9,23,75,119,84,142,226
COTOCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,20,22,0,0,20,22,42
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,3,16,85,17,88,105
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,0,0,0,1,1
CUEVO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,1,1,3,4,4,8
CULPINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,5,0,0,1,5,6
CURAHUARA DE CARANGAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,2,9,2,9,11
CURVA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,0,1,0,1,1
DESAGUADERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,1,1,4,3,5,8
EL ALTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,348,443,103,160,451,603,1054
EL TORNO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,14,22,0,0,14,22,36
ENTRE RIOS CBBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,10,10,7,10,17,20,37
EUREKA (SANTOS MERCADO),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,13,10,13,10,23
FILADELFIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,3,4,4,4,8
GENERAL SAAVEDRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,11,17,5,6,16,23,39
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,0,1,0,2,2
GUANAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,14,7,15,7,22
GUAQUI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,3,6,9,8,12,20
GUTIERREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,13,5,14,5,19
HUACARETA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,4,3,8,7,12,19
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,1,1,2,1,3
HUANUNI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,5,8,13,9,18,27
HUATAJATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,0,1,0,1,1
HUAYLLAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,0,0,0,1,1
HUMANATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,9,14,13,17,22,39
ICLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,2,6,2,6,8
INCAHUASI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,1,1,1,1,2
INQUISIVI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,2,1,2,2,4,6
IXIAMAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,5,1,2,2,7,9
JESUS DE MACHACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,24,24,22,27,46,73
LA ASUNTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,79,67,12,8,91,75,166
LA GUARDIA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,11,18,31,28,42,46,88
LA PAZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,388,670,138,71,526,741,1267
LAGUNILLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,2,1,2,1,3
LAJA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,2,20,21,22,23,45
LICOMA PAMPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,2,2,2,2,4
LLICA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,5,0,0,4,5,9
LORETO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,4,3,4,3,7
LURIBAY,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,1,1,1,1,2
MACHACAMARCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,1,1,2,2,3,5
MACHARETI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,0,6,9,8,9,17
MAIRANA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,8,8,3,2,11,10,21
MAPIRI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,1,1,0,5,1,6
MECAPACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,2,6,2,7,9
MIZQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,2,0,0,2,2,4
MOCOMOCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,2,2,1,5,3,8
MOJINETE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,4,6,4,7,11
MOJOCOYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,3,2,3,3,6
MONTEAGUDO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,9,12,3,2,12,14,26
MONTERO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,6,16,0,5,6,21,27
MORO MORO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,4,3,4,7,8,15
OKINAWA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,9,0,0,4,9,13
OMEREQUE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,3,58,53,61,56,117
ORURO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,44,30,20,25,64,55,119
PADILLA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,0,3,0,3,3
PAILON,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,4,6,4,6,10
PALCA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,2,20,18,21,20,41
PALOS BLANCOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,5,3,1,2,6,5,11
PAMPA GRANDE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,4,0,0,4,4,8
PAPEL PAMPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,2,5,4,6,6,12
PASORAPA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,1,0,1,0,1
PAZÑA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,3,5,7,8,10,18
PELECHUCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,0,3,3,7,3,10
POCOATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,52,46,52,46,98
POCONA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,0,3,0,4,4
POJO (CBBA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,2,2,3,2,5,7
POOPO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,0,0,1,0,1
PORCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,12,19,12,19,31
POROMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,1,1,1,2,3
PORONGO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,5,7,6,7,13
PORTACHUELO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,60,117,0,0,60,117,177
POSTRER VALLE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,1,1,0,3,1,4
POTOSI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,97,89,38,57,135,146,281
PRESTO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,6,2,13,23,19,25,44
PUCARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,0,1,2,3,2,5
PUCARANI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,0,0,0,1,1
PUERTO CARABUCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,2,0,2,0,2
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,1,3,1,3,4
PUERTO PEREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,0,2,0,2,2
PUERTO QUIJARRO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,10,18,0,0,10,18,28
PUERTO SUAREZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,5,15,2,1,7,16,23
PUERTO VILLARROEL,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,27,20,45,51,72,71,143
PUNA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,2,0,3,0,5,5
PUNATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,23,19,16,39,39,58,97
QUIABAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,2,3,6,7,8,15
QUILLACOLLO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,39,61,21,47,60,108,168
QUIME,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,4,9,4,9,13
QUIRUSILLAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,6,8,0,0,6,8,14
ROBORE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,6,5,0,0,6,5,11
SACABA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,30,51,15,34,45,85,130
SACABAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,7,10,14,12,21,33
SACACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,6,7,6,7,13
SAIPINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,8,2,6,5,14,19
SAMAIPATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,5,7,2,4,7,11,18
SAN ANDRES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,12,23,12,23,35
SAN ANDRES DE MACHACA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,2,10,9,10,11,21
SAN ANTONIO DE LOMERIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,0,0,0,1,1
SAN BENITO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,2,3,1,5,3,8
SAN BUENA VENTURA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,3,0,2,2,5,2,7
SAN IGNACIO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,6,0,0,0,6,6
SAN IGNACIO DE VELASCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,11,13,0,0,11,13,24
SAN JAVIER(BNI),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,4,15,4,15,19
SAN JAVIER(STC),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,6,8,0,0,6,8,14
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,6,10,2,5,8,15,23
SAN JULIAN,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,5,8,8,12,13,25
SAN LORENZO(TJA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,5,9,9,11,14,20,34
SAN MATIAS,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,28,35,28,36,64
SAN MIGUEL DE VELASCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,6,0,0,4,6,10
SAN PEDRO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,4,1,2,1,6,2,8
SAN PEDRO DE TIQUINA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,2,4,15,5,17,22
SAN RAFAEL,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,3,10,28,12,31,43
SAN RAMON SCZ,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,21,16,0,0,21,16,37
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,625,898,25,45,650,943,1593
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,1,0,1,0,1
SANTIAGO DE HUARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,1,0,1,0,1
SANTIAGO DE HUATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,17,12,18,12,30
SANTIVAÑES,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,10,20,28,22,38,60
SAPAHAQUI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,5,4,5,4,9
SHINAOTA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,7,14,13,16,20,30,50
SICA SICA (VILLA AROMA),otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,0,1,0,1,1
SICAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,1,2,1,2,3
SIPE SIPE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,30,25,74,146,104,171,275
SORATA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,10,16,10,16,26
SUCRE,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,92,133,54,63,146,196,342
TACACHI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,1,0,0,0,1,1
TACACOMA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,1,3,2,5,3,8
TACOBAMBA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,3,2,3,2,5
TACOPAYA,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,7,9,7,9,16
TAPACARI,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,0,0,20,31,20,31,51
TARABUCO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,2,2,0,1,2,3,5
TARACO,otras vacunaciones,total influenza estacional a personas con enfermedades cronicas,2015-05-01,1,0,0,2,1,2,3
