,group,variable,month,TOTAL INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,TOTAL INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS DENTRO,TOTAL INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTAL INFLUENZA ESTACIONAL A MUJERES EMBARAZADAS FUERA,TOTALES,TOTALES,TOTALES
SAN IGNACIO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,13.0,0.0,15.0,0.0,28.0,28.0
SAN RAMON BENI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,8.0,0.0,0.0,0.0,8.0,8.0
SANTA ANA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
SANTIAGO DE HUARI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
TRINIDAD,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,88.0,0.0,26.0,0.0,114.0,114.0
URUBICHA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
VILLA NUEVA (LOMA ALTA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
VILLAZON,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-01-01,0.0,1.0,0.0,3.0,0.0,4.0,4.0
MONTERO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-02-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
SANTA ANA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-02-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
APOLO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-04-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
BERMEJO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
POTOSI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-04-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
SAN IGNACIO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-04-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
TINGUIPAYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-04-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
YACUIBA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-04-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
ACACIO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,3.0,0.0,5.0,5.0
ACHACACHI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,31.0,0.0,7.0,0.0,38.0,38.0
ACHOCALLA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,29.0,0.0,0.0,0.0,29.0,29.0
ALALAY,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,4.0,0.0,4.0,4.0
ALTO BENI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,30.0,0.0,5.0,0.0,35.0,35.0
ANCORAIMES,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,10.0,0.0,4.0,0.0,14.0,14.0
ANDAMARCA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,5.0,0.0,5.0,0.0,10.0,10.0
ANZALDO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,5.0,0.0,7.0,7.0
APOLO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,1.0,0.0,4.0,4.0
ARANI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,17.0,0.0,5.0,0.0,22.0,22.0
ARBIETO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,14.0,0.0,21.0,0.0,35.0,35.0
ARQUE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,8.0,0.0,4.0,0.0,12.0,12.0
ATOCHA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
AYATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,5.0,0.0,2.0,0.0,7.0,7.0
AYO AYO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,11.0,0.0,12.0,12.0
BELEN DE ANDAMARCA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
BELEN DE URMIRI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,6.0,0.0,6.0,6.0
BERMEJO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,12.0,0.0,15.0,0.0,27.0,27.0
BETANZOS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,14.0,0.0,53.0,0.0,67.0,67.0
BOLIVAR,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,9.0,0.0,11.0,11.0
BOLPEBRA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
BOYUIBE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,5.0,0.0,1.0,0.0,6.0,6.0
BUENA VISTA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,20.0,0.0,1.0,0.0,21.0,21.0
CABEZAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
CAIROMA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,11.0,0.0,8.0,0.0,19.0,19.0
"CAIZA ""D""",otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,16.0,0.0,1.0,0.0,17.0,17.0
CAJUATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,14.0,0.0,21.0,0.0,35.0,35.0
CALACOTO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,3.0,0.0,9.0,9.0
CAMIRI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
CAPINOTA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,7.0,0.0,11.0,0.0,18.0,18.0
CAQUIAVIRI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,8.0,0.0,5.0,0.0,13.0,13.0
CARACOLLO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,25.0,0.0,3.0,0.0,28.0,28.0
CARANAVI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,161.0,0.0,15.0,0.0,176.0,176.0
CARAPARI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,9.0,0.0,6.0,0.0,15.0,15.0
CARIPUYO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,3.0,0.0,4.0,4.0
CARMEN RIVERO TORREZ,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
CATACORA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
CHACARILLA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
CHALLAPATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,15.0,0.0,8.0,0.0,23.0,23.0
CHAQUI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,18.0,0.0,13.0,0.0,31.0,31.0
CHARAGUA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,12.0,0.0,6.0,0.0,18.0,18.0
CHARAÑA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
CHIMORE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,11.0,0.0,0.0,0.0,11.0,11.0
CHOQUE COTA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,2.0,0.0,4.0,4.0
CHUA COCANI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,11.0,0.0,18.0,0.0,29.0,29.0
CHUMA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,10.0,0.0,14.0,14.0
CLIZA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,21.0,0.0,5.0,0.0,26.0,26.0
COBIJA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,23.0,0.0,4.0,0.0,27.0,27.0
COCHABAMBA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,922.0,0.0,56.0,0.0,978.0,978.0
COLCAPIRHUA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,75.0,0.0,2.0,0.0,77.0,77.0
"COLCHA ""K""",otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
COLOMI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,28.0,0.0,5.0,0.0,33.0,33.0
COLQUENCHA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,10.0,0.0,1.0,0.0,11.0,11.0
COLQUIRI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
COMANCHE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,2.0,0.0,6.0,6.0
COMARAPA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,5.0,0.0,3.0,0.0,8.0,8.0
COMBAYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,4.0,0.0,7.0,7.0
COPACABANA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,5.0,0.0,7.0,7.0
CORIPATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,13.0,0.0,1.0,0.0,14.0,14.0
CORO CORO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
COROICO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,6.0,0.0,7.0,7.0
CORQUE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,2.0,0.0,5.0,5.0
COTAGAITA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,11.0,0.0,38.0,0.0,49.0,49.0
COTOCA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,104.0,0.0,10.0,0.0,114.0,114.0
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,0.0,0.0,3.0,3.0
CUEVO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
CULPINA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
CURAHUARA DE CARANGAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,2.0,0.0,3.0,3.0
CURVA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
DESAGUADERO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,7.0,0.0,9.0,9.0
EL ALTO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1910.0,0.0,353.0,0.0,2263.0,2263.0
EL CHORO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
EL TORNO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,36.0,0.0,1.0,0.0,37.0,37.0
ENTRE RIOS CBBA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,51.0,0.0,3.0,0.0,54.0,54.0
ESCOMA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,9.0,0.0,2.0,0.0,11.0,11.0
EUREKA (SANTOS MERCADO),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
FILADELFIA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
GUANAY,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,33.0,0.0,6.0,0.0,39.0,39.0
GUAQUI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,11.0,0.0,3.0,0.0,14.0,14.0
HUACARETA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,12.0,0.0,10.0,0.0,22.0,22.0
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
HUACHACALLA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
HUANUNI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,10.0,0.0,7.0,0.0,17.0,17.0
HUARINA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,2.0,0.0,5.0,5.0
HUATAJATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,0.0,0.0,6.0,6.0
HUAYLLAMARCA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
HUMANATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
ICHOCA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,2.0,0.0,2.0,2.0
ICLA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,11.0,0.0,26.0,0.0,37.0,37.0
INCAHUASI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,2.0,0.0,4.0,4.0
INQUISIVI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,4.0,0.0,5.0,5.0
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,8.0,0.0,14.0,14.0
IXIAMAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
JESUS DE MACHACA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,35.0,0.0,24.0,0.0,59.0,59.0
LA ASUNTA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,39.0,0.0,9.0,0.0,48.0,48.0
LA GUARDIA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,26.0,0.0,22.0,0.0,48.0,48.0
LA PAZ,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1077.0,0.0,157.0,0.0,1234.0,1234.0
LAGUNILLAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,3.0,0.0,4.0,4.0
LAJA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,43.0,0.0,25.0,0.0,68.0,68.0
LICOMA PAMPA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,8.0,0.0,8.0,8.0
LLICA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,15.0,0.0,0.0,0.0,15.0,15.0
LORETO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
LURIBAY,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,7.0,0.0,7.0,7.0
MACHACAMARCA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
MACHARETI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,9.0,0.0,12.0,12.0
MAIRANA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,1.0,0.0,1.0,1.0
MALLA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,4.0,0.0,4.0,4.0
MAPIRI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,19.0,0.0,12.0,0.0,31.0,31.0
MECAPACA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,1.0,0.0,7.0,7.0
MIZQUE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,13.0,0.0,4.0,0.0,17.0,17.0
MOCOMOCO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,12.0,0.0,9.0,0.0,21.0,21.0
MOJINETE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MOJOCOYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,3.0,0.0,7.0,7.0
MONTEAGUDO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,0.0,0.0,4.0,4.0
MONTERO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
MORO MORO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
OKINAWA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
OMEREQUE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,11.0,0.0,18.0,0.0,29.0,29.0
ORURO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,186.0,0.0,72.0,0.0,258.0,258.0
PADCAYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
PALCA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,20.0,0.0,18.0,0.0,38.0,38.0
PALOS BLANCOS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,7.0,0.0,2.0,0.0,9.0,9.0
PAMPA AULLAGAS,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,5.0,0.0,6.0,6.0
PAMPA GRANDE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
PAPEL PAMPA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,7.0,0.0,1.0,0.0,8.0,8.0
PATACAMAYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,3.0,0.0,3.0,3.0
PAZÑA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,6.0,0.0,12.0,12.0
PELECHUCO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,4.0,0.0,8.0,8.0
POCOATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,5.0,0.0,34.0,0.0,39.0,39.0
POCONA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,3.0,0.0,4.0,4.0
POJO (CBBA),otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,6.0,0.0,12.0,12.0
POOPO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
PORCO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,0.0,0.0,22.0,0.0,22.0,22.0
POROMA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,7.0,0.0,0.0,0.0,7.0,7.0
PORONGO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,4.0,0.0,1.0,0.0,5.0,5.0
PORTACHUELO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
POSTRER VALLE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
POTOSI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,299.0,0.0,39.0,0.0,338.0,338.0
PRESTO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,6.0,0.0,12.0,12.0
PUCARA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,3.0,0.0,1.0,0.0,4.0,4.0
PUCARANI,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,7.0,0.0,10.0,0.0,17.0,17.0
PUERTO ACOSTA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,5.0,0.0,6.0,6.0
PUERTO CARABUCO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,6.0,0.0,8.0,8.0
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,49.0,0.0,50.0,50.0
PUERTO PEREZ,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,1.0,0.0,2.0,2.0
PUERTO QUIJARRO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,31.0,0.0,0.0,0.0,31.0,31.0
PUERTO RICO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,2.0,0.0,0.0,0.0,2.0,2.0
PUERTO SUAREZ,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,12.0,0.0,1.0,0.0,13.0,13.0
PUERTO VILLARROEL,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,79.0,0.0,52.0,0.0,131.0,131.0
PUNA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,6.0,0.0,2.0,0.0,8.0,8.0
PUNATA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,14.0,0.0,5.0,0.0,19.0,19.0
QUIABAYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,5.0,0.0,9.0,0.0,14.0,14.0
QUILLACOLLO,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,34.0,0.0,56.0,0.0,90.0,90.0
QUIME,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,25.0,0.0,1.0,0.0,26.0,26.0
ROBORE,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
SABAYA,otras vacunaciones,total influenza estacional a mujeres embarazadas,2015-05-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
