,group,variable,month,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTAL HEPATITIS B 2DA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
CORIPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,1,1,0,0,1,1,2
COTOCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,3,2,0,0,3,2,5
EL ALTO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,8,28,9,2,17,30,47
EL VILLAR,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,2,0,0,0,2,2
HUACARETA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,5,4,0,0,5,4,9
LA GUARDIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,4,0,3,0,7,7
LA PAZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,21,59,4,2,25,61,86
MAPIRI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,4,1,0,0,4,1,5
MOJOCOYA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,2,6,0,0,2,6,8
MONTEAGUDO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
MONTERO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,0,0,1,0,1,1
ORURO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,12,49,0,0,12,49,61
PADCAYA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,3,0,0,0,3,3
PAILON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,2,1,2,1,4,5
PALOS BLANCOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,1,1,0,1,1,2
POROMA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,1,2,0,0,1,2,3
PORTACHUELO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,2,1,0,0,2,1,3
POTOSI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,8,19,0,0,8,19,27
PUCARANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,2,0,0,0,2,2
PUERTO PEREZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,11,5,0,0,11,5,16
ROBORE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
SACABA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,0,3,3,3,3,6
SAN CARLOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
SAN IGNACIO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,2,1,0,0,2,1,3
SAN IGNACIO DE VELASCO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,2,1,0,0,2,1,3
SAN JOSE DE CHIQUITOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,9,31,0,0,9,31,40
SUCRE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,20,13,0,1,20,14,34
TARIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,8,10,0,0,8,10,18
TARVITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,2,4,0,0,2,4,6
TRINIDAD,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,29,41,0,0,29,41,70
VALLEGRANDE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,2,2,0,0,2,2,4
VILLA SERRANO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,2,0,0,0,2,0,2
VILLAZON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,1,2,0,0,1,2,3
WARNES,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,2,2,0,0,2,2,4
YACUIBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-01-01,13,4,1,0,14,4,18
BATALLAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,0,0,2,0,2,2
BERMEJO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,1,6,1,0,2,6,8
BOYUIBE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,2,0,0,0,2,0,2
CALAMARCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,3,5,0,0,3,5,8
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,0,1,5,1,5,6
CHALLAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,2,2,0,0,2,2,4
CHARAGUA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,3,0,0,0,3,0,3
CHIMORE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,6,5,0,0,6,5,11
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,1,3,0,0,1,3,4
COPACABANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
COTOCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,5,0,0,0,5,0,5
EL ALTO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,5,10,7,28,12,38,50
HUACARETA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,2,4,0,0,2,4,6
HUMANATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,1,2,0,0,1,2,3
INQUISIVI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,2,1,0,0,2,1,3
LA GUARDIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,1,4,1,4,2,6
LA PAZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,19,28,5,5,24,33,57
MONTEAGUDO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,2,0,0,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,1,0,0,0,1,0,1
ORURO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,5,13,0,0,5,13,18
PAILON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,0,10,10,10,10,20
POTOSI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,2,7,0,0,2,7,9
PUCARANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,1,4,0,0,1,4,5
PUERTO PEREZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,2,0,0,0,2,2
PUERTO SUAREZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,2,0,0,0,2,2
SAN RAFAEL,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,3,6,0,0,3,6,9
SANTA ANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,3,1,0,0,3,1,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,17,23,0,0,17,23,40
SAPAHAQUI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,0,1,1,1,1,2
SUCRE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,5,14,0,0,5,14,19
TARABUCO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,1,2,0,0,1,2,3
TARIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,4,0,0,0,4,4
TINGUIPAYA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
TRINIDAD,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,4,26,0,0,4,26,30
VALLEGRANDE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,1,1,0,0,1,1,2
VIACHA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,2,0,0,0,2,2
VILLA CHARCAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,1,3,0,0,1,3,4
YACUIBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,3,0,0,0,3,0,3
YANACACHI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,3,3,0,0,3,3,6
YAPACANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,1,0,0,0,1,0,1
YOCALLA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,0,3,0,0,0,3,3
YUNCHARA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-02-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,2,7,0,0,2,7,9
CAMIRI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,1,6,0,0,1,6,7
CHALLAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
CHARAGUA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,1,1,0,0,1,1,2
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,2,5,0,0,2,5,7
COLQUECHACA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,1,3,0,0,1,3,4
COPACABANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,1,0,1,0,2,0,2
COTOCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,2,4,0,0,2,4,6
CUATRO CAÑADAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,2,3,0,0,2,3,5
EL ALTO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,13,33,116,61,129,94,223
HUACARETA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,4,1,0,0,4,1,5
IRUPANA (VILLA DE LANZA),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,0,1,0,1,0,1
LA GUARDIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,3,0,1,0,4,4
LA PAZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,13,44,0,0,13,44,57
MAGDALENA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,1,1,0,0,1,1,2
MOCOMOCO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,6,16,0,0,6,16,22
POTOSI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,5,12,0,0,5,12,17
PUCARANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,2,2,0,2,2,4
SAN BORJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,1,0,0,0,1,0,1
SAN CARLOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
SAN JUAN DE YAPACANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
SANTA ANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,6,5,0,4,6,9,15
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,9,43,0,0,9,43,52
SANTA ROSA DEL SARA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
SAPAHAQUI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,0,25,0,25,0,25
SUCRE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,1,9,1,0,2,9,11
TARIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,3,0,0,0,3,0,3
TINGUIPAYA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,3,0,0,0,3,3
TRINIDAD,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,3,5,0,0,3,5,8
VILLAZON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,1,2,0,0,1,2,3
YAPACANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,1,9,9,9,10,19
YUNCHARA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
BELEN DE URMIRI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,2,0,0,0,2,2
CAMIRI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
CHIMORE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,8,30,0,0,8,30,38
COTAGAITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,2,0,0,0,2,2
COTOCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,18,71,2,9,20,80,100
EUREKA (SANTOS MERCADO),otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,3,0,0,0,3,0,3
FILADELFIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,0,0,1,0,1,1
HUACARETA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,2,0,0,0,2,0,2
HUACHACALLA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
HUANUNI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,1,0,0,0,1,0,1
LA GUARDIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,27,60,7,9,34,69,103
MAGDALENA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,1,2,0,0,1,2,3
MOCOMOCO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,2,0,0,0,2,0,2
MONTERO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,1,1,0,0,1,1,2
ORURO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,7,12,0,0,7,12,19
PORTACHUELO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,7,0,0,0,7,7
POTOSI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,3,6,0,0,3,6,9
PUCARANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
SAN ANDRES,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,4,0,0,0,4,4
SAN IGNACIO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,1,4,0,3,1,7,8
SAN JUAN DE YAPACANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,0,1,0,1,0,1
SAN JULIAN,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,2,3,0,0,2,3,5
SANTA ANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,2,4,0,0,2,4,6
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,5,9,0,2,5,11,16
SANTA ROSA DEL SARA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,2,0,0,0,2,2
SUCRE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,4,12,0,0,4,12,16
TARIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,2,0,0,0,2,2
TINGUIPAYA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
TOMAVE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,4,1,2,0,6,1,7
TRINIDAD,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,2,4,0,0,2,4,6
UYUNI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,1,6,0,0,1,6,7
VILLAZON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,2,0,0,0,2,2
YUNCHARA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-04-01,0,0,0,1,0,1,1
ANDAMARCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,3,0,0,0,3,3
BUENA VISTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
CARACOLLO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,0,1,5,1,5,6
CHALLAPATA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
COBIJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,7,28,0,0,7,28,35
COLQUECHACA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
COTAGAITA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,2,0,0,0,2,0,2
COTOCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,2,1,0,0,2,1,3
EL ALTO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,9,21,11,16,20,37,57
ENTRE RIOS TRJ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,1,0,1,0,2,2
HUACARETA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,2,0,0,0,2,2
HUACHACALLA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,2,0,0,0,2,2
LA GUARDIA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,31,35,0,0,31,35,66
MAIRANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,7,19,0,0,7,19,26
POTOSI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,1,1,0,0,1,1,2
PUCARANI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,2,1,2,1,4,5
PUERTO ACOSTA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,5,0,0,0,5,5
PUERTO GONZALO MORENO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,0,0,1,0,1,1
PUERTO RICO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,3,0,0,0,3,3
QUIRUSILLAS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,4,0,0,0,4,4
ROBORE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,1,0,0,0,1,0,1
SACABA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,3,1,0,0,3,1,4
SAN BORJA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,1,2,0,0,1,2,3
SAN BUENA VENTURA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,2,0,0,0,2,2
SAN CARLOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,2,1,0,1,2,2,4
SANTA ANA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,13,22,0,0,13,22,35
TARACO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,1,1,0,0,1,1,2
TOMAVE,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,1,1,0,0,1,1,2
TRINIDAD,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,3,0,0,0,3,3
VILLAZON,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,2,2,0,0,2,2,4
YACUIBA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,1,2,0,0,1,2,3
YUNCHARA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
BELEN DE ANDAMARCA,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,2,0,0,0,2,2
BERMEJO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,1,2,0,0,1,2,3
CAMIRI,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,1,1,0,0,1,1,2
CARACOLLO,otras vacunaciones,total hepatitis b 2da. dosis trabajadores de salud,2015-06-01,0,0,8,0,8,0,8
