,group,variable,month,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 1RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
ASCENCION DE GUARAYOS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,43,0,4,0,47,47
ATOCHA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,13,0,0,5,13,18
AUCAPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
AYATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,9,1,2,5,11,16
AYO AYO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,3,0,0,3,3,6
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,9,16,40,52,49,68,117
BATALLAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,20,30,50,75,70,105,175
BAURES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,6,0,0,0,6,6
BELEN DE ANDAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,0,1,0,1,0,1
BELLA FLOR,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,7,0,13,11,20,11,31
BERMEJO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,21,68,0,2,21,70,91
BETANZOS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,65,0,4,5,69,74
BOLIVAR,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,1,0,1,1,2,3
BOLPEBRA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,7,0,0,0,7,0,7
BOYUIBE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,27,6,0,0,27,6,33
BUENA VISTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,30,3,1,6,31,37
CABEZAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,11,35,15,55,26,90,116
CAIROMA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,6,4,0,0,6,4,10
"CAIZA ""D""",otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,12,0,0,2,12,14
CAJUATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,10,0,3,3,13,16
CALACOTO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,5,22,25,25,30,55
CALAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,18,1,1,3,19,22
CAMARGO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,10,2,12,7,22,29
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
CAMIRI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,94,55,102,48,196,103,299
CAPINOTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,7,19,41,49,48,68,116
CAQUIAVIRI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,10,0,3,1,13,14
CARACOLLO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,22,0,1,5,23,28
CARANAVI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,50,137,48,32,98,169,267
CARAPARI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,49,35,0,1,49,36,85
CARIPUYO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,12,0,1,0,13,13
CARMEN RIVERO TORREZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,8,16,1,4,9,20,29
CATACORA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,0,0,10,2,10,12
CHACARILLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,61,7,5,12,66,78
CHAQUI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,14,0,0,2,14,16
CHARAGUA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,13,70,19,74,32,106
CHAYANTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,24,9,12,9,36,45
CHIMORE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,31,37,23,17,54,54,108
CHOQUE COTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CHUA COCANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,2,0,1,2,3,5
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,43,7,25,9,68,77
CHUMA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,14,7,7,9,21,30
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,7,0,0,0,7,7
CKOCHAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,6,0,20,1,26,27
CLIZA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,18,25,27,21,45,46,91
COBIJA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,60,115,40,36,100,151,251
COCAPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,0,24,32,24,32,56
COCHABAMBA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,571,881,187,273,758,1154,1912
COLCAPIRHUA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,17,45,40,78,57,123,180
"COLCHA ""K""",otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,14,6,8,11,22,33
COLLANA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
COLOMI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,14,32,0,0,14,32,46
COLPA BELGICA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,11,1,0,6,11,17
COLQUECHACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,11,28,16,42,27,70,97
COLQUENCHA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,10,0,0,0,10,10
COLQUIRI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,2,5,14,5,16,21
COMANCHE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,8,0,0,0,8,8
COMARAPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,5,1,0,2,5,7
COMBAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
CONCEPCION,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,11,5,14,9,25,34
COPACABANA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,7,4,2,5,9,14
CORIPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,8,27,3,9,11,36,47
CORO CORO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,4,1,0,3,4,7
COROICO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,11,19,34,35,45,54,99
CORQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,6,0,0,3,6,9
COTAGAITA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,14,0,1,4,15,19
COTOCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,37,137,20,40,57,177,234
CRUZ DE MACHACAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,0,2,0,2,0,2
CUATRO CAÑADAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,11,3,12,5,23,28
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,4,8,2,9,6,15
CUEVO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,3,2,1,7,4,11
CULPINA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,7,13,1,15,8,28,36
CURAHUARA DE CARANGAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,3,0,0,1,3,4
CURVA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
DESAGUADERO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,7,0,1,0,8,8
EL ALTO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,332,1387,804,490,1136,1877,3013
EL CHORO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,2,5,0,5,2,7
EL PUENTE(STC),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,18,17,0,0,18,17,35
EL PUENTE(TJA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,3,1,2,5,5,10
EL TORNO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,42,116,20,13,62,129,191
EL VILLAR,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,6,0,5,5,11,16
ENTRE RIOS TRJ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,13,11,5,7,18,18,36
ENTRE RIOS CBBA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,75,74,43,12,118,86,204
ESCOMA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,7,16,12,16,19,35
ESMERALDA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
EXALTACION,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,4,0,0,2,4,6
FERNANDEZ ALONSO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
FILADELFIA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,5,2,5,3,10,13
GENERAL SAAVEDRA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,9,4,1,5,10,9,19
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,12,0,5,0,17,17
GUANAY,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,13,24,7,21,20,45,65
GUAQUI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,6,0,0,0,6,6
GUAYARAMERIN,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,14,93,20,42,34,135,169
GUTIERREZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,6,3,4,3,10,6,16
HUACARETA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,7,6,0,2,7,8,15
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,3,0,0,1,3,4
HUACHACALLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,7,0,0,5,7,12
HUANUNI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,22,2,8,6,30,36
HUARACAJE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,4,0,0,2,4,6
HUARINA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,12,4,8,8,20,28
HUATAJATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,8,18,7,23,15,38
HUAYLLAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,1,0,2,4,3,7
HUMANATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,4,0,2,0,6,6
ICHOCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,4,1,12,1,16,17
ICLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,7,0,13,1,20,21
INCAHUASI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,7,11,48,13,55,68
INQUISIVI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,2,0,1,1,3,4
IRUPANA (VILLA DE LANZA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,24,41,5,43,29,72
IXIAMAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,6,6,1,2,7,8,15
JESUS DE MACHACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,9,0,0,0,9,9
LA ASUNTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,20,81,64,50,84,131,215
LA GUARDIA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,35,60,73,107,108,167,275
LA PAZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,383,1240,76,183,459,1423,1882
LAGUNILLAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,17,12,3,10,20,22,42
LAJA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,21,27,48,31,69,100
LAS CARRERAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,0,1,0,1,0,1
LICOMA PAMPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
LLALLAGUA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,16,48,46,102,62,150,212
LORETO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,3,5,12,5,15,20
LURIBAY,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,9,3,2,7,11,18
MACHACAMARCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
MACHARETI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,0,1,2,4,2,6
MAGDALENA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,12,0,0,0,12,12
MAIRANA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,6,1,6,1,12,13
MALLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,0,6,20,6,20,26
MAPIRI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,8,26,11,13,19,39,58
MECAPACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,13,8,15,12,28,40
MINEROS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
MIZQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,10,41,26,46,36,87,123
MOCOMOCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,8,5,5,5,13,18
MOJINETE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,3,0,3,3
MOJOCOYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,2,0,1,3,3,6
MONTEAGUDO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,17,21,13,14,30,35,65
MONTERO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,28,130,230,17,258,147,405
MOROCHATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,18,19,23,20,41,61
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,2,0,1,1,3,4
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,1,1,1,2,2,4
OCURI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,11,1,10,1,21,22
OKINAWA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,6,10,4,6,10,16,26
OMEREQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,6,10,10,7,16,17,33
ORURO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,153,442,4,19,157,461,618
PADCAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,28,16,3,6,31,22,53
PADILLA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,12,5,7,2,19,7,26
PAILON,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,23,40,12,11,35,51,86
PALCA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,15,27,37,65,52,92,144
PALOS BLANCOS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,10,25,23,21,33,46,79
PAMPA AULLAGAS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,9,0,0,1,9,10
PAMPA GRANDE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,8,15,22,17,30,47
PAPEL PAMPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,3,0,0,2,3,5
PASORAPA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,7,10,11,17,18,27,45
PATACAMAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,31,105,15,106,46,152
PAZÑA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,5,0,0,3,5,8
PELECHUCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,7,0,0,0,7,7
POCOATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,5,3,12,3,17,20
POCONA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,16,6,5,10,21,31
POJO (CBBA),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,4,16,7,17,11,28
POOPO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,4,0,0,3,4,7
PORCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,22,1,6,2,28,30
POROMA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,10,11,13,21,23,32,55
PORONGO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,12,10,24,10,36,46
PORTACHUELO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,6,33,0,1,6,34,40
PORVENIR,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,7,3,3,8,10,18
POSTRER VALLE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
POTOSI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,41,440,116,62,157,502,659
PRESTO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,7,5,10,8,17,25
PUCARA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,1,1,1,1,2,3
PUCARANI,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,12,38,19,47,31,85,116
PUERTO ACOSTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,7,3,6,6,13,19
PUERTO CARABUCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,4,2,2,2,6,8
PUERTO GONZALO MORENO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,8,7,8,9,16,25
PUERTO PEREZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,5,13,1,15,6,21
PUERTO QUIJARRO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,36,2,2,7,38,45
PUERTO RICO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,30,24,0,0,30,24,54
PUERTO SILES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
PUERTO SUAREZ,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,44,33,0,0,44,33,77
PUERTO VILLARROEL,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,62,76,7,4,69,80,149
PUNA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,18,1,40,4,58,62
PUNATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,57,51,48,40,105,91,196
QUIABAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,6,1,1,3,7,10
QUILLACOLLO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,94,128,64,52,158,180,338
QUIME,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,3,0,2,4,5,9
RAVELO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,9,18,1,3,10,21,31
REYES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,9,0,8,0,17,17
RIBERALTA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,30,227,9,4,39,231,270
ROBORE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,4,0,0,1,4,5
RURRENABAQUE,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,4,4,6,1,10,5,15
SABAYA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,1,3,0,0,1,3,4
SACABA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,73,194,82,86,155,280,435
SACABAMBA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,3,7,3,13,6,20,26
SACACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,7,47,8,25,15,72,87
SAIPINA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,8,29,0,0,8,29,37
SALINAS DE GARCI MENDOZA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,10,10,1,8,11,18,29
SAMAIPATA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,2,7,0,0,2,7,9
SAN ANDRES,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,14,0,0,0,14,14
SAN ANDRES DE MACHACA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
SAN ANTONIO DE LOMERIO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,4,0,7,7
SAN BENITO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,11,23,14,9,25,32,57
SAN BORJA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,24,107,13,12,37,119,156
SAN BUENA VENTURA,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,6,1,0,0,6,1,7
SAN CARLOS,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,15,24,2,4,17,28,45
SAN IGNACIO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,10,37,7,10,17,47,64
SAN IGNACIO DE VELASCO,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,48,123,6,6,54,129,183
SAN JAVIER(BNI),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,2,0,5,5
SAN JAVIER(STC),otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,5,8,0,0,5,8,13
SAN JOAQUIN,otras vacunaciones,total dt 1ra. dosis de 10 a 49 anos,2015-01-01,21,0,0,0,21,0,21
