,group,variable,month,TOTAL DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 2DA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 2DA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
ATOCHA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,5,0,0,1,5,6
AUCAPATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
AYATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,11,0,1,1,12,13
AYO AYO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,8,4,21,7,29,36
BATALLAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,7,12,26,30,33,42,75
BAURES,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,5,0,0,0,5,5
BELEN DE ANDAMARCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
BELLA FLOR,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,1,7,5,9,6,15
BERMEJO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,4,47,3,1,7,48,55
BETANZOS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,24,0,0,0,24,24
BOLIVAR,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,2,0,3,0,5,5
BOYUIBE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,6,8,0,0,6,8,14
BUENA VISTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,14,0,1,2,15,17
CABEZAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,13,20,8,39,21,59,80
CAIROMA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,18,2,2,2,20,22
"CAIZA ""D""",otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,7,0,0,1,7,8
CAJUATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,8,0,1,0,9,9
CALACOTO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,2,0,8,1,10,11
CALAMARCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,7,0,0,2,7,9
CAMARGO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,11,1,8,1,19,20
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
CAMIRI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,26,31,126,15,152,46,198
CAPINOTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,20,15,45,18,65,83
CAQUIAVIRI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,1,2,1,5,6
CARACOLLO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,21,0,2,1,23,24
CARANAVI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,10,85,29,20,39,105,144
CARANGAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,0,4,3,4,3,7
CARAPARI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,24,17,2,2,26,19,45
CARIPUYO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
CARMEN RIVERO TORREZ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,5,5,0,1,5,6,11
CATACORA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,0,0,0,2,0,2
CHALLAPATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,28,0,5,0,33,33
CHAQUI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CHARAGUA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,7,0,12,1,19,20
CHAYANTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
CHIMORE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,19,0,10,3,29,32
CHOQUE COTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CHUA COCANI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,26,1,4,1,30,31
CHUMA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,0,1,0,4,4
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CKOCHAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
CLIZA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,9,4,12,5,21,26
COBIJA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,20,63,7,30,27,93,120
COCAPATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,11,5,3,5,14,19
COCHABAMBA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,287,685,72,152,359,837,1196
COLCAPIRHUA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,11,67,42,59,53,126,179
"COLCHA ""K""",otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,8,11,2,1,10,12,22
COLLANA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
COLOMI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,19,0,0,3,19,22
COLPA BELGICA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,18,0,1,1,19,20
COLQUECHACA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,4,27,1,11,5,38,43
COLQUENCHA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,3,0,1,1,4,5
COLQUIRI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,1,1,4,2,5,7
COMARAPA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,4,0,2,0,6,6
CONCEPCION,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,22,1,19,3,41,44
COPACABANA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,7,5,1,5,8,13
CORIPATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,23,0,0,3,23,26
CORO CORO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
COROICO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,4,6,4,7,8,15
CORQUE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,0,1,0,4,4
COTAGAITA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,19,0,0,1,19,20
COTOCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,6,127,4,8,10,135,145
CRUZ DE MACHACAMARCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,0,0,3,0,3,3
CUATRO CAÑADAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,9,0,2,1,11,12
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,3,9,3,12,15
CUEVO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,2,7,1,8,3,11
CULPINA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,2,0,5,1,7,8
CURAHUARA DE CARANGAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,0,0,1,1,1,2
DESAGUADERO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
EL ALTO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,118,1224,327,393,445,1617,2062
EL CHORO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,5,2,4,1,9,3,12
EL PUENTE(STC),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,8,2,0,4,8,12
EL PUENTE(TJA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,5,0,1,3,6,9
EL TORNO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,11,79,16,46,27,125,152
EL VILLAR,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,5,3,6,4,11,15
ENTRE RIOS TRJ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,5,16,16,1,21,17,38
ENTRE RIOS CBBA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,22,71,8,1,30,72,102
ESCOMA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,4,1,0,2,4,6
EUREKA (SANTOS MERCADO),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
EXALTACION,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,4,0,0,0,4,4
FERNANDEZ ALONSO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,2,0,0,2,2,4
FILADELFIA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,4,1,0,2,4,6
GENERAL SAAVEDRA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,13,1,13,1,26,27
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,5,0,0,0,5,5
GUANAY,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,4,26,2,6,6,32,38
GUAQUI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
GUAYARAMERIN,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,21,73,7,15,28,88,116
GUTIERREZ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,5,6,3,1,8,7,15
HUACARETA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,4,1,10,4,14,18
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
HUACHACALLA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
HUANUNI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,28,1,10,2,38,40
HUARACAJE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,7,0,0,0,7,7
HUARINA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,7,0,2,2,9,11
HUATAJATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,3,1,6,2,9,11
HUAYLLAMARCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,5,0,6,0,11,11
HUMANATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,4,0,0,0,4,4
ICHOCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
ICLA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,2,0,5,0,7,7
INCAHUASI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,5,1,16,4,21,25
INGAVI (HUMAITA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
INQUISIVI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,0,0,0,2,0,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,2,0,0,1,2,3
IXIAMAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,7,5,2,3,9,8,17
JESUS DE MACHACA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
LA ASUNTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,8,39,56,57,64,96,160
LA GUARDIA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,20,46,24,57,44,103,147
LA PAZ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,157,976,66,168,223,1144,1367
LAGUNILLAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,8,9,3,6,11,15,26
LAJA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,27,3,11,3,38,41
LICOMA PAMPA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,6,0,1,0,7,7
LLALLAGUA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,9,36,29,43,38,79,117
LORETO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
LURIBAY,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,0,2,2,3,2,5
MACHACAMARCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,2,1,0,1,2,3
MACHARETI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,6,1,0,1,6,7
MAGDALENA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,6,0,0,0,6,6
MAIRANA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
MALLA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,0,16,23,16,23,39
MAPIRI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,44,1,16,1,60,61
MECAPACA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,0,2,0,5,5
MINEROS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
MIZQUE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,26,0,6,2,32,34
MOCOMOCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,4,0,4,0,8,8
MOJINETE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,0,1,6,1,6,7
MONTEAGUDO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,13,4,6,7,19,11,30
MONTERO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,8,117,0,7,8,124,132
MORO MORO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
MOROCHATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,6,0,18,2,24,26
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,3,2,1,3,4,7
OCURI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,6,1,16,1,22,23
OKINAWA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,6,16,1,1,7,17,24
OMEREQUE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,2,5,13,6,15,21
ORURO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,44,305,1,7,45,312,357
PADCAYA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,9,12,2,3,11,15,26
PADILLA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,2,0,1,0,3,3
PAILON,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,18,23,12,16,30,39,69
PALCA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,14,1,7,2,21,23
PALOS BLANCOS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,5,3,6,15,11,18,29
PAMPA AULLAGAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
PAMPA GRANDE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,6,2,9,3,15,18
PAPEL PAMPA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,0,0,3,0,3,3
PASORAPA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,6,0,0,0,6,6
PATACAMAYA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,7,0,0,0,7,7
PELECHUCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
POCOATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,4,0,5,1,9,10
POCONA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,13,7,4,9,17,26
POJO (CBBA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,3,8,12,10,15,25
POOPO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,0,1,0,4,4
PORCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,12,0,7,0,19,19
POROMA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,7,1,1,3,8,11
PORONGO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,11,0,24,0,35,35
PORTACHUELO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,23,0,5,3,28,31
PORVENIR,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,8,0,0,2,8,10
POSTRER VALLE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
POTOSI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,17,291,23,80,40,371,411
PRESTO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,7,0,1,1,8,9
PUCARANI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,26,10,3,10,29,39
PUERTO ACOSTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,6,0,1,0,7,7
PUERTO CARABUCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
PUERTO GONZALO MORENO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,19,9,19,10,29
PUERTO PEREZ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,5,6,13,6,18,24
PUERTO QUIJARRO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,0,2,0,5,5
PUERTO RICO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,6,0,0,0,6,6
PUERTO SILES,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
PUERTO SUAREZ,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,4,0,0,3,4,7
PUERTO VILLARROEL,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,32,64,7,4,39,68,107
PUNA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,12,0,17,0,29,29
PUNATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,24,44,11,22,35,66,101
QUIABAYA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
QUILLACOLLO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,49,85,119,67,168,152,320
QUIME,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,4,3,0,0,4,3,7
QUIRUSILLAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
RAVELO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,11,0,1,3,12,15
REYES,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,25,0,2,0,27,27
RIBERALTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,13,117,1,50,14,167,181
ROBORE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,1,0,0,2,1,3
RURRENABAQUE,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,3,4,4,4,7,11
SACABA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,27,127,25,20,52,147,199
SACABAMBA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,0,0,6,1,6,7
SACACA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,19,1,14,1,33,34
SAIPINA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,9,2,4,5,13,18
SAMAIPATA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,2,0,0,1,2,3
SAN ANDRES,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,11,0,0,0,11,11
SAN ANTONIO DE LOMERIO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,1,0,6,0,7,7
SAN BENITO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,14,4,7,7,21,28
SAN BORJA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,9,75,0,3,9,78,87
SAN BUENA VENTURA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,4,0,0,0,4,4
SAN CARLOS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,6,41,1,0,7,41,48
SAN IGNACIO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,9,29,3,11,12,40,52
SAN IGNACIO DE VELASCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,25,67,3,13,28,80,108
SAN JAVIER(BNI),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,1,0,2,1,3,4
SAN JAVIER(STC),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,4,7,0,0,4,7,11
SAN JOAQUIN,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,8,0,0,0,8,0,8
SAN JOSE DE CHIQUITOS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,2,15,0,0,2,15,17
SAN JUAN DE YAPACANI,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
SAN JULIAN,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,6,31,11,27,17,58,75
SAN LORENZO(PND),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,4,0,0,0,4,4
SAN LORENZO(TJA),otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,7,28,6,3,13,31,44
SAN LUCAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,48,0,4,1,52,53
SAN MATIAS,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,8,27,1,2,9,29,38
SAN MIGUEL DE VELASCO,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,3,6,0,0,3,6,9
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,17,0,7,0,24,24
SAN PEDRO DE CURAHUARA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,1,8,0,0,1,8,9
SAN PEDRO DE TIQUINA,otras vacunaciones,total dt 2da. dosis de 10 a 49 anos,2015-01-01,0,2,3,9,3,11,14
