,group,variable,month,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD DENTRO,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTAL HEPATITIS B 3RA. DOSIS TRABAJADORES DE SALUD FUERA,TOTALES,TOTALES,TOTALES
CORIPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,5,33,8,11,13,44,57
EL PUENTE(TJA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,1,1,0,0,1,1,2
EL VILLAR,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,2,0,0,0,2,0,2
ENTRE RIOS TRJ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
HUACARETA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,1,4,0,0,1,4,5
LA GUARDIA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,1,6,1,0,2,6,8
LA PAZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,14,44,0,0,14,44,58
MOJOCOYA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,4,10,0,0,4,10,14
MONTEAGUDO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,1,1,0,0,1,1,2
MONTERO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,3,0,0,0,3,0,3
ORURO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,5,19,0,0,5,19,24
PALOS BLANCOS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
POROMA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,3,4,0,0,3,4,7
PORTACHUELO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,3,0,0,0,3,3
POTOSI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,9,18,0,0,9,18,27
PUCARANI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,1,0,0,0,1,0,1
PUERTO PEREZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
PUERTO SUAREZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,2,6,0,0,2,6,8
SAN BORJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
SAN CARLOS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
SAN IGNACIO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,1,4,0,0,1,4,5
SAN PEDRO DE TIQUINA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
SANTA ANA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,7,10,0,0,7,10,17
SUCRE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,17,11,0,0,17,11,28
TARIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,7,19,0,0,7,19,26
TIPUANI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,3,1,0,0,3,1,4
TRINIDAD,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,7,43,0,0,7,43,50
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,2,0,0,0,2,2
VIACHA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
VILLAZON,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,1,0,0,0,1,1
WARNES,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,0,2,0,0,0,2,2
YACUIBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,36,18,0,0,36,18,54
YANACACHI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,1,3,0,0,1,3,4
YUNCHARA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-01-01,3,4,0,0,3,4,7
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,2,0,0,0,2,2
BUENA VISTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,0,0,0,1,0,1
CALAMARCA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,2,1,0,0,2,1,3
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,1,1,3,2,4,6
CAMIRI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,5,0,0,1,5,6
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,11,0,0,1,11,12
COCHABAMBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,2,14,0,0,2,14,16
CORIPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,2,0,0,0,2,2
COTOCA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,2,0,0,1,2,3
EL ALTO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,8,22,0,16,8,38,46
HUACARETA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,2,0,0,0,2,2
ICHOCA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,0,0,0,1,0,1
INQUISIVI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,4,0,0,0,4,4
LA GUARDIA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,1,1,4,1,5,6
LA PAZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,5,10,2,5,7,15,22
MAPIRI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,6,6,0,0,6,6,12
MOCOMOCO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,2,1,0,0,2,1,3
ORURO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,2,16,0,0,2,16,18
PAILON,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,0,3,3,3,3,6
PORTACHUELO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,2,0,0,1,2,3
POTOSI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,2,8,0,0,2,8,10
PUCARANI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
PUERTO SUAREZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,2,12,0,0,2,12,14
SAN ANDRES,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,0,0,1,0,1,1
SAN IGNACIO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,6,7,0,0,6,7,13
SAPAHAQUI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,10,16,0,0,10,16,26
TARABUCO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,1,0,0,1,1,2
TARIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,2,0,0,1,2,3
TRINIDAD,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,0,0,0,1,0,1
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,2,7,1,2,3,9,12
VALLEGRANDE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
VIACHA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,0,1,0,1,0,1
VILLA CHARCAS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,3,3,0,0,3,3,6
VILLA SERRANO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,2,0,0,0,2,0,2
VILLAZON,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,6,0,0,1,6,7
YACUIBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,3,2,0,0,3,2,5
YAPACANI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,1,0,0,0,1,0,1
YOCALLA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-02-01,0,1,0,0,0,1,1
ARAMPAMPA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,0,2,0,0,0,2,2
BERMEJO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,1,0,0,0,1,0,1
BOYUIBE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
BUENA VISTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,1,3,0,0,1,3,4
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,1,0,0,0,1,0,1
COCHABAMBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,11,7,0,0,11,7,18
COLQUECHACA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,4,2,0,0,4,2,6
COTAGAITA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,0,0,0,1,0,1,1
COTOCA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,1,2,0,0,1,2,3
CUATRO CAÑADAS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,6,2,0,0,6,2,8
EL ALTO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,8,24,0,13,8,37,45
HUACARETA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,1,0,0,0,1,0,1
LA ASUNTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,1,0,0,0,1,0,1
LA GUARDIA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,0,2,0,0,0,2,2
LA PAZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,3,22,71,51,74,73,147
MONTEAGUDO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,0,2,0,0,0,2,2
MONTERO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,0,3,0,0,0,3,3
PORTACHUELO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,1,6,0,0,1,6,7
SAN BUENA VENTURA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,2,2,0,0,2,2,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,7,32,0,0,7,32,39
SAPAHAQUI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,0,0,2,0,2,0,2
SUCRE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,4,4,0,0,4,4,8
TARIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,2,3,0,0,2,3,5
TRINIDAD,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,0,1,0,0,0,1,1
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,1,2,0,0,1,2,3
VILLAZON,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,1,1,0,0,1,1,2
YAPACANI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-03-01,1,0,0,0,1,0,1
BERMEJO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,0,3,0,0,0,3,3
BOLPEBRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,2,0,0,0,2,0,2
CAMIRI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,6,8,0,0,6,8,14
CARACOLLO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
CHIMORE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,0,0,0,1,0,1
COBIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,0,0,0,1,0,1
COCAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,13,6,0,0,13,6,19
COCHABAMBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,6,8,0,0,6,8,14
"COLCHA ""K""",otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,0,0,0,1,0,1
COLOMI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,0,0,2,3,2,3,5
COTAGAITA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,1,0,0,1,1,2
COTOCA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,0,0,0,1,0,1
EL ALTO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,3,43,0,0,3,43,46
ENTRE RIOS TRJ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,0,0,0,1,0,1
HUACARETA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
HUACHACALLA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
LA GUARDIA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,1,0,1,1,2,3
LA PAZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,4,21,0,0,4,21,25
LAS CARRERAS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,0,3,0,0,0,3,3
MAGDALENA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,2,0,0,1,2,3
ORURO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,3,9,0,0,3,9,12
PAILON,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,0,0,7,3,7,3,10
POROMA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,0,0,0,1,0,1
POTOSI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,4,6,0,0,4,6,10
ROBORE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,0,0,0,1,0,1
SAN ANDRES,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,2,0,0,0,2,0,2
SAN IGNACIO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,0,2,1,1,1,3,4
SAN JULIAN,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,6,14,1,17,7,31,38
SANTA ROSA DEL SARA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,0,1,0,0,0,1,1
SUCRE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,3,0,0,1,3,4
TARIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,3,0,0,1,3,4
TOMAVE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,5,4,2,1,7,5,12
URIONDO (A. CONCEPCION),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-04-01,1,0,0,0,1,0,1
BELEN DE URMIRI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
BERMEJO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,2,6,0,0,2,6,8
BUENA VISTA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,1,1,0,0,1,1,2
CABEZAS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,1,0,0,0,1,0,1
CAMIRI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,2,0,0,0,2,2
CARACOLLO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,3,0,0,0,3,3
COBIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,1,0,0,0,1,0,1
COCAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,2,0,0,0,2,2
COCHABAMBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,1,38,126,38,127,165
COLOMI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,0,1,2,1,2,3
COTAGAITA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,1,3,0,0,1,3,4
COTOCA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,2,0,0,0,2,0,2
CUATRO CAÑADAS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,23,0,0,0,23,23
ENTRE RIOS TRJ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,1,1,0,1,1,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,2,0,0,0,2,2
LA GUARDIA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,0,0,1,0,1,1
LA PAZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,9,11,0,0,9,11,20
MOCOMOCO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,1,0,0,0,1,1
ORURO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,4,13,0,0,4,13,17
PAILON,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,0,1,2,1,2,3
PUERTO GONZALO MORENO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,0,0,3,2,3,2,5
PUERTO RICO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,2,3,0,0,2,3,5
SACABA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,10,4,0,0,10,4,14
SAN JOSE DE CHIQUITOS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,3,9,0,0,3,9,12
SUCRE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,1,6,0,0,1,6,7
TARACO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,2,7,0,0,2,7,9
TARIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-05-01,1,7,0,0,1,7,8
ATOCHA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,2,0,0,0,2,2
BERMEJO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,2,0,0,0,2,2
CAMIRI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,2,0,0,0,2,2
COBIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,11,0,0,0,11,11
COCAPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,1,0,0,0,1,1
COCHABAMBA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,7,0,0,0,7,7
"COLCHA ""K""",otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,1,2,0,0,1,2,3
COPACABANA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,3,0,0,0,3,3
COTOCA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,2,24,2,2,4,26,30
GUTIERREZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,1,0,0,0,1,0,1
LA PAZ,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,12,16,0,1,12,17,29
MAIRANA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,1,0,0,0,1,1
MONTEAGUDO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,1,0,0,0,1,1
MONTERO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,4,0,0,0,4,4
ORURO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,8,11,0,0,8,11,19
POTOSI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,2,14,0,2,2,16,18
PUERTO RICO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,3,4,0,0,3,4,7
RAVELO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,6,4,0,0,6,4,10
SAMAIPATA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,2,0,0,0,2,0,2
SAN BORJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,5,0,0,0,5,5
SAN IGNACIO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,1,0,0,0,1,0,1
SAN JUAN DE YAPACANI,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,2,10,0,0,2,10,12
SUCRE,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,2,6,0,0,2,6,8
TARIJA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,1,2,0,0,1,2,3
TOLEDO,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-06-01,0,1,0,0,0,1,1
ARAMPAMPA,otras vacunaciones,total hepatitis b 3ra. dosis trabajadores de salud,2015-07-01,1,2,0,0,1,2,3
