,group,variable,month,TOTAL DT 3RA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 3RA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 3RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 3RA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
ATOCHA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,7,0,0,0,7,7
AYATA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,1,0,10,1,11,12
AZURDUY,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
BATALLAS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,3,2,13,3,16,19
BAURES,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
BELEN DE ANDAMARCA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
BELLA FLOR,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,8,0,4,1,12,13
BERMEJO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,11,0,2,2,13,15
BETANZOS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
BOLIVAR,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,3,0,3,3
BOLPEBRA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,1,0,0,2,1,3
BOYUIBE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,3,3,0,0,3,3,6
BUENA VISTA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,13,1,1,1,14,15
CABEZAS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,6,6,0,9,6,15,21
CAIROMA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,7,4,1,4,8,12
"CAIZA ""D""",otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,3,1,0,0,3,1,4
CAJUATA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,2,0,3,3
CALACOTO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
CALAMARCA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,4,0,0,1,4,5
CAMARGO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,0,0,2,1,2,3
CAMIRI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,20,16,38,8,58,24,82
CAPINOTA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,4,13,31,15,35,50
CARACOLLO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,26,0,0,1,26,27
CARANAVI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,4,26,51,55,55,81,136
CARANGAS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,1,0,1,0,1
CARAPARI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,5,2,0,1,5,3,8
CARIPUYO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
CARMEN RIVERO TORREZ,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,0,0,0,2,0,2
CATACORA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
CHALLAPATA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,5,0,6,2,11,13
CHAQUI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CHARAGUA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,4,4,1,11,5,15,20
CHIMORE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,6,18,0,3,6,21,27
CHUA COCANI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,9,1,3,1,12,13
CHUMA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CLIZA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,6,17,7,18,13,35,48
COBIJA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,5,28,1,13,6,41,47
COCHABAMBA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,74,333,44,141,118,474,592
COLCAPIRHUA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,6,57,70,43,76,100,176
"COLCHA ""K""",otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,5,5,5,8,13
COLLANA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
COLOMI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,18,0,1,0,19,19
COLPA BELGICA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
COLQUECHACA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,9,0,11,1,20,21
COLQUIRI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
COMANCHE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
COMARAPA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,7,0,1,1,8,9
COMBAYA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
CONCEPCION,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,11,1,9,2,20,22
COPACABANA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,10,1,0,1,10,11
CORIPATA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,14,0,0,2,14,16
CORO CORO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,1,0,4,4
COROICO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,3,1,0,2,3,5
CORQUE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,2,0,0,1,2,3
COTAGAITA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,5,0,0,0,5,5
COTOCA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,7,52,2,18,9,70,79
CRUZ DE MACHACAMARCA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,3,2,3,2,5
CUATRO CAÑADAS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,1,0,4,4
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,1,3,1,3,4
CUEVO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,4,0,1,0,5,5
CULPINA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CURAHUARA DE CARANGAS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
DESAGUADERO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
EL ALTO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,66,700,73,185,139,885,1024
EL CHORO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,2,2,2,5,7
EL PUENTE(STC),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,1,1,7,2,8,10
EL PUENTE(TJA),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
EL TORNO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,9,61,17,29,26,90,116
EL VILLAR,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,2,0,0,1,2,3
ENTRE RIOS TRJ,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,6,8,3,2,9,10,19
ENTRE RIOS CBBA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,6,29,8,3,14,32,46
ESCOMA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,4,1,5,1,9,10
ESMERALDA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
EXALTACION,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,1,0,3,3
GENERAL SAAVEDRA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,3,2,3,3,6
GUANAY,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,4,5,3,13,7,18,25
GUAYARAMERIN,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,8,14,4,8,12,22,34
GUTIERREZ,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,8,1,1,3,9,4,13
HUACARETA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,1,1,11,3,12,15
HUACHACALLA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
HUANUNI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,4,21,0,4,4,25,29
HUARACAJE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
HUATAJATA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,1,0,4,4
ICLA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
INCAHUASI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,7,1,16,1,23,24
INGAVI (HUMAITA),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
IXIAMAS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,0,1,1,2,1,3
JESUS DE MACHACA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
LA ASUNTA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,9,5,10,5,19,24
LA GUARDIA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,16,31,9,21,25,52,77
LA PAZ,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,73,499,44,72,117,571,688
LAGUNILLAS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,4,1,2,1,6,2,8
LAJA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,3,0,5,5
LAS CARRERAS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,1,0,3,3
LLALLAGUA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,6,7,44,8,50,58
LORETO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,5,0,1,0,6,6
MACHACAMARCA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,2,0,4,1,6,7
MACHARETI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,2,0,6,2,8,10
MAIRANA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
MALLA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
MAPIRI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,65,0,11,0,76,76
MECAPACA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
MIZQUE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,3,17,0,5,3,22,25
MOCOMOCO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,8,0,8,8
MOJINETE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
MOJOCOYA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,17,1,17,4,21
MONTEAGUDO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,7,4,8,4,15,8,23
MONTERO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,34,0,8,2,42,44
MOROCHATA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,7,0,4,0,11,11
NAZACARA DE PACAJES,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,4,6,0,0,4,6,10
OCURI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,2,0,3,3
OKINAWA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,3,9,0,7,3,16,19
OMEREQUE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,3,1,15,2,18,20
ORURO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,19,139,3,5,22,144,166
PADCAYA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,1,0,0,2,1,3
PADILLA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,6,1,3,2,9,3,12
PAILON,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,5,10,4,6,9,16,25
PALCA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,8,1,2,2,10,12
PALOS BLANCOS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,3,4,2,1,5,5,10
PAMPA AULLAGAS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
PAMPA GRANDE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,4,1,15,2,19,21
PAPEL PAMPA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,9,0,9,9
PASORAPA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,2,1,2,1,3
PATACAMAYA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,30,0,30,2,32
PELECHUCO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
POCOATA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,3,0,4,4
POCONA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,7,1,4,2,11,13
POJO (CBBA),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,6,9,6,12,18
POOPO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
PORCO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
POROMA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,4,0,6,6
PORONGO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,7,0,10,10
PORTACHUELO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,24,0,0,0,24,24
PORVENIR,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
POSTRER VALLE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
POTOSI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,9,118,4,24,13,142,155
PRESTO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,2,0,1,1,3,4
PUCARA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
PUCARANI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,12,4,7,5,19,24
PUERTO ACOSTA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,1,6,1,7,2,9
PUERTO GONZALO MORENO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
PUERTO PEREZ,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,1,0,4,4
PUERTO RICO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,6,0,0,2,6,8
PUERTO SUAREZ,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,4,0,0,1,4,5
PUERTO VILLARROEL,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,7,31,12,10,19,41,60
PUNA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,10,0,4,0,14,14
PUNATA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,4,26,9,8,13,34,47
QUILLACOLLO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,32,43,9,31,41,74,115
QUIME,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
RAVELO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
REYES,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,4,0,0,0,4,4
RIBERALTA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,14,0,6,0,20,20
ROBORE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
RURRENABAQUE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,5,0,1,0,6,6
SACABA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,7,48,6,11,13,59,72
SACABAMBA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
SACACA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,4,0,1,0,5,5
SAIPINA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
SALINAS DE GARCI MENDOZA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,1,4,1,5,6
SAMAIPATA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,2,0,0,1,2,3
SAN ANDRES,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,4,10,0,2,4,12,16
SAN BENITO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,3,4,3,3,6,7,13
SAN BORJA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,18,0,2,1,20,21
SAN CARLOS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,23,0,0,2,23,25
SAN IGNACIO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,6,12,6,12,12,24,36
SAN IGNACIO DE VELASCO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,5,34,0,4,5,38,43
SAN JAVIER(BNI),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,3,0,3,3
SAN JAVIER(STC),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
SAN JOAQUIN,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,5,20,0,0,5,20,25
SAN JUAN DE YAPACANI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SAN JULIAN,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,6,3,19,3,25,28
SAN LORENZO(PND),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,1,1,1,1,2
SAN LORENZO(TJA),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,16,3,6,4,22,26
SAN LUCAS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,12,0,1,2,13,15
SAN MATIAS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,11,2,7,3,18,21
SAN MIGUEL DE VELASCO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,14,0,0,0,14,14
SAN PEDRO,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,10,0,0,0,10,10
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,4,0,3,0,7,7
SAN PEDRO DE CURAHUARA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SAN PEDRO DE TIQUINA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,0,4,10,5,10,15
SAN RAFAEL,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SAN RAMON BENI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,7,0,0,1,7,8
SAN RAMON SCZ,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,5,0,0,1,5,6
SANTA ANA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,327,886,330,427,657,1313,1970
SANTA ROSA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
SANTA ROSA DEL SARA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,1,9,0,1,1,10,11
SANTIAGO DE CALLAPA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,1,0,4,4
SANTIAGO DE MACHACA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
SANTIVAÑES,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,3,0,9,0,12,12
SANTUARIO DE QUILLACAS,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SAPAHAQUI,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,3,0,4,4
SHINAOTA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,4,5,2,6,6,11,17
SICA SICA (VILLA AROMA),otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
SICAYA,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
SIPE SIPE,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,2,18,3,7,5,25,30
SOPACHUY,otras vacunaciones,total dt 3ra. dosis de 10 a 49 anos,2015-01-01,0,0,1,0,1,0,1
