,group,variable,month,TOTAL INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS DENTRO,TOTAL INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS DENTRO,TOTAL INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS FUERA,TOTAL INFLUENZA ESTACIONAL EN MAYORES DE 65 AÑOS FUERA,TOTALES,TOTALES,TOTALES
ESMERALDA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,2.0,0.0,4.0,2.0,6.0,2.0,8.0
EUREKA (SANTOS MERCADO),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,25.0,15.0,25.0,15.0,40.0
GUANAY,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,7.0,7.0,7.0,7.0,14.0
HUATAJATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,3.0,4.0,0.0,0.0,3.0,4.0,7.0
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,3.0,5.0,6.0,7.0,9.0,12.0,21.0
LA PAZ,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,33.0,38.0,18.0,18.0,51.0,56.0,107.0
MAGDALENA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,1.0,0.0,30.0,80.0,31.0,80.0,111.0
MAIRANA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,8.0,10.0,0.0,0.0,8.0,10.0,18.0
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,2.0,1.0,2.0,1.0,3.0
ORURO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,1.0,0.0,1.0,1.0,2.0,1.0,3.0
PUERTO GONZALO MORENO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,13.0,14.0,13.0,14.0,27.0
QUIRUSILLAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,3.0,8.0,3.0,8.0,11.0
ROBORE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,7.0,7.0,0.0,0.0,7.0,7.0,14.0
RURRENABAQUE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,1.0,1.0,1.0,1.0,2.0
SABAYA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,8.0,3.0,0.0,0.0,8.0,3.0,11.0
SAN CARLOS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,5.0,5.0,0.0,0.0,5.0,5.0,10.0
SAN IGNACIO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,11.0,9.0,15.0,28.0,26.0,37.0,63.0
SAN JOSE DE CHIQUITOS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,56.0,51.0,0.0,0.0,56.0,51.0,107.0
SAN PEDRO DE TIQUINA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,2.0,2.0,2.0,2.0,4.0
SAN PEDRO(PND),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,2.0,1.0,0.0,0.0,2.0,1.0,3.0
SAN RAMON BENI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,43.0,30.0,0.0,0.0,43.0,30.0,73.0
SANTA ANA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,5.0,4.0,0.0,0.0,5.0,4.0,9.0
SANTA ROSA DEL SARA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,12.0,6.0,9.0,9.0,21.0,15.0,36.0
SANTIAGO DE HUARI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,1.0,0.0,30.0,18.0,31.0,18.0,49.0
SANTIAGO DE HUATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,1.0,2.0,3.0,2.0,4.0,6.0
SENA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,4.0,3.0,0.0,3.0,4.0,6.0,10.0
SORACACHI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,1.0,1.0,1.0,2.0,2.0,3.0,5.0
SORATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,18.0,2.0,8.0,12.0,26.0,14.0,40.0
TACACOMA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,2.0,0.0,11.0,7.0,13.0,7.0,20.0
TINGUIPAYA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
TOLEDO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
TRINIDAD,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,2.0,5.0,2.0,3.0,4.0,8.0,12.0
URUBICHA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,20.0,43.0,0.0,0.0,20.0,43.0,63.0
VALLEGRANDE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,1.0,1.0,0.0,0.0,1.0,1.0,2.0
VILLAZON,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-01-01,0.0,0.0,10.0,15.0,10.0,15.0,25.0
POCONA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-02-01,0.0,0.0,3.0,3.0,3.0,3.0,6.0
SAN PEDRO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-02-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
APOLO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-04-01,5.0,2.0,0.0,0.0,5.0,2.0,7.0
CURVA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-04-01,1.0,0.0,0.0,0.0,1.0,0.0,1.0
POTOSI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-04-01,95.0,40.0,0.0,0.0,95.0,40.0,135.0
SAN IGNACIO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-04-01,0.0,1.0,0.0,0.0,0.0,1.0,1.0
YACUIBA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-04-01,0.0,0.0,1.0,0.0,1.0,0.0,1.0
ACACIO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,16.0,18.0,16.0,18.0,34.0
ACHACACHI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,55.0,39.0,146.0,154.0,201.0,193.0,394.0
ACHOCALLA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,16.0,26.0,0.0,0.0,16.0,26.0,42.0
AIQUILE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,1.0,1.0,9.0,7.0,10.0,8.0,18.0
ALALAY,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,1.0,2.0,17.0,28.0,18.0,30.0,48.0
ALTO BENI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,52.0,34.0,22.0,18.0,74.0,52.0,126.0
ANCORAIMES,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,16.0,12.0,78.0,84.0,94.0,96.0,190.0
ANDAMARCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,9.0,5.0,90.0,88.0,99.0,93.0,192.0
ANTEQUERA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,3.0,19.0,3.0,19.0,22.0
ANZALDO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,6.0,9.0,31.0,31.0,37.0,40.0,77.0
APOLO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,12.0,8.0,28.0,33.0,40.0,41.0,81.0
ARANI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,25.0,33.0,25.0,54.0,50.0,87.0,137.0
ARBIETO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,7.0,22.0,37.0,104.0,44.0,126.0,170.0
ARQUE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,14.0,12.0,19.0,26.0,33.0,38.0,71.0
ASCENCION DE GUARAYOS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,3.0,46.0,0.0,0.0,3.0,46.0,49.0
ATOCHA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,1.0,3.0,10.0,11.0,11.0,14.0,25.0
AUCAPATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,3.0,2.0,3.0,2.0,5.0
AYATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,14.0,14.0,9.0,15.0,23.0,29.0,52.0
AYO AYO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,7.0,6.0,7.0,6.0,13.0
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,23.0,13.0,88.0,109.0,111.0,122.0,233.0
BATALLAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,17.0,10.0,17.0,10.0,27.0
BELEN DE ANDAMARCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,17.0,24.0,17.0,24.0,41.0
BELEN DE URMIRI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,5.0,4.0,18.0,28.0,23.0,32.0,55.0
BERMEJO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,15.0,8.0,11.0,9.0,26.0,17.0,43.0
BETANZOS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,76.0,79.0,345.0,444.0,421.0,523.0,944.0
BOLIVAR,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,13.0,14.0,74.0,101.0,87.0,115.0,202.0
BOYUIBE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,10.0,10.0,11.0,24.0,21.0,34.0,55.0
BUENA VISTA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,28.0,18.0,20.0,14.0,48.0,32.0,80.0
CABEZAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,4.0,12.0,5.0,5.0,9.0,17.0,26.0
CAIROMA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,23.0,14.0,66.0,51.0,89.0,65.0,154.0
"CAIZA ""D""",otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,11.0,22.0,19.0,22.0,30.0,44.0,74.0
CAJUATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,14.0,12.0,144.0,122.0,158.0,134.0,292.0
CALACOTO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,2.0,2.0,49.0,39.0,51.0,41.0,92.0
CALAMARCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,2.0,4.0,23.0,14.0,25.0,18.0,43.0
CAMARGO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,6.0,8.0,2.0,8.0,8.0,16.0,24.0
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,3.0,8.0,27.0,53.0,30.0,61.0,91.0
CAMIRI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,4.0,2.0,9.0,6.0,13.0,8.0,21.0
CAPINOTA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,12.0,15.0,51.0,78.0,63.0,93.0,156.0
CAQUIAVIRI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,18.0,19.0,79.0,85.0,97.0,104.0,201.0
CARACOLLO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,11.0,3.0,31.0,27.0,42.0,30.0,72.0
CARANAVI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,141.0,99.0,173.0,138.0,314.0,237.0,551.0
CARAPARI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,7.0,4.0,25.0,25.0,32.0,29.0,61.0
CARIPUYO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,2.0,42.0,58.0,42.0,60.0,102.0
CATACORA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,11.0,10.0,8.0,6.0,19.0,16.0,35.0
CHACARILLA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,10.0,6.0,10.0,6.0,16.0
CHALLAPATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,4.0,7.0,55.0,56.0,59.0,63.0,122.0
CHAQUI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,39.0,55.0,131.0,175.0,170.0,230.0,400.0
CHARAGUA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,15.0,12.0,18.0,36.0,33.0,48.0,81.0
CHARAÑA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,22.0,29.0,22.0,29.0,51.0
CHIMORE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,8.0,7.0,8.0,8.0,16.0,15.0,31.0
CHOQUE COTA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,3.0,10.0,43.0,51.0,46.0,61.0,107.0
CHUA COCANI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,5.0,6.0,61.0,85.0,66.0,91.0,157.0
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,14.0,6.0,72.0,56.0,86.0,62.0,148.0
CHUMA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,8.0,7.0,59.0,59.0,67.0,66.0,133.0
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,2.0,3.0,0.0,0.0,2.0,3.0,5.0
CLIZA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,26.0,29.0,72.0,117.0,98.0,146.0,244.0
COBIJA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,6.0,7.0,44.0,33.0,50.0,40.0,90.0
COCAPATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,4.0,3.0,4.0,3.0,7.0
COCHABAMBA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,1303.0,1931.0,233.0,261.0,1536.0,2192.0,3728.0
COLCAPIRHUA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,34.0,56.0,4.0,4.0,38.0,60.0,98.0
COLOMI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,43.0,82.0,53.0,48.0,96.0,130.0,226.0
COLQUENCHA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,3.0,7.0,3.0,3.0,6.0,10.0,16.0
COLQUIRI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,35.0,31.0,56.0,78.0,91.0,109.0,200.0
COMANCHE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,16.0,13.0,37.0,55.0,53.0,68.0,121.0
COMARAPA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,28.0,45.0,47.0,63.0,75.0,108.0,183.0
COMBAYA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,3.0,7.0,25.0,26.0,28.0,33.0,61.0
COPACABANA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,2.0,0.0,46.0,54.0,48.0,54.0,102.0
CORIPATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,31.0,14.0,11.0,12.0,42.0,26.0,68.0
CORO CORO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,5.0,0.0,53.0,36.0,58.0,36.0,94.0
COROICO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,8.0,14.0,43.0,33.0,51.0,47.0,98.0
CORQUE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,2.0,2.0,43.0,58.0,45.0,60.0,105.0
COTAGAITA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,25.0,33.0,332.0,529.0,357.0,562.0,919.0
COTOCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,14.0,21.0,16.0,18.0,30.0,39.0,69.0
CUATRO CAÑADAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,1.0,1.0,44.0,12.0,45.0,13.0,58.0
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,1.0,14.0,13.0,21.0,14.0,35.0,49.0
CUEVO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,5.0,3.0,5.0,7.0,10.0,10.0,20.0
CULPINA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,2.0,2.0,0.0,0.0,2.0,2.0,4.0
CURAHUARA DE CARANGAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,3.0,2.0,17.0,22.0,20.0,24.0,44.0
CURVA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,1.0,0.0,13.0,25.0,14.0,25.0,39.0
DESAGUADERO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,3.0,4.0,38.0,43.0,41.0,47.0,88.0
EL ALTO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,745.0,872.0,445.0,700.0,1190.0,1572.0,2762.0
EL CHORO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,10.0,9.0,10.0,9.0,19.0
EL TORNO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,44.0,72.0,109.0,91.0,153.0,163.0,316.0
ENTRE RIOS CBBA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,19.0,26.0,4.0,5.0,23.0,31.0,54.0
ESCOMA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,3.0,2.0,69.0,49.0,72.0,51.0,123.0
EUCALIPTUS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,1.0,2.0,8.0,2.0,9.0,4.0,13.0
EUREKA (SANTOS MERCADO),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,3.0,3.0,3.0,3.0,6.0
FILADELFIA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,3.0,2.0,3.0,2.0,5.0
GENERAL SAAVEDRA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,4.0,1.0,2.0,2.0,6.0,3.0,9.0
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,4.0,3.0,27.0,21.0,31.0,24.0,55.0
GUANAY,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,32.0,44.0,38.0,31.0,70.0,75.0,145.0
GUAQUI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,7.0,14.0,108.0,91.0,115.0,105.0,220.0
GUTIERREZ,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,8.0,7.0,9.0,21.0,17.0,28.0,45.0
HUACARETA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,23.0,22.0,33.0,62.0,56.0,84.0,140.0
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,17.0,12.0,17.0,12.0,29.0
HUACHACALLA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,7.0,6.0,2.0,6.0,9.0,15.0
HUANUNI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,4.0,4.0,38.0,49.0,42.0,53.0,95.0
HUARINA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,21.0,13.0,37.0,65.0,58.0,78.0,136.0
HUATAJATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,6.0,6.0,43.0,80.0,49.0,86.0,135.0
HUAYLLAMARCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,2.0,4.0,6.0,7.0,8.0,11.0,19.0
HUMANATA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,9.0,9.0,29.0,37.0,38.0,46.0,84.0
ICHOCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,2.0,3.0,43.0,33.0,45.0,36.0,81.0
ICLA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,27.0,45.0,48.0,92.0,75.0,137.0,212.0
INCAHUASI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,5.0,5.0,5.0,8.0,10.0,13.0,23.0
INQUISIVI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,32.0,23.0,159.0,131.0,191.0,154.0,345.0
IRUPANA (VILLA DE LANZA),otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,8.0,8.0,76.0,63.0,84.0,71.0,155.0
IXIAMAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,2.0,4.0,2.0,4.0,6.0
JESUS DE MACHACA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,18.0,31.0,320.0,202.0,338.0,233.0,571.0
LA ASUNTA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,20.0,10.0,32.0,17.0,52.0,27.0,79.0
LA GUARDIA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,35.0,38.0,54.0,73.0,89.0,111.0,200.0
LA PAZ,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,1616.0,1895.0,585.0,379.0,2201.0,2274.0,4475.0
LAGUNILLAS,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,3.0,2.0,22.0,29.0,25.0,31.0,56.0
LAJA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,18.0,11.0,146.0,148.0,164.0,159.0,323.0
LICOMA PAMPA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,136.0,108.0,136.0,108.0,244.0
LLICA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,10.0,14.0,0.0,0.0,10.0,14.0,24.0
LORETO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,11.0,19.0,11.0,19.0,30.0
LURIBAY,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,3.0,1.0,98.0,75.0,101.0,76.0,177.0
MACHACAMARCA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,8.0,17.0,14.0,31.0,22.0,48.0,70.0
MACHARETI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,1.0,1.0,15.0,30.0,16.0,31.0,47.0
MAIRANA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,3.0,1.0,0.0,1.0,3.0,2.0,5.0
MALLA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,0.0,20.0,13.0,20.0,13.0,33.0
MAPIRI,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,10.0,7.0,15.0,21.0,25.0,28.0,53.0
MECAPACA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,3.0,2.0,34.0,31.0,37.0,33.0,70.0
MIZQUE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,7.0,10.0,11.0,15.0,18.0,25.0,43.0
MOCOMOCO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,53.0,76.0,183.0,179.0,236.0,255.0,491.0
MOJINETE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,0.0,2.0,18.0,21.0,18.0,23.0,41.0
MOJOCOYA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,2.0,3.0,22.0,55.0,24.0,58.0,82.0
MONTEAGUDO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,71.0,107.0,23.0,31.0,94.0,138.0,232.0
MONTERO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,19.0,19.0,6.0,8.0,25.0,27.0,52.0
MORO MORO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,17.0,21.0,20.0,31.0,37.0,52.0,89.0
NAZACARA DE PACAJES,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,4.0,2.0,0.0,0.0,4.0,2.0,6.0
OKINAWA,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,11.0,20.0,6.0,4.0,17.0,24.0,41.0
OMEREQUE,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,7.0,8.0,80.0,96.0,87.0,104.0,191.0
ORURO,otras vacunaciones,total influenza estacional en mayores de 65 anos,2015-05-01,244.0,212.0,83.0,103.0,327.0,315.0,642.0
