,group,variable,month,TOTAL DT 5TA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 5TA. DOSIS DE 10 A 49 AÑOS DENTRO,TOTAL DT 5TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTAL DT 5TA. DOSIS DE 10 A 49 AÑOS FUERA,TOTALES,TOTALES,TOTALES
BOYUIBE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,2,0,0,0,2,0,2
BUENA VISTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,5,0,6,1,11,12
CABEZAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,3,5,102,41,105,46,151
CAJUATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CALACOTO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CAMARGO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,3,2,2,3,5,5,10
CAPINOTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,6,14,6,15,21
CARACOLLO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
CARANAVI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,3,6,0,3,3,9,12
CARANGAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
CARAPARI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,3,0,3,0,6,0,6
CARMEN RIVERO TORREZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CHALLAPATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,1,0,3,3
CHARAGUA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,4,0,5,5
CHIMORE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,4,5,0,0,4,5,9
CHUA COCANI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,3,0,6,6
CHUMA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CKOCHAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CLIZA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,5,0,2,1,7,8
COBIJA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,6,1,2,1,8,9
COCHABAMBA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,24,61,7,28,31,89,120
COLCAPIRHUA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,2,12,10,23,12,35,47
"COLCHA ""K""",otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,2,0,2,1,3
COLOMI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,6,0,0,0,6,6
COLQUECHACA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
COLQUIRI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,5,0,5,5
COMARAPA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
CONCEPCION,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,2,3,0,3,2,6,8
COPACABANA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,0,1,0,2,0,2
CORIPATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CORO CORO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
COROICO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,3,0,3,3
COTAGAITA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
COTOCA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,10,0,7,0,17,17
CUATRO CAÑADAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,4,1,5,6
CUEVO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,1,1,1,2
CULPINA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
CURAHUARA DE CARANGAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
DESAGUADERO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
EL ALTO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,15,215,3,38,18,253,271
EL PUENTE(STC),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
EL TORNO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,4,15,0,3,4,18,22
ENTRE RIOS TRJ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,2,2,1,3,3,6
ENTRE RIOS CBBA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,10,0,2,1,12,13
FILADELFIA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
GENERAL SAAVEDRA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
GUANAY,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,7,0,7,7
GUAYARAMERIN,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,9,0,0,0,9,9
GUTIERREZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,4,8,4,8,12
HUACARETA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,2,2,4,3,6,9
HUACHACALLA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
HUANUNI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
ICLA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,7,0,0,0,7,7
INCAHUASI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
INQUISIVI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
IRUPANA (VILLA DE LANZA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
JESUS DE MACHACA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,4,0,0,0,4,4
LA ASUNTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
LA GUARDIA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,4,15,1,13,5,28,33
LA PAZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,13,133,0,12,13,145,158
LAGUNILLAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,1,0,3,3
LAJA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
LAS CARRERAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
LLALLAGUA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,1,1,1,1,2
LORETO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
MACHARETI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
MAIRANA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
MINEROS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
MIZQUE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
MONTEAGUDO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,3,0,4,4
MONTERO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,3,11,0,3,3,14,17
MOROCHATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
OKINAWA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,3,0,2,1,5,6
OMEREQUE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,9,0,10,10
ORURO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,3,25,0,0,3,25,28
PADCAYA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
PADILLA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
PAILON,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,2,1,2,2,4,6
PALCA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
PALOS BLANCOS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,1,1,2,3
PAMPA GRANDE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,9,0,9,9
PASORAPA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,4,0,5,5
POCONA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,1,2,1,4,5
POJO (CBBA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,1,2,1,2,3
POROMA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
PORONGO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,4,0,11,0,15,15
PORTACHUELO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,5,0,0,1,5,6
POTOSI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,12,0,3,1,15,16
PRESTO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
PUCARANI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
PUERTO PEREZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
PUERTO SUAREZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
PUERTO VILLARROEL,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,4,9,1,2,5,11,16
PUNATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,4,6,1,2,5,8,13
QUILLACOLLO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,28,52,1,9,29,61,90
QUIRUSILLAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
REYES,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
RIBERALTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,6,0,1,0,7,7
SACABA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,2,16,11,4,13,20,33
SAIPINA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SALINAS DE GARCI MENDOZA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SAMAIPATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
SAN BORJA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,0,0,3,3
SAN BUENA VENTURA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
SAN CARLOS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,8,1,2,2,10,12
SAN IGNACIO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,2,5,0,0,2,5,7
SAN IGNACIO DE VELASCO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,24,1,4,2,28,30
SAN JAVIER(STC),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,6,0,0,0,6,6
SAN JOAQUIN,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
SAN JULIAN,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
SAN LORENZO(TJA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,6,1,0,1,6,7
SAN LUCAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,3,0,6,6
SAN MATIAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,2,2,0,0,2,2,4
SAN MIGUEL DE VELASCO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,5,0,0,0,5,5
SAN PEDRO DE BUENA VISTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,2,0,2,2
SAN PEDRO DE TIQUINA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,1,0,1,1
SAN RAMON BENI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SAN RAMON SCZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SANTA ANA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,44,208,1,23,45,231,276
SANTA ROSA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SANTA ROSA DEL SARA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SANTIAGO DE HUARI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
SANTIVAÑES,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,2,0,0,0,2,2
SENA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
SHINAOTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,1,2,1,2,3
SIPE SIPE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,4,1,1,2,5,7
SORATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,4,0,0,0,4,4
SUCRE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,5,21,2,4,7,25,32
TACACHI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
TAPACARI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,1,1,1,2
TARABUCO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
TARACO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
TARATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,2,2,0,9,2,11,13
TARIJA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,13,35,4,16,17,51,68
TARVITA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,1,0,2,2
TEOPONTE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,1,3,1,4,5
TIQUIPAYA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,2,5,1,0,3,5,8
TOCO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,4,13,4,14,18
TOLATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,3,0,3,3
TOMINA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
TOTORA(CBBA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,3,0,3,3
TRINIDAD,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,17,0,1,0,18,18
TUPIZA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,3,0,1,0,4,4
UNCIA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
URIONDO (A. CONCEPCION),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,1,0,0,1,1,2
URUBICHA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,0,0,21,0,21,21
VALLEGRANDE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,4,0,0,0,4,4
VIACHA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,3,7,1,3,4,10,14
VILLA MONTES,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,13,2,7,2,20,4,24
VILLA NUEVA (LOMA ALTA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
VILLA RIVERO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
VILLA SERRANO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,1,0,0,0,1,1
VILLA TUNARI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,14,17,11,18,25,43
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,0,1,0,1
VILLAZON,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,7,0,2,0,9,9
VINTO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,5,0,1,0,6,6
WARNES,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,0,34,0,0,0,34,34
YACUIBA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,13,2,0,3,13,5,18
YAMPARAEZ,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,0,0,1,1,1,2
YANACACHI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,1,2,0,0,1,2,3
YAPACANI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-01-01,2,6,0,9,2,15,17
ACHOCALLA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,6,0,0,0,6,6
AIQUILE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,1,3,3,3,4,6,10
ALALAY,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,0,0,4,0,4,4
ALCALA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,1,0,0,0,1,1
ANZALDO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,1,0,0,1,1,1,2
APOLO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,2,0,0,0,2,2
ARAMPAMPA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,1,0,0,4,1,4,5
ARANI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,0,1,0,1,0,1
ARBIETO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,2,6,7,6,9,15
ARQUE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,3,0,1,0,4,4
ASCENCION DE GUARAYOS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,1,10,1,0,2,10,12
ATOCHA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,3,0,0,0,3,3
AYATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,1,0,6,0,7,7
BATALLAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,1,0,3,0,4,4
BAURES,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,9,0,0,0,9,9
BERMEJO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,3,0,0,0,3,3
BOLIVAR,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,0,0,2,0,2,2
BOLPEBRA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,1,0,0,0,1,1
BOYUIBE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,2,0,29,43,31,43,74
BUENA VISTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,4,208,179,208,183,391
CABEZAS,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,12,14,2,22,14,36,50
CAIROMA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,1,0,0,0,1,0,1
"CAIZA ""D""",otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,0,0,1,0,1,1
CAJUATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,1,0,1,0,2,2
CAMARGO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,2,1,1,1,3,4
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,1,0,0,0,1,1
CAMIRI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,6,17,1,2,7,19,26
CAPINOTA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,1,10,40,10,41,51
CARACOLLO,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,2,0,0,0,2,2
CARANAVI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,2,2,24,2,26,28
CARAPARI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,2,2,0,0,2,2,4
CHARAGUA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,4,9,0,16,4,25,29
CHIMORE,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,0,0,3,0,3,3
CHUMA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,1,0,0,0,1,1
CLIZA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,3,0,2,0,5,5
COBIJA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,1,2,1,4,2,6,8
COCAPATA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,0,1,3,1,3,4
COCHABAMBA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,14,50,84,67,98,117,215
COLCAPIRHUA,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,8,13,20,13,28,41
"COLCHA ""K""",otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,3,0,2,0,5,5
COLOMI,otras vacunaciones,total dt 5ta. dosis de 10 a 49 anos,2015-02-01,0,6,0,0,0,6,6
