,group,variable,month,N° DE TBP BAAR (-) NUEVOS CANTIDAD,N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,1,2,3
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,0,9,9
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,1,5,6
SORACACHI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,0,1,1
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,0,1,1
TIPUANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,3,0,3
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,0,1,1
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,21,0,21
VINTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,0,1,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-02-01,0,1,1
CABEZAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,0,1
CAPINOTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,1,2
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,0,1
CHALLAPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,2,11,13
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,0,1
CONCEPCION,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,3,2,5
CORIPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,1,2
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,2,2,4
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,15,5,20
LURIBAY,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,0,1,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,0,1,1
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,0,1,1
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,3,7,10
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,3,0,3
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,2,3
SAN JAVIER(BNI),tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,5,4,9
SORATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,0,2,2
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,1,2
TACACOMA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,0,1,1
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,0,1,1
TEOPONTE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,0,1
TOMINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,0,1,1
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,3,3,6
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,1,0,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-03-01,0,1,1
ACHACACHI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,4,16,20
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,4,2,6
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,16,6,22
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
PELECHUCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
POCONA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,0,1,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,3,0,3
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,0,1,1
QUIME,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,1,2
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,2,1,3
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,19,2,21
SORATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
TARACO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,0,1,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-04-01,4,0,4
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,0,1,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,0,1
CAPINOTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,8,8,16
CONCEPCION,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,3,4,7
CURAHUARA DE CARANGAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,5,4,9
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,16,6,22
LICOMA PAMPA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,2,0,2
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,0,1,1
PORCO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,6,0,6
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,2,0,2
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,1,2
SAN RAMON BENI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,5,2,7
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,0,1,1
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,2,3,5
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,0,1
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,1,2
YOCALLA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-05-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
CAPINOTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,14,4,18
"COLCHA ""K""",tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,0,1,1
COTOCA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,4,1,5
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
INQUISIVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,11,2,13
MAGDALENA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,0,1,1
PATACAMAYA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,0,1,1
PUCARANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
SAN CARLOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,0,1,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,13,1,14
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,0,2,2
TAPACARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,3,5,8
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,3,0,3
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-06-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,2,1,3
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,11,6,17
COROICO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,5,2,7
GUANAY,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,1,1,2
GUTIERREZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,1,0,1
HUANUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,14,10,24
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,0,2,2
SAN JULIAN,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,6,3,9
SORACACHI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,1,1,2
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,3,0,3
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,0,1,1
TOMINA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,0,1,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-07-01,0,1,1
CAJUATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,0,1,1
CAMIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,0,1
CAPINOTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,4,3,7
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,0,1
COTOCA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,3,2,5
EL TORNO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,17,8,25
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,3,0,3
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,0,1
PUERTO ACOSTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,8,2,10
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,3,1,4
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,0,1
TUPIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,1,2
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,2,3
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,0,1
YACO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-08-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,1,2
CLIZA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,10,7,17
COROICO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,5,1,6
HUMANATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,14,4,18
LAGUNILLAS,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,1,2
MAPIRI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,0,1,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,0,1
PAZÑA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,0,1,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,10,8,18
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,2,3
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-09-01,1,0,1
APOLO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,13,13,26
CORIPATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,3,1,4
LA ASUNTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,24,5,29
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,0,1,1
PAMPA GRANDE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,6,0,6
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,2,0,2
SACACA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,10,3,13
SUCRE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,0,1,1
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,2,1,3
TIPUANI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,0,2,2
TRINIDAD,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,1,2,3
UYUNI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,1,1,2
YACUIBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-10-01,1,3,4
ANZALDO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,3,3,6
BUENA VISTA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,12,10,22
"COLCHA ""K""",tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,5,1,6
GUANAY,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,19,2,21
LLALLAGUA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,3,0,3
MAGDALENA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,0,1,1
MOROCHATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,0,1,1
OKINAWA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,0,1,1
PAILON,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,0,2,2
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,2,1,3
SAN BENITO,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,1,0,1
SAN RAMON BENI,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,12,6,18
SIPE SIPE,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,0,1,1
SORATA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (-) nuevos,2013-11-01,1,0,1
