,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TOTALES
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-05-01,3,2,5
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-05-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-05-01,4,4,8
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-05-01,2,3,5
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-05-01,1,1,2
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-06-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-06-01,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-06-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-06-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-06-01,2,3,5
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-06-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-07-01,2,0,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-07-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-07-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-07-01,3,2,5
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-07-01,3,0,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-08-01,0,2,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-08-01,2,0,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-08-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-08-01,8,3,11
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-08-01,2,1,3
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-08-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-09-01,0,1,1
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-09-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-09-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-09-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-09-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-09-01,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-09-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-09-01,6,3,9
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-09-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-10-01,0,3,3
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-10-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-10-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-10-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-10-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-10-01,1,1,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-10-01,4,2,6
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-10-01,0,1,1
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-10-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-11-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-11-01,0,1,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-11-01,3,0,3
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-11-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-11-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-11-01,1,2,3
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-12-01,2,1,3
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-12-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-12-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-12-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-12-01,2,4,6
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema lll,2013-12-01,2,0,2
