,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,4,1,5
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,5,0,5
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,1,2
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,2,1,3
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
SAN PEDRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,51,43,94
SANTIAGO DE HUATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,3,4
TACACOMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,3,0,3
TEOPONTE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,2,4,6
TUPIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,4,1,5
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-01-01,1,0,1
ACACIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,1,1
ARBIETO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,1,1
AZURDUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,2,0,2
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,1,1
CAPINOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,3,4,7
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,1,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,1,1
CHUMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,3,1,4
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,9,3,12
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
COMARAPA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,1,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,1,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,1,1
CURAHUARA DE CARANGAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,9,8,17
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,4,0,4
FILADELFIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,9,5,14
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,1,2
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,5,7,12
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,2,2
PADILLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,1,1
PAMPA GRANDE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
PATACAMAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,2,1,3
PORONGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,1,2
PRESTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,3,5,8
PUNA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,1,2
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,3,4
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,1,2
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,2,1,3
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,2,1,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,68,43,111
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,2,0,2
SORACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,1,1
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,5,1,6
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,4,3,7
TACOBAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,1,2
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,2,3
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,3,4
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,1,2
TIRAQUE (CBBA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,6,6,12
TUPIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,3,4
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-02-01,1,0,1
ALTO BENI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,0,2,2
APOLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,1,2
BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,0,2
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,2,4
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,1,2
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,4,1,5
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,3,1,4
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,3,2,5
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,8,6,14
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,0,1,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,0,2,2
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,1,2
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,0,2,2
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,10,7,17
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,2,3
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,1,3
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,2,3
HUAYLLAMARCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
ICLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,2,3
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,2,4
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,10,2,12
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
MIZQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,0,2
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,3,5
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,2,4
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
PORONGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,4,0,4
PRESTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
PUERTO CARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,3,3,6
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,3,5
REYES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,0,1,1
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,2,4
ROBORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,0,1,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,1,2
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,1,3
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,0,3,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,41,33,74
SANTA ROSA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,0,2
SICA SICA (VILLA AROMA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
SOPACHUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,5,5,10
TARATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,4,4,8
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,1,2
TORO TORO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,3,1,4
VILLA CHARCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,6,4,10
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,1,2
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,4,5
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,4,7,11
YOCALLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-03-01,1,0,1
ACHACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,1,1
AIQUILE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
ARBIETO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,3,0,3
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,1,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,4,6,10
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,2,3
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,12,7,19
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,1,2
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,0,2
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,12,11,23
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,2,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,4,6
FERNANDEZ ALONSO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,1,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,3,2,5
INCAHUASI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,5,4,9
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,9,3,12
LAGUNILLAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
LICOMA PAMPA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,1,2
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
MIZQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,1,2
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,2,4
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,2,4
PAILON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,5,1,6
PUNA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,3,2,5
ROBORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,2,3
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,1,3
SAMAIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,1,1
SAN BENITO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,1,1
SAN CARLOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,1,3
SAN MATIAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,56,49,105
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,1,2
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,1,2
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,1,2
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,3,2,5
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,1,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,5,2,7
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,1,1
TORO TORO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,0,2
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,5,1,6
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,1,3
VILLA SERRANO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,2,4
VILLAZON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,1,1,2
VITICHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,1,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,2,3,5
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,5,2,7
YAMPARAEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,0,1,1
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-04-01,4,0,4
ACHACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-05-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2013-05-01,2,1,3
