,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,5,3,8
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,74,31,105
LICOMA PAMPA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,2,1,3
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,3,1,4
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,7,7,14
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,1,2
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,7,4,11
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,5,1,6
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
PAPEL PAMPA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
PELECHUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,72,14,86
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,4,0,4
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,4,4,8
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,7,5,12
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,3,4,7
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,5,3,8
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,2,1,3
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,2,0,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,1,2
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,102,58,160
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,1,2
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,4,2,6
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,2,0,2
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,14,10,24
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,4,5,9
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,2,2
TIAWANACU,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,2,0,2
TOCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
TOTORA(ORR),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,6,7,13
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,2,2
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,3,0,3
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,2,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,5,0,5
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,8,2,10
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,4,4,8
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
YOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-01-01,0,1,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,3,3,6
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
ANZALDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
AUCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,0,2
AZURDUY,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,1,3
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,3,1,4
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,1,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,9,4,13
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,4,1,5
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,10,8,18
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,0,2
"COLCHA ""K""",tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,3,0,3
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,29,16,45
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,4,4,8
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,1,3
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,1,2
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,1,2
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,2,2
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,5,3,8
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,4,4,8
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,72,33,105
LICOMA PAMPA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,1,3
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,1,3
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,3,2,5
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,0,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,5,7
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,6,5,11
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,1,2
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,3,1,4
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,38,7,45
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,5,7
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,5,1,6
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,4,1,5
REYES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,1,2
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,7,3,10
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,3,0,3
SACACA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,4,0,4
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,2,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,1,2
SAN PEDRO DE TIQUINA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,67,72,139
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
SENA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,4,0,4
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
SORACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,10,5,15
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,0,2
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,4,6,10
TIAWANACU,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,4,1,5
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
TOLATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
TOMAVE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
TORO TORO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,4,4,8
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,2,1,3
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,3,0,3
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,3,3
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,3,3,6
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,4,0,4
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,6,1,7
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,6,7,13
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,6,2,8
YAMPARAEZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,2,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,3,1,4
YOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-02-01,0,1,1
ACACIO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,5,1,6
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,1,3
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
ARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,4,2,6
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,1,2
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,0,2
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,0,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,12,5,17
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,3,0,3
CHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,3,1,4
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
CKOCHAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,0,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,19,12,31
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,3,1,4
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,2,4
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,3,5
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,3,0,3
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,24,24,48
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,4,4,8
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,2,4
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,3,2,5
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,8,2,10
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,48,20,68
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,3,0,3
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,0,2
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,2,3
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,5,8,13
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,8,2,10
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,2,2
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,3,1,4
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,11,3,14
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,2,2,4
PUERTO ACOSTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
PUERTO PEREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,8,5,13
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,5,2,7
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,4,4,8
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,4,2,6
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema l,2013-03-01,1,0,1
