,group,variable,month,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,2,1,3
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,1,2
TACACOMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,0,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,2,1,3
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,1,2
TUPIZA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,3,3
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,1,1
VILLAZON,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,0,1,1
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,1,2
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,3,1,4
YANACACHI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-01-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,2,1,3
AUCAPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,1,2
AZURDUY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,0,1,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,1,2
CAMIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,0,1
CAPINOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,0,1
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,4,5
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,2,2,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,6,4,10
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,1,2
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,0,1
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,3,4
CURVA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,4,7,11
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,2,3
GUAYARAMERIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,1,2
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,2,2,4
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,4,5
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,6,4,10
MINEROS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,3,1,4
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,0,1
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,2,0,2
PAMPA GRANDE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,0,2,2
POJO (CBBA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,0,1
POROMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,1,2
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,3,4
PUERTO RICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,2,2,4
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,2,0,2
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,2,3
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,0,1,1
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,2,3
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,17,12,29
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,0,2,2
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,2,3
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,3,2,5
VIACHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,1,2
VILLA CHARCAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,2,2,4
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,1,1,2
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,8,3,11
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,3,0,3
YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-02-01,7,2,9
AUCAPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,0,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,0,3,3
CAJUATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,1,2
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,2,2,4
CHARAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,0,2,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,5,2,7
COLCAPIRHUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,0,1
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,2,3
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,4,6,10
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,3,0,3
GENERAL SAAVEDRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,1,2
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,0,2,2
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,3,4
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,4,5
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,2,3
PADCAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,0,1,1
PAILON,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,1,2
PAMPA GRANDE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,0,1
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,0,1
PUERTO RICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,7,6,13
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,1,2
RURRENABAQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,0,1,1
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,1,2
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,24,23,47
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,5,5,10
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,2,1,3
TACACOMA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,0,1,1
TARATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,0,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,2,0,2
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,2,1,3
VILLA RIVERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,2,0,2
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,1,0,1
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-03-01,4,0,4
ACHACACHI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,2,2
ACHOCALLA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,4,4
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,2,2
CAJUATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,3,0,3
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,0,1
CLIZA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,3,0,3
COBIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,1,2
COCAPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,1,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,4,2,6
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,1,1
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,0,1
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,2,3
CULPINA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,2,2
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,14,8,22
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,2,2,4
LA GUARDIA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,2,2,4
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,4,7,11
MOCOMOCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,2,0,2
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,1,2
ORURO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,1,1
PADCAYA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,3,1,4
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,1,1
PUERTO GONZALO MORENO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,4,3,7
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,2,3
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,1,2
ROBORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,2,0,2
RURRENABAQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,2,1,3
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,2,3
SAN ANDRES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,0,1
SAN BENITO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,1,1
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,25,19,44
SHINAOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,3,0,3
SORATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,2,0,2
SUCRE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,2,2
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,2,3
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,2,3
TRINIDAD,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,3,4
URUBICHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,2,1,3
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,5,1,6
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-04-01,1,1,2
ARAMPAMPA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,0,1
BETANZOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,2,0,2
CHARAGUA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,2,2
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,2,2,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,0,1
CLIZA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,3,0,3
COBIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,2,0,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,6,2,8
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,1,2
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,1,2
DESAGUADERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,1,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,6,3,9
ENTRE RIOS CBBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,0,1
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,2,0,2
LA PAZ,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,5,1,6
MAPIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,3,1,4
MONTERO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,2,7,9
POCONA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,1,1
POTOSI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,2,5,7
QUILLACOLLO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,2,2
RIBERALTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,2,0,2
SACABA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,1,1
SAN CARLOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,2,2
SAN JULIAN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,5,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,10,13,23
SANTIAGO DE HUATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,4,2,6
SORATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,1,1
TARIJA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,2,2
TEOPONTE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,1,1
TIPUANI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,2,0,2
TIRAQUE (CBBA),tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,2,0,2
VIACHA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,3,4,7
WARNES,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,1,0,1
YACUIBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,2,2,4
YOTALA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-05-01,0,1,1
ALTO BENI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,0,1
ARQUE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,1,1
BERMEJO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,5,5
BOYUIBE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,2,2
CAMIRI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,2,0,2
CAPINOTA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,1,2
CARANAVI,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,2,2
CHIMORE,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,2,2
COCHABAMBA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,1,2
CORIPATA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,1,1
COROICO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,3,4
COTOCA,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,1,1
EL ALTO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,5,5,10
EL TORNO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,0,1
GUANAY,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,n de quimioprofilaxis en menores de 5 anos,2013-06-01,1,1,2
