,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,4,4,8
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,1,2
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,4,0,4
PAMPA GRANDE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
PAPEL PAMPA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
PELECHUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
POCONA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,7,3,10
PUCARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,4,3,7
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,2,5,7
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,3,6
ROBORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,4,2,6
SAN BENITO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,0,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,2,2
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,2,0,2
SAN LORENZO(TJA),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,2,0,2
SAN LUCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
SANTA ANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,81,58,139
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,1,2
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,2,5
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,1,2
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,7,4,11
TACACOMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,2,0,2
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,4,7
TEOPONTE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
TIAWANACU,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
TOCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
TOMAVE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,2,4,6
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,3,4
UNCIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,2,0,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
URUBICHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,2,2
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,3,0,3
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,6,2,8
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,4,5,9
YANACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
YOCALLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-01-01,0,1,1
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,3,5
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,1,2
ANZALDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
AUCAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
AZURDUY,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
BATALLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,3,1,4
"CAIZA ""D""",tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
CAMARGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,1,3
CAPINOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,2,2
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,10,4,14
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,3,1,4
CKOCHAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,11,8,19
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,3,0,3
CULPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,17,9,26
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,3,5
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,1,3
GENERAL SAAVEDRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,2,3
INCAHUASI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
INQUISIVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
IXIAMAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,2,4
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,3,4,7
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,27,17,44
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,1,3
MACHARETI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
MAIRANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,1,3
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,0,2
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,4,6,10
OMEREQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,4,4,8
PADCAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
PALCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,0,2
PATACAMAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
POCOATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,0,2
POCONA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
POJO (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
PORTACHUELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,8,3,11
PRESTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,5,7
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,3,1,4
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,3,3,6
REYES,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,6,3,9
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,0,2
SACACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
SAN ANDRES,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,4,0,4
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,3,3
SAN LUCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,1,2
SAN MATIAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,58,53,111
SENA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,5,0,5
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,7,2,9
TARABUCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
TARATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,4,3,7
TIAWANACU,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
TOLATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
TORO TORO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,3,4,7
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,1,3
UNCIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,1,2
VILLA CHARCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,3,3
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,3,3
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,4,3,7
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,3,0,3
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,4,0,4
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,7,6,13
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,8,3,11
YAMPARAEZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,2,2
YANACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,2,1,3
YOCALLA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-02-01,0,1,1
ACACIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,5,1,6
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,1,2
APOLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,4,2,6
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,1,2
CAMARGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,2,0,2
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,2,0,2
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,8,5,13
CARIPUYO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
CHALLAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
CHAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,1,2
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,2,1,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
CKOCHAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,3,0,3
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,19,9,28
COMARAPA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,1,2
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,2,3,5
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,3,0,3
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,16,14,30
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,4,4,8
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
FILADELFIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,2,2,4
HUANUNI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
INCAHUASI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,3,2,5
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,6,1,7
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,25,11,36
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,2,0,2
MACHARETI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,2,0,2
MINEROS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,2,3
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,18,13,31
OKINAWA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,2,2
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,4,1,5
PADCAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,2,2
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,2,0,2
PAMPA GRANDE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
POJO (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
POROMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,6,1,7
PRESTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
PUCARANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,2,2,4
PUERTO PEREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,2,2
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,8,5,13
PUNA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,5,2,7
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,4,4,8
RURRENABAQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,3,2,5
SAN ANDRES,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
SAN BENITO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,1,2
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,4,1,5
SAN LORENZO(TJA),tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,3,0,3
SAN LUCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,2,2
SAN MATIAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
SAN PEDRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,79,61,140
SAPAHAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,2,2,4
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,4,7,11
TAPACARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
TARACO,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
TARATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,2,2,4
TIAWANACU,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,0,1,1
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,3,1,4
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,4,1,5
VILLA CHARCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2013-03-01,3,1,4
