,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-02-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,4,2,6
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,0,1
EUREKA (SANTOS MERCADO),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,2,0,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,3,0,3
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,2,1,3
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,1,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,15,9,24
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,0,1,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,1,2
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,2,0,2
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,3,0,3
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,2,0,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,1,0,1
YOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,0,1,1
AZURDUY,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,1,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,4,1,5
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,4,0,4
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,3,0,3
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,1,2
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,0,1,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,2,3
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,14,8,22
SANTIAGO DE HUATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,3,0,3
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,1,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-04-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,4,1,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,5,1,6
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,4,4,8
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,2,0,2
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,1,2
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,5,4,9
SANTA ROSA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,2,0,2
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,1,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,3,2,5
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-05-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,4,0,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,5,1,6
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,16,2,18
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,0,1,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,1,2
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,2,1,3
VILLA SERRANO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,1,1,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-06-01,0,1,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,1,1,2
AZURDUY,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,5,0,5
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,2,0,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,6,1,7
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,1,1,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,3,0,3
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,1,0,1
SAN JAVIER(BNI),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,11,6,17
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,0,1,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,1,1,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,0,2,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-07-01,2,0,2
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,0,1,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,1,1,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,0,1,1
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,3,0,3
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,2,0,2
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,3,2,5
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,1,3,4
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,2,0,2
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,9,2,11
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,0,1,1
TINGUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,2,0,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,2,1,3
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,0,1,1
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-08-01,1,0,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,0,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,0,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,4,4,8
COLQUECHACA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,0,1,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,2,5,7
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,6,0,6
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,2,0,2
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,2,1,3
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,0,1,1
SAN MATIAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,7,7,14
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,2,1,3
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,0,1,1
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,0,1
TORO TORO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,1,2
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,1,1,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-09-01,2,1,3
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,0,1,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,1,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,2,1,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,5,1,6
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,0,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,1,2
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,0,1,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,2,0,2
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,0,1
REYES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,0,2,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,2,0,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,0,1,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,16,3,19
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,2,1,3
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,2,0,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,1,1,2
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,2,0,2
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-10-01,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,0,1,1
BOLPEBRA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,3,0,3
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ll,2013-11-01,2,0,2
