municipality,group,variable,month,"Anestesias generales, locales o regionales",TOTAL
TIRAQUE (CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,13,13
TOLEDO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,4,4
TOTORA(CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,2,2
TRINIDAD,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,319,319
TUPIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,26,26
UNCIA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,30,30
UYUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,11,11
VACAS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,10,10
VALLEGRANDE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,48,48
VIACHA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,15,15
VILLA MONTES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,51,51
VILLA RIVERO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,11,11
VILLA TUNARI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,44,44
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,9,9
VILLAZON,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,57,57
VINTO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,1,1
WARNES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,37,37
YACUIBA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,99,99
YAMPARAEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,3,3
YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,25,25
YOTALA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,11,11
ZUDAÑEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2007-01-01,29,29
ACHACACHI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,5,5
AIQUILE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,10,10
ANCORAIMES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,9,9
APOLO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,6,6
ARANI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,11,11
ASCENCION DE GUARAYOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,9,9
ATOCHA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,14,14
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,11,11
BAURES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,1,1
BERMEJO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,41,41
BETANZOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,17,17
CAJUATA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,2,2
CAMARGO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,77,77
CAMIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,93,93
CAPINOTA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,2,2
CARACOLLO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,1,1
CARANAVI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,23,23
CHARAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,8,8
CHIMORE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,30,30
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,1,1
COBIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,334,334
COCHABAMBA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,2580,2580
COLCAPIRHUA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,5,5
COLOMI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,2,2
COLQUIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,9,9
COMARAPA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,7,7
CONCEPCION,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,8,8
COPACABANA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,6,6
COROICO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,27,27
COTOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,23,23
EL ALTO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,1122,1122
EL TORNO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,18,18
ENTRE RIOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,37,37
EUCALIPTUS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,4,4
EXALTACION,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,2,2
FILADELFIA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,2,2
GUAYARAMERIN,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,42,42
HUACARETA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,10,10
HUACAYA (VILLA DE HUACAYA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,2,2
HUANUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,7,7
INQUISIVI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,7,7
IRUPANA (VILLA DE LANZA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,15,15
LA ASUNTA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,39,39
LA PAZ,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,3060,3060
LLALLAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,59,59
LURIBAY,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,7,7
MAGDALENA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,9,9
MAIRANA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,10,10
MIZQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,9,9
MOCOMOCO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,1,1
MONTEAGUDO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,58,58
MONTERO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,145,145
MOROCHATA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,4,4
OCURI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,3,3
ORURO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,515,515
PADILLA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,22,22
PATACAMAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,23,23
PORTACHUELO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,48,48
PORVENIR,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,23,23
POTOSI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,323,323
PUERTO ACOSTA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,8,8
PUERTO CARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,4,4
PUERTO QUIJARRO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,2,2
PUERTO RICO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,87,87
PUERTO SUAREZ,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,69,69
PUERTO VILLARROEL,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,153,153
PUNATA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,113,113
QUILLACOLLO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,221,221
REYES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,1,1
RIBERALTA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,195,195
ROBORE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,16,16
RURRENABAQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,13,13
SACABA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,33,33
SAN BENITO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,13,13
SAN BORJA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,29,29
SAN BUENA VENTURA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,16,16
SAN CARLOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,28,28
SAN IGNACIO DE VELASCO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,72,72
SAN JAVIER(STC),cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,6,6
SAN JOSE DE CHIQUITOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,7,7
SAN JUAN DE YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,29,29
SAN JULIAN,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,10,10
SAN LUCAS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,7,7
SAN MATIAS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,10,10
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,9,9
SAN RAMON,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,1,1
SANTA ANA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,12,12
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,2911,2911
SANTA ROSA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,4,4
SIPE SIPE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,18,18
SOPACHUY,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,1,1
SORATA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,2,2
SUCRE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,801,801
TARIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,472,472
TARVITA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,1,1
TIQUIPAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,3,3
TIRAQUE (CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,3,3
TOTORA(CBBA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,4,4
TRINIDAD,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,283,283
TUPIZA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,40,40
UNCIA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,13,13
UYUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,8,8
VACAS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,20,20
VALLEGRANDE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,32,32
VIACHA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,40,40
VILLA MONTES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,3,3
VILLA RIVERO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,10,10
VILLA TUNARI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,38,38
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,8,8
VILLAZON,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,66,66
VINTO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,1,1
WARNES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,21,21
YACUIBA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,92,92
YAPACANI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,3,3
YOTALA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,22,22
ZUDAÑEZ,cirugias y anestesias,"anestesias generales, locales o regionales",2007-02-01,6,6
ACHACACHI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,9,9
AIQUILE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,13,13
ANCORAIMES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,4,4
ANTEQUERA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,1,1
ASCENCION DE GUARAYOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,15,15
ATOCHA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,11,11
AYOPAYA (V. DE INDEPENDENCIA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,10,10
AZURDUY,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,1,1
BERMEJO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,42,42
BETANZOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,18,18
CAMARGO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,12,12
CAMIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,93,93
CARANAVI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,43,43
CHALLAPATA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,1,1
CHARAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,9,9
CHIMORE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,29,29
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,17,17
COBIJA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,360,360
COCHABAMBA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,3101,3101
COLCAPIRHUA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,76,76
COLOMI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,6,6
COLQUIRI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,11,11
COMARAPA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,11,11
CONCEPCION,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,11,11
COPACABANA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,29,29
COROICO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,22,22
COTOCA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,26,26
EL ALTO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,903,903
EL TORNO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,26,26
ENTRE RIOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,68,68
EUCALIPTUS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,1,1
EXALTACION,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,1,1
FILADELFIA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,12,12
GUAYARAMERIN,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,53,53
HUACARETA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,7,7
HUACAYA (VILLA DE HUACAYA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,2,2
HUANUNI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,10,10
INQUISIVI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,2,2
IRUPANA (VILLA DE LANZA),cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,87,87
LA ASUNTA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,31,31
LA PAZ,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,3220,3220
LLALLAGUA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,64,64
LURIBAY,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,1,1
MAGDALENA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,10,10
MAIRANA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,18,18
MOCOMOCO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,2,2
MONTEAGUDO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,50,50
MONTERO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,178,178
MOROCHATA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,3,3
ORURO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,539,539
PADILLA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,28,28
PALOS BLANCOS,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,2,2
PATACAMAYA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,30,30
PORTACHUELO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,46,46
PORVENIR,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,21,21
POTOSI,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,369,369
PUERTO ACOSTA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,21,21
PUERTO CARABUCO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,4,4
PUERTO QUIJARRO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,3,3
PUERTO RICO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,77,77
PUERTO SUAREZ,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,52,52
PUERTO VILLARROEL,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,166,166
PUNATA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,81,81
QUILLACOLLO,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,179,179
REYES,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,9,9
RIBERALTA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,119,119
ROBORE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,9,9
RURRENABAQUE,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,16,16
SACABA,cirugias y anestesias,"anestesias generales, locales o regionales",2007-03-01,60,60
