,group,variable,month,TOTAL 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTAL 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
CHARAGUA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,13,15,28
CHAYANTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
CHIMORE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,11,5,16
CHIPAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
CHUA COCANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,13,15,28
CHUMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,0,3
CKOCHAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
CLIZA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,13,17
COBIJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,24,23,47
COCAPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
COCHABAMBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,116,104,220
COLCAPIRHUA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,11,11,22
"COLCHA ""K""",tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,4,8
COLLANA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,1,4
COLOMI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,2,4
COLPA BELGICA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
COLQUECHACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,7,9,16
COLQUENCHA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
COLQUIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
COMARAPA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,5,9
CONCEPCION,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,5,5,10
COPACABANA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
CORIPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,15,16,31
COROICO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,10,13,23
CORQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
COTAGAITA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,4,6
COTOCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,16,23,39
CUATRO CAÑADAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,5,9
CUCHUMUELA (V. G. VILLARROEL),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
CUEVO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,4,4
CULPINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,10,2,12
DESAGUADERO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
EL ALTO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,290,259,549
EL CHORO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
EL PUENTE(STC),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,2,5
EL PUENTE(TJA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,2,4
EL TORNO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,28,27,55
EL VILLAR,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,2,4
ENTRE RIOS TRJ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,10,9,19
ENTRE RIOS CBBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,17,15,32
ESCOMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
EUCALIPTUS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
FERNANDEZ ALONSO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,1,4
FILADELFIA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,4,6
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
GUANAY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,2,6
GUAQUI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,12,11,23
GUTIERREZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,0,4
HUACARETA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,2,4
HUACHACALLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,3,3
HUANUNI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,42,4,46
HUARACAJE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,2,2
HUARINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,2,6
HUAYLLAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
HUMANATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
ICHOCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
ICLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
INCAHUASI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,6,9
INGAVI (HUMAITA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
INQUISIVI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,7,11
JESUS DE MACHACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
LA ASUNTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,19,18,37
LA GUARDIA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,29,34,63
LA PAZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,324,254,578
LAGUNILLAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
LAJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
LAS CARRERAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,1,4
LLALLAGUA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,18,10,28
MACHACAMARCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
MACHARETI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
MAGDALENA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,0,3
MAIRANA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,1,4
MALLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
MAPIRI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,5,3,8
MECAPACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,3,6
MINEROS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
MIZQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,11,5,16
MONTEAGUDO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,12,16,28
MONTERO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,39,36,75
MOROCHATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,4,8
OCURI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,2,6
OKINAWA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,7,9
OMEREQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,4,6
ORURO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,60,68,128
PADCAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,3,4
PADILLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,5,5,10
PAILON,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,13,3,16
PALCA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
PALOS BLANCOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,10,8,18
PAMPA AULLAGAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,0,2
PAMPA GRANDE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
PATACAMAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,5,6,11
PAZÑA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
PELECHUCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
POCOATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
POJO (CBBA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
POOPO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
PORCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,4,6
POROMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,4,6
PORTACHUELO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,4,6
PORVENIR,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
POTOSI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,118,32,150
PRESTO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
PUCARA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
PUCARANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,4,5
PUERTO CARABUCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,0,3
PUERTO GONZALO MORENO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
PUERTO PEREZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,24,23,47
PUERTO RICO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,42,31,73
PUNA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,5,6,11
PUNATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,13,14,27
QUIABAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,3,6
QUILLACOLLO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,48,47,95
QUIME,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,0,2
RAVELO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,7,9
RIBERALTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,54,44,98
ROBORE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,10,6,16
SACABA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,36,26,62
SACACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,8,12
SAIPINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,3,4
SAMAIPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
SAN AGUSTIN,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
SAN ANDRES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,0,3
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
SAN BENITO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,5,9
SAN BORJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,19,5,24
SAN BUENA VENTURA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
SAN CARLOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,7,10,17
SAN IGNACIO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,10,7,17
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,7,11
SAN JAVIER(BNI),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,2,6
SAN JOAQUIN,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,3,4
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,3,7
SAN JUAN DE YAPACANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,3,7
SAN JULIAN,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,20,17,37
SAN LORENZO(TJA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,8,12
SAN LUCAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,8,4,12
SAN MATIAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,3,4
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,2,2
SAN PEDRO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,6,3,9
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,3,6
SAN PEDRO DE TIQUINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
SAN RAFAEL,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
SAN RAMON BENI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
SAN RAMON SCZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,5,9
SANTA ANA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,429,425,854
SANTA ROSA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,1,5
SANTA ROSA DEL SARA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
SANTIAGO DE HUARI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
SANTIAGO DE HUATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
SANTIAGO DE MACHACA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,0,4
SANTIVAÑES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,2,2
SANTUARIO DE QUILLACAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,1,5
SAPAHAQUI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
SHINAOTA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,16,11,27
SICA SICA (VILLA AROMA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
SICAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,15,10,25
SOPACHUY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,6,10
SORACACHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,0,2
SORATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,6,6,12
SUCRE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,119,137,256
TACACOMA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
TACOBAMBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,3,5
TACOPAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
TAPACARI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,4,5
TARABUCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,7,2,9
TARACO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
TARATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
TARIJA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,74,59,133
TARVITA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,12,12
TEOPONTE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,8,3,11
TIAWANACU,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,0,2
TINGUIPAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
TIPUANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,19,6,25
TIQUIPAYA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,9,14,23
TIRAQUE (CBBA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,3,6
TOCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,3,4
TOLATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,2,2
TOLEDO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
TOMAVE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
TOMINA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,1,2
TOTORA(CBBA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,2,4
TOTORA(ORR),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
TRIGAL,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,33,17,50
TUPIZA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,19,12,31
TURCO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
UNCIA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,1,5
URIONDO (A. CONCEPCION),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,8,3,11
URUBICHA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,0,2
UYUNI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,4,6,10
VACAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,2,3
VALLEGRANDE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,6,4,10
VIACHA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,13,12,25
VILLA CHARCAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,5,7
VILLA MONTES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,30,23,53
VILLA SERRANO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,5,7
VILLA TUNARI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,42,20,62
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,6,0,6
VILLAZON,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,15,13,28
VINTO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,12,1,13
VITICHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,2,4
WALDO BALLIVIAN,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
WARNES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,36,34,70
YACO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,0,1,1
YACUIBA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,77,63,140
YAMPARAEZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
YANACACHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,2,1,3
YAPACANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,68,45,113
YOTALA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,1,4,5
YUNCHARA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,5,3,8
ZUDAÑEZ,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-01-01,3,2,5
ACACIO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,1,3,4
ACHACACHI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,8,7,15
ACHOCALLA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,2,4,6
AIQUILE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,7,2,9
ALALAY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,2,0,2
ALTO BENI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,2,4,6
ANCORAIMES,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,1,3,4
ANZALDO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,10,0,10
APOLO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,1,1,2
ARAMPAMPA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,1,0,1
ARANI,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,1,3,4
ARBIETO,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,3,2,5
ARQUE,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,1,4,5
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,9,5,14
ATOCHA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,2,3,5
AUCAPATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,3,48,51
AYATA,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,1,2,3
AZURDUY,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,7,2,9
BATALLAS,tuberculosis y lepra,      n de sintomaticos respiratorios,2014-02-01,5,4,9
