,group,variable,month,TOTAL 23.7 TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TOTAL 23.7 TRATAMIENTOS INICIADOS CON ESQUEMA LLL CANTIDAD,TOTALES
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-06-01,2,0,2
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-06-01,1,0,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-06-01,2,5,7
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-06-01,2,1,3
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-07-01,0,1,1
PADILLA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-07-01,0,1,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-07-01,1,0,1
SAMAIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-07-01,3,3,6
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-07-01,1,0,1
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-07-01,0,1,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-07-01,1,0,1
CHAYANTA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-08-01,1,0,1
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-08-01,0,1,1
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-08-01,1,0,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-08-01,7,2,9
COLQUECHACA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-09-01,0,1,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-09-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-09-01,0,1,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-09-01,1,3,4
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-09-01,1,0,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-09-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-09-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-09-01,3,1,4
CLIZA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-10-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-10-01,1,1,2
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-10-01,1,0,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-10-01,1,0,1
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-10-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-10-01,11,1,12
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-10-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-10-01,0,1,1
TUPIZA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-10-01,0,2,2
ZUDAÑEZ,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-10-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-11-01,3,0,3
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-11-01,0,1,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-11-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-11-01,1,2,3
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-11-01,0,2,2
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-12-01,2,0,2
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-12-01,4,1,5
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-12-01,1,1,2
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema lll,2014-12-01,1,1,2
