,group,variable,month,TOTAL 23.4 N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTAL 23.4 N° DE TB EXTRAPULMONAR NUEVOS CANTIDAD,TOTALES
CAPINOTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
CHALLAPATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,1,2
CHIMORE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
CHUMA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,6,12,18
COLQUIRI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
COROICO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,0,1,1
COTAGAITA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
COTOCA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,0,1,1
CULPINA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,18,6,24
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
GUANAY,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,0,1,1
HUANUNI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
LA PAZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,12,10,22
MECAPACA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
MONTERO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,2,2,4
ORURO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,8,2,10
PATACAMAYA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
POTOSI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,2,0,2
PUCARANI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,2,1,3
RIBERALTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,0,1,1
SACABA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,3,2,5
SAN BORJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,24,11,35
SANTUARIO DE QUILLACAS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
SIPE SIPE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
SUCRE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,0,2,2
TACOBAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,0,1,1
TARIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
TOMINA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
UYUNI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,0,2,2
VIACHA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,0,1,1
VINTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,0,1,1
WARNES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,3,4
YACUIBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,2,2,4
YAPACANI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,1,2
ZUDAÑEZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,1,2
BETANZOS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
CAPINOTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
CAQUIAVIRI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,11,11,22
EL ALTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,5,4,9
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,0,1,1
LA PAZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,8,4,12
LLALLAGUA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,0,1,1
MINEROS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
MIZQUE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
MONTERO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,0,2,2
ORURO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,2,1,3
PAILON,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,2,0,2
PELECHUCO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,0,1,1
POTOSI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,6,0,6
SACABA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,2,3
SAN LUCAS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,17,13,30
SICA SICA (VILLA AROMA),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,0,1,1
SORATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
SUCRE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
TARIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,3,0,3
TOMAVE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,2,0,2
TUPIZA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,0,1,1
VIACHA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,2,0,2
VILLA MONTES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
VINTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,0,1
YACUIBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,2,0,2
YAPACANI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-03-01,1,1,2
ACHACACHI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,0,2,2
BATALLAS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,0,1,1
CARANAVI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,0,1
COBIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,10,9,19
COTAGAITA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,0,1
COTOCA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,1,2
EL ALTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,13,7,20
GUANAY,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,0,1
LA PAZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,13,7,20
MONTERO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,3,4
ORURO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,4,1,5
POTOSI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,6,2,8
PRESTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,0,1
PUNATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,2,3
SAN JOAQUIN,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,26,23,49
SUCRE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,0,1
TARIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,4,0,4
TRINIDAD,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,2,0,2
TUPIZA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,0,1
UYUNI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,0,1,1
VIACHA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,0,1,1
VILLAZON,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,0,1,1
WARNES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,1,2
YACUIBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,0,1,1
YAPACANI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-04-01,1,0,1
BATALLAS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,0,2,2
CABEZAS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,0,1
CAMIRI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,0,1
COBIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,0,2,2
COCAPATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,8,8,16
CORIPATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,0,1
COROICO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,8,5,13
EL TORNO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,0,1
HUANUNI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,0,1
INQUISIVI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,0,1,1
LA GUARDIA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,2,0,2
LA PAZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,8,4,12
MONTEAGUDO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,0,1
MONTERO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,3,1,4
ORURO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,0,1,1
POTOSI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,3,1,4
PUNATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,0,1
RIBERALTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,0,1,1
SACABA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,1,2
SAN BENITO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,0,1,1
SAN CARLOS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,11,11,22
SUCRE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,3,4
TARIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,0,4,4
TIPUANI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,2,1,3
TUPIZA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,2,0,2
UYUNI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,2,1,3
WARNES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-05-01,0,1,1
AYATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,1,0,1
BATALLAS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,0,1,1
BERMEJO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,1,0,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,0,1,1
CHIMORE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,2,0,2
COCHABAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,9,6,15
CUATRO CAÑADAS,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,2,0,2
EL ALTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,13,6,19
EL TORNO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,0,1,1
INQUISIVI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,2,0,2
LA PAZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,7,6,13
MONTERO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,2,1,3
ORURO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,3,1,4
POTOSI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,1,0,1
PUNA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,2,0,2
RIBERALTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,1,0,1
SACABA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,2,1,3
SAIPINA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,13,4,17
SANTIAGO DE CALLAPA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,1,0,1
SUCRE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,2,1,3
TARIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,0,1,1
TUPIZA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,0,1,1
VIACHA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,1,0,1
VILLA MONTES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,0,1,1
YACUIBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,2,0,2
YAPACANI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-06-01,0,2,2
ACHOCALLA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
AYATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,0,1,1
BERMEJO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
CAMIRI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,3,1,4
CARMEN RIVERO TORREZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,16,13,29
COROICO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
COTOCA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,12,5,17
EL TORNO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,0,2,2
GUAYARAMERIN,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
HUANUNI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,3,0,3
LA GUARDIA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,2,0,2
LA PAZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,8,8,16
MOJINETE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
MONTERO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
ORURO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,4,5
PALCA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,2,0,2
POTOSI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,5,0,5
PUNATA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,2,0,2
RIBERALTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
SACABA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,18,8,26
SHINAOTA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,0,1,1
SORACACHI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,0,1,1
SUCRE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,3,1,4
TARIJA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,3,1,4
TRINIDAD,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,2,0,2
TUPIZA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,1,2
UYUNI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
VIACHA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,0,1,1
VILLAZON,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
WARNES,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,2,0,2
YACUIBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,1,0,1
YAPACANI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-07-01,2,0,2
ACHACACHI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,0,1,1
ANZALDO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,0,1,1
CAMIRI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,0,2,2
CARACOLLO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,2,0,2
CHIMORE,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,12,12,24
EL ALTO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,8,6,14
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,2,0,2
FILADELFIA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,0,1,1
GUANAY,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
HUANUNI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,2,0,2
LA PAZ,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,8,9,17
MAPIRI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
MONTERO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,3,0,3
ORURO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,3,2,5
PORONGO,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
POTOSI,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,4,5,9
PUERTO VILLARROEL,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,3,1,4
SACABA,tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,3,1,4
SAN LORENZO(TJA),tuberculosis y lepra,      n de tb extrapulmonar nuevos,2014-08-01,1,0,1
