,group,variable,month,TOTAL 23.3 N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTAL 23.3 N° DE TBP BAAR (-) NUEVOS CANTIDAD,TOTALES
TARIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,0,1,1
TOMAVE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,0,3,3
TRINIDAD,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,0,1,1
TUPIZA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,2,0,2
YACUIBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,1,0,1
YAPACANI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-02-01,0,1,1
CARANAVI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,0,1,1
COBIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,4,7,11
COROICO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,6,4,10
EL ALTO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,4,0,4
HUANUNI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,1,1,2
LA PAZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,1,4,5
MONTEAGUDO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,1,1,2
ORURO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,0,1,1
RIBERALTA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,0,1,1
SAN BORJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,14,8,22
TACACOMA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,0,1,1
TARIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,1,0,1
TOMAVE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,3,4,7
TUPIZA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,0,1,1
UYUNI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,0,1,1
YAPACANI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-03-01,1,0,1
ACHACACHI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,1,2,3
ANZALDO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,16,9,25
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,3,2,5
EL ALTO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,5,4,9
EL TORNO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,0,1,1
HUANUNI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,0,2,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,1,0,1
LA PAZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,2,2,4
LURIBAY,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,1,0,1
MONTERO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,1,0,1
ORURO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,1,0,1
PALCA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,1,0,1
POTOSI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,5,12,17
SORATA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,0,1,1
TARIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,0,1,1
TRINIDAD,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,0,1,1
VIACHA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,0,1,1
YACUIBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-04-01,0,1,1
ARBIETO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,4,0,4
CAMIRI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,0,1
CLIZA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,0,1,1
COBIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,4,10,14
CORIPATA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,0,1,1
COTAGAITA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,5,2,7
HUANUNI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,2,0,2
INQUISIVI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,1,2
LA PAZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,3,0,3
PALCA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,0,1,1
POTOSI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,0,1
PUERTO RICO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,0,3,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,3,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,5,4,9
SAPAHAQUI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,0,1
SUCRE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,0,1
TARIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,0,1
TUPIZA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,2,3,5
VIACHA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-05-01,0,2,2
"CAIZA ""D""",tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,1,1,2
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,6,1,7
EL ALTO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,4,0,4
LA ASUNTA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,1,1,2
LA PAZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,2,0,2
LURIBAY,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,1,0,1
MAPIRI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,0,1,1
OKINAWA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,1,0,1
ORURO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,1,0,1
PATACAMAYA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,1,0,1
POTOSI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,4,1,5
PUERTO VILLARROEL,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,2,0,2
SUCRE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,1,0,1
TOLATA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,0,1,1
TRINIDAD,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,1,0,1
WARNES,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-06-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,1,0,1
CHIMORE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,10,5,15
COTOCA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,1,0,1
EL PUENTE(TJA),tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,0,1,1
HUANUNI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,1,0,1
LA PAZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,1,0,1
ORURO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,0,1,1
PORONGO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,1,0,1
POTOSI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,5,5,10
PUERTO QUIJARRO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,0,1,1
SACABA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,1,0,1
SAN CARLOS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,14,0,14
SAN LUCAS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,4,7,11
SUCRE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,1,0,1
TARIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,2,5,7
TRINIDAD,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,2,0,2
TUPIZA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,0,1,1
YACO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-07-01,0,1,1
CHAYANTA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,1,0,1
COBIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,5,12,17
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,10,9,19
EL ALTO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,6,1,7
EL TORNO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,0,1,1
LA PAZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,2,3,5
MAGDALENA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,0,1,1
MONTERO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,1,0,1
ORURO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,0,1,1
PORCO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,9,0,9
POTOSI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,1,6,7
PUNATA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,1,0,1
SANTA ANA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,0,3,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,4,1,5
SIPE SIPE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,1,2,3
SOPACHUY,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,0,1,1
TAPACARI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,1,1,2
TARIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,1,1,2
TINGUIPAYA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,1,0,1
TUPIZA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,1,0,1
VIACHA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,0,1,1
YACUIBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-08-01,7,1,8
ACHOCALLA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,2,0,2
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,9,6,15
CORIPATA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,4,3,7
EUCALIPTUS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,2,0,2
GUANAY,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,1,0,1
LA PAZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,0,1,1
MONTERO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,38,34,72
ORURO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,1,0,1
PORCO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,6,3,9
POTOSI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,3,2,5
SIPE SIPE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,1,0,1
SUCRE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,0,2,2
TARIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,0,1,1
TUPIZA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,2,0,2
VINTO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,1,0,1
YACUIBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-09-01,5,0,5
CAMIRI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,0,1,1
CARANAVI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,1,1,2
COBIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,18,8,26
COLCAPIRHUA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,2,5,7
EL ALTO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,5,3,8
EL PUENTE(TJA),tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,0,1,1
GUANAY,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,1,0,1
HUANUNI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,0,1,1
LA PAZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,4,1,5
MONTERO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,2,0,2
ORURO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,0,2,2
PALOS BLANCOS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,1,0,1
POCONA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,0,1,1
PORCO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,3,3,6
POTOSI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,2,1,3
PUERTO QUIJARRO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,0,1,1
SAN RAMON BENI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,4,6,10
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,4,6,10
TACACOMA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,0,1,1
TIPUANI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,0,1,1
TOLATA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,6,0,6
TRINIDAD,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,3,1,4
TUPIZA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,1,0,1
YAPACANI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-10-01,1,0,1
ACHACACHI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,4,6,10
COMARAPA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,3,1,4
EL ALTO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,2,1,3
EL PUENTE(TJA),tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,1,2,3
LA PAZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,5,1,6
ORURO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,1,0,1
PORCO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,3,6,9
PORTACHUELO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,1,0,1
POTOSI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,2,1,3
SAN PABLO DE LIPEZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,1,0,1
SAN RAMON BENI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,1,2,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,5,18,23
SORATA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,1,0,1
SUCRE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,0,1,1
TARIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,1,1,2
TUPIZA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,3,1,4
WARNES,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,0,1,1
YAPACANI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,1,0,1
YOCALLA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-11-01,1,0,1
CAMARGO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,1,0,1
COBIJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,12,8,20
COLCAPIRHUA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,2,4,6
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,1,5,6
EL ALTO,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,4,1,5
HUANUNI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,1,0,1
LA PAZ,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,1,1,2
RIBERALTA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,1,0,1
SAN BORJA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,32,9,41
SUCRE,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,1,1,2
TRINIDAD,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,1,0,1
TUPIZA,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,2,0,2
YAPACANI,tuberculosis y lepra,      n de tbp baar (-) nuevos,2014-12-01,0,1,1
