,group,variable,month,TOTAL 23.6 TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTAL 23.6 TRATAMIENTOS INICIADOS CON ESQUEMA LL CANTIDAD,TOTALES
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,0,1,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,4,2,6
LURIBAY,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
PADILLA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
PAILON,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,0,1,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
SAN CARLOS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,9,8,17
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,0,1,1
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,1,2
ZUDAÑEZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-02-01,1,0,1
CAJUATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,0,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,1,2
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,0,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,2,2,4
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,0,1,1
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,0,1,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,6,5,11
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,0,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,2,0,2
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,1,2
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,0,1
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,0,1,1
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,13,6,19
SICA SICA (VILLA AROMA),tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,0,1,1
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,0,2,2
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,0,1
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,3,0,3
TOMINA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,1,2
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-03-01,1,0,1
ACHACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,1,2
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,1,2
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,0,1,1
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,3,0,3
MACHACAMARCA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
MINEROS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,0,1,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,0,1,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
ROBORE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,17,9,26
SANTA ROSA DEL SARA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,2,0,2
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,0,1,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
VITICHI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,2,1,3
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-04-01,1,0,1
CAMIRI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,1,2
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,0,1,1
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
CLIZA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,2,3,5
COLCAPIRHUA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
COTAGAITA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,1,2
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,5,5,10
MIZQUE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,1,2
PUERTO PEREZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,2,0,2
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,1,2
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,2,0,2
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,7,3,10
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,0,1,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,0,1,1
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-05-01,0,1,1
CHARAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,0,1,1
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,0,1,1
COTAGAITA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,0,1,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,1,0,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,2,0,2
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,1,0,1
MOROCHATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,0,1,1
OKINAWA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,1,0,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,1,0,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,3,1,4
PUERTO SUAREZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,2,0,2
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,1,0,1
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,15,2,17
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,2,0,2
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,1,1,2
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,1,0,1
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-06-01,0,1,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,1,2
CHARAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,2,1,3
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,0,1,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,0,2,2
GENERAL SAAVEDRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,4,0,4
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,2,1,3
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,1,2
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
PUERTO RICO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,0,1,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,0,1,1
SAN LUCAS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,8,5,13
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,0,1,1
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,2,0,2
TEOPONTE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
TINGUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
VILLAZON,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,1,0,1
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,0,1,1
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,0,1,1
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-07-01,0,2,2
AUCAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
BOLPEBRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,0,1,1
CAPINOTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
CLIZA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,0,2,2
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,0,1,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,1,2
ENTRE RIOS TRJ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,2,1,3
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,2,3
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,3,2,5
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
SANTA ANA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,9,3,12
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,0,1,1
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,0,1,1
TUPIZA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,0,1,1
VITICHI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,1,0,1
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-08-01,0,1,1
ALTO BENI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,0,1,1
CAMIRI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,2,0,2
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,0,1,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,4,0,4
MINEROS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,0,1,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
PAILON,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,3,0,3
PUCARANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
SAMAIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,5,6,11
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
TARATA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,1,0,1
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-09-01,2,0,2
ARBIETO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,0,1
ARQUE,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,0,1,1
BUENA VISTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,0,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,0,1,1
CHARAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,1,2
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,1,2
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,0,1
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,0,1,1
CULPINA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,1,2
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,3,0,3
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,0,1,1
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,0,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,7,3,10
MAPIRI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,0,1,1
POCONA,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,0,1,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema ll,2014-10-01,2,2,4
