,group,variable,month,TOTAL 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTAL 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,0,2
HUANUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
INCAHUASI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,3,2,5
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,5,3,8
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,70,25,95
LLALLAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,1,3
MECAPACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
MINEROS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
MIZQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,11,6,17
OKINAWA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,8,6,14
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
POCOATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,6,2,8
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,3,5
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,5,5,10
PUNA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,3,0,3
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,10,6,16
QUIRUSILLAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,7,3,10
RURRENABAQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,3,5
SAN BENITO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,0,2
SAN IGNACIO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,2,2
SAN JAVIER(BNI),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,1,2
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,3,0,3
SAN LORENZO(TJA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
SAN PEDRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,99,65,164
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,2,3
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,1,3
SOPACHUY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,13,7,20
TACACOMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
TARABUCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,3,11,14
TEOPONTE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,0,2
TIAWANACU,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,3,1,4
TOCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
TOLATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,0,1,1
TORO TORO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,3,5
TUPIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,1,3
UNCIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,4,0,4
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,5,0,5
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,0,2
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,3,3,6
YACO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,10,10,20
YAMPARAEZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
YANACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,2,0,2
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,3,2,5
YUNCHARA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-01-01,1,0,1
ACHACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,3,1,4
ALTO BENI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,2,2
ARBIETO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,2,4
BETANZOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
CAJUATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,1,2
CAMARGO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
CAMIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
CAPINOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,0,2
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,4,6
CHACARILLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
CHALLAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,1,2
CHARAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,3,4,7
CHUMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
CLIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,18,15,33
COLCAPIRHUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
COLQUIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
COMARAPA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
CONCEPCION,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,2,4
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,2,4
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,3,1,4
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,35,21,56
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,4,6
GUANAY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
GUAQUI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,1,3
HUACARETA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
HUANUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,0,2
HUARACAJE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
INCAHUASI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,0,2
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,1,3
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,7,4,11
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,51,31,82
LLALLAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
MECAPACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
MIZQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,8,9,17
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,9,3,12
PADILLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,9,1,10
PUCARANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,1,2
PUERTO GONZALO MORENO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,1,3
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,3,4,7
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,5,3,8
ROBORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,2,3
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,5,7,12
SAN ANDRES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
SAN BENITO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,2,4
SAN BUENA VENTURA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
SAN CARLOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,1,3
SAN JULIAN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,3,3
SAN LORENZO(TJA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
SAN PEDRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,98,61,159
SANTA ROSA DEL SARA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
SANTUARIO DE QUILLACAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,0,2
SIPE SIPE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,0,2
SOPACHUY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
SORATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
SUCRE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,7,6,13
TACACOMA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
TARIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,6,3,9
TEOPONTE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,0,2
TIPUANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,1,2
TIRAQUE (CBBA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,0,2
TOMINA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
TOTORA(ORR),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,7,2,9
TUPIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
UYUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,0,1,1
VILLA MONTES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,5,0,5
VILLA RIVERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,3,2,5
VINTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,2,3,5
WARNES,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,7,3,10
YACUIBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,8,4,12
YAPACANI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,3,2,5
YOCALLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-02-01,1,0,1
ACACIO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
ACHACACHI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,2,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
AYATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,3,0,3
AZURDUY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
BATALLAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
BERMEJO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,2,1,3
BETANZOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
CABEZAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
"CAIZA ""D""",tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
CAJUATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
CALACOTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
CAMARGO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,2,2
CAMIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
CAPINOTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,4,0,4
CAQUIAVIRI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
CARANAVI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,9,5,14
CHALLAPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
CHARAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
CHIMORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,1,2
CKOCHAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,1,2
CLIZA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
COBIJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,3,2,5
COCHABAMBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,21,11,32
COLCAPIRHUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,2,2
COMARAPA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,1,2
CONCEPCION,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
CORIPATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
COROICO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,2,3,5
CORQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
COTOCA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
DESAGUADERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
EL ALTO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,26,17,43
EL PUENTE(STC),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,1,2
EL TORNO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,4,2,6
ENTRE RIOS CBBA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,4,1,5
FERNANDEZ ALONSO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,3,0,3
FILADELFIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,1,2
HUANUNI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,2,1,3
ICLA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,2,0,2
LA ASUNTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,3,0,3
LA GUARDIA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,4,3,7
LA PAZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,54,25,79
LLALLAGUA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
LURIBAY,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
MECAPACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
MINEROS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
MIZQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,3,0,3
MONTEAGUDO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,2,2
MONTERO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,9,3,12
ORURO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,8,3,11
PADCAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,1,2
PAILON,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,3,2,5
PATACAMAYA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
PELECHUCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
PORCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
PORVENIR,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,2,3
POTOSI,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,11,1,12
PUERTO QUIJARRO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,3,5,8
PUNATA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,2,2,4
RIBERALTA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,2,1,3
ROBORE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
SACABA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,2,3,5
SACACA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,4,1,5
SAN CARLOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,2,1,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      tratamientos iniciados con esquema l,2014-03-01,1,0,1
