,group,variable,month,TOTAL 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTAL 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SUCRE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,1,2
TARIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,3,4
TEOPONTE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,0,1
TIPUANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,0,1
VILLAZON,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,1,1
VINTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,0,1,1
WARNES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,1,2
YACUIBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-01-01,1,2,3
ALTO BENI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,1,1
CAPINOTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,1,2
CARANAVI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,2,4,6
CHIMORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,0,1
CLIZA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,0,1
COBIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,3,3,6
CORIPATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,1,2
EL ALTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,5,2,7
ENTRE RIOS CBBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,2,0,2
HUANUNI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,1,1
LA GUARDIA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,3,2,5
LA PAZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,5,3,8
LLALLAGUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,2,0,2
MIZQUE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,0,1
MONTERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,6,7
ORURO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,0,1
PAILON,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,1,1
POTOSI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,4,0,4
QUILLACOLLO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,5,5
ROBORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,1,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,1,2
SAN PEDRO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,21,18,39
SHINAOTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,0,1
SUCRE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,2,3
TARIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,2,2,4
TIPUANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,3,4
TIRAQUE (CBBA),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,1,1
VILLA RIVERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,0,1
VINTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,2,2
WARNES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,1,0,1
YACUIBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,2,2
YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-02-01,0,1,1
BERMEJO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,2,1,3
CABEZAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,1,2
CAJUATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
CAMARGO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,0,1,1
CAPINOTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,2,0,2
CARANAVI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,2,4,6
CHIMORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
CKOCHAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,0,1,1
COBIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,4,5
COROICO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,0,1,1
COTOCA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,2,0,2
EL ALTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,7,4,11
EL TORNO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,2,5,7
GENERAL SAAVEDRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,0,1,1
GUAQUI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,1,2
HUANUNI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,1,2
ICLA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,1,2
LA GUARDIA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,1,2
LA PAZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,3,1,4
LURIBAY,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
MIZQUE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,0,1,1
MONTERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,6,1,7
ORURO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
PAILON,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
PORVENIR,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,0,3,3
POTOSI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,6,1,7
QUILLACOLLO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,4,2,6
RIBERALTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
ROBORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,0,1,1
SACABA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
SAN ANDRES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,0,2,2
SAN BORJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,3,5,8
SAN JUAN DE YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,1,2
SAN JULIAN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
SAN LUCAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,17,24,41
SHINAOTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
SUCRE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
TARIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,0,1,1
TIPUANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,0,1,1
TOMAVE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,2,0,2
TOMINA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,1,2
WARNES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,3,2,5
YACUIBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,1,2
YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-03-01,1,1,2
ACHOCALLA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,0,1,1
ALTO BENI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,0,1,1
BERMEJO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,2,3
CAJUATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,3,0,3
CARANAVI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,2,1,3
CARAPARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
COBIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,0,4,4
COLCAPIRHUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,3,0,3
COTOCA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,0,2,2
CUATRO CAÑADAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,2,0,2
EL ALTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,6,9,15
EL TORNO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,3,1,4
GUANAY,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,2,1,3
GUAYARAMERIN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,2,0,2
HUANUNI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,0,1,1
LA GUARDIA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,2,4,6
LA PAZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,3,3,6
LLALLAGUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
MONTERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,3,1,4
ORURO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,1,2
POJO (CBBA),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
PORVENIR,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,7,1,8
RIBERALTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,2,1,3
SACABA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,1,2
SAN BORJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,2,0,2
SAN CARLOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,2,1,3
SAN JUAN DE YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,2,0,2
SAN JULIAN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,2,3
SAN LUCAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,16,25,41
SANTIVAÑES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
SHINAOTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
SORATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,0,1,1
SUCRE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,2,3
TARATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,0,1,1
TARIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,2,3
TEOPONTE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
TIPUANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,0,1
WARNES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,1,2,3
YACUIBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,2,0,2
YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-04-01,4,0,4
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,0,1,1
AYATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,0,1,1
BELLA FLOR,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,1,2
BUENA VISTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,0,1
CAJUATA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,2,3
CHIMORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,0,1,1
CLIZA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,5,4,9
COROICO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,3,1,4
EL ALTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,12,7,19
ENTRE RIOS CBBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,2,1,3
GUANAY,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,0,1,1
LA ASUNTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,2,3
LA PAZ,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,2,3
LLALLAGUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,1,2
MAPIRI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,2,1,3
MOCOMOCO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,0,1,1
MONTERO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,1,2
ORURO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,5,4,9
PORTACHUELO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,1,2
POTOSI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,4,1,5
PRESTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,3,3,6
RIBERALTA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,2,2,4
SACABA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,3,0,3
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,2,0,2
SAN BORJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,2,2,4
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,0,2,2
SAN JULIAN,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,2,0,2
SAN LUCAS,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,26,20,46
SANTIAGO DE MACHACA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,0,1,1
SIPE SIPE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,2,3
SOPACHUY,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,0,1,1
SUCRE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,1,2
TARIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,3,1,4
VILLA TUNARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,0,1
VINTO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,0,1
WARNES,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,2,2,4
YACUIBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,1,1,2
YAPACANI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-05-01,2,1,3
ACHACACHI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,0,1,1
BERMEJO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,0,1
CAMIRI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,0,1,1
CARANAVI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,2,1,3
CARAPARI,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,0,2,2
CHARAGUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,0,1
CHIMORE,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,2,1,3
COBIJA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,2,3
COCHABAMBA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,2,6,8
COLCAPIRHUA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,0,2,2
COROICO,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,1,2
COTAGAITA,tuberculosis y lepra,      n de quimioprofilaxis en menores de 5 anos,2014-06-01,1,0,1
