,group,variable,month,TOTAL 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTAL 23.2 N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,2,4
LA ASUNTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,4,3,7
LA GUARDIA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
LA PAZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,16,7,23
LLALLAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
MINEROS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
MIZQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
MONTERO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,10,6,16
OKINAWA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
ORURO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,5,4,9
PAILON,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
PATACAMAYA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,1,2
POCOATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
POTOSI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,10,3,13
PUERTO QUIJARRO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,2,3
PUERTO VILLARROEL,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,4,5,9
PUNA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
PUNATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,9,6,15
RIBERALTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,6,3,9
RURRENABAQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
SACABA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,2,3
SAN BENITO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,2,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,1,2
SAN JULIAN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
SAN PABLO DE LIPEZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
SAN PEDRO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,74,55,129
SHINAOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,2,4
SIPE SIPE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,1,3
SOPACHUY,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
SORATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,0,2
SUCRE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,6,4,10
TARABUCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
TARIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,3,5,8
TEOPONTE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,0,2
TIAWANACU,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
TIPUANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,3,0,3
TOCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
TOLATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,3,5
TUPIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,1,3
UNCIA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
VIACHA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,0,2
VILLA MONTES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,4,0,4
VINTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,0,2
WARNES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,3,2,5
YACO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
YACUIBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,8,7,15
YAMPARAEZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
YANACACHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,1,0,1
YAPACANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-01-01,2,2,4
ACHACACHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,0,2
AIQUILE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
ALTO BENI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,2,2
BERMEJO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,3,5
BETANZOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,1,2
CABEZAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
CAJUATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,1,2
CAMARGO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
CAMIRI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
CAPINOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
CARANAVI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,4,5
CARAPARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
CHACARILLA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
CHARAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
CHAYANTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
CHIMORE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,4,6
CLIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
COBIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,9,6,15
COMARAPA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
CONCEPCION,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
CORIPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
COROICO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,1,3
COTOCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,1,3
CUATRO CAÑADAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,4,2,6
CULPINA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,17,18,35
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,4,5
FERNANDEZ ALONSO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,0,2
GUAQUI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
HUACARETA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
HUANUNI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
HUARACAJE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
INCAHUASI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,3,1,4
LA GUARDIA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,6,4,10
LA PAZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,19,9,28
LLALLAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
LURIBAY,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
MIZQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
MONTERO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,8,7,15
ORURO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,1,3
PADILLA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
PAILON,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
PORVENIR,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,1,2
POTOSI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,5,1,6
PUERTO GONZALO MORENO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,3,1,4
PUERTO SUAREZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,1,3
PUNATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,3,3,6
RIBERALTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,4,3,7
ROBORE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,2,3
SACABA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,5,7
SAIPINA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
SAN ANDRES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
SAN BENITO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
SAN BORJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,1,3
SAN BUENA VENTURA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
SAN CARLOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,3,0,3
SAN IGNACIO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,0,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,3,4
SAN LORENZO(PND),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
SAN PEDRO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,70,49,119
SANTA ROSA DEL SARA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
SHINAOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,3,1,4
SIPE SIPE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
SORATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
SUCRE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,8,4,12
TACACOMA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,1,2
TACOBAMBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,1,1
TARIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,5,2,7
TEOPONTE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,0,2
TIPUANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,1,2
TIRAQUE (CBBA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,0,2
TOTORA(ORR),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,7,1,8
TUPIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,0,5,5
URIONDO (A. CONCEPCION),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
UYUNI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
VILLA MONTES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,5,0,5
VILLA RIVERO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,4,3,7
VINTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,2,2,4
WARNES,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,7,0,7
YACUIBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,6,5,11
YAPACANI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,1,2
YOCALLA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-02-01,1,0,1
ACACIO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
ACHACACHI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
AYATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,3,0,3
AZURDUY,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
BATALLAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
BERMEJO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,3,2,5
CABEZAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
CAJUATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
CALACOTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
CAMARGO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,2,2
CAMIRI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
CAPINOTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,3,0,3
CARANAVI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,9,3,12
CHALLAPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
CHARAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
CHIMORE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
CKOCHAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
CLIZA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
COBIJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,2,2,4
COCHABAMBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,12,3,15
COLCAPIRHUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,2,2
COMARAPA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
CONCEPCION,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
CORIPATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
COROICO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,2,3,5
CORQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
COTOCA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,2,3
DESAGUADERO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
EL ALTO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,17,13,30
EL PUENTE(STC),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
EL TORNO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,4,2,6
ENTRE RIOS CBBA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,4,1,5
FERNANDEZ ALONSO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,3,0,3
FILADELFIA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
HUANUNI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
ICLA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
INCAHUASI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,4,0,4
LA GUARDIA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,3,1,4
LA PAZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,16,3,19
LLALLAGUA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
MECAPACA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
MIZQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
MONTERO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,10,1,11
ORURO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,5,2,7
PADCAYA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
PAILON,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,3,2,5
POJO (CBBA),tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
PORCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,4,0,4
PORVENIR,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
POTOSI,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,6,1,7
PUERTO QUIJARRO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
PUERTO RICO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,3,5,8
PUNATA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,2,2,4
RIBERALTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,2,0,2
RURRENABAQUE,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
SACABA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
SACACA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,3,0,3
SAN CARLOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
SAN LUCAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,1,2
SAN MATIAS,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,86,52,138
SANTA ROSA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,0,1,1
SANTA ROSA DEL SARA,tuberculosis y lepra,      n de tbp baar (+) nuevos,2014-03-01,1,0,1
