,group,variable,month,TOTAL 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTAL 23.9 Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
SAN IGNACIO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,3,1,4
SAN LORENZO(TJA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
SAN LUCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,0,1,1
SAN MATIAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,35,34,69
SIPE SIPE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,2,2,4
SORATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,1,2
SUCRE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,3,1,4
TAPACARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
TARABUCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
TARACO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,0,1,1
TARIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,3,0,3
TIPUANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,2,3
TOCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
TOTORA(CBBA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,3,3,6
VIACHA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,0,1,1
WARNES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,7,1,8
YACUIBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,1,4,5
YAPACANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-01-01,5,2,7
ACHACACHI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,2,1,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
AUCAPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
BERMEJO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,2,1,3
BUENA VISTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,1,2
CALACOTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
CAMARGO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
CAPINOTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
CARANAVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,6,1,7
CARAPARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
CHIMORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,2,1,3
COCHABAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,5,6,11
COLCAPIRHUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,3,0,3
CORIPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
COROICO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
COTOCA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,2,2,4
CUATRO CAÑADAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,3,2,5
CULPINA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
EL ALTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,8,3,11
EL TORNO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,3,3
ENTRE RIOS TRJ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,2,1,3
GUANAY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,3,0,3
HUANUNI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
INCAHUASI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,1,2
LA PAZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,6,8,14
LAJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
LLALLAGUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,2,0,2
LURIBAY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
MACHARETI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
MAPIRI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
MIZQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,2,0,2
MONTERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,5,36,41
ORURO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,3,3,6
PRESTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,3,1,4
PUNA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
PUNATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,3,1,4
QUILLACOLLO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,2,1,3
RIBERALTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,4,3,7
RURRENABAQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
SACABA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,1,2
SAN BORJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,3,0,3
SAN CARLOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
SAN LUCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,46,38,84
SANTIVAÑES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
SIPE SIPE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
SUCRE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,8,2,10
TARABUCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
TARIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,2,2
TIPUANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
TIRAQUE (CBBA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,1,1
TORO TORO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,2,3,5
VILLA CHARCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,3,3
VILLA TUNARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
WARNES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,7,7,14
YACUIBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,3,2,5
YAMPARAEZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,0,2,2
YAPACANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,2,1,3
YOTALA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,0,1,1
BERMEJO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
BUENA VISTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
CAMARGO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,2,0,2
CARANAVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,1,2
CARAPARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
CHALLAPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
CHIMORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,1,2
COBIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,0,2,2
COCHABAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,10,6,16
COLQUECHACA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,2,0,2
CONCEPCION,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,0,1,1
COTOCA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,3,2,5
EL ALTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,6,5,11
EL TORNO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,2,5,7
ENTRE RIOS TRJ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,3,5,8
GENERAL SAAVEDRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,0,1,1
GUANAY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,1,2
HUANUNI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,1,2
LA GUARDIA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,1,2
LA PAZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,6,4,10
LLALLAGUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,2,0,2
MACHARETI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
MAGDALENA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
MONTERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,7,3,10
OKINAWA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,0,1,1
ORURO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,3,0,3
PAILON,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,0,1,1
PATACAMAYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
POROMA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
POTOSI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
PRESTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,8,4,12
QUILLACOLLO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,2,1,3
RIBERALTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,4,4,8
ROBORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
SACABA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,4,2,6
SAN BENITO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,0,1,1
SAN CARLOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
SAN LUCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,0,2,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,67,37,104
SHINAOTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,2,0,2
SIPE SIPE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
SUCRE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,4,7,11
TARIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,3,1,4
TIPUANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,2,0,2
TRINIDAD,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,3,0,3
VILLA MONTES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,2,0,2
WARNES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,2,3,5
YACUIBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,5,5,10
YAPACANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,3,1,4
YOTALA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,1,0,1
YUNCHARA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-03-01,0,1,1
ACHACACHI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,0,1,1
ARQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
AYO AYO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
BUENA VISTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
CARANAVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,5,1,6
CARAPARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
CHALLAPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
CHIMORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,2,2,4
COCAPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,7,5,12
COLCAPIRHUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
COLOMI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,0,1,1
COLQUECHACA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
COROICO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
COTAGAITA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
COTOCA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,2,0,2
CULPINA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,0,1,1
EL ALTO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,6,11,17
EL PUENTE(STC),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
EL TORNO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,2,3
ENTRE RIOS CBBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,7,2,9
GENERAL SAAVEDRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,0,1,1
GUANAY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,4,1,5
HUANUNI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,1,2
INCAHUASI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,0,1,1
LA ASUNTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,3,4,7
LA PAZ,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,4,4,8
LLALLAGUA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
MIZQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
MONTERO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,5,3,8
ORURO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,4,1,5
PORTACHUELO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
POTOSI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,3,4,7
QUILLACOLLO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,2,3
RIBERALTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,7,1,8
RURRENABAQUE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,2,3
SACABA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,2,2,4
SAMAIPATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
SAN ANDRES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
SAN BENITO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,0,1,1
SAN JULIAN,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,5,1,6
SAN LUCAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,48,46,94
SHINAOTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
SOPACHUY,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
SUCRE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,2,3,5
TARIJA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,4,1,5
TIPUANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,12,0,12
VIACHA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,4,1,5
VILLAZON,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,1,0,1
WARNES,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,2,3,5
YACUIBA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,5,2,7
YAPACANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-04-01,3,2,5
ACHACACHI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,3,0,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
BERMEJO,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,6,2,8
BUENA VISTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
CABEZAS,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,0,1,1
CAJUATA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
CAPINOTA,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,2,3
CARANAVI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,10,3,13
CARAPARI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,0,1,1
CHAQUI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,0,1
CHIMORE,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,1,1,2
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,      no de tbp baar (+) nuevos curados,2014-05-01,0,1,1
