,group,variable,month,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA MENORES DE 5 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 5 A 13 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 14 A 19 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 20 A 59 AÑOS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA 60 AÑOS Y MAS,CONSULTA REPETIDA EMB,CONSULTA REPETIDA EMB,CONSULTA REPETIDA POST,CONSULTA REPETIDA POST,TOTALES,TOTALES,TOTALES
COCHABAMBA,atencion odontologica,consulta repetida,2015-01-01,402,404,1679,819,394,416,1072,1352,231,167,0,19,0,72,3778,3249,7027
COLCAPIRHUA,atencion odontologica,consulta repetida,2015-01-01,16,4,6,8,0,1,0,6,2,1,0,2,0,5,24,27,51
"COLCHA ""K""",atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
COLLANA,atencion odontologica,consulta repetida,2015-01-01,0,1,1,0,0,0,0,5,4,2,0,0,0,0,5,8,13
COLOMI,atencion odontologica,consulta repetida,2015-01-01,0,2,0,0,0,0,0,0,0,0,0,5,0,2,0,9,9
COLPA BELGICA,atencion odontologica,consulta repetida,2015-01-01,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,3,4
COLQUECHACA,atencion odontologica,consulta repetida,2015-01-01,7,7,6,6,3,16,13,28,6,9,0,8,0,11,35,85,120
COLQUENCHA,atencion odontologica,consulta repetida,2015-01-01,0,0,1,3,0,3,0,0,0,0,0,0,0,0,1,6,7
COLQUIRI,atencion odontologica,consulta repetida,2015-01-01,0,3,23,18,10,14,12,24,0,1,0,0,0,0,45,60,105
COMARAPA,atencion odontologica,consulta repetida,2015-01-01,29,32,47,55,38,30,41,62,24,16,0,35,0,24,179,254,433
CONCEPCION,atencion odontologica,consulta repetida,2015-01-01,0,3,0,1,0,0,3,5,0,0,0,0,0,0,3,9,12
CORIPATA,atencion odontologica,consulta repetida,2015-01-01,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,2,3
CORO CORO,atencion odontologica,consulta repetida,2015-01-01,0,0,0,1,0,3,1,0,0,0,0,0,0,0,1,4,5
COROICO,atencion odontologica,consulta repetida,2015-01-01,0,1,0,1,0,2,0,2,0,0,0,0,0,0,0,6,6
CORQUE,atencion odontologica,consulta repetida,2015-01-01,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,3,4
COTAGAITA,atencion odontologica,consulta repetida,2015-01-01,6,4,13,4,0,36,20,40,0,3,0,3,0,3,39,93,132
COTOCA,atencion odontologica,consulta repetida,2015-01-01,79,57,12,2,0,9,0,17,5,4,0,3,0,5,96,97,193
CUATRO CAÑADAS,atencion odontologica,consulta repetida,2015-01-01,33,24,4,4,2,4,3,16,1,3,0,0,0,2,43,53,96
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
CUEVO,atencion odontologica,consulta repetida,2015-01-01,1,0,3,3,0,11,6,30,1,1,0,0,0,0,11,45,56
CULPINA,atencion odontologica,consulta repetida,2015-01-01,7,1,6,7,0,4,3,4,4,0,0,0,0,3,20,19,39
EL ALTO,atencion odontologica,consulta repetida,2015-01-01,181,165,281,330,169,347,223,438,35,35,0,19,0,23,889,1357,2246
EL CHORO,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
EL PUENTE(STC),atencion odontologica,consulta repetida,2015-01-01,19,11,0,1,1,1,0,5,0,1,0,3,0,2,20,24,44
EL PUENTE(TJA),atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,4
EL TORNO,atencion odontologica,consulta repetida,2015-01-01,8,9,11,11,8,24,13,16,8,13,0,1,0,1,48,75,123
ENTRE RIOS TRJ,atencion odontologica,consulta repetida,2015-01-01,0,3,5,7,6,15,5,10,0,0,0,0,0,0,16,35,51
ENTRE RIOS CBBA,atencion odontologica,consulta repetida,2015-01-01,8,17,1,0,0,1,0,5,0,0,0,0,0,0,9,23,32
EUCALIPTUS,atencion odontologica,consulta repetida,2015-01-01,0,0,1,4,0,6,3,10,0,2,0,1,0,3,4,26,30
FERNANDEZ ALONSO,atencion odontologica,consulta repetida,2015-01-01,12,0,24,24,0,48,8,20,8,4,0,0,0,8,52,104,156
GENERAL SAAVEDRA,atencion odontologica,consulta repetida,2015-01-01,2,0,0,1,1,3,0,5,0,1,0,1,0,5,3,16,19
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta repetida,2015-01-01,1,9,0,0,0,0,1,1,0,1,0,0,0,1,2,12,14
GUANAY,atencion odontologica,consulta repetida,2015-01-01,0,0,2,8,2,3,9,12,0,0,0,2,0,1,13,26,39
GUAYARAMERIN,atencion odontologica,consulta repetida,2015-01-01,6,6,19,12,3,16,11,22,0,0,0,13,0,0,39,69,108
GUTIERREZ,atencion odontologica,consulta repetida,2015-01-01,1,2,1,1,2,2,4,9,6,2,0,1,0,2,14,19,33
HUACARETA,atencion odontologica,consulta repetida,2015-01-01,0,0,6,0,0,3,0,0,0,0,0,0,0,3,6,6,12
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,8,7,0,0,0,0,0,0,8,7,15
HUACHACALLA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,1,2,0,0,1,3,0,0,0,0,2,5,7
HUANUNI,atencion odontologica,consulta repetida,2015-01-01,10,2,13,33,3,11,12,9,5,1,0,0,0,1,43,57,100
HUARACAJE,atencion odontologica,consulta repetida,2015-01-01,4,4,1,0,0,0,0,1,0,0,0,0,0,0,5,5,10
HUARINA,atencion odontologica,consulta repetida,2015-01-01,1,0,1,0,0,0,0,2,3,3,0,0,0,0,5,5,10
HUATAJATA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
HUAYLLAMARCA,atencion odontologica,consulta repetida,2015-01-01,2,10,6,2,1,0,6,14,0,5,0,1,0,0,15,32,47
HUMANATA,atencion odontologica,consulta repetida,2015-01-01,0,1,0,0,0,0,0,1,3,5,0,0,0,0,3,7,10
ICLA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
INCAHUASI,atencion odontologica,consulta repetida,2015-01-01,9,10,0,2,9,16,2,14,2,0,0,7,0,12,22,61,83
INQUISIVI,atencion odontologica,consulta repetida,2015-01-01,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta repetida,2015-01-01,0,1,1,0,0,1,2,1,1,0,0,2,0,0,4,5,9
IXIAMAS,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3
JESUS DE MACHACA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,1,2,3,4,1,1,0,0,0,0,5,7,12
LA ASUNTA,atencion odontologica,consulta repetida,2015-01-01,18,2,2,6,2,10,11,21,1,1,0,0,0,1,34,41,75
LA GUARDIA,atencion odontologica,consulta repetida,2015-01-01,21,9,2,11,2,7,0,3,0,2,0,2,0,1,25,35,60
LA PAZ,atencion odontologica,consulta repetida,2015-01-01,396,370,836,899,574,807,1165,1852,375,210,0,16,0,61,3346,4215,7561
LAGUNILLAS,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,0,10,2,0,0,0,0,0,2,10,12
LAJA,atencion odontologica,consulta repetida,2015-01-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LAS CARRERAS,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,2,2,3,5,1,0,0,0,0,0,6,7,13
LICOMA PAMPA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,2
LLALLAGUA,atencion odontologica,consulta repetida,2015-01-01,55,50,22,50,12,34,34,86,6,7,0,48,0,10,129,285,414
LURIBAY,atencion odontologica,consulta repetida,2015-01-01,0,0,2,1,0,1,1,0,1,1,0,0,0,0,4,3,7
MACHACAMARCA,atencion odontologica,consulta repetida,2015-01-01,5,9,16,12,2,10,7,17,1,7,0,0,0,1,31,56,87
MACHARETI,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
MAGDALENA,atencion odontologica,consulta repetida,2015-01-01,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,6,6
MAIRANA,atencion odontologica,consulta repetida,2015-01-01,8,2,2,2,0,0,0,3,0,0,0,0,0,1,10,8,18
MAPIRI,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,15,4,9,2,0,0,0,0,1,6,25,31
MECAPACA,atencion odontologica,consulta repetida,2015-01-01,1,2,5,1,7,3,1,0,0,0,0,0,0,0,14,6,20
MIZQUE,atencion odontologica,consulta repetida,2015-01-01,22,19,18,7,0,4,1,8,2,1,0,0,0,4,43,43,86
MOCOMOCO,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
MOJOCOYA,atencion odontologica,consulta repetida,2015-01-01,3,1,0,1,0,0,8,5,0,0,0,1,0,0,11,8,19
MONTEAGUDO,atencion odontologica,consulta repetida,2015-01-01,29,13,7,2,0,10,3,20,6,1,0,2,0,11,45,59,104
MONTERO,atencion odontologica,consulta repetida,2015-01-01,4,8,9,25,13,32,39,100,1,7,0,1,0,0,66,173,239
MORO MORO,atencion odontologica,consulta repetida,2015-01-01,0,0,4,7,2,2,1,8,0,0,0,0,0,0,7,17,24
MOROCHATA,atencion odontologica,consulta repetida,2015-01-01,0,1,0,0,1,4,1,0,0,0,0,0,0,0,2,5,7
OCURI,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ORURO,atencion odontologica,consulta repetida,2015-01-01,215,210,365,439,204,239,393,715,168,108,0,56,0,52,1345,1819,3164
PADCAYA,atencion odontologica,consulta repetida,2015-01-01,4,1,15,28,15,20,6,45,0,0,0,0,0,0,40,94,134
PADILLA,atencion odontologica,consulta repetida,2015-01-01,3,4,6,14,2,5,8,17,0,0,0,0,0,0,19,40,59
PAILON,atencion odontologica,consulta repetida,2015-01-01,2,0,2,1,4,5,5,5,0,0,0,3,0,5,13,19,32
PALCA,atencion odontologica,consulta repetida,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
PALOS BLANCOS,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,1,2,3,1,0,2,0,0,0,0,4,5,9
PAMPA AULLAGAS,atencion odontologica,consulta repetida,2015-01-01,4,4,0,0,0,2,0,1,0,6,0,0,0,0,4,13,17
PAMPA GRANDE,atencion odontologica,consulta repetida,2015-01-01,2,2,0,0,0,9,0,1,0,0,0,10,0,5,2,27,29
PAPEL PAMPA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
PASORAPA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
PATACAMAYA,atencion odontologica,consulta repetida,2015-01-01,45,38,9,12,13,14,7,6,2,0,0,1,0,9,76,80,156
PAZÑA,atencion odontologica,consulta repetida,2015-01-01,5,5,3,1,0,3,5,6,8,9,0,0,0,1,21,25,46
POCOATA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
POCONA,atencion odontologica,consulta repetida,2015-01-01,4,0,3,4,4,3,4,6,1,0,0,1,0,1,16,15,31
POJO (CBBA),atencion odontologica,consulta repetida,2015-01-01,6,1,1,8,38,17,10,16,6,0,0,1,0,4,61,47,108
POOPO,atencion odontologica,consulta repetida,2015-01-01,13,18,18,15,5,26,15,36,0,0,0,3,0,2,51,100,151
PORCO,atencion odontologica,consulta repetida,2015-01-01,1,0,5,2,2,2,0,3,0,0,0,0,0,0,8,7,15
POROMA,atencion odontologica,consulta repetida,2015-01-01,0,0,1,0,1,0,2,1,0,0,0,0,0,0,4,1,5
PORTACHUELO,atencion odontologica,consulta repetida,2015-01-01,0,0,2,1,0,1,1,1,0,0,0,1,0,0,3,4,7
PORVENIR,atencion odontologica,consulta repetida,2015-01-01,0,3,2,1,1,0,1,1,0,0,0,0,0,1,4,6,10
POSTRER VALLE,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
POTOSI,atencion odontologica,consulta repetida,2015-01-01,164,136,294,248,177,281,340,432,43,47,0,90,0,26,1018,1260,2278
PRESTO,atencion odontologica,consulta repetida,2015-01-01,0,4,1,0,2,0,1,3,0,1,0,1,0,0,4,9,13
PUCARA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
PUCARANI,atencion odontologica,consulta repetida,2015-01-01,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4
PUERTO GONZALO MORENO,atencion odontologica,consulta repetida,2015-01-01,0,0,1,0,2,1,0,9,0,0,0,0,0,0,3,10,13
PUERTO PEREZ,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,2
PUERTO QUIJARRO,atencion odontologica,consulta repetida,2015-01-01,4,3,0,0,0,0,0,7,0,0,0,2,0,3,4,15,19
PUERTO RICO,atencion odontologica,consulta repetida,2015-01-01,0,0,1,5,5,3,2,6,0,1,0,0,0,0,8,15,23
PUERTO SUAREZ,atencion odontologica,consulta repetida,2015-01-01,2,0,1,0,1,2,4,16,1,2,0,14,0,3,9,37,46
PUERTO VILLARROEL,atencion odontologica,consulta repetida,2015-01-01,21,17,7,12,17,14,19,16,0,2,0,0,0,14,64,75,139
PUNA,atencion odontologica,consulta repetida,2015-01-01,2,2,2,9,2,5,18,21,2,0,0,0,0,1,26,38,64
PUNATA,atencion odontologica,consulta repetida,2015-01-01,3,4,15,17,2,20,10,46,4,3,0,1,0,0,34,91,125
QUIABAYA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
QUILLACOLLO,atencion odontologica,consulta repetida,2015-01-01,69,72,62,49,15,36,48,100,18,8,0,4,0,18,212,287,499
QUIME,atencion odontologica,consulta repetida,2015-01-01,0,2,3,3,4,1,15,12,0,0,0,0,0,1,22,19,41
RAVELO,atencion odontologica,consulta repetida,2015-01-01,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,6,6
REYES,atencion odontologica,consulta repetida,2015-01-01,8,2,19,11,2,26,8,31,1,0,0,0,0,2,38,72,110
RIBERALTA,atencion odontologica,consulta repetida,2015-01-01,8,10,9,10,11,30,5,44,7,3,0,5,0,0,40,102,142
RURRENABAQUE,atencion odontologica,consulta repetida,2015-01-01,1,2,10,10,0,10,20,20,0,0,0,0,0,0,31,42,73
SABAYA,atencion odontologica,consulta repetida,2015-01-01,2,0,0,0,0,2,0,4,2,0,0,2,0,1,4,9,13
SACABA,atencion odontologica,consulta repetida,2015-01-01,91,108,27,32,17,20,37,91,12,6,0,15,0,35,184,307,491
SACABAMBA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
SACACA,atencion odontologica,consulta repetida,2015-01-01,4,3,4,2,4,3,4,6,1,1,0,4,0,2,17,21,38
SAIPINA,atencion odontologica,consulta repetida,2015-01-01,0,1,0,1,0,2,1,8,0,0,0,0,0,0,1,12,13
SALINAS DE GARCI MENDOZA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,6,6
SAMAIPATA,atencion odontologica,consulta repetida,2015-01-01,1,6,1,3,2,2,1,17,2,1,0,0,0,1,7,30,37
SAN AGUSTIN,atencion odontologica,consulta repetida,2015-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN ANDRES DE MACHACA,atencion odontologica,consulta repetida,2015-01-01,0,0,0,1,3,0,7,6,12,0,0,0,0,0,22,7,29
SAN ANTONIO DE ESMORUCO,atencion odontologica,consulta repetida,2015-01-01,1,0,0,0,0,0,1,4,0,0,0,0,0,3,2,7,9
SAN BENITO,atencion odontologica,consulta repetida,2015-01-01,3,2,9,0,3,9,0,4,0,0,0,0,0,5,15,20,35
SAN BORJA,atencion odontologica,consulta repetida,2015-01-01,2,10,0,2,6,6,4,23,3,3,0,3,0,2,15,49,64
SAN BUENA VENTURA,atencion odontologica,consulta repetida,2015-01-01,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN CARLOS,atencion odontologica,consulta repetida,2015-01-01,0,0,6,0,5,1,0,3,0,0,0,0,0,0,11,4,15
SAN IGNACIO,atencion odontologica,consulta repetida,2015-01-01,0,1,0,5,2,5,1,2,0,0,0,0,0,0,3,13,16
SAN IGNACIO DE VELASCO,atencion odontologica,consulta repetida,2015-01-01,9,0,17,19,7,14,12,22,8,3,0,0,0,0,53,58,111
SAN JAVIER(BNI),atencion odontologica,consulta repetida,2015-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SAN JAVIER(STC),atencion odontologica,consulta repetida,2015-01-01,6,5,2,5,0,4,1,6,2,1,0,1,0,0,11,22,33
SAN JOAQUIN,atencion odontologica,consulta repetida,2015-01-01,0,2,5,0,0,0,0,2,0,0,0,0,0,1,5,5,10
SAN JOSE DE CHIQUITOS,atencion odontologica,consulta repetida,2015-01-01,0,3,0,2,0,0,1,1,0,1,0,0,0,0,1,7,8
SAN JULIAN,atencion odontologica,consulta repetida,2015-01-01,2,3,0,4,0,2,0,10,0,0,0,1,0,2,2,22,24
SAN LORENZO(PND),atencion odontologica,consulta repetida,2015-01-01,4,0,0,0,0,0,0,2,0,0,0,1,0,0,4,3,7
SAN LORENZO(TJA),atencion odontologica,consulta repetida,2015-01-01,2,0,14,9,15,20,7,27,0,0,0,0,0,0,38,56,94
SAN LUCAS,atencion odontologica,consulta repetida,2015-01-01,0,2,4,8,4,7,6,26,1,1,0,2,0,6,15,52,67
SAN MATIAS,atencion odontologica,consulta repetida,2015-01-01,0,1,6,13,8,5,6,14,1,0,0,3,0,1,21,37,58
SAN MIGUEL DE VELASCO,atencion odontologica,consulta repetida,2015-01-01,0,0,3,2,19,5,2,24,2,0,0,19,0,0,26,50,76
SAN PABLO DE LIPEZ,atencion odontologica,consulta repetida,2015-01-01,2,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,4
SAN PEDRO,atencion odontologica,consulta repetida,2015-01-01,2,0,0,10,14,12,13,28,3,1,0,0,0,1,32,52,84
SAN PEDRO DE BUENA VISTA,atencion odontologica,consulta repetida,2015-01-01,0,2,0,0,2,2,3,11,0,0,0,0,0,8,5,23,28
SAN PEDRO DE CURAHUARA,atencion odontologica,consulta repetida,2015-01-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN PEDRO DE QUEMES,atencion odontologica,consulta repetida,2015-01-01,0,3,2,0,0,1,0,2,0,9,0,0,0,0,2,15,17
SAN RAFAEL,atencion odontologica,consulta repetida,2015-01-01,0,1,0,1,0,2,0,2,0,0,0,1,0,4,0,11,11
SAN RAMON BENI,atencion odontologica,consulta repetida,2015-01-01,0,2,1,7,0,6,0,2,0,0,0,0,0,0,1,17,18
SAN RAMON SCZ,atencion odontologica,consulta repetida,2015-01-01,5,10,0,0,0,0,0,0,0,0,0,2,0,0,5,12,17
SANTA ANA,atencion odontologica,consulta repetida,2015-01-01,2,0,7,13,2,14,5,18,0,2,0,0,0,0,16,47,63
SANTA CRUZ DE LA SIERRA,atencion odontologica,consulta repetida,2015-01-01,349,264,171,201,167,234,422,748,133,108,0,65,0,51,1242,1671,2913
SANTA ROSA DEL SARA,atencion odontologica,consulta repetida,2015-01-01,0,1,3,4,5,8,4,17,3,0,0,0,0,2,15,32,47
SANTIAGO DE HUARI,atencion odontologica,consulta repetida,2015-01-01,4,2,32,34,5,32,29,22,13,9,0,0,0,0,83,99,182
