,group,variable,month,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA MENORES DE 5 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 5 A 13 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 14 A 19 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 20 A 59 AÑOS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA 60 AÑOS Y MAS,ENDODONCIA EMB,ENDODONCIA EMB,ENDODONCIA POST,ENDODONCIA POST,TOTALES,TOTALES,TOTALES
COCHABAMBA,atencion odontologica,endodoncia,2015-01-01,160,125,128,156,88,175,246,360,54,40,0,0,0,0,676,856,1532
COLCAPIRHUA,atencion odontologica,endodoncia,2015-01-01,10,4,1,1,0,0,0,2,1,0,0,0,0,0,12,7,19
"COLCHA ""K""",atencion odontologica,endodoncia,2015-01-01,2,2,0,0,0,0,0,3,0,0,0,0,0,0,2,5,7
COLLANA,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
COLOMI,atencion odontologica,endodoncia,2015-01-01,0,7,0,0,0,0,0,2,1,0,0,0,0,0,1,9,10
COLPA BELGICA,atencion odontologica,endodoncia,2015-01-01,1,0,0,0,0,0,0,3,1,1,0,0,0,0,2,4,6
COLQUECHACA,atencion odontologica,endodoncia,2015-01-01,5,2,0,0,0,3,2,12,1,3,0,0,0,0,8,20,28
COLQUENCHA,atencion odontologica,endodoncia,2015-01-01,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,2,3
COLQUIRI,atencion odontologica,endodoncia,2015-01-01,0,2,2,2,1,2,3,5,0,0,0,0,0,0,6,11,17
COMARAPA,atencion odontologica,endodoncia,2015-01-01,30,38,49,32,25,19,25,19,9,6,0,0,0,0,138,114,252
CONCEPCION,atencion odontologica,endodoncia,2015-01-01,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,3
COPACABANA,atencion odontologica,endodoncia,2015-01-01,2,2,0,1,0,0,0,0,2,2,0,0,0,0,4,5,9
CORIPATA,atencion odontologica,endodoncia,2015-01-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
CORO CORO,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,6,6
COROICO,atencion odontologica,endodoncia,2015-01-01,3,3,1,4,2,2,3,3,0,0,0,0,0,0,9,12,21
CORQUE,atencion odontologica,endodoncia,2015-01-01,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,3
COTAGAITA,atencion odontologica,endodoncia,2015-01-01,4,2,2,0,7,10,16,12,1,1,0,0,0,0,30,25,55
COTOCA,atencion odontologica,endodoncia,2015-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CUATRO CAÑADAS,atencion odontologica,endodoncia,2015-01-01,3,5,1,0,0,1,0,3,0,0,0,0,0,0,4,9,13
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,endodoncia,2015-01-01,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2
CUEVO,atencion odontologica,endodoncia,2015-01-01,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,7,7
CULPINA,atencion odontologica,endodoncia,2015-01-01,1,0,1,2,0,2,1,7,1,1,0,0,0,0,4,12,16
CURAHUARA DE CARANGAS,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CURVA,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
EL ALTO,atencion odontologica,endodoncia,2015-01-01,110,107,158,179,104,196,56,200,24,8,0,0,0,0,452,690,1142
EL PUENTE(STC),atencion odontologica,endodoncia,2015-01-01,2,2,0,1,0,0,1,0,0,1,0,0,0,0,3,4,7
EL PUENTE(TJA),atencion odontologica,endodoncia,2015-01-01,0,0,1,1,2,4,6,3,0,0,0,0,0,0,9,8,17
EL TORNO,atencion odontologica,endodoncia,2015-01-01,13,6,12,14,11,20,3,38,3,0,0,0,0,0,42,78,120
ENTRE RIOS TRJ,atencion odontologica,endodoncia,2015-01-01,1,0,4,2,5,17,8,6,0,0,0,0,0,0,18,25,43
ENTRE RIOS CBBA,atencion odontologica,endodoncia,2015-01-01,2,1,0,2,0,0,0,5,0,0,0,0,0,0,2,8,10
ESCOMA,atencion odontologica,endodoncia,2015-01-01,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,8,11
EUCALIPTUS,atencion odontologica,endodoncia,2015-01-01,0,1,1,2,0,3,0,1,0,0,0,0,0,0,1,7,8
FERNANDEZ ALONSO,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,8,8
FILADELFIA,atencion odontologica,endodoncia,2015-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
GENERAL SAAVEDRA,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,endodoncia,2015-01-01,5,1,0,1,0,1,0,3,0,0,0,0,0,0,5,6,11
GUANAY,atencion odontologica,endodoncia,2015-01-01,0,0,2,10,2,2,10,15,0,0,0,0,0,0,14,27,41
GUAQUI,atencion odontologica,endodoncia,2015-01-01,0,0,2,0,0,2,3,0,2,3,0,0,0,0,7,5,12
GUAYARAMERIN,atencion odontologica,endodoncia,2015-01-01,3,6,4,5,5,9,12,13,0,0,0,0,0,0,24,33,57
GUTIERREZ,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,1,0,0,4,8,0,0,0,0,4,9,13
HUACARETA,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,3
HUACAYA (VILLA DE HUACAYA),atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
HUANUNI,atencion odontologica,endodoncia,2015-01-01,1,1,12,15,4,6,3,5,1,0,0,0,0,0,21,27,48
HUARACAJE,atencion odontologica,endodoncia,2015-01-01,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2
HUARINA,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,4,4
HUATAJATA,atencion odontologica,endodoncia,2015-01-01,0,3,0,2,1,5,1,6,1,7,0,0,0,0,3,23,26
HUAYLLAMARCA,atencion odontologica,endodoncia,2015-01-01,0,2,2,0,0,0,1,3,0,0,0,0,0,0,3,5,8
HUMANATA,atencion odontologica,endodoncia,2015-01-01,3,3,1,1,0,0,0,2,0,4,0,0,0,0,4,10,14
ICLA,atencion odontologica,endodoncia,2015-01-01,0,0,4,1,2,0,1,6,0,0,0,0,0,0,7,7,14
INCAHUASI,atencion odontologica,endodoncia,2015-01-01,7,1,0,3,2,10,1,7,0,0,0,0,0,0,10,21,31
IRUPANA (VILLA DE LANZA),atencion odontologica,endodoncia,2015-01-01,0,2,2,0,0,1,0,3,0,1,0,0,0,0,2,7,9
IXIAMAS,atencion odontologica,endodoncia,2015-01-01,0,0,3,1,2,0,0,0,0,0,0,0,0,0,5,1,6
JESUS DE MACHACA,atencion odontologica,endodoncia,2015-01-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
LA ASUNTA,atencion odontologica,endodoncia,2015-01-01,10,3,1,6,3,11,8,20,0,1,0,0,0,0,22,41,63
LA GUARDIA,atencion odontologica,endodoncia,2015-01-01,4,4,0,1,0,2,4,4,1,0,0,0,0,0,9,11,20
LA PAZ,atencion odontologica,endodoncia,2015-01-01,135,109,197,218,157,194,287,421,65,53,0,0,0,0,841,995,1836
LAGUNILLAS,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,2,3,2,0,0,0,0,0,0,3,4,7
LAJA,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LAS CARRERAS,atencion odontologica,endodoncia,2015-01-01,0,0,2,0,0,0,3,0,0,0,0,0,0,0,5,0,5
LLALLAGUA,atencion odontologica,endodoncia,2015-01-01,23,14,1,4,2,6,5,20,0,2,0,0,0,0,31,46,77
LURIBAY,atencion odontologica,endodoncia,2015-01-01,0,0,0,2,0,5,4,2,0,0,0,0,0,0,4,9,13
MACHACAMARCA,atencion odontologica,endodoncia,2015-01-01,1,2,2,1,0,0,0,3,0,0,0,0,0,0,3,6,9
MACHARETI,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,2,1,1,0,0,0,0,0,3,1,4
MAGDALENA,atencion odontologica,endodoncia,2015-01-01,1,0,0,1,0,0,0,3,0,0,0,0,0,0,1,4,5
MAIRANA,atencion odontologica,endodoncia,2015-01-01,2,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,4
MAPIRI,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,5,1,5,1,1,0,0,0,0,2,11,13
MECAPACA,atencion odontologica,endodoncia,2015-01-01,3,1,4,4,0,11,3,1,0,0,0,0,0,0,10,17,27
MIZQUE,atencion odontologica,endodoncia,2015-01-01,4,4,3,3,0,3,0,2,0,0,0,0,0,0,7,12,19
MOCOMOCO,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,3,4
MOJOCOYA,atencion odontologica,endodoncia,2015-01-01,0,1,0,0,0,0,2,2,0,1,0,0,0,0,2,4,6
MONTEAGUDO,atencion odontologica,endodoncia,2015-01-01,11,7,4,2,2,7,2,6,2,0,0,0,0,0,21,22,43
MONTERO,atencion odontologica,endodoncia,2015-01-01,4,10,10,8,0,3,7,31,1,2,0,0,0,0,22,54,76
MORO MORO,atencion odontologica,endodoncia,2015-01-01,0,0,1,0,0,2,0,4,0,0,0,0,0,0,1,6,7
MOROCHATA,atencion odontologica,endodoncia,2015-01-01,3,3,1,2,2,5,1,6,8,1,0,0,0,0,15,17,32
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
OCURI,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
OKINAWA,atencion odontologica,endodoncia,2015-01-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3
ORURO,atencion odontologica,endodoncia,2015-01-01,113,80,94,95,32,43,63,145,20,11,0,0,0,0,322,374,696
PADCAYA,atencion odontologica,endodoncia,2015-01-01,0,0,1,2,1,1,3,0,0,0,0,0,0,0,5,3,8
PADILLA,atencion odontologica,endodoncia,2015-01-01,3,3,4,5,1,1,2,16,0,0,0,0,0,0,10,25,35
PAILON,atencion odontologica,endodoncia,2015-01-01,9,0,2,2,1,3,6,20,0,0,0,0,0,0,18,25,43
PALCA,atencion odontologica,endodoncia,2015-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PALOS BLANCOS,atencion odontologica,endodoncia,2015-01-01,4,1,3,0,2,2,1,17,0,0,0,0,0,0,10,20,30
PAMPA AULLAGAS,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2
PAMPA GRANDE,atencion odontologica,endodoncia,2015-01-01,3,4,1,0,0,5,0,7,0,0,0,0,0,0,4,16,20
PAPEL PAMPA,atencion odontologica,endodoncia,2015-01-01,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2
PATACAMAYA,atencion odontologica,endodoncia,2015-01-01,21,22,15,3,9,15,6,7,4,0,0,0,0,0,55,47,102
PAZÑA,atencion odontologica,endodoncia,2015-01-01,0,2,0,1,0,0,1,1,1,0,0,0,0,0,2,4,6
PELECHUCO,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
POCOATA,atencion odontologica,endodoncia,2015-01-01,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6
POCONA,atencion odontologica,endodoncia,2015-01-01,2,2,0,1,1,1,1,5,1,0,0,0,0,0,5,9,14
POJO (CBBA),atencion odontologica,endodoncia,2015-01-01,2,0,0,2,4,7,1,7,3,1,0,0,0,0,10,17,27
POOPO,atencion odontologica,endodoncia,2015-01-01,3,5,1,1,1,1,0,5,2,1,0,0,0,0,7,13,20
PORCO,atencion odontologica,endodoncia,2015-01-01,0,5,1,0,1,0,0,1,0,0,0,0,0,0,2,6,8
POROMA,atencion odontologica,endodoncia,2015-01-01,0,0,1,0,1,1,3,2,0,0,0,0,0,0,5,3,8
PORONGO,atencion odontologica,endodoncia,2015-01-01,0,0,0,5,0,2,0,1,0,0,0,0,0,0,0,8,8
PORTACHUELO,atencion odontologica,endodoncia,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PORVENIR,atencion odontologica,endodoncia,2015-01-01,0,1,2,1,0,1,2,2,0,0,0,0,0,0,4,5,9
POSTRER VALLE,atencion odontologica,endodoncia,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
POTOSI,atencion odontologica,endodoncia,2015-01-01,74,66,15,29,18,37,43,92,36,45,0,0,0,0,186,269,455
PRESTO,atencion odontologica,endodoncia,2015-01-01,0,4,1,3,4,0,0,1,0,1,0,0,0,0,5,9,14
PUCARANI,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
PUERTO ACOSTA,atencion odontologica,endodoncia,2015-01-01,2,7,0,1,0,2,2,5,0,1,0,0,0,0,4,16,20
PUERTO CARABUCO,atencion odontologica,endodoncia,2015-01-01,0,1,2,0,1,8,1,23,3,1,0,0,0,0,7,33,40
PUERTO GONZALO MORENO,atencion odontologica,endodoncia,2015-01-01,0,0,2,0,2,0,0,4,0,0,0,0,0,0,4,4,8
PUERTO PEREZ,atencion odontologica,endodoncia,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO RICO,atencion odontologica,endodoncia,2015-01-01,1,0,1,1,1,2,0,3,0,0,0,0,0,0,3,6,9
PUERTO SUAREZ,atencion odontologica,endodoncia,2015-01-01,2,1,0,0,0,1,1,1,0,0,0,0,0,0,3,3,6
PUERTO VILLARROEL,atencion odontologica,endodoncia,2015-01-01,19,20,5,5,4,13,5,16,0,2,0,0,0,0,33,56,89
PUNA,atencion odontologica,endodoncia,2015-01-01,1,2,1,2,0,2,3,5,1,0,0,0,0,0,6,11,17
PUNATA,atencion odontologica,endodoncia,2015-01-01,1,2,2,2,2,12,2,13,6,3,0,0,0,0,13,32,45
QUIABAYA,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,3
QUILLACOLLO,atencion odontologica,endodoncia,2015-01-01,54,48,35,26,6,21,24,48,12,4,0,0,0,0,131,147,278
QUIME,atencion odontologica,endodoncia,2015-01-01,6,6,1,2,0,3,9,8,5,1,0,0,0,0,21,20,41
RAVELO,atencion odontologica,endodoncia,2015-01-01,3,0,1,0,1,1,3,4,0,0,0,0,0,0,8,5,13
REYES,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
RIBERALTA,atencion odontologica,endodoncia,2015-01-01,3,0,1,4,2,3,6,9,0,0,0,0,0,0,12,16,28
ROBORE,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
SABAYA,atencion odontologica,endodoncia,2015-01-01,5,0,0,0,0,1,1,0,0,0,0,0,0,0,6,1,7
SACABA,atencion odontologica,endodoncia,2015-01-01,41,40,16,12,1,6,18,35,0,2,0,0,0,0,76,95,171
SACACA,atencion odontologica,endodoncia,2015-01-01,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,5,6
SAIPINA,atencion odontologica,endodoncia,2015-01-01,2,1,0,0,0,0,2,3,0,0,0,0,0,0,4,4,8
SALINAS DE GARCI MENDOZA,atencion odontologica,endodoncia,2015-01-01,0,3,0,2,0,0,1,1,1,0,0,0,0,0,2,6,8
SAMAIPATA,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
SAN ANDRES,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN ANDRES DE MACHACA,atencion odontologica,endodoncia,2015-01-01,1,1,1,1,4,0,4,9,11,0,0,0,0,0,21,11,32
SAN BENITO,atencion odontologica,endodoncia,2015-01-01,0,2,0,0,0,0,0,3,0,5,0,0,0,0,0,10,10
SAN BORJA,atencion odontologica,endodoncia,2015-01-01,3,6,3,2,2,4,1,5,0,2,0,0,0,0,9,19,28
SAN BUENA VENTURA,atencion odontologica,endodoncia,2015-01-01,3,2,1,2,1,2,3,0,0,1,0,0,0,0,8,7,15
SAN CARLOS,atencion odontologica,endodoncia,2015-01-01,4,1,0,0,4,8,8,8,0,3,0,0,0,0,16,20,36
SAN IGNACIO,atencion odontologica,endodoncia,2015-01-01,0,0,2,0,0,0,0,4,1,0,0,0,0,0,3,4,7
SAN IGNACIO DE VELASCO,atencion odontologica,endodoncia,2015-01-01,5,0,4,1,1,0,1,6,0,0,0,0,0,0,11,7,18
SAN JAVIER(BNI),atencion odontologica,endodoncia,2015-01-01,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,3
SAN JAVIER(STC),atencion odontologica,endodoncia,2015-01-01,4,7,3,3,2,0,1,2,0,0,0,0,0,0,10,12,22
SAN JOAQUIN,atencion odontologica,endodoncia,2015-01-01,0,0,2,2,0,0,0,3,0,0,0,0,0,0,2,5,7
SAN JUAN DE YAPACANI,atencion odontologica,endodoncia,2015-01-01,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SAN JULIAN,atencion odontologica,endodoncia,2015-01-01,3,6,1,2,0,2,0,13,0,0,0,0,0,0,4,23,27
SAN LORENZO(PND),atencion odontologica,endodoncia,2015-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
SAN LORENZO(TJA),atencion odontologica,endodoncia,2015-01-01,0,0,2,4,1,7,3,8,1,6,0,0,0,0,7,25,32
SAN LUCAS,atencion odontologica,endodoncia,2015-01-01,1,9,9,8,2,6,1,22,0,0,0,0,0,0,13,45,58
SAN MATIAS,atencion odontologica,endodoncia,2015-01-01,0,1,2,7,0,3,9,6,0,0,0,0,0,0,11,17,28
SAN MIGUEL DE VELASCO,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,4,2,2,1,1,0,0,0,0,0,7,3,10
SAN PABLO DE LIPEZ,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN PEDRO,atencion odontologica,endodoncia,2015-01-01,0,0,1,0,0,1,3,4,1,2,0,0,0,0,5,7,12
SAN PEDRO DE BUENA VISTA,atencion odontologica,endodoncia,2015-01-01,4,0,0,1,0,1,3,2,0,0,0,0,0,0,7,4,11
SAN PEDRO DE QUEMES,atencion odontologica,endodoncia,2015-01-01,0,0,1,1,0,0,0,1,0,2,0,0,0,0,1,4,5
SAN PEDRO DE TIQUINA,atencion odontologica,endodoncia,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN RAFAEL,atencion odontologica,endodoncia,2015-01-01,1,1,0,0,1,4,1,2,0,0,0,0,0,0,3,7,10
SAN RAMON BENI,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN RAMON SCZ,atencion odontologica,endodoncia,2015-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SANTA ANA,atencion odontologica,endodoncia,2015-01-01,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,9,9
SANTA CRUZ DE LA SIERRA,atencion odontologica,endodoncia,2015-01-01,85,78,53,61,52,46,226,319,58,52,0,0,0,0,474,556,1030
SANTA ROSA DEL SARA,atencion odontologica,endodoncia,2015-01-01,0,1,1,6,3,3,1,9,0,0,0,0,0,0,5,19,24
SANTIAGO DE HUARI,atencion odontologica,endodoncia,2015-01-01,3,4,7,12,0,10,15,3,0,1,0,0,0,0,25,30,55
SANTIAGO DE HUATA,atencion odontologica,endodoncia,2015-01-01,0,0,1,1,2,3,3,11,3,1,0,0,0,0,9,16,25
