,group,variable,month,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA MENORES DE 5 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 5 A 13 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 14 A 19 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 20 A 59 AÑOS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA 60 AÑOS Y MAS,PERIODONCIA EMB,PERIODONCIA EMB,PERIODONCIA POST,PERIODONCIA POST,TOTALES,TOTALES,TOTALES
COLPA BELGICA,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,1,2,1,3,0,0,0,0,0,0,2,6,8
COLQUECHACA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,2,6,1,1,0,0,0,0,3,8,11
COLQUIRI,atencion odontologica,periodoncia,2015-01-01,0,0,2,0,0,2,0,0,0,4,0,0,0,0,2,6,8
COMARAPA,atencion odontologica,periodoncia,2015-01-01,0,0,8,8,2,1,13,18,1,3,0,0,0,0,24,30,54
COMBAYA,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CONCEPCION,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
COPACABANA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,2,3,1,3,0,0,0,0,0,0,3,6,9
CORIPATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,5,5
CORO CORO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
COROICO,atencion odontologica,periodoncia,2015-01-01,0,0,2,1,2,4,2,3,0,0,0,0,0,0,6,8,14
COTAGAITA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,2,4,10,0,0,0,0,0,0,4,12,16
CUATRO CAÑADAS,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,2,5,1,0,0,0,0,0,3,6,9
CURAHUARA DE CARANGAS,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
CURVA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
EL ALTO,atencion odontologica,periodoncia,2015-01-01,0,0,65,69,74,127,104,194,29,19,0,0,0,0,272,409,681
EL CHORO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL PUENTE(STC),atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
EL TORNO,atencion odontologica,periodoncia,2015-01-01,0,0,5,6,7,14,10,28,0,3,0,0,0,0,22,51,73
ENTRE RIOS TRJ,atencion odontologica,periodoncia,2015-01-01,0,0,0,2,1,4,0,4,1,0,0,0,0,0,2,10,12
ENTRE RIOS CBBA,atencion odontologica,periodoncia,2015-01-01,0,0,1,0,1,2,0,9,1,0,0,0,0,0,3,11,14
EUCALIPTUS,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
FERNANDEZ ALONSO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,4,8,4,2,0,0,0,0,8,10,18
GENERAL SAAVEDRA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
GUANAY,atencion odontologica,periodoncia,2015-01-01,0,0,1,0,0,2,1,6,0,0,0,0,0,0,2,8,10
GUAQUI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
GUAYARAMERIN,atencion odontologica,periodoncia,2015-01-01,0,0,7,9,11,13,11,14,0,0,0,0,0,0,29,36,65
GUTIERREZ,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,6
HUACAYA (VILLA DE HUACAYA),atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,6
HUANUNI,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,7,0,0,1,0,1,0,0,0,0,7,3,10
HUARINA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
HUATAJATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,4,5,1,0,0,0,0,6,5,11
HUAYLLAMARCA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
HUMANATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,6,3,0,0,0,0,0,3,6,9
ICHOCA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
ICLA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
INQUISIVI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,4,5
IRUPANA (VILLA DE LANZA),atencion odontologica,periodoncia,2015-01-01,0,0,2,0,1,1,3,4,3,0,0,0,0,0,9,5,14
IXIAMAS,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
JESUS DE MACHACA,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,4,4
LA ASUNTA,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,1,4,7,0,0,0,0,0,0,4,9,13
LA GUARDIA,atencion odontologica,periodoncia,2015-01-01,0,0,3,0,1,2,1,12,1,1,0,0,0,0,6,15,21
LA PAZ,atencion odontologica,periodoncia,2015-01-01,0,0,49,59,90,155,260,443,51,66,0,0,0,0,450,723,1173
LAJA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
LAS CARRERAS,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LLALLAGUA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,5,10,0,2,0,0,0,0,5,12,17
LURIBAY,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
MACHACAMARCA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,1,0,0,4,0,1,0,0,0,0,1,5,6
MACHARETI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,3,1,2,0,0,0,0,2,5,7
MAIRANA,atencion odontologica,periodoncia,2015-01-01,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,3,4
MECAPACA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,1,3,0,0,0,0,0,0,1,4,5
MIZQUE,atencion odontologica,periodoncia,2015-01-01,0,0,1,1,0,0,1,8,1,0,0,0,0,0,3,9,12
MOJOCOYA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,2,1,2,0,0,0,0,1,4,5
MONTEAGUDO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1,4,5
MONTERO,atencion odontologica,periodoncia,2015-01-01,0,0,2,2,1,14,7,18,0,0,0,0,0,0,10,34,44
MORO MORO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MOROCHATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,7,1,18,6,4,0,0,0,0,7,29,36
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,atencion odontologica,periodoncia,2015-01-01,0,0,6,6,5,16,59,89,13,14,0,0,0,0,83,125,208
PADCAYA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,1,0,2,3,0,0,0,0,0,0,3,3,6
PADILLA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
PAILON,atencion odontologica,periodoncia,2015-01-01,0,0,6,2,1,0,2,4,1,2,0,0,0,0,10,8,18
PALCA,atencion odontologica,periodoncia,2015-01-01,0,0,2,0,1,4,0,3,0,0,0,0,0,0,3,7,10
PALOS BLANCOS,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,7,1,10,2,3,0,0,0,0,3,21,24
PAMPA AULLAGAS,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
PAPEL PAMPA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
PASORAPA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
PATACAMAYA,atencion odontologica,periodoncia,2015-01-01,0,0,9,10,0,3,2,5,0,0,0,0,0,0,11,18,29
PAZÑA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
PELECHUCO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
POCOATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2
POCONA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,3,4
POJO (CBBA),atencion odontologica,periodoncia,2015-01-01,0,0,1,0,0,8,4,15,1,3,0,0,0,0,6,26,32
POOPO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,3,5
PORCO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
POROMA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,3
PORONGO,atencion odontologica,periodoncia,2015-01-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,3
PORTACHUELO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,2,2,1,0,0,0,0,0,0,2,3,5
PORVENIR,atencion odontologica,periodoncia,2015-01-01,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,3
POTOSI,atencion odontologica,periodoncia,2015-01-01,0,0,4,7,22,27,18,40,11,7,0,0,0,0,55,81,136
PRESTO,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,0,1,4,0,0,0,0,0,0,1,5,6
PUCARANI,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,0,1,1,1,0,0,0,0,0,2,2,4
PUERTO ACOSTA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
PUERTO GONZALO MORENO,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,4,4
PUERTO PEREZ,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
PUERTO RICO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PUERTO SUAREZ,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5
PUERTO VILLARROEL,atencion odontologica,periodoncia,2015-01-01,0,0,2,0,0,4,2,15,0,0,0,0,0,0,4,19,23
PUNA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,3,0,1,0,0,0,0,0,4,0,4
PUNATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,1,1,8,12,0,2,0,0,0,0,9,15,24
QUIABAYA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
QUILLACOLLO,atencion odontologica,periodoncia,2015-01-01,0,0,2,2,4,28,13,68,12,8,0,0,0,0,31,106,137
QUIME,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,0,5,7,0,0,0,0,0,0,5,8,13
RAVELO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
REYES,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,3,0,7,3,0,0,0,0,0,0,10,3,13
RIBERALTA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,6,2,18,1,1,0,0,0,0,3,25,28
ROBORE,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
RURRENABAQUE,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,2,2,3,3,1,1,0,0,0,0,6,6,12
SACABA,atencion odontologica,periodoncia,2015-01-01,0,0,3,1,4,9,8,24,10,4,0,0,0,0,25,38,63
SACABAMBA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
SALINAS DE GARCI MENDOZA,atencion odontologica,periodoncia,2015-01-01,0,0,3,0,0,0,1,5,0,0,0,0,0,0,4,5,9
SAMAIPATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
SAN AGUSTIN,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,4,4
SAN ANDRES,atencion odontologica,periodoncia,2015-01-01,0,0,2,2,0,1,1,0,0,0,0,0,0,0,3,3,6
SAN ANDRES DE MACHACA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,1,1,2,1,0,0,0,0,0,0,3,2,5
SAN ANTONIO DE ESMORUCO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SAN BENITO,atencion odontologica,periodoncia,2015-01-01,0,0,1,0,1,3,1,1,0,4,0,0,0,0,3,8,11
SAN BORJA,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,1,0,2,3,0,0,0,0,0,0,3,4,7
SAN BUENA VENTURA,atencion odontologica,periodoncia,2015-01-01,0,0,1,0,1,0,2,4,0,0,0,0,0,0,4,4,8
SAN CARLOS,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,2,5,7,1,2,0,0,0,0,6,11,17
SAN IGNACIO,atencion odontologica,periodoncia,2015-01-01,0,0,7,15,6,9,1,14,1,0,0,0,0,0,15,38,53
SAN IGNACIO DE VELASCO,atencion odontologica,periodoncia,2015-01-01,0,0,1,1,0,6,3,7,0,0,0,0,0,0,4,14,18
SAN JOAQUIN,atencion odontologica,periodoncia,2015-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,2,3
SAN JULIAN,atencion odontologica,periodoncia,2015-01-01,0,0,3,0,0,2,0,3,0,0,0,0,0,0,3,5,8
SAN LORENZO(TJA),atencion odontologica,periodoncia,2015-01-01,0,0,0,1,2,4,1,6,2,0,0,0,0,0,5,11,16
SAN LUCAS,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,3,3,7,0,1,0,0,0,0,3,11,14
SAN MATIAS,atencion odontologica,periodoncia,2015-01-01,0,0,0,3,5,2,1,0,0,0,0,0,0,0,6,5,11
SAN MIGUEL DE VELASCO,atencion odontologica,periodoncia,2015-01-01,0,0,4,0,0,1,0,3,0,0,0,0,0,0,4,4,8
SAN PEDRO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,6
SAN RAFAEL,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,periodoncia,2015-01-01,0,0,140,121,140,173,274,535,120,103,0,0,0,0,674,932,1606
SANTA ROSA DEL SARA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,3,0,2,1,0,0,0,0,0,1,5,6
SANTIAGO DE HUATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,4,3,0,0,0,0,4,4,8
SANTIAGO DE MACHACA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,3,2,0,1,0,0,0,0,3,3,6
SANTIVAÑES,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
SANTUARIO DE QUILLACAS,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2
SAPAHAQUI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2
SHINAOTA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,2,0,6,0,2,0,0,0,0,0,10,10
SIPE SIPE,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,2,4,4,20,4,0,0,0,0,0,10,25,35
SOPACHUY,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,0,2,5,0,0,0,0,0,0,2,6,8
SORACACHI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,4
SUCRE,atencion odontologica,periodoncia,2015-01-01,0,0,24,10,40,64,190,305,24,24,0,0,0,0,278,403,681
TACACHI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TAHUA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
TAPACARI,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,1,1,2,12,1,3,0,0,0,0,4,16,20
TARABUCO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,2,0,9,0,0,0,0,0,0,0,11,11
TARATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,2,0,3,2,1,0,0,0,0,0,6,2,8
TARIJA,atencion odontologica,periodoncia,2015-01-01,0,0,8,11,31,62,88,131,8,12,0,0,0,0,135,216,351
TARVITA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,3
TEOPONTE,atencion odontologica,periodoncia,2015-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
TIAWANACU,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,3,5
TIQUIPAYA,atencion odontologica,periodoncia,2015-01-01,0,0,4,7,2,4,1,43,0,1,0,0,0,0,7,55,62
TIRAQUE (CBBA),atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TOCO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,5,5
TOLATA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,6,3,4,0,0,0,0,3,10,13
TOLEDO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TOMAVE,atencion odontologica,periodoncia,2015-01-01,0,0,1,0,0,6,1,2,7,0,0,0,0,0,9,8,17
TOMINA,atencion odontologica,periodoncia,2015-01-01,0,0,1,2,3,6,2,10,0,0,0,0,0,0,6,18,24
TORO TORO,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,1,7,5,1,0,0,0,0,0,8,6,14
TOTORA(CBBA),atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,3,1,4,0,2,0,0,0,0,1,9,10
TOTORA(ORR),atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
TRINIDAD,atencion odontologica,periodoncia,2015-01-01,0,0,7,13,14,21,21,45,2,2,0,0,0,0,44,81,125
TUPIZA,atencion odontologica,periodoncia,2015-01-01,0,0,0,4,2,7,14,13,0,0,0,0,0,0,16,24,40
TURCO,atencion odontologica,periodoncia,2015-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
UMALA,atencion odontologica,periodoncia,2015-01-01,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2
UNCIA,atencion odontologica,periodoncia,2015-01-01,0,0,3,1,7,0,0,0,2,7,0,0,0,0,12,8,20
