,group,variable,month,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR MENORES DE 5 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 5 A 13 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 14 A 19 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 20 A 59 AÑOS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR 60 AÑOS Y MAS,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR EMB,APLICACIÓN DE FLUOR POST,APLICACIÓN DE FLUOR POST,TOTALES,TOTALES,TOTALES
CHIMORE,atencion odontologica,aplicacion de fluor,2015-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHUA COCANI,atencion odontologica,aplicacion de fluor,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,aplicacion de fluor,2015-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CHUMA,atencion odontologica,aplicacion de fluor,2015-01-01,3,1,3,3,0,0,0,0,0,0,0,0,0,0,6,4,10
CLIZA,atencion odontologica,aplicacion de fluor,2015-01-01,4,5,5,1,0,0,0,0,2,0,0,0,0,0,11,6,17
COBIJA,atencion odontologica,aplicacion de fluor,2015-01-01,63,44,3,1,1,1,1,6,0,0,0,0,0,0,68,52,120
COCAPATA,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,atencion odontologica,aplicacion de fluor,2015-01-01,180,232,172,178,52,92,86,139,10,6,0,0,0,0,500,647,1147
COLCAPIRHUA,atencion odontologica,aplicacion de fluor,2015-01-01,26,25,0,1,0,0,0,0,0,0,0,0,0,0,26,26,52
COLOMI,atencion odontologica,aplicacion de fluor,2015-01-01,3,5,0,0,0,0,0,11,0,0,0,0,0,0,3,16,19
COLPA BELGICA,atencion odontologica,aplicacion de fluor,2015-01-01,16,7,7,7,0,0,0,0,0,0,0,0,0,0,23,14,37
COLQUECHACA,atencion odontologica,aplicacion de fluor,2015-01-01,5,4,1,1,0,0,0,1,0,0,0,0,0,0,6,6,12
COLQUENCHA,atencion odontologica,aplicacion de fluor,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COLQUIRI,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,4,1,0,0,0,0,0,0,0,0,0,0,4,1,5
COMARAPA,atencion odontologica,aplicacion de fluor,2015-01-01,4,3,0,4,1,2,0,2,0,1,0,0,0,0,5,12,17
COMBAYA,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CONCEPCION,atencion odontologica,aplicacion de fluor,2015-01-01,3,2,0,0,0,0,1,1,0,0,0,0,0,0,4,3,7
COPACABANA,atencion odontologica,aplicacion de fluor,2015-01-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
CORIPATA,atencion odontologica,aplicacion de fluor,2015-01-01,6,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,10
CORO CORO,atencion odontologica,aplicacion de fluor,2015-01-01,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3
COTOCA,atencion odontologica,aplicacion de fluor,2015-01-01,316,287,82,81,1,9,0,25,0,0,0,0,0,0,399,402,801
CUATRO CAÑADAS,atencion odontologica,aplicacion de fluor,2015-01-01,76,92,1,2,1,7,0,20,0,0,0,0,0,0,78,121,199
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,aplicacion de fluor,2015-01-01,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3
CUEVO,atencion odontologica,aplicacion de fluor,2015-01-01,21,25,2,4,0,3,0,4,0,0,0,0,0,0,23,36,59
CULPINA,atencion odontologica,aplicacion de fluor,2015-01-01,4,4,0,0,0,0,0,1,0,0,0,0,0,0,4,5,9
CURAHUARA DE CARANGAS,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
CURVA,atencion odontologica,aplicacion de fluor,2015-01-01,11,10,4,0,0,0,0,0,0,0,0,0,0,0,15,10,25
EL ALTO,atencion odontologica,aplicacion de fluor,2015-01-01,265,230,252,287,42,58,15,23,2,3,0,0,0,0,576,601,1177
EL CHORO,atencion odontologica,aplicacion de fluor,2015-01-01,12,10,0,0,0,1,0,2,0,0,0,0,0,0,12,13,25
EL PUENTE(STC),atencion odontologica,aplicacion de fluor,2015-01-01,11,17,0,0,0,0,0,0,1,0,0,0,0,0,12,17,29
EL TORNO,atencion odontologica,aplicacion de fluor,2015-01-01,30,38,13,10,2,7,3,15,1,1,0,0,0,0,49,71,120
ENTRE RIOS TRJ,atencion odontologica,aplicacion de fluor,2015-01-01,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3
ENTRE RIOS CBBA,atencion odontologica,aplicacion de fluor,2015-01-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
GENERAL SAAVEDRA,atencion odontologica,aplicacion de fluor,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,aplicacion de fluor,2015-01-01,9,24,5,3,0,2,1,7,0,1,0,0,0,0,15,37,52
GUANAY,atencion odontologica,aplicacion de fluor,2015-01-01,8,5,0,0,0,0,0,0,0,0,0,0,0,0,8,5,13
GUAQUI,atencion odontologica,aplicacion de fluor,2015-01-01,12,9,0,0,0,0,0,0,0,0,0,0,0,0,12,9,21
GUAYARAMERIN,atencion odontologica,aplicacion de fluor,2015-01-01,6,9,13,15,19,13,20,18,1,0,0,0,0,0,59,55,114
GUTIERREZ,atencion odontologica,aplicacion de fluor,2015-01-01,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
HUACHACALLA,atencion odontologica,aplicacion de fluor,2015-01-01,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,3,4
HUANUNI,atencion odontologica,aplicacion de fluor,2015-01-01,6,3,2,2,5,1,2,3,0,0,0,0,0,0,15,9,24
HUARACAJE,atencion odontologica,aplicacion de fluor,2015-01-01,2,5,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7
HUARINA,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUATAJATA,atencion odontologica,aplicacion de fluor,2015-01-01,9,9,0,1,0,0,0,1,0,0,0,0,0,0,9,11,20
HUAYLLAMARCA,atencion odontologica,aplicacion de fluor,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUMANATA,atencion odontologica,aplicacion de fluor,2015-01-01,10,5,1,2,1,0,0,0,0,0,0,0,0,0,12,7,19
ICLA,atencion odontologica,aplicacion de fluor,2015-01-01,74,76,2,7,0,0,0,7,0,0,0,0,0,0,76,90,166
INCAHUASI,atencion odontologica,aplicacion de fluor,2015-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
INQUISIVI,atencion odontologica,aplicacion de fluor,2015-01-01,6,4,2,1,0,1,0,0,0,0,0,0,0,0,8,6,14
IRUPANA (VILLA DE LANZA),atencion odontologica,aplicacion de fluor,2015-01-01,9,15,0,0,4,0,0,0,0,0,0,0,0,0,13,15,28
JESUS DE MACHACA,atencion odontologica,aplicacion de fluor,2015-01-01,5,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
LA ASUNTA,atencion odontologica,aplicacion de fluor,2015-01-01,8,9,0,0,0,3,4,5,0,0,0,0,0,0,12,17,29
LA GUARDIA,atencion odontologica,aplicacion de fluor,2015-01-01,83,44,0,0,0,2,0,8,0,1,0,0,0,0,83,55,138
LA PAZ,atencion odontologica,aplicacion de fluor,2015-01-01,299,390,438,441,134,137,52,115,13,14,0,0,0,0,936,1097,2033
LAGUNILLAS,atencion odontologica,aplicacion de fluor,2015-01-01,8,11,0,0,0,0,0,0,0,0,0,0,0,0,8,11,19
LAJA,atencion odontologica,aplicacion de fluor,2015-01-01,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
LICOMA PAMPA,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
LLALLAGUA,atencion odontologica,aplicacion de fluor,2015-01-01,3,7,3,8,0,4,1,3,0,0,0,0,0,0,7,22,29
LURIBAY,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,0,0,0,1,1,4,1,0,0,0,0,0,2,5,7
MACHACAMARCA,atencion odontologica,aplicacion de fluor,2015-01-01,2,0,29,1,0,15,18,13,0,3,0,0,0,0,49,32,81
MACHARETI,atencion odontologica,aplicacion de fluor,2015-01-01,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,7
MAGDALENA,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,4,4
MAIRANA,atencion odontologica,aplicacion de fluor,2015-01-01,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,3,4
MAPIRI,atencion odontologica,aplicacion de fluor,2015-01-01,5,4,0,0,0,1,0,0,0,0,0,0,0,0,5,5,10
MECAPACA,atencion odontologica,aplicacion de fluor,2015-01-01,1,3,0,1,0,0,0,1,0,0,0,0,0,0,1,5,6
MIZQUE,atencion odontologica,aplicacion de fluor,2015-01-01,10,7,0,1,0,0,0,0,0,0,0,0,0,0,10,8,18
MOCOMOCO,atencion odontologica,aplicacion de fluor,2015-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
MOJOCOYA,atencion odontologica,aplicacion de fluor,2015-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
MONTEAGUDO,atencion odontologica,aplicacion de fluor,2015-01-01,1,5,0,2,0,0,0,4,0,0,0,0,0,0,1,11,12
MONTERO,atencion odontologica,aplicacion de fluor,2015-01-01,43,58,23,17,7,17,10,51,0,2,0,0,0,0,83,145,228
MORO MORO,atencion odontologica,aplicacion de fluor,2015-01-01,15,16,0,0,0,0,0,0,0,0,0,0,0,0,15,16,31
MOROCHATA,atencion odontologica,aplicacion de fluor,2015-01-01,19,28,0,0,0,1,0,6,0,0,0,0,0,0,19,35,54
OKINAWA,atencion odontologica,aplicacion de fluor,2015-01-01,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6
ORURO,atencion odontologica,aplicacion de fluor,2015-01-01,30,30,52,58,16,28,18,45,7,18,0,0,0,0,123,179,302
PADCAYA,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2
PADILLA,atencion odontologica,aplicacion de fluor,2015-01-01,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PAILON,atencion odontologica,aplicacion de fluor,2015-01-01,45,53,32,32,5,3,0,1,0,0,0,0,0,0,82,89,171
PALCA,atencion odontologica,aplicacion de fluor,2015-01-01,7,5,1,0,0,0,0,0,0,0,0,0,0,0,8,5,13
PALOS BLANCOS,atencion odontologica,aplicacion de fluor,2015-01-01,17,14,9,6,0,5,4,16,4,0,0,0,0,0,34,41,75
PAMPA AULLAGAS,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
PAMPA GRANDE,atencion odontologica,aplicacion de fluor,2015-01-01,13,9,0,0,0,0,0,0,0,0,0,0,0,0,13,9,22
PAPEL PAMPA,atencion odontologica,aplicacion de fluor,2015-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
PASORAPA,atencion odontologica,aplicacion de fluor,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PATACAMAYA,atencion odontologica,aplicacion de fluor,2015-01-01,12,11,2,5,0,0,0,0,0,0,0,0,0,0,14,16,30
PELECHUCO,atencion odontologica,aplicacion de fluor,2015-01-01,3,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7
POCOATA,atencion odontologica,aplicacion de fluor,2015-01-01,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,3
POCONA,atencion odontologica,aplicacion de fluor,2015-01-01,1,2,1,0,0,0,0,1,0,0,0,0,0,0,2,3,5
POJO (CBBA),atencion odontologica,aplicacion de fluor,2015-01-01,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2
POOPO,atencion odontologica,aplicacion de fluor,2015-01-01,1,0,0,2,1,4,0,0,0,0,0,0,0,0,2,6,8
PORCO,atencion odontologica,aplicacion de fluor,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
POROMA,atencion odontologica,aplicacion de fluor,2015-01-01,13,9,1,0,0,0,0,0,0,0,0,0,0,0,14,9,23
PORONGO,atencion odontologica,aplicacion de fluor,2015-01-01,1,2,1,1,0,0,0,1,0,0,0,0,0,0,2,4,6
PORTACHUELO,atencion odontologica,aplicacion de fluor,2015-01-01,2,5,2,3,0,2,2,0,0,0,0,0,0,0,6,10,16
PORVENIR,atencion odontologica,aplicacion de fluor,2015-01-01,9,7,9,8,0,0,0,0,0,0,0,0,0,0,18,15,33
POSTRER VALLE,atencion odontologica,aplicacion de fluor,2015-01-01,6,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7
POTOSI,atencion odontologica,aplicacion de fluor,2015-01-01,63,56,61,43,23,25,39,22,0,0,0,0,0,0,186,146,332
PRESTO,atencion odontologica,aplicacion de fluor,2015-01-01,25,24,1,1,0,1,0,3,0,0,0,0,0,0,26,29,55
PUCARA,atencion odontologica,aplicacion de fluor,2015-01-01,14,14,0,0,0,0,0,1,0,0,0,0,0,0,14,15,29
PUCARANI,atencion odontologica,aplicacion de fluor,2015-01-01,2,9,0,0,0,0,0,0,0,0,0,0,0,0,2,9,11
PUERTO ACOSTA,atencion odontologica,aplicacion de fluor,2015-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
PUERTO CARABUCO,atencion odontologica,aplicacion de fluor,2015-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PUERTO GONZALO MORENO,atencion odontologica,aplicacion de fluor,2015-01-01,31,35,19,9,1,10,0,6,0,2,0,0,0,0,51,62,113
PUERTO PEREZ,atencion odontologica,aplicacion de fluor,2015-01-01,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PUERTO QUIJARRO,atencion odontologica,aplicacion de fluor,2015-01-01,15,15,0,0,0,0,0,0,0,0,0,0,0,0,15,15,30
PUERTO RICO,atencion odontologica,aplicacion de fluor,2015-01-01,7,6,1,3,1,2,0,0,0,0,0,0,0,0,9,11,20
PUERTO SUAREZ,atencion odontologica,aplicacion de fluor,2015-01-01,2,1,190,104,0,0,0,0,0,0,0,0,0,0,192,105,297
PUERTO VILLARROEL,atencion odontologica,aplicacion de fluor,2015-01-01,34,22,0,0,0,0,0,4,0,0,0,0,0,0,34,26,60
PUNA,atencion odontologica,aplicacion de fluor,2015-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
PUNATA,atencion odontologica,aplicacion de fluor,2015-01-01,2,2,2,0,1,5,2,2,0,0,0,0,0,0,7,9,16
QUIABAYA,atencion odontologica,aplicacion de fluor,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
QUILLACOLLO,atencion odontologica,aplicacion de fluor,2015-01-01,28,15,5,7,1,4,2,7,0,1,0,0,0,0,36,34,70
QUIME,atencion odontologica,aplicacion de fluor,2015-01-01,5,6,0,2,0,0,0,3,0,0,0,0,0,0,5,11,16
RAVELO,atencion odontologica,aplicacion de fluor,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
REYES,atencion odontologica,aplicacion de fluor,2015-01-01,1,0,1,0,0,2,0,2,0,0,0,0,0,0,2,4,6
RIBERALTA,atencion odontologica,aplicacion de fluor,2015-01-01,41,69,12,21,6,10,7,32,0,0,0,0,0,0,66,132,198
ROBORE,atencion odontologica,aplicacion de fluor,2015-01-01,5,1,0,0,1,0,0,0,0,0,0,0,0,0,6,1,7
RURRENABAQUE,atencion odontologica,aplicacion de fluor,2015-01-01,6,8,6,8,4,7,3,8,0,0,0,0,0,0,19,31,50
SACABA,atencion odontologica,aplicacion de fluor,2015-01-01,21,16,7,9,3,9,4,5,0,0,0,0,0,0,35,39,74
SACACA,atencion odontologica,aplicacion de fluor,2015-01-01,6,8,0,0,0,1,0,9,1,1,0,0,0,0,7,19,26
SAIPINA,atencion odontologica,aplicacion de fluor,2015-01-01,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SALINAS DE GARCI MENDOZA,atencion odontologica,aplicacion de fluor,2015-01-01,15,8,10,12,2,8,0,9,0,1,0,0,0,0,27,38,65
SAMAIPATA,atencion odontologica,aplicacion de fluor,2015-01-01,21,23,0,0,0,0,0,0,0,0,0,0,0,0,21,23,44
SAN ANDRES,atencion odontologica,aplicacion de fluor,2015-01-01,2,1,8,2,1,4,0,0,0,0,0,0,0,0,11,7,18
SAN ANDRES DE MACHACA,atencion odontologica,aplicacion de fluor,2015-01-01,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,3
SAN BENITO,atencion odontologica,aplicacion de fluor,2015-01-01,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4
SAN BORJA,atencion odontologica,aplicacion de fluor,2015-01-01,8,6,2,2,0,0,0,5,0,0,0,0,0,0,10,13,23
SAN BUENA VENTURA,atencion odontologica,aplicacion de fluor,2015-01-01,1,3,2,1,0,0,0,0,0,0,0,0,0,0,3,4,7
SAN CARLOS,atencion odontologica,aplicacion de fluor,2015-01-01,1,2,0,0,2,0,0,2,0,0,0,0,0,0,3,4,7
SAN IGNACIO,atencion odontologica,aplicacion de fluor,2015-01-01,5,3,11,7,7,6,4,13,0,0,0,0,0,0,27,29,56
SAN IGNACIO DE VELASCO,atencion odontologica,aplicacion de fluor,2015-01-01,14,6,8,1,0,2,20,6,0,0,0,0,0,0,42,15,57
SAN JAVIER(BNI),atencion odontologica,aplicacion de fluor,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN JAVIER(STC),atencion odontologica,aplicacion de fluor,2015-01-01,2,2,2,2,2,3,0,1,0,0,0,0,0,0,6,8,14
SAN JOSE DE CHIQUITOS,atencion odontologica,aplicacion de fluor,2015-01-01,3,3,0,1,0,0,0,0,0,0,0,0,0,0,3,4,7
SAN JUAN DE YAPACANI,atencion odontologica,aplicacion de fluor,2015-01-01,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9
SAN JULIAN,atencion odontologica,aplicacion de fluor,2015-01-01,69,84,10,16,0,0,0,3,0,0,0,0,0,0,79,103,182
SAN LORENZO(PND),atencion odontologica,aplicacion de fluor,2015-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
SAN LORENZO(TJA),atencion odontologica,aplicacion de fluor,2015-01-01,2,0,1,3,2,0,0,2,0,0,0,0,0,0,5,5,10
SAN LUCAS,atencion odontologica,aplicacion de fluor,2015-01-01,11,5,0,0,0,1,2,0,0,0,0,0,0,0,13,6,19
SAN MATIAS,atencion odontologica,aplicacion de fluor,2015-01-01,3,4,2,0,0,0,1,0,0,0,0,0,0,0,6,4,10
SAN MIGUEL DE VELASCO,atencion odontologica,aplicacion de fluor,2015-01-01,3,5,0,0,2,1,0,1,0,0,0,0,0,0,5,7,12
SAN PABLO DE LIPEZ,atencion odontologica,aplicacion de fluor,2015-01-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN PEDRO DE BUENA VISTA,atencion odontologica,aplicacion de fluor,2015-01-01,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2
SAN PEDRO DE CURAHUARA,atencion odontologica,aplicacion de fluor,2015-01-01,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,3
SAN RAFAEL,atencion odontologica,aplicacion de fluor,2015-01-01,2,4,1,0,0,0,0,1,0,0,0,0,0,0,3,5,8
SAN RAMON SCZ,atencion odontologica,aplicacion de fluor,2015-01-01,51,69,0,0,0,0,0,0,0,0,0,0,0,0,51,69,120
