,group,variable,month,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES MENORES DE 5 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 5 A 13 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 14 A 19 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 20 A 59 AÑOS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES 60 AÑOS Y MAS,RESTAURACIONES EMB,RESTAURACIONES EMB,RESTAURACIONES POST,RESTAURACIONES POST,TOTALES,TOTALES,TOTALES
CHAQUI,atencion odontologica,restauraciones,2015-01-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
CHARAGUA,atencion odontologica,restauraciones,2015-01-01,10,3,7,9,2,11,16,9,0,0,0,0,0,0,35,32,67
CHARAÑA,atencion odontologica,restauraciones,2015-01-01,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,4
CHAYANTA,atencion odontologica,restauraciones,2015-01-01,0,20,18,0,0,2,1,25,0,2,0,0,0,0,19,49,68
CHIMORE,atencion odontologica,restauraciones,2015-01-01,27,19,9,9,2,20,0,72,4,0,0,0,0,0,42,120,162
CHIPAYA,atencion odontologica,restauraciones,2015-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
CHOQUE COTA,atencion odontologica,restauraciones,2015-01-01,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,3
CHUA COCANI,atencion odontologica,restauraciones,2015-01-01,0,5,0,0,0,0,1,1,0,0,0,0,0,0,1,6,7
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,restauraciones,2015-01-01,20,9,3,17,11,17,15,59,0,0,0,0,0,0,49,102,151
CHUMA,atencion odontologica,restauraciones,2015-01-01,14,2,8,13,3,20,16,38,4,9,0,0,0,0,45,82,127
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,restauraciones,2015-01-01,13,22,0,0,1,10,1,11,2,2,0,0,0,0,17,45,62
CKOCHAS,atencion odontologica,restauraciones,2015-01-01,3,2,0,0,2,2,1,14,0,0,0,0,0,0,6,18,24
CLIZA,atencion odontologica,restauraciones,2015-01-01,43,54,34,44,9,13,6,45,7,9,0,0,0,0,99,165,264
COBIJA,atencion odontologica,restauraciones,2015-01-01,39,45,25,48,25,38,36,79,8,0,0,0,0,0,133,210,343
COCAPATA,atencion odontologica,restauraciones,2015-01-01,6,2,0,0,4,3,11,25,0,0,0,0,0,0,21,30,51
COCHABAMBA,atencion odontologica,restauraciones,2015-01-01,952,859,1182,1375,614,1018,1030,2329,244,187,0,0,0,0,4022,5768,9790
COLCAPIRHUA,atencion odontologica,restauraciones,2015-01-01,115,115,15,23,1,9,11,67,3,5,0,0,0,0,145,219,364
"COLCHA ""K""",atencion odontologica,restauraciones,2015-01-01,4,3,0,0,0,0,0,4,0,1,0,0,0,0,4,8,12
COLLANA,atencion odontologica,restauraciones,2015-01-01,3,3,4,1,3,10,10,6,1,6,0,0,0,0,21,26,47
COLOMI,atencion odontologica,restauraciones,2015-01-01,18,14,0,0,0,0,0,16,1,1,0,0,0,0,19,31,50
COLPA BELGICA,atencion odontologica,restauraciones,2015-01-01,6,3,0,1,0,5,5,8,0,0,0,0,0,0,11,17,28
COLQUECHACA,atencion odontologica,restauraciones,2015-01-01,19,15,3,1,2,14,19,43,2,8,0,0,0,0,45,81,126
COLQUENCHA,atencion odontologica,restauraciones,2015-01-01,8,6,19,19,1,6,0,1,0,0,0,0,0,0,28,32,60
COLQUIRI,atencion odontologica,restauraciones,2015-01-01,16,8,26,18,12,20,17,30,1,2,0,0,0,0,72,78,150
COMANCHE,atencion odontologica,restauraciones,2015-01-01,1,0,0,0,1,0,1,1,0,0,0,0,0,0,3,1,4
COMARAPA,atencion odontologica,restauraciones,2015-01-01,48,59,61,59,58,74,56,87,29,19,0,0,0,0,252,298,550
COMBAYA,atencion odontologica,restauraciones,2015-01-01,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,4,4
CONCEPCION,atencion odontologica,restauraciones,2015-01-01,7,17,3,13,7,8,17,50,0,2,0,0,0,0,34,90,124
COPACABANA,atencion odontologica,restauraciones,2015-01-01,3,13,1,4,9,10,2,4,0,0,0,0,0,0,15,31,46
CORIPATA,atencion odontologica,restauraciones,2015-01-01,3,5,0,1,0,1,0,4,0,0,0,0,0,0,3,11,14
CORO CORO,atencion odontologica,restauraciones,2015-01-01,3,2,2,3,2,11,3,5,0,0,0,0,0,0,10,21,31
COROICO,atencion odontologica,restauraciones,2015-01-01,20,26,18,38,10,24,9,33,2,0,0,0,0,0,59,121,180
CORQUE,atencion odontologica,restauraciones,2015-01-01,0,1,0,0,0,1,1,7,0,0,0,0,0,0,1,9,10
COTAGAITA,atencion odontologica,restauraciones,2015-01-01,3,4,9,8,9,27,40,52,20,5,0,0,0,0,81,96,177
COTOCA,atencion odontologica,restauraciones,2015-01-01,16,29,1,3,0,12,1,35,44,28,0,0,0,0,62,107,169
CUATRO CAÑADAS,atencion odontologica,restauraciones,2015-01-01,35,55,4,22,11,25,6,58,2,1,0,0,0,0,58,161,219
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,restauraciones,2015-01-01,5,0,1,1,0,24,0,3,0,0,0,0,0,0,6,28,34
CUEVO,atencion odontologica,restauraciones,2015-01-01,2,0,1,5,1,13,2,15,2,0,0,0,0,0,8,33,41
CULPINA,atencion odontologica,restauraciones,2015-01-01,6,3,1,2,0,6,1,24,0,8,0,0,0,0,8,43,51
CURAHUARA DE CARANGAS,atencion odontologica,restauraciones,2015-01-01,10,8,2,5,0,1,1,17,1,3,0,0,0,0,14,34,48
CURVA,atencion odontologica,restauraciones,2015-01-01,7,8,0,0,0,3,6,9,0,0,0,0,0,0,13,20,33
DESAGUADERO,atencion odontologica,restauraciones,2015-01-01,10,14,4,5,0,0,6,8,2,4,0,0,0,0,22,31,53
EL ALTO,atencion odontologica,restauraciones,2015-01-01,955,1108,1873,2658,962,1729,563,1246,84,59,0,0,0,0,4437,6800,11237
EL CHORO,atencion odontologica,restauraciones,2015-01-01,10,7,1,0,1,1,0,4,0,0,0,0,0,0,12,12,24
EL PUENTE(STC),atencion odontologica,restauraciones,2015-01-01,3,10,4,7,7,27,6,21,4,0,0,0,0,0,24,65,89
EL PUENTE(TJA),atencion odontologica,restauraciones,2015-01-01,1,0,4,5,9,29,7,42,0,0,0,0,0,0,21,76,97
EL TORNO,atencion odontologica,restauraciones,2015-01-01,57,81,45,47,36,103,23,210,6,16,0,0,0,0,167,457,624
EL VILLAR,atencion odontologica,restauraciones,2015-01-01,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,3
ENTRE RIOS TRJ,atencion odontologica,restauraciones,2015-01-01,2,4,44,48,32,81,44,85,1,0,0,0,0,0,123,218,341
ENTRE RIOS CBBA,atencion odontologica,restauraciones,2015-01-01,39,46,0,3,1,6,0,22,0,0,0,0,0,0,40,77,117
ESCOMA,atencion odontologica,restauraciones,2015-01-01,2,6,33,2,3,10,11,0,1,0,0,0,0,0,50,18,68
EUCALIPTUS,atencion odontologica,restauraciones,2015-01-01,0,8,4,5,0,5,1,7,0,5,0,0,0,0,5,30,35
FERNANDEZ ALONSO,atencion odontologica,restauraciones,2015-01-01,40,33,8,20,0,14,4,123,21,12,0,0,0,0,73,202,275
FILADELFIA,atencion odontologica,restauraciones,2015-01-01,1,5,0,0,0,2,0,0,0,0,0,0,0,0,1,7,8
GENERAL SAAVEDRA,atencion odontologica,restauraciones,2015-01-01,5,14,3,2,2,5,0,13,0,0,0,0,0,0,10,34,44
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,restauraciones,2015-01-01,42,34,4,4,1,7,4,45,1,4,0,0,0,0,52,94,146
GUANAY,atencion odontologica,restauraciones,2015-01-01,0,1,4,3,5,3,14,14,1,1,0,0,0,0,24,22,46
GUAQUI,atencion odontologica,restauraciones,2015-01-01,3,4,1,3,4,12,5,8,6,9,0,0,0,0,19,36,55
GUAYARAMERIN,atencion odontologica,restauraciones,2015-01-01,18,20,65,64,128,178,222,212,14,17,0,0,0,0,447,491,938
GUTIERREZ,atencion odontologica,restauraciones,2015-01-01,0,2,1,1,3,10,2,9,2,0,0,0,0,0,8,22,30
HUACARETA,atencion odontologica,restauraciones,2015-01-01,13,12,6,3,0,18,4,22,4,2,0,0,0,0,27,57,84
HUACAYA (VILLA DE HUACAYA),atencion odontologica,restauraciones,2015-01-01,0,1,1,0,1,0,3,9,0,0,0,0,0,0,5,10,15
HUACHACALLA,atencion odontologica,restauraciones,2015-01-01,4,2,0,0,2,3,7,11,14,10,0,0,0,0,27,26,53
HUANUNI,atencion odontologica,restauraciones,2015-01-01,37,23,51,96,9,11,7,4,0,0,0,0,0,0,104,134,238
HUARACAJE,atencion odontologica,restauraciones,2015-01-01,5,1,1,8,1,3,2,6,0,0,0,0,0,0,9,18,27
HUARINA,atencion odontologica,restauraciones,2015-01-01,2,0,0,0,0,0,1,5,0,1,0,0,0,0,3,6,9
HUATAJATA,atencion odontologica,restauraciones,2015-01-01,2,8,2,3,1,5,1,18,4,11,0,0,0,0,10,45,55
HUAYLLAMARCA,atencion odontologica,restauraciones,2015-01-01,3,15,21,29,6,2,1,22,15,11,0,0,0,0,46,79,125
HUMANATA,atencion odontologica,restauraciones,2015-01-01,4,1,0,0,0,1,6,6,1,1,0,0,0,0,11,9,20
ICHOCA,atencion odontologica,restauraciones,2015-01-01,4,7,0,0,0,0,1,2,0,0,0,0,0,0,5,9,14
ICLA,atencion odontologica,restauraciones,2015-01-01,5,1,8,4,6,8,0,17,0,0,0,0,0,0,19,30,49
INCAHUASI,atencion odontologica,restauraciones,2015-01-01,13,6,5,15,12,21,7,20,0,0,0,0,0,0,37,62,99
INQUISIVI,atencion odontologica,restauraciones,2015-01-01,1,10,5,2,1,7,6,8,0,0,0,0,0,0,13,27,40
IRUPANA (VILLA DE LANZA),atencion odontologica,restauraciones,2015-01-01,30,59,9,8,0,20,23,36,6,2,0,0,0,0,68,125,193
IXIAMAS,atencion odontologica,restauraciones,2015-01-01,0,2,5,3,2,3,5,1,0,0,0,0,0,0,12,9,21
JESUS DE MACHACA,atencion odontologica,restauraciones,2015-01-01,9,5,4,4,2,4,3,8,2,1,0,0,0,0,20,22,42
LA ASUNTA,atencion odontologica,restauraciones,2015-01-01,19,11,1,13,7,23,23,27,0,0,0,0,0,0,50,74,124
LA GUARDIA,atencion odontologica,restauraciones,2015-01-01,88,110,7,9,2,31,1,40,12,11,0,0,0,0,110,201,311
LA PAZ,atencion odontologica,restauraciones,2015-01-01,1471,1432,1514,1553,764,1088,1236,2088,373,363,0,0,0,0,5358,6524,11882
LAGUNILLAS,atencion odontologica,restauraciones,2015-01-01,0,0,3,6,7,8,19,56,0,0,0,0,0,0,29,70,99
LAJA,atencion odontologica,restauraciones,2015-01-01,29,33,7,8,1,16,7,18,1,2,0,0,0,0,45,77,122
LAS CARRERAS,atencion odontologica,restauraciones,2015-01-01,0,3,0,0,0,0,4,0,0,0,0,0,0,0,4,3,7
LICOMA PAMPA,atencion odontologica,restauraciones,2015-01-01,3,2,1,0,0,4,4,13,0,0,0,0,0,0,8,19,27
LLALLAGUA,atencion odontologica,restauraciones,2015-01-01,40,69,19,24,15,27,24,82,1,1,0,0,0,0,99,203,302
LURIBAY,atencion odontologica,restauraciones,2015-01-01,2,4,4,1,0,3,4,7,1,0,0,0,0,0,11,15,26
MACHACAMARCA,atencion odontologica,restauraciones,2015-01-01,10,8,7,27,2,15,4,43,5,2,0,0,0,0,28,95,123
MACHARETI,atencion odontologica,restauraciones,2015-01-01,16,9,1,3,7,1,3,13,0,0,0,0,0,0,27,26,53
MAGDALENA,atencion odontologica,restauraciones,2015-01-01,1,2,6,9,5,20,7,19,0,0,0,0,0,0,19,50,69
MAIRANA,atencion odontologica,restauraciones,2015-01-01,13,8,7,12,1,6,5,45,1,0,0,0,0,0,27,71,98
MALLA,atencion odontologica,restauraciones,2015-01-01,3,6,0,0,1,0,4,0,0,0,0,0,0,0,8,6,14
MAPIRI,atencion odontologica,restauraciones,2015-01-01,9,12,3,9,5,24,5,15,1,0,0,0,0,0,23,60,83
MECAPACA,atencion odontologica,restauraciones,2015-01-01,33,16,10,20,3,8,3,17,0,0,0,0,0,0,49,61,110
MIZQUE,atencion odontologica,restauraciones,2015-01-01,27,28,11,20,0,15,0,30,0,1,0,0,0,0,38,94,132
MOCOMOCO,atencion odontologica,restauraciones,2015-01-01,1,1,4,2,0,7,8,10,0,2,0,0,0,0,13,22,35
MOJOCOYA,atencion odontologica,restauraciones,2015-01-01,14,3,0,1,0,2,9,9,1,2,0,0,0,0,24,17,41
MONTEAGUDO,atencion odontologica,restauraciones,2015-01-01,37,64,11,22,10,48,35,111,7,0,0,0,0,0,100,245,345
MONTERO,atencion odontologica,restauraciones,2015-01-01,28,42,45,40,9,46,21,80,7,6,0,0,0,0,110,214,324
MORO MORO,atencion odontologica,restauraciones,2015-01-01,8,1,5,11,11,3,2,22,0,0,0,0,0,0,26,37,63
MOROCHATA,atencion odontologica,restauraciones,2015-01-01,31,35,4,2,9,24,6,28,9,6,0,0,0,0,59,95,154
OCURI,atencion odontologica,restauraciones,2015-01-01,4,1,0,2,3,5,1,10,0,0,0,0,0,0,8,18,26
OKINAWA,atencion odontologica,restauraciones,2015-01-01,3,3,3,2,3,5,2,13,1,1,0,0,0,0,12,24,36
ORURO,atencion odontologica,restauraciones,2015-01-01,467,476,560,676,295,583,578,1024,140,111,0,0,0,0,2040,2870,4910
PADCAYA,atencion odontologica,restauraciones,2015-01-01,0,0,7,15,14,24,25,21,0,2,0,0,0,0,46,62,108
PADILLA,atencion odontologica,restauraciones,2015-01-01,6,12,9,30,2,13,15,32,0,0,0,0,0,0,32,87,119
PAILON,atencion odontologica,restauraciones,2015-01-01,25,22,3,1,4,3,5,68,0,0,0,0,0,0,37,94,131
PALCA,atencion odontologica,restauraciones,2015-01-01,37,41,5,1,2,24,5,3,0,0,0,0,0,0,49,69,118
PALOS BLANCOS,atencion odontologica,restauraciones,2015-01-01,17,22,13,10,12,26,13,38,18,8,0,0,0,0,73,104,177
PAMPA AULLAGAS,atencion odontologica,restauraciones,2015-01-01,6,1,0,0,0,5,0,8,0,0,0,0,0,0,6,14,20
PAMPA GRANDE,atencion odontologica,restauraciones,2015-01-01,18,23,3,0,0,8,3,12,0,0,0,0,0,0,24,43,67
PAPEL PAMPA,atencion odontologica,restauraciones,2015-01-01,7,2,0,1,5,4,3,5,0,1,0,0,0,0,15,13,28
PASORAPA,atencion odontologica,restauraciones,2015-01-01,7,3,0,2,1,2,4,2,0,0,0,0,0,0,12,9,21
PATACAMAYA,atencion odontologica,restauraciones,2015-01-01,21,29,11,6,11,16,4,7,3,0,0,0,0,0,50,58,108
PAZÑA,atencion odontologica,restauraciones,2015-01-01,3,15,4,3,0,6,11,13,2,7,0,0,0,0,20,44,64
PELECHUCO,atencion odontologica,restauraciones,2015-01-01,11,11,0,0,1,4,1,10,1,0,0,0,0,0,14,25,39
POCOATA,atencion odontologica,restauraciones,2015-01-01,3,15,3,0,1,3,0,29,3,0,0,0,0,0,10,47,57
POCONA,atencion odontologica,restauraciones,2015-01-01,27,22,18,4,6,7,6,15,0,0,0,0,0,0,57,48,105
POJO (CBBA),atencion odontologica,restauraciones,2015-01-01,27,14,6,11,28,27,16,37,9,2,0,0,0,0,86,91,177
POOPO,atencion odontologica,restauraciones,2015-01-01,34,15,19,39,12,32,11,41,0,0,0,0,0,0,76,127,203
PORCO,atencion odontologica,restauraciones,2015-01-01,3,22,4,0,2,1,0,6,0,0,0,0,0,0,9,29,38
POROMA,atencion odontologica,restauraciones,2015-01-01,5,7,11,3,3,1,2,20,0,0,0,0,0,0,21,31,52
PORONGO,atencion odontologica,restauraciones,2015-01-01,0,1,6,5,5,2,1,3,1,0,0,0,0,0,13,11,24
PORTACHUELO,atencion odontologica,restauraciones,2015-01-01,4,5,9,11,4,6,8,9,1,3,0,0,0,0,26,34,60
PORVENIR,atencion odontologica,restauraciones,2015-01-01,5,10,18,19,7,5,3,11,0,0,0,0,0,0,33,45,78
POSTRER VALLE,atencion odontologica,restauraciones,2015-01-01,18,5,2,3,0,4,1,1,1,1,0,0,0,0,22,14,36
POTOSI,atencion odontologica,restauraciones,2015-01-01,219,203,68,134,67,107,82,290,10,5,0,0,0,0,446,739,1185
PRESTO,atencion odontologica,restauraciones,2015-01-01,0,9,16,9,6,4,8,34,0,0,0,0,0,0,30,56,86
PUCARANI,atencion odontologica,restauraciones,2015-01-01,16,12,7,2,5,4,5,10,6,0,0,0,0,0,39,28,67
PUERTO ACOSTA,atencion odontologica,restauraciones,2015-01-01,3,1,1,1,4,2,4,4,1,2,0,0,0,0,13,10,23
PUERTO CARABUCO,atencion odontologica,restauraciones,2015-01-01,17,8,16,12,10,21,20,33,9,1,0,0,0,0,72,75,147
PUERTO GONZALO MORENO,atencion odontologica,restauraciones,2015-01-01,21,19,13,29,4,21,0,49,0,2,0,0,0,0,38,120,158
PUERTO PEREZ,atencion odontologica,restauraciones,2015-01-01,2,2,0,0,1,0,0,1,3,2,0,0,0,0,6,5,11
PUERTO QUIJARRO,atencion odontologica,restauraciones,2015-01-01,3,2,0,0,0,0,8,20,0,0,0,0,0,0,11,22,33
PUERTO RICO,atencion odontologica,restauraciones,2015-01-01,0,2,0,4,4,4,3,19,1,0,0,0,0,0,8,29,37
PUERTO SUAREZ,atencion odontologica,restauraciones,2015-01-01,16,18,0,1,1,8,0,54,6,4,0,0,0,0,23,85,108
PUERTO VILLARROEL,atencion odontologica,restauraciones,2015-01-01,91,75,61,19,19,59,23,118,8,10,0,0,0,0,202,281,483
PUNA,atencion odontologica,restauraciones,2015-01-01,6,10,8,12,0,7,20,50,3,0,0,0,0,0,37,79,116
PUNATA,atencion odontologica,restauraciones,2015-01-01,20,40,50,47,15,33,27,87,8,15,0,0,0,0,120,222,342
QUIABAYA,atencion odontologica,restauraciones,2015-01-01,4,1,0,0,0,0,1,8,3,0,0,0,0,0,8,9,17
QUILLACOLLO,atencion odontologica,restauraciones,2015-01-01,321,350,180,202,93,195,202,392,75,36,0,0,0,0,871,1175,2046
QUIME,atencion odontologica,restauraciones,2015-01-01,33,94,11,42,10,10,36,56,5,15,0,0,0,0,95,217,312
RAVELO,atencion odontologica,restauraciones,2015-01-01,7,5,1,2,1,1,11,1,0,0,0,0,0,0,20,9,29
REYES,atencion odontologica,restauraciones,2015-01-01,1,3,2,16,0,5,5,22,0,0,0,0,0,0,8,46,54
RIBERALTA,atencion odontologica,restauraciones,2015-01-01,13,27,25,41,10,44,26,94,0,0,0,0,0,0,74,206,280
ROBORE,atencion odontologica,restauraciones,2015-01-01,1,1,0,0,0,0,5,7,0,0,0,0,0,0,6,8,14
RURRENABAQUE,atencion odontologica,restauraciones,2015-01-01,18,18,20,42,28,56,41,75,7,6,0,0,0,0,114,197,311
SABAYA,atencion odontologica,restauraciones,2015-01-01,2,2,3,1,0,10,2,2,20,15,0,0,0,0,27,30,57
SACABA,atencion odontologica,restauraciones,2015-01-01,212,233,70,96,55,95,82,258,21,24,0,0,0,0,440,706,1146
SACABAMBA,atencion odontologica,restauraciones,2015-01-01,0,0,4,0,9,0,2,1,2,2,0,0,0,0,17,3,20
SACACA,atencion odontologica,restauraciones,2015-01-01,9,7,5,0,1,2,9,21,1,3,0,0,0,0,25,33,58
SAIPINA,atencion odontologica,restauraciones,2015-01-01,1,3,1,4,4,10,4,6,0,0,0,0,0,0,10,23,33
SALINAS DE GARCI MENDOZA,atencion odontologica,restauraciones,2015-01-01,51,49,26,30,13,63,14,33,12,22,0,0,0,0,116,197,313
SAMAIPATA,atencion odontologica,restauraciones,2015-01-01,5,4,1,7,0,6,0,20,3,1,0,0,0,0,9,38,47
SAN AGUSTIN,atencion odontologica,restauraciones,2015-01-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
SAN ANDRES,atencion odontologica,restauraciones,2015-01-01,0,0,5,4,0,0,0,0,0,0,0,0,0,0,5,4,9
SAN ANDRES DE MACHACA,atencion odontologica,restauraciones,2015-01-01,3,11,1,4,3,7,10,15,3,2,0,0,0,0,20,39,59
SAN ANTONIO DE ESMORUCO,atencion odontologica,restauraciones,2015-01-01,1,0,1,1,0,2,2,4,0,0,0,0,0,0,4,7,11
