,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR EMB,CIRUGIA BUCOMAXILOFACIAL MENOR POST,CIRUGIA BUCOMAXILOFACIAL MENOR POST,TOTALES,TOTALES,TOTALES
TOLEDO,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,1,2,6,1,2,10,13,0,0,0,0,0,0,13,22,35
TUPIZA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,1,0,0,0,0,0,0,4,0,0,0,0,0,0,1,4,5
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,1,1,1,4,2,1,12,17,1,1,0,0,0,0,17,24,41
VIACHA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,9,5,4,14,0,3,0,11,8,0,0,0,0,0,21,33,54
VILLA MONTES,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,4,4
VILLAZON,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
YOCALLA,atencion odontologica,cirugia bucomaxilofacial menor,2015-01-01,0,0,0,0,3,5,1,3,11,2,0,0,0,0,15,10,25
ANDAMARCA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
BAURES,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,1,2,0,0,3,2,2,3,0,0,0,0,0,0,6,7,13
BERMEJO,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,3
CALAMARCA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,3
CAMIRI,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,3,0,0,3,13,0,0,0,0,0,0,3,16,19
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,2,4,7,11,1,4,2,15,3,0,0,0,0,0,15,34,49
CKOCHAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,6,10,6,7,0,9,0,2,0,0,0,0,0,0,12,28,40
COLQUECHACA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,6,6
CONCEPCION,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,1,1,4,7,1,1,0,0,0,0,0,0,0,0,6,9,15
EL CHORO,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,3
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,1,0,4,11,3,1,1,0,0,3,0,0,0,0,9,15,24
ESCOMA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,3,0,0,0,0,0,2,1,4,1,0,0,0,0,9,2,11
LA ASUNTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,3,4,5,4,3,2,12,22,2,4,0,0,0,0,25,36,61
MECAPACA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
MONTERO,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,0,1,2,4,0,0,0,0,0,0,2,5,7
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,5,5
PADCAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4
POOPO,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,2,2,0,3,1,0,0,1,0,0,0,0,3,6,9
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,2,1,0,0,0,13,1,0,0,0,0,0,3,14,17
PUERTO CARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUERTO SUAREZ,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,6,2,2,4,0,0,0,4,0,0,0,0,0,0,8,10,18
SAN ANDRES DE MACHACA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2
SAN BORJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,1,0,4,0,4,2,0,0,0,0,0,0,0,0,9,2,11
SAN JUAN DE YAPACANI,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,3
SAN PEDRO DE CURAHUARA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,3,1,0,4,0,0,0,0,0,0,3,5,8
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,16,9,9,4,6,20,14,19,7,2,0,0,0,0,52,54,106
SANTA ROSA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,2,2,0,0,0,2,0,0,0,0,0,0,2,4,6
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,8,3,2,2,1,11,11,5,0,2,0,0,0,0,22,23,45
TACOPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,2,2,0,4,0,3,0,5,0,1,0,0,0,0,2,15,17
TAPACARI,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,3,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,2,5,5,10,9,2,15,25,2,4,0,0,0,0,33,46,79
TARVITA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,1,2,1,6,1,2,0,0,0,0,3,10,13
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,2,3,5,4,2,7,9,0,0,0,0,0,0,14,18,32
VIACHA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,9,6,4,0,0,1,0,7,2,0,0,0,0,0,15,14,29
VILLAZON,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,0,0,0,2,1,1,1,0,0,0,0,0,0,0,2,3,5
YOTALA,atencion odontologica,cirugia bucomaxilofacial menor,2015-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
BAURES,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4
BOLIVAR,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,3,2,0,0,7,9,2,4,0,0,0,0,12,15,27
CARANAVI,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,5
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,1,0,1,2,0,0,2,14,0,1,0,0,0,0,4,17,21
CARIPUYO,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,1,5
CATACORA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,3,0,5,8,2,0,0,0,0,0,10,8,18
CHALLAPATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,8,5,7,19,1,6,4,25,1,1,0,0,0,0,21,56,77
CHARAÑA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,1,1,0,0,1,1,2,1,0,0,0,0,4,3,7
CHIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,7,7
CKOCHAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
COBIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,3,0,0,2,3,5,0,0,0,0,0,0,6,7,13
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,7,7
COMANCHE,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
CUATRO CAÑADAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,2,0,2,0,0,0,1,2,0,0,0,0,0,0,5,2,7
GUANAY,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,1,0,3,0,0,3,7,0,1,0,0,0,0,3,12,15
GUAQUI,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,3,2,2,0,2,9,4,1,0,0,0,0,11,12,23
HUARACAJE,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,3,5
IXIAMAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,2,1,3,1,2,0,2,0,0,0,0,0,0,0,9,2,11
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,2,4,10,6,3,10,23,42,3,14,0,0,0,0,41,76,117
LLALLAGUA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,1,1,6,0,2,0,0,0,0,1,9,10
MAPIRI,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,6,2,2,2,0,4,6,3,1,1,0,0,0,0,15,12,27
MECAPACA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,1,0,2,0,1,1,1,2,0,0,0,0,0,0,5,3,8
MONTERO,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
OCURI,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,1,3,16,1,1,0,0,0,0,4,18,22
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,4,0,0,0,0,1,1,0,0,0,0,0,0,1,5,6
PALCA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,13,11,0,1,5,4,1,0,0,0,0,0,19,16,35
POTOSI,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,3,0,0,2,0,0,5,1,0,0,0,0,0,0,8,3,11
PUCARANI,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,6,0,0,0,1,3,5,2,0,0,0,0,12,5,17
PUERTO CARABUCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
PUERTO VILLARROEL,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,5,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,6
PUNATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,2
QUIME,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,3
REYES,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
RIBERALTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,1,2,1,1,5,0,0,3,0,0,0,0,0,0,7,6,13
SABAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,3,2,1,0,0,1,1,0,0,0,0,0,5,3,8
SAN IGNACIO DE VELASCO,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,2,1,0,0,0,2,7,24,16,20,0,0,0,0,25,47,72
SAN PEDRO DE CURAHUARA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,1,1,0,2,0,0,1,0,1,0,0,0,0,0,3,3,6
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,13,11,18,17,10,23,18,47,33,27,0,0,0,0,92,125,217
SANTA ROSA DEL SARA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SHINAOTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,0,0,0,3,2,10,0,0,0,0,2,13,15
SUCRE,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,7,1,0,1,5,4,5,5,0,1,0,0,0,0,17,12,29
TARIJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,1,1,1,4,1,1,10,13,1,2,0,0,0,0,14,21,35
TEOPONTE,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3
TIQUIPAYA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,2,0,0,3,8,0,0,0,0,0,0,3,10,13
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,5,2,8,5,6,4,0,0,0,0,19,11,30
URIONDO (A. CONCEPCION),atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,1,3,0,0,5,5,0,0,0,0,0,0,6,8,14
VIACHA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,4,5
VILLA SERRANO,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,3,9,1,1,0,0,8,12,3,3,0,0,0,0,15,25,40
VILLAZON,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,1,0,0,3,5,0,0,0,0,0,0,0,6,3,9
YACUIBA,atencion odontologica,cirugia bucomaxilofacial menor,2015-03-01,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,3,4
ACACIO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,4,1,1,1,0,0,0,0,0,0,5,2,7
ANZALDO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,1,3,11,3,1,3,14,0,5,0,0,0,0,9,32,41
BATALLAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,1,1,1,0,3,0,0,0,0,0,0,0,5,1,6
BERMEJO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,4,4,0,2,10,24,0,2,0,0,0,0,14,32,46
BUENA VISTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,7,0,2,0,2,5,2,1,0,0,0,0,13,6,19
CARANAVI,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,2,0,0,0,0,0,1,4,0,0,0,0,3,4,7
CARAPARI,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
CHARAÑA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,3
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,4,2,0,0,0,0,0,6,0,0,0,0,0,0,4,8,12
"COLCHA ""K""",atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,2,0,0,0,2,1,0,1,0,0,0,0,4,2,6
CONCEPCION,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,0,3,9,3,1,0,0,0,0,6,10,16
CORIPATA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,1,6,0,0,0,0,0,0,0,6,1,7
COROICO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,2
CUATRO CAÑADAS,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
DESAGUADERO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,2,2,2,5,5,5,17,10,0,0,0,0,26,22,48
EL ALTO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,4,5,1,1,3,8,0,0,0,0,0,0,8,14,22
ENTRE RIOS TRJ,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,1,2,2,1,0,0,1,2,0,0,0,0,0,0,4,5,9
ESCOMA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,0,3,3,1,1,0,0,0,0,4,4,8
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
HUANUNI,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,4,4,5,1,4,13,9,4,2,0,0,0,0,22,24,46
LA ASUNTA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,5,5
LA GUARDIA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
LA PAZ,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,3,1,5,7,6,11,27,37,6,5,0,0,0,0,47,61,108
LAJA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,6,18,0,0,0,2,0,2,0,3,0,0,0,0,6,25,31
MONTERO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
OMEREQUE,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
ORURO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,3,0,0,0,4,0,0,0,0,0,0,0,7,0,7
PADILLA,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,2,3,0,0,0,1,0,0,0,0,0,0,2,4,6
PALOS BLANCOS,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,3,1,2,4,0,2,1,14,2,0,0,0,0,0,8,21,29
POOPO,atencion odontologica,cirugia bucomaxilofacial menor,2015-04-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
