,group,variable,month,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA MENORES DE 5 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 5 A 13 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 14 A 19 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 20 A 59 AÑOS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA 60 AÑOS Y MAS,CONSULTA NUEVA EMB,CONSULTA NUEVA EMB,CONSULTA NUEVA POST,CONSULTA NUEVA POST,TOTALES,TOTALES,TOTALES
CATACORA,atencion odontologica,consulta nueva,2015-01-01,9,0,2,5,15,6,3,7,2,0,0,0,0,2,31,20,51
CHALLAPATA,atencion odontologica,consulta nueva,2015-01-01,206,298,244,217,35,78,107,286,30,55,0,39,0,61,622,1034,1656
CHAQUI,atencion odontologica,consulta nueva,2015-01-01,14,5,3,1,2,3,3,5,2,4,0,6,0,3,24,27,51
CHARAGUA,atencion odontologica,consulta nueva,2015-01-01,41,12,8,6,1,13,9,19,2,3,0,11,0,11,61,75,136
CHARAÑA,atencion odontologica,consulta nueva,2015-01-01,2,3,3,3,8,0,1,19,5,1,0,4,0,1,19,31,50
CHAYANTA,atencion odontologica,consulta nueva,2015-01-01,6,31,26,5,6,10,5,65,1,12,0,0,0,12,44,135,179
CHIMORE,atencion odontologica,consulta nueva,2015-01-01,102,69,19,25,4,45,5,81,7,0,0,3,0,85,137,308,445
CHIPAYA,atencion odontologica,consulta nueva,2015-01-01,1,1,3,1,0,3,4,6,1,0,0,4,0,1,9,16,25
CHOQUE COTA,atencion odontologica,consulta nueva,2015-01-01,0,0,0,0,2,0,6,7,0,0,0,0,0,0,8,7,15
CHUA COCANI,atencion odontologica,consulta nueva,2015-01-01,4,16,4,8,2,7,10,8,6,11,0,0,0,0,26,50,76
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,consulta nueva,2015-01-01,43,28,10,37,21,39,18,100,1,1,0,42,0,49,93,296,389
CHUMA,atencion odontologica,consulta nueva,2015-01-01,46,24,57,76,10,51,82,148,64,58,0,19,0,24,259,400,659
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,consulta nueva,2015-01-01,30,31,1,0,2,13,1,20,5,8,0,14,0,19,39,105,144
CKOCHAS,atencion odontologica,consulta nueva,2015-01-01,4,2,4,0,1,5,7,25,1,2,0,8,0,15,17,57,74
CLIZA,atencion odontologica,consulta nueva,2015-01-01,60,62,68,99,12,23,18,114,26,22,0,24,0,31,184,375,559
COBIJA,atencion odontologica,consulta nueva,2015-01-01,201,138,48,78,45,70,55,193,16,2,0,53,0,16,365,550,915
COCAPATA,atencion odontologica,consulta nueva,2015-01-01,25,26,4,1,9,14,26,97,1,5,0,9,0,15,65,167,232
COCHABAMBA,atencion odontologica,consulta nueva,2015-01-01,1880,1835,2109,2257,620,972,1279,2514,379,342,0,712,0,659,6267,9291,15558
COLCAPIRHUA,atencion odontologica,consulta nueva,2015-01-01,279,239,65,47,2,12,27,62,17,19,0,50,0,106,390,535,925
"COLCHA ""K""",atencion odontologica,consulta nueva,2015-01-01,12,7,1,4,2,2,1,13,10,12,0,6,0,15,26,59,85
COLLANA,atencion odontologica,consulta nueva,2015-01-01,5,7,5,2,4,8,13,18,10,8,0,5,0,8,37,56,93
COLOMI,atencion odontologica,consulta nueva,2015-01-01,36,43,0,0,0,0,0,0,6,4,0,31,0,10,42,88,130
COLPA BELGICA,atencion odontologica,consulta nueva,2015-01-01,13,7,12,16,1,3,4,10,2,2,0,4,0,5,32,47,79
COLQUECHACA,atencion odontologica,consulta nueva,2015-01-01,34,30,13,16,9,24,35,87,20,13,0,20,0,29,111,219,330
COLQUENCHA,atencion odontologica,consulta nueva,2015-01-01,16,13,37,34,8,22,10,17,8,2,0,1,0,5,79,94,173
COLQUIRI,atencion odontologica,consulta nueva,2015-01-01,35,18,72,30,22,43,54,47,4,3,0,0,0,2,187,143,330
COMANCHE,atencion odontologica,consulta nueva,2015-01-01,3,2,3,4,4,1,9,16,1,2,0,0,0,0,20,25,45
COMARAPA,atencion odontologica,consulta nueva,2015-01-01,48,31,53,56,44,47,39,79,19,24,0,31,0,33,203,301,504
COMBAYA,atencion odontologica,consulta nueva,2015-01-01,0,0,0,5,0,0,2,5,2,1,0,0,0,0,4,11,15
CONCEPCION,atencion odontologica,consulta nueva,2015-01-01,17,22,20,23,17,11,25,72,7,4,0,7,0,0,86,139,225
COPACABANA,atencion odontologica,consulta nueva,2015-01-01,7,15,4,6,10,4,1,3,1,0,0,0,0,4,23,32,55
CORIPATA,atencion odontologica,consulta nueva,2015-01-01,17,15,4,9,2,6,9,32,4,1,0,3,0,5,36,71,107
CORO CORO,atencion odontologica,consulta nueva,2015-01-01,8,4,17,9,5,28,14,25,4,5,0,0,0,2,48,73,121
COROICO,atencion odontologica,consulta nueva,2015-01-01,40,28,39,53,29,35,41,77,12,6,0,0,0,0,161,199,360
CORQUE,atencion odontologica,consulta nueva,2015-01-01,2,4,1,3,2,1,4,2,3,2,0,0,0,2,12,14,26
COTAGAITA,atencion odontologica,consulta nueva,2015-01-01,43,58,32,29,68,82,93,165,13,24,0,12,0,58,249,428,677
COTOCA,atencion odontologica,consulta nueva,2015-01-01,94,38,13,18,4,12,1,39,0,5,0,3,0,6,112,121,233
CUATRO CAÑADAS,atencion odontologica,consulta nueva,2015-01-01,204,244,14,38,7,28,24,89,15,11,0,39,0,66,264,515,779
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,consulta nueva,2015-01-01,8,1,2,2,0,29,1,10,0,3,0,6,0,17,11,68,79
CUEVO,atencion odontologica,consulta nueva,2015-01-01,1,0,0,5,0,8,6,11,6,1,0,1,0,0,13,26,39
CULPINA,atencion odontologica,consulta nueva,2015-01-01,83,70,19,22,10,31,38,109,8,21,0,28,0,25,158,306,464
CURAHUARA DE CARANGAS,atencion odontologica,consulta nueva,2015-01-01,16,9,6,11,0,1,12,44,7,5,0,6,0,16,41,92,133
CURVA,atencion odontologica,consulta nueva,2015-01-01,28,20,8,7,0,7,13,17,0,7,0,0,0,16,49,74,123
DESAGUADERO,atencion odontologica,consulta nueva,2015-01-01,15,18,5,6,2,1,10,13,7,10,0,5,0,2,39,55,94
EL ALTO,atencion odontologica,consulta nueva,2015-01-01,1906,1969,3525,4463,1222,2131,485,1384,128,104,0,226,0,408,7266,10685,17951
EL CHORO,atencion odontologica,consulta nueva,2015-01-01,53,41,5,3,2,4,6,22,9,22,0,4,0,5,75,101,176
EL PUENTE(STC),atencion odontologica,consulta nueva,2015-01-01,31,23,21,19,10,29,8,33,5,6,0,20,0,12,75,142,217
EL PUENTE(TJA),atencion odontologica,consulta nueva,2015-01-01,1,2,21,30,20,52,34,103,7,6,0,0,0,0,83,193,276
EL TORNO,atencion odontologica,consulta nueva,2015-01-01,123,136,85,86,60,124,49,282,54,41,0,84,0,207,371,960,1331
EL VILLAR,atencion odontologica,consulta nueva,2015-01-01,0,0,0,2,1,4,1,8,1,0,0,1,0,1,3,16,19
ENTRE RIOS TRJ,atencion odontologica,consulta nueva,2015-01-01,17,23,88,107,46,123,66,173,4,5,0,14,0,9,221,454,675
ENTRE RIOS CBBA,atencion odontologica,consulta nueva,2015-01-01,81,60,1,9,5,9,2,23,6,0,0,20,0,22,95,143,238
ESCOMA,atencion odontologica,consulta nueva,2015-01-01,0,1,1,0,2,0,9,4,1,0,0,0,0,0,13,5,18
EUCALIPTUS,atencion odontologica,consulta nueva,2015-01-01,0,11,8,18,4,12,8,30,9,9,0,2,0,8,29,90,119
FERNANDEZ ALONSO,atencion odontologica,consulta nueva,2015-01-01,94,72,32,40,8,48,32,216,37,17,0,11,0,23,203,427,630
FILADELFIA,atencion odontologica,consulta nueva,2015-01-01,0,10,0,1,1,0,3,5,0,0,0,0,0,0,4,16,20
GENERAL SAAVEDRA,atencion odontologica,consulta nueva,2015-01-01,25,27,8,10,3,15,6,31,3,3,0,12,0,5,45,103,148
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,consulta nueva,2015-01-01,124,164,31,32,15,46,35,125,12,34,0,35,0,36,217,472,689
GUANAY,atencion odontologica,consulta nueva,2015-01-01,16,16,9,9,5,11,27,35,5,2,0,7,0,8,62,88,150
GUAQUI,atencion odontologica,consulta nueva,2015-01-01,3,5,10,9,6,14,8,16,21,12,0,1,0,2,48,59,107
GUAYARAMERIN,atencion odontologica,consulta nueva,2015-01-01,47,46,182,180,86,149,94,197,11,8,0,50,0,9,420,639,1059
GUTIERREZ,atencion odontologica,consulta nueva,2015-01-01,4,6,4,2,6,19,17,29,9,4,0,0,0,3,40,63,103
HUACARETA,atencion odontologica,consulta nueva,2015-01-01,36,29,4,4,0,23,10,56,8,3,0,30,0,11,58,156,214
HUACAYA (VILLA DE HUACAYA),atencion odontologica,consulta nueva,2015-01-01,10,11,3,2,1,3,6,26,0,0,0,24,0,0,20,66,86
HUACHACALLA,atencion odontologica,consulta nueva,2015-01-01,5,3,0,3,2,1,7,13,15,16,0,0,0,0,29,36,65
HUANUNI,atencion odontologica,consulta nueva,2015-01-01,101,69,149,193,82,61,22,37,9,14,0,0,0,1,363,375,738
HUARACAJE,atencion odontologica,consulta nueva,2015-01-01,0,0,6,8,2,5,4,8,0,2,0,6,0,0,12,29,41
HUARINA,atencion odontologica,consulta nueva,2015-01-01,1,0,3,3,2,3,4,9,4,2,0,0,0,0,14,17,31
HUATAJATA,atencion odontologica,consulta nueva,2015-01-01,26,51,10,17,3,22,16,47,45,38,0,1,0,75,100,251,351
HUAYLLAMARCA,atencion odontologica,consulta nueva,2015-01-01,9,31,42,43,14,8,16,44,37,16,0,11,0,2,118,155,273
HUMANATA,atencion odontologica,consulta nueva,2015-01-01,17,13,4,3,6,7,8,18,31,19,0,2,0,13,66,75,141
ICHOCA,atencion odontologica,consulta nueva,2015-01-01,8,8,1,0,0,2,4,9,4,0,0,3,0,0,17,22,39
ICLA,atencion odontologica,consulta nueva,2015-01-01,139,138,21,34,11,15,8,62,2,3,0,35,0,21,181,308,489
INCAHUASI,atencion odontologica,consulta nueva,2015-01-01,27,15,15,22,19,54,20,57,1,3,0,17,0,38,82,206,288
INQUISIVI,atencion odontologica,consulta nueva,2015-01-01,24,42,30,15,14,49,19,50,14,11,0,18,0,40,101,225,326
IRUPANA (VILLA DE LANZA),atencion odontologica,consulta nueva,2015-01-01,53,117,23,25,9,44,56,37,20,10,0,10,0,26,161,269,430
IXIAMAS,atencion odontologica,consulta nueva,2015-01-01,13,9,25,25,13,15,15,25,3,0,0,3,0,1,69,78,147
JESUS DE MACHACA,atencion odontologica,consulta nueva,2015-01-01,17,16,12,22,7,18,10,32,18,13,0,0,0,1,64,102,166
LA ASUNTA,atencion odontologica,consulta nueva,2015-01-01,62,53,21,37,23,74,64,116,7,4,0,8,0,45,177,337,514
LA GUARDIA,atencion odontologica,consulta nueva,2015-01-01,226,250,34,57,19,49,16,109,22,35,0,55,0,73,317,628,945
LA PAZ,atencion odontologica,consulta nueva,2015-01-01,2294,2227,1848,1976,1022,1521,2049,3563,531,543,0,284,0,374,7744,10488,18232
LAGUNILLAS,atencion odontologica,consulta nueva,2015-01-01,4,1,4,6,3,6,10,20,1,0,0,0,0,0,22,33,55
LAJA,atencion odontologica,consulta nueva,2015-01-01,73,83,29,38,12,15,29,52,21,20,0,8,0,26,164,242,406
LAS CARRERAS,atencion odontologica,consulta nueva,2015-01-01,0,5,5,6,5,11,16,33,10,10,0,3,0,4,36,72,108
LICOMA PAMPA,atencion odontologica,consulta nueva,2015-01-01,20,22,2,8,3,13,12,33,42,37,0,47,0,1,79,161,240
LLALLAGUA,atencion odontologica,consulta nueva,2015-01-01,149,187,40,69,13,50,24,198,3,12,0,65,0,58,229,639,868
LURIBAY,atencion odontologica,consulta nueva,2015-01-01,7,12,8,5,0,12,18,27,8,2,0,1,0,4,41,63,104
MACHACAMARCA,atencion odontologica,consulta nueva,2015-01-01,52,37,66,69,4,28,28,54,8,8,0,20,0,13,158,229,387
MACHARETI,atencion odontologica,consulta nueva,2015-01-01,33,17,1,4,4,3,6,22,5,2,0,11,0,2,49,61,110
MAGDALENA,atencion odontologica,consulta nueva,2015-01-01,7,12,12,30,10,28,23,43,8,0,0,3,0,4,60,120,180
MAIRANA,atencion odontologica,consulta nueva,2015-01-01,26,19,19,32,5,24,13,86,10,0,0,23,0,16,73,200,273
MALLA,atencion odontologica,consulta nueva,2015-01-01,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,3
MAPIRI,atencion odontologica,consulta nueva,2015-01-01,24,29,20,29,8,43,20,51,9,8,0,1,0,13,81,174,255
MECAPACA,atencion odontologica,consulta nueva,2015-01-01,58,36,39,51,8,29,21,53,14,0,0,1,0,9,140,179,319
MIZQUE,atencion odontologica,consulta nueva,2015-01-01,104,91,39,64,6,30,7,36,7,7,0,11,0,30,163,269,432
MOCOMOCO,atencion odontologica,consulta nueva,2015-01-01,4,7,11,13,5,19,42,37,8,7,0,0,0,0,70,83,153
MOJINETE,atencion odontologica,consulta nueva,2015-01-01,0,0,2,4,0,0,1,10,1,0,0,0,0,0,4,14,18
MOJOCOYA,atencion odontologica,consulta nueva,2015-01-01,21,7,3,5,0,4,20,48,7,10,0,8,0,11,51,93,144
MONTEAGUDO,atencion odontologica,consulta nueva,2015-01-01,187,196,35,47,15,84,56,227,32,10,0,52,0,106,325,722,1047
MONTERO,atencion odontologica,consulta nueva,2015-01-01,100,131,137,89,22,85,35,191,33,21,0,40,0,21,327,578,905
MORO MORO,atencion odontologica,consulta nueva,2015-01-01,32,36,12,7,10,9,5,36,1,1,0,3,0,6,60,98,158
MOROCHATA,atencion odontologica,consulta nueva,2015-01-01,92,127,9,10,14,51,28,79,35,35,0,31,0,72,178,405,583
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,consulta nueva,2015-01-01,2,1,7,13,2,0,4,6,0,0,0,5,0,0,15,25,40
OCURI,atencion odontologica,consulta nueva,2015-01-01,17,16,14,8,5,7,23,40,10,12,0,9,0,9,69,101,170
OKINAWA,atencion odontologica,consulta nueva,2015-01-01,13,8,6,7,6,8,8,32,5,4,0,4,0,10,38,73,111
ORURO,atencion odontologica,consulta nueva,2015-01-01,972,1002,910,1094,302,591,744,1529,218,188,0,339,0,131,3146,4874,8020
PADCAYA,atencion odontologica,consulta nueva,2015-01-01,12,10,23,72,23,77,33,76,1,2,0,12,0,0,92,249,341
PADILLA,atencion odontologica,consulta nueva,2015-01-01,43,49,19,63,8,33,34,87,11,10,0,33,0,30,115,305,420
PAILON,atencion odontologica,consulta nueva,2015-01-01,92,85,52,40,14,18,43,69,2,7,0,38,0,44,203,301,504
PALCA,atencion odontologica,consulta nueva,2015-01-01,74,75,20,10,11,47,26,58,19,21,0,4,0,3,150,218,368
PALOS BLANCOS,atencion odontologica,consulta nueva,2015-01-01,37,43,31,26,19,46,33,94,26,12,0,15,0,60,146,296,442
PAMPA AULLAGAS,atencion odontologica,consulta nueva,2015-01-01,18,16,3,7,0,7,4,7,1,1,0,1,0,10,26,49,75
PAMPA GRANDE,atencion odontologica,consulta nueva,2015-01-01,57,62,9,0,0,27,2,27,1,0,0,36,0,6,69,158,227
PAPEL PAMPA,atencion odontologica,consulta nueva,2015-01-01,9,5,2,2,5,3,7,8,3,1,0,6,0,7,26,32,58
PASORAPA,atencion odontologica,consulta nueva,2015-01-01,8,3,0,2,1,5,7,5,1,0,0,0,0,1,17,16,33
PATACAMAYA,atencion odontologica,consulta nueva,2015-01-01,73,77,37,26,17,13,19,20,12,0,0,3,0,18,158,157,315
PAZÑA,atencion odontologica,consulta nueva,2015-01-01,9,26,7,6,1,11,22,18,5,5,0,7,0,0,44,73,117
PELECHUCO,atencion odontologica,consulta nueva,2015-01-01,19,16,2,5,5,11,11,30,13,2,0,11,0,7,50,82,132
POCOATA,atencion odontologica,consulta nueva,2015-01-01,10,38,5,4,5,3,15,39,7,0,0,18,0,30,42,132,174
POCONA,atencion odontologica,consulta nueva,2015-01-01,31,35,27,16,7,15,14,35,2,3,0,3,0,11,81,118,199
POJO (CBBA),atencion odontologica,consulta nueva,2015-01-01,47,30,34,68,41,25,49,83,29,13,0,2,0,27,200,248,448
POOPO,atencion odontologica,consulta nueva,2015-01-01,37,31,42,37,22,48,9,44,4,7,0,7,0,17,114,191,305
PORCO,atencion odontologica,consulta nueva,2015-01-01,19,34,10,12,8,9,0,30,2,1,0,5,0,10,39,101,140
POROMA,atencion odontologica,consulta nueva,2015-01-01,72,57,23,11,7,8,19,60,10,4,0,21,0,10,131,171,302
PORONGO,atencion odontologica,consulta nueva,2015-01-01,1,8,23,28,9,10,6,18,2,4,0,6,0,2,41,76,117
PORTACHUELO,atencion odontologica,consulta nueva,2015-01-01,16,21,35,47,6,35,27,64,10,5,0,10,0,0,94,182,276
PORVENIR,atencion odontologica,consulta nueva,2015-01-01,15,14,72,61,48,50,42,41,22,5,0,5,0,1,199,177,376
POSTRER VALLE,atencion odontologica,consulta nueva,2015-01-01,58,34,5,8,1,7,5,8,7,2,0,2,0,3,76,64,140
POTOSI,atencion odontologica,consulta nueva,2015-01-01,702,667,667,664,448,554,439,959,106,70,0,311,0,175,2362,3400,5762
PRESTO,atencion odontologica,consulta nueva,2015-01-01,88,94,31,35,12,15,19,94,1,1,0,37,0,17,151,293,444
PUCARA,atencion odontologica,consulta nueva,2015-01-01,37,31,0,1,0,0,2,5,0,2,0,2,0,6,39,47,86
PUCARANI,atencion odontologica,consulta nueva,2015-01-01,34,24,34,16,20,32,33,73,15,7,0,8,0,13,136,173,309
PUERTO ACOSTA,atencion odontologica,consulta nueva,2015-01-01,2,4,5,2,3,5,4,4,8,4,0,1,0,2,22,22,44
PUERTO CARABUCO,atencion odontologica,consulta nueva,2015-01-01,29,18,28,42,28,37,51,88,27,7,0,2,0,11,163,205,368
PUERTO GONZALO MORENO,atencion odontologica,consulta nueva,2015-01-01,70,79,37,43,7,17,4,24,0,6,0,59,0,29,118,257,375
PUERTO PEREZ,atencion odontologica,consulta nueva,2015-01-01,4,4,3,1,1,3,5,14,8,12,0,4,0,1,21,39,60
PUERTO QUIJARRO,atencion odontologica,consulta nueva,2015-01-01,49,37,2,2,9,0,12,34,1,0,0,16,0,3,73,92,165
PUERTO RICO,atencion odontologica,consulta nueva,2015-01-01,8,5,6,12,7,11,3,30,1,0,0,5,0,4,25,67,92
PUERTO SUAREZ,atencion odontologica,consulta nueva,2015-01-01,22,31,6,4,3,9,3,71,11,20,0,45,0,18,45,198,243
PUERTO VILLARROEL,atencion odontologica,consulta nueva,2015-01-01,224,173,38,22,16,53,24,151,13,3,0,58,0,136,315,596,911
PUNA,atencion odontologica,consulta nueva,2015-01-01,15,21,26,38,8,19,39,108,9,7,0,6,0,6,97,205,302
PUNATA,atencion odontologica,consulta nueva,2015-01-01,66,81,70,70,28,61,45,112,14,26,0,39,0,12,223,401,624
QUIABAYA,atencion odontologica,consulta nueva,2015-01-01,29,35,12,15,10,11,22,45,6,5,0,21,0,25,79,157,236
QUILLACOLLO,atencion odontologica,consulta nueva,2015-01-01,552,644,189,224,71,203,131,471,102,79,0,105,0,307,1045,2033,3078
QUIME,atencion odontologica,consulta nueva,2015-01-01,82,127,41,66,30,24,73,108,11,17,0,15,0,29,237,386,623
RAVELO,atencion odontologica,consulta nueva,2015-01-01,13,18,1,1,0,4,5,34,0,3,0,13,0,13,19,86,105
REYES,atencion odontologica,consulta nueva,2015-01-01,1,2,10,8,2,5,10,18,4,0,0,1,0,2,27,36,63
RIBERALTA,atencion odontologica,consulta nueva,2015-01-01,82,123,70,107,64,131,80,297,37,13,0,43,0,40,333,754,1087
ROBORE,atencion odontologica,consulta nueva,2015-01-01,5,2,0,0,6,0,18,29,1,0,0,0,0,0,30,31,61
RURRENABAQUE,atencion odontologica,consulta nueva,2015-01-01,26,23,10,37,25,70,67,89,4,7,0,10,0,6,132,242,374
SABAYA,atencion odontologica,consulta nueva,2015-01-01,21,5,9,3,1,12,11,16,14,6,0,11,0,7,56,60,116
SACABA,atencion odontologica,consulta nueva,2015-01-01,288,325,119,159,66,110,99,323,25,28,0,80,0,196,597,1221,1818
SACABAMBA,atencion odontologica,consulta nueva,2015-01-01,4,4,14,4,13,0,6,15,11,22,0,0,0,0,48,45,93
