,group,variable,month,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES MENORES DE 5 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 5 A 13 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 14 A 19 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 20 A 59 AÑOS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES 60 AÑOS Y MAS,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES EMB,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TRAT. DE FRACTURAS DENTOALVEOLARES POST,TOTALES,TOTALES,TOTALES
COLOMI,atencion odontologica,trat. de fracturas dentoalveolares,2015-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUACHACALLA,atencion odontologica,trat. de fracturas dentoalveolares,2015-04-01,0,0,0,0,0,0,0,2,1,4,0,0,0,0,1,6,7
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-04-01,5,8,3,5,9,4,44,46,6,7,0,0,0,0,67,70,137
MECAPACA,atencion odontologica,trat. de fracturas dentoalveolares,2015-04-01,0,0,0,1,3,0,5,1,2,2,0,0,0,0,10,4,14
SAN IGNACIO DE VELASCO,atencion odontologica,trat. de fracturas dentoalveolares,2015-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2015-04-01,0,0,1,0,0,1,1,7,0,3,0,0,0,0,2,11,13
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2015-04-01,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,2
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-04-01,0,0,2,3,0,8,15,37,2,0,0,0,0,0,19,48,67
TARVITA,atencion odontologica,trat. de fracturas dentoalveolares,2015-04-01,1,0,0,0,1,3,0,0,0,1,0,0,0,0,2,4,6
AYO AYO,atencion odontologica,trat. de fracturas dentoalveolares,2015-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
CARANAVI,atencion odontologica,trat. de fracturas dentoalveolares,2015-05-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-05-01,0,0,0,0,0,2,4,4,0,0,0,0,0,0,4,6,10
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2015-05-01,0,2,0,0,0,2,10,5,0,0,0,0,0,0,10,9,19
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-05-01,7,12,5,5,3,5,40,62,5,7,0,0,0,0,60,91,151
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2015-05-01,0,0,2,1,1,3,1,2,0,1,0,0,0,0,4,7,11
PUERTO VILLARROEL,atencion odontologica,trat. de fracturas dentoalveolares,2015-05-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
RIBERALTA,atencion odontologica,trat. de fracturas dentoalveolares,2015-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN IGNACIO,atencion odontologica,trat. de fracturas dentoalveolares,2015-05-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,atencion odontologica,trat. de fracturas dentoalveolares,2015-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2015-05-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2015-05-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
"COLCHA ""K""",atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,0,2,1,1,1,1,2,0,0,0,0,0,0,4,4,8
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,3,3,15,3,1,4,43,39,12,4,0,0,0,0,74,53,127
PUERTO CARABUCO,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,1,0,1,0,2,2,2,7,5,0,0,0,0,9,11,20
PUNATA,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,7
SACABA,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SAN ANTONIO DE ESMORUCO,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN LUCAS,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,1,0,0,0,0,1,8,1,2,0,0,0,0,2,11,13
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,10
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
YOTALA,atencion odontologica,trat. de fracturas dentoalveolares,2015-06-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ATOCHA,atencion odontologica,trat. de fracturas dentoalveolares,2015-07-01,0,0,2,3,0,5,8,7,2,0,0,0,0,0,12,15,27
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2015-07-01,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,5
COLQUECHACA,atencion odontologica,trat. de fracturas dentoalveolares,2015-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2015-07-01,1,0,0,4,0,0,0,1,0,0,0,0,0,0,1,5,6
EL TORNO,atencion odontologica,trat. de fracturas dentoalveolares,2015-07-01,0,0,0,0,2,0,3,0,0,0,0,0,0,0,5,0,5
GUAYARAMERIN,atencion odontologica,trat. de fracturas dentoalveolares,2015-07-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-07-01,3,3,11,6,2,6,33,36,8,3,0,0,0,0,57,54,111
PUERTO CARABUCO,atencion odontologica,trat. de fracturas dentoalveolares,2015-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN JULIAN,atencion odontologica,trat. de fracturas dentoalveolares,2015-07-01,0,0,0,0,0,0,0,0,6,0,0,0,0,0,6,0,6
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2015-07-01,0,0,8,9,5,8,30,37,12,6,0,0,0,0,55,60,115
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2015-07-01,0,1,0,0,0,0,2,2,0,0,0,0,0,0,2,3,5
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-07-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2015-08-01,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,6
COROICO,atencion odontologica,trat. de fracturas dentoalveolares,2015-08-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-08-01,3,8,6,0,3,3,45,64,4,3,0,0,0,0,61,78,139
MOJOCOYA,atencion odontologica,trat. de fracturas dentoalveolares,2015-08-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2015-08-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PUERTO VILLARROEL,atencion odontologica,trat. de fracturas dentoalveolares,2015-08-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
SAN MATIAS,atencion odontologica,trat. de fracturas dentoalveolares,2015-08-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2015-08-01,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2015-08-01,0,0,0,0,2,0,3,6,0,0,0,0,0,0,5,6,11
CAIROMA,atencion odontologica,trat. de fracturas dentoalveolares,2015-09-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CHAYANTA,atencion odontologica,trat. de fracturas dentoalveolares,2015-09-01,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,5,5
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2015-09-01,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-09-01,5,4,7,5,3,1,41,70,3,2,0,0,0,0,59,82,141
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2015-09-01,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,3,4
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2015-09-01,0,0,0,0,0,0,2,17,0,0,0,0,0,0,2,17,19
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2015-09-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
TRINIDAD,atencion odontologica,trat. de fracturas dentoalveolares,2015-09-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
BERMEJO,atencion odontologica,trat. de fracturas dentoalveolares,2015-10-01,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,7
CHAYANTA,atencion odontologica,trat. de fracturas dentoalveolares,2015-10-01,0,0,1,2,0,0,0,1,3,1,0,0,0,0,4,4,8
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2015-10-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COMARAPA,atencion odontologica,trat. de fracturas dentoalveolares,2015-10-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
EL ALTO,atencion odontologica,trat. de fracturas dentoalveolares,2015-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-10-01,9,10,7,7,1,0,34,56,8,4,0,0,0,0,59,77,136
POJO (CBBA),atencion odontologica,trat. de fracturas dentoalveolares,2015-10-01,0,0,0,0,6,6,6,6,0,0,0,0,0,0,12,12,24
QUILLACOLLO,atencion odontologica,trat. de fracturas dentoalveolares,2015-10-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2015-10-01,1,0,0,0,0,1,0,0,1,1,0,0,0,0,2,2,4
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2015-10-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
CALAMARCA,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
CAMIRI,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,2,3
CHAYANTA,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,0,0,0,0,0,2,1,2,1,1,0,0,0,0,2,5,7
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
GUAYARAMERIN,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,2,3,11,5,2,5,32,47,2,3,0,0,0,0,49,63,112
MOCOMOCO,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,1,0,1,4,2,5,11,12,8,5,0,0,0,0,23,26,49
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,0,0,2,1,0,5,9,3,1,1,0,0,0,0,12,10,22
POTOSI,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN BORJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-11-01,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2
BERMEJO,atencion odontologica,trat. de fracturas dentoalveolares,2015-12-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CAMIRI,atencion odontologica,trat. de fracturas dentoalveolares,2015-12-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
COBIJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-12-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
COCHABAMBA,atencion odontologica,trat. de fracturas dentoalveolares,2015-12-01,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4
COTOCA,atencion odontologica,trat. de fracturas dentoalveolares,2015-12-01,10,1,0,0,0,1,0,5,0,0,0,0,0,0,10,7,17
ENTRE RIOS TRJ,atencion odontologica,trat. de fracturas dentoalveolares,2015-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,atencion odontologica,trat. de fracturas dentoalveolares,2015-12-01,0,5,5,4,4,6,38,33,5,7,0,0,0,0,52,55,107
ORURO,atencion odontologica,trat. de fracturas dentoalveolares,2015-12-01,2,0,1,4,0,2,6,6,1,2,0,0,0,0,10,14,24
SAN IGNACIO,atencion odontologica,trat. de fracturas dentoalveolares,2015-12-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,trat. de fracturas dentoalveolares,2015-12-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
SUCRE,atencion odontologica,trat. de fracturas dentoalveolares,2015-12-01,0,0,4,4,0,0,0,1,1,0,0,0,0,0,5,5,10
TARIJA,atencion odontologica,trat. de fracturas dentoalveolares,2015-12-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2
