,group,variable,month,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS MENORES DE 5 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 5 A 13 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 14 A 19 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 20 A 59 AÑOS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS 60 AÑOS Y MAS,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS EMB,MEDIDAS PREVENTIVAS POST,MEDIDAS PREVENTIVAS POST,TOTALES,TOTALES,TOTALES
CHALLAPATA,atencion odontologica,medidas preventivas,2015-01-01,81,82,60,35,6,18,13,26,14,7,0,0,0,0,174,168,342
CHAQUI,atencion odontologica,medidas preventivas,2015-01-01,9,5,0,0,0,0,0,1,0,0,0,0,0,0,9,6,15
CHARAGUA,atencion odontologica,medidas preventivas,2015-01-01,42,18,2,4,0,1,0,0,0,0,0,0,0,0,44,23,67
CHARAÑA,atencion odontologica,medidas preventivas,2015-01-01,2,3,2,0,0,0,0,3,0,0,0,0,0,0,4,6,10
CHAYANTA,atencion odontologica,medidas preventivas,2015-01-01,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3
CHIMORE,atencion odontologica,medidas preventivas,2015-01-01,67,48,2,1,8,20,0,0,0,0,0,0,0,0,77,69,146
CHUA COCANI,atencion odontologica,medidas preventivas,2015-01-01,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,medidas preventivas,2015-01-01,5,15,1,7,0,7,1,0,0,0,0,0,0,0,7,29,36
CHUMA,atencion odontologica,medidas preventivas,2015-01-01,16,14,29,29,0,7,3,10,14,10,0,0,0,0,62,70,132
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,medidas preventivas,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
CKOCHAS,atencion odontologica,medidas preventivas,2015-01-01,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,2,3
CLIZA,atencion odontologica,medidas preventivas,2015-01-01,11,12,20,28,0,4,1,10,1,0,0,0,0,0,33,54,87
COBIJA,atencion odontologica,medidas preventivas,2015-01-01,135,69,11,8,2,27,9,26,0,0,0,0,0,0,157,130,287
COCAPATA,atencion odontologica,medidas preventivas,2015-01-01,12,11,0,0,0,0,0,2,0,1,0,0,0,0,12,14,26
COCHABAMBA,atencion odontologica,medidas preventivas,2015-01-01,1042,1113,1733,1950,585,899,971,1890,125,95,0,0,0,0,4456,5947,10403
COLCAPIRHUA,atencion odontologica,medidas preventivas,2015-01-01,57,62,19,15,0,7,6,4,1,3,0,0,0,0,83,91,174
COLLANA,atencion odontologica,medidas preventivas,2015-01-01,5,4,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
COLOMI,atencion odontologica,medidas preventivas,2015-01-01,6,15,0,0,0,3,0,4,0,0,0,0,0,0,6,22,28
COLPA BELGICA,atencion odontologica,medidas preventivas,2015-01-01,35,18,16,7,0,0,0,0,0,0,0,0,0,0,51,25,76
COLQUECHACA,atencion odontologica,medidas preventivas,2015-01-01,7,7,0,0,0,1,0,2,0,0,0,0,0,0,7,10,17
COLQUENCHA,atencion odontologica,medidas preventivas,2015-01-01,0,3,2,2,0,0,0,0,0,0,0,0,0,0,2,5,7
COLQUIRI,atencion odontologica,medidas preventivas,2015-01-01,10,3,30,17,8,10,18,26,3,1,0,0,0,0,69,57,126
COMARAPA,atencion odontologica,medidas preventivas,2015-01-01,7,6,0,1,0,1,0,1,0,0,0,0,0,0,7,9,16
COMBAYA,atencion odontologica,medidas preventivas,2015-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
CONCEPCION,atencion odontologica,medidas preventivas,2015-01-01,3,2,1,1,0,0,1,1,0,0,0,0,0,0,5,4,9
COPACABANA,atencion odontologica,medidas preventivas,2015-01-01,17,17,5,6,3,2,0,0,0,0,0,0,0,0,25,25,50
CORIPATA,atencion odontologica,medidas preventivas,2015-01-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
CORO CORO,atencion odontologica,medidas preventivas,2015-01-01,3,2,1,0,0,2,2,0,0,0,0,0,0,0,6,4,10
COROICO,atencion odontologica,medidas preventivas,2015-01-01,6,1,0,4,0,2,0,0,0,0,0,0,0,0,6,7,13
CORQUE,atencion odontologica,medidas preventivas,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
COTAGAITA,atencion odontologica,medidas preventivas,2015-01-01,31,46,9,6,65,34,39,45,4,3,0,0,0,0,148,134,282
COTOCA,atencion odontologica,medidas preventivas,2015-01-01,319,291,82,81,0,0,0,0,0,0,0,0,0,0,401,372,773
CUATRO CAÑADAS,atencion odontologica,medidas preventivas,2015-01-01,116,120,0,3,2,6,2,16,0,0,0,0,0,0,120,145,265
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,medidas preventivas,2015-01-01,0,1,0,1,0,3,0,2,0,0,0,0,0,0,0,7,7
CUEVO,atencion odontologica,medidas preventivas,2015-01-01,1,2,1,1,2,4,1,5,0,0,0,0,0,0,5,12,17
CULPINA,atencion odontologica,medidas preventivas,2015-01-01,10,21,1,1,0,1,0,2,0,0,0,0,0,0,11,25,36
CURAHUARA DE CARANGAS,atencion odontologica,medidas preventivas,2015-01-01,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,3,4
CURVA,atencion odontologica,medidas preventivas,2015-01-01,16,14,6,3,0,2,1,3,0,3,0,0,0,0,23,25,48
DESAGUADERO,atencion odontologica,medidas preventivas,2015-01-01,5,4,0,0,0,0,0,0,0,0,0,0,0,0,5,4,9
EL ALTO,atencion odontologica,medidas preventivas,2015-01-01,577,578,976,1166,369,489,161,320,38,27,0,0,0,0,2121,2580,4701
EL CHORO,atencion odontologica,medidas preventivas,2015-01-01,16,12,4,0,0,1,0,2,0,0,0,0,0,0,20,15,35
EL PUENTE(STC),atencion odontologica,medidas preventivas,2015-01-01,38,39,0,0,0,3,0,0,1,0,0,0,0,0,39,42,81
EL PUENTE(TJA),atencion odontologica,medidas preventivas,2015-01-01,0,1,1,2,0,2,4,3,0,1,0,0,0,0,5,9,14
EL TORNO,atencion odontologica,medidas preventivas,2015-01-01,48,66,15,16,3,8,5,30,1,1,0,0,0,0,72,121,193
ENTRE RIOS TRJ,atencion odontologica,medidas preventivas,2015-01-01,13,13,16,15,7,12,10,34,0,1,0,0,0,0,46,75,121
ENTRE RIOS CBBA,atencion odontologica,medidas preventivas,2015-01-01,49,27,1,3,0,7,0,19,2,0,0,0,0,0,52,56,108
ESCOMA,atencion odontologica,medidas preventivas,2015-01-01,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,3
FERNANDEZ ALONSO,atencion odontologica,medidas preventivas,2015-01-01,11,5,4,0,4,4,0,28,0,0,0,0,0,0,19,37,56
FILADELFIA,atencion odontologica,medidas preventivas,2015-01-01,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
GENERAL SAAVEDRA,atencion odontologica,medidas preventivas,2015-01-01,6,4,0,2,1,5,0,2,1,0,0,0,0,0,8,13,21
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,medidas preventivas,2015-01-01,53,105,6,3,1,9,2,17,0,2,0,0,0,0,62,136,198
GUANAY,atencion odontologica,medidas preventivas,2015-01-01,16,15,0,0,0,0,0,0,0,0,0,0,0,0,16,15,31
GUAQUI,atencion odontologica,medidas preventivas,2015-01-01,14,10,1,5,2,9,12,14,7,12,0,0,0,0,36,50,86
GUAYARAMERIN,atencion odontologica,medidas preventivas,2015-01-01,11,15,22,21,7,15,9,22,0,0,0,0,0,0,49,73,122
GUTIERREZ,atencion odontologica,medidas preventivas,2015-01-01,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,7,9
HUACARETA,atencion odontologica,medidas preventivas,2015-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),atencion odontologica,medidas preventivas,2015-01-01,3,6,1,0,0,2,0,6,0,0,0,0,0,0,4,14,18
HUACHACALLA,atencion odontologica,medidas preventivas,2015-01-01,4,1,0,2,1,2,0,0,0,1,0,0,0,0,5,6,11
HUANUNI,atencion odontologica,medidas preventivas,2015-01-01,39,24,30,54,6,13,24,3,11,2,0,0,0,0,110,96,206
HUARINA,atencion odontologica,medidas preventivas,2015-01-01,0,0,0,0,1,0,0,1,3,0,0,0,0,0,4,1,5
HUATAJATA,atencion odontologica,medidas preventivas,2015-01-01,21,29,0,4,0,0,0,3,5,5,0,0,0,0,26,41,67
HUAYLLAMARCA,atencion odontologica,medidas preventivas,2015-01-01,0,8,3,5,0,1,1,1,1,0,0,0,0,0,5,15,20
HUMANATA,atencion odontologica,medidas preventivas,2015-01-01,9,6,1,0,0,3,0,0,0,0,0,0,0,0,10,9,19
ICHOCA,atencion odontologica,medidas preventivas,2015-01-01,2,1,0,0,0,0,1,1,0,0,0,0,0,0,3,2,5
ICLA,atencion odontologica,medidas preventivas,2015-01-01,129,129,4,10,0,3,0,20,0,0,0,0,0,0,133,162,295
INCAHUASI,atencion odontologica,medidas preventivas,2015-01-01,2,7,4,0,0,3,1,9,0,0,0,0,0,0,7,19,26
INQUISIVI,atencion odontologica,medidas preventivas,2015-01-01,12,10,8,2,0,5,1,2,0,0,0,0,0,0,21,19,40
IRUPANA (VILLA DE LANZA),atencion odontologica,medidas preventivas,2015-01-01,21,29,1,4,1,1,1,1,0,0,0,0,0,0,24,35,59
IXIAMAS,atencion odontologica,medidas preventivas,2015-01-01,2,0,0,0,1,0,1,1,0,0,0,0,0,0,4,1,5
JESUS DE MACHACA,atencion odontologica,medidas preventivas,2015-01-01,2,5,0,0,0,0,1,1,0,0,0,0,0,0,3,6,9
LA ASUNTA,atencion odontologica,medidas preventivas,2015-01-01,10,7,0,0,1,1,3,0,0,0,0,0,0,0,14,8,22
LA GUARDIA,atencion odontologica,medidas preventivas,2015-01-01,103,92,3,13,2,14,3,33,1,4,0,0,0,0,112,156,268
LA PAZ,atencion odontologica,medidas preventivas,2015-01-01,626,685,804,885,336,443,388,629,90,76,0,0,0,0,2244,2718,4962
LAGUNILLAS,atencion odontologica,medidas preventivas,2015-01-01,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
LAJA,atencion odontologica,medidas preventivas,2015-01-01,9,5,0,0,0,0,0,0,0,0,0,0,0,0,9,5,14
LAS CARRERAS,atencion odontologica,medidas preventivas,2015-01-01,0,1,2,0,0,1,0,1,0,0,0,0,0,0,2,3,5
LICOMA PAMPA,atencion odontologica,medidas preventivas,2015-01-01,8,7,0,2,0,1,0,2,0,0,0,0,0,0,8,12,20
LLALLAGUA,atencion odontologica,medidas preventivas,2015-01-01,42,99,22,38,15,22,41,28,8,5,0,0,0,0,128,192,320
LURIBAY,atencion odontologica,medidas preventivas,2015-01-01,4,3,0,0,0,2,1,4,2,0,0,0,0,0,7,9,16
MACHACAMARCA,atencion odontologica,medidas preventivas,2015-01-01,13,8,10,5,0,0,0,0,0,0,0,0,0,0,23,13,36
MACHARETI,atencion odontologica,medidas preventivas,2015-01-01,15,9,0,0,0,3,0,9,1,2,0,0,0,0,16,23,39
MAGDALENA,atencion odontologica,medidas preventivas,2015-01-01,0,0,1,5,0,2,1,3,0,0,0,0,0,0,2,10,12
MAIRANA,atencion odontologica,medidas preventivas,2015-01-01,3,2,2,14,0,8,4,6,0,0,0,0,0,0,9,30,39
MALLA,atencion odontologica,medidas preventivas,2015-01-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2
MAPIRI,atencion odontologica,medidas preventivas,2015-01-01,13,12,1,0,0,3,0,3,0,0,0,0,0,0,14,18,32
MECAPACA,atencion odontologica,medidas preventivas,2015-01-01,4,2,0,1,0,8,1,0,0,0,0,0,0,0,5,11,16
MIZQUE,atencion odontologica,medidas preventivas,2015-01-01,51,37,9,10,5,0,0,1,0,0,0,0,0,0,65,48,113
MOCOMOCO,atencion odontologica,medidas preventivas,2015-01-01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
MOJOCOYA,atencion odontologica,medidas preventivas,2015-01-01,1,0,0,0,0,0,0,2,1,1,0,0,0,0,2,3,5
MONTEAGUDO,atencion odontologica,medidas preventivas,2015-01-01,53,47,3,5,0,4,0,16,0,0,0,0,0,0,56,72,128
MONTERO,atencion odontologica,medidas preventivas,2015-01-01,72,99,43,21,7,24,6,49,5,5,0,0,0,0,133,198,331
MORO MORO,atencion odontologica,medidas preventivas,2015-01-01,8,17,0,0,0,0,0,0,0,0,0,0,0,0,8,17,25
MOROCHATA,atencion odontologica,medidas preventivas,2015-01-01,56,77,0,0,0,9,1,25,4,1,0,0,0,0,61,112,173
OCURI,atencion odontologica,medidas preventivas,2015-01-01,9,7,10,0,0,0,0,1,0,2,0,0,0,0,19,10,29
OKINAWA,atencion odontologica,medidas preventivas,2015-01-01,4,2,2,1,1,5,0,4,0,0,0,0,0,0,7,12,19
ORURO,atencion odontologica,medidas preventivas,2015-01-01,258,273,438,487,194,221,362,456,161,104,0,0,0,0,1413,1541,2954
PADCAYA,atencion odontologica,medidas preventivas,2015-01-01,2,0,0,2,4,4,7,20,0,0,0,0,0,0,13,26,39
PADILLA,atencion odontologica,medidas preventivas,2015-01-01,4,4,0,6,1,0,0,1,0,0,0,0,0,0,5,11,16
PAILON,atencion odontologica,medidas preventivas,2015-01-01,54,49,30,26,1,11,2,0,0,0,0,0,0,0,87,86,173
PALCA,atencion odontologica,medidas preventivas,2015-01-01,8,6,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14
PALOS BLANCOS,atencion odontologica,medidas preventivas,2015-01-01,19,22,6,4,0,8,2,5,2,2,0,0,0,0,29,41,70
PAMPA AULLAGAS,atencion odontologica,medidas preventivas,2015-01-01,14,20,0,0,0,0,0,0,0,0,0,0,0,0,14,20,34
PAMPA GRANDE,atencion odontologica,medidas preventivas,2015-01-01,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6
PAPEL PAMPA,atencion odontologica,medidas preventivas,2015-01-01,4,2,0,0,0,1,0,4,0,0,0,0,0,0,4,7,11
PASORAPA,atencion odontologica,medidas preventivas,2015-01-01,2,2,0,1,0,1,2,2,1,0,0,0,0,0,5,6,11
PATACAMAYA,atencion odontologica,medidas preventivas,2015-01-01,60,47,7,5,0,0,0,0,0,0,0,0,0,0,67,52,119
PAZÑA,atencion odontologica,medidas preventivas,2015-01-01,2,7,0,0,1,0,0,0,0,0,0,0,0,0,3,7,10
PELECHUCO,atencion odontologica,medidas preventivas,2015-01-01,7,6,0,0,0,0,0,0,0,0,0,0,0,0,7,6,13
POCOATA,atencion odontologica,medidas preventivas,2015-01-01,6,1,0,0,0,1,0,0,0,0,0,0,0,0,6,2,8
POCONA,atencion odontologica,medidas preventivas,2015-01-01,3,9,2,0,0,0,0,1,0,0,0,0,0,0,5,10,15
POJO (CBBA),atencion odontologica,medidas preventivas,2015-01-01,17,13,6,13,1,2,0,1,0,1,0,0,0,0,24,30,54
POOPO,atencion odontologica,medidas preventivas,2015-01-01,7,16,13,17,22,25,4,20,2,5,0,0,0,0,48,83,131
PORCO,atencion odontologica,medidas preventivas,2015-01-01,7,8,7,3,1,1,0,4,0,0,0,0,0,0,15,16,31
POROMA,atencion odontologica,medidas preventivas,2015-01-01,13,11,6,2,0,0,0,1,0,0,0,0,0,0,19,14,33
PORONGO,atencion odontologica,medidas preventivas,2015-01-01,2,7,10,2,1,1,1,3,1,1,0,0,0,0,15,14,29
PORTACHUELO,atencion odontologica,medidas preventivas,2015-01-01,3,5,2,6,1,2,2,0,0,0,0,0,0,0,8,13,21
PORVENIR,atencion odontologica,medidas preventivas,2015-01-01,6,7,19,20,5,4,3,3,2,0,0,0,0,0,35,34,69
POSTRER VALLE,atencion odontologica,medidas preventivas,2015-01-01,18,7,0,1,0,0,0,0,0,0,0,0,0,0,18,8,26
POTOSI,atencion odontologica,medidas preventivas,2015-01-01,135,154,32,45,15,21,27,58,12,5,0,0,0,0,221,283,504
PRESTO,atencion odontologica,medidas preventivas,2015-01-01,56,52,8,6,0,3,0,12,0,0,0,0,0,0,64,73,137
PUCARA,atencion odontologica,medidas preventivas,2015-01-01,16,16,0,0,0,0,0,2,0,0,0,0,0,0,16,18,34
PUCARANI,atencion odontologica,medidas preventivas,2015-01-01,4,6,3,3,1,4,3,3,7,1,0,0,0,0,18,17,35
PUERTO ACOSTA,atencion odontologica,medidas preventivas,2015-01-01,7,4,0,0,0,0,0,1,0,0,0,0,0,0,7,5,12
PUERTO CARABUCO,atencion odontologica,medidas preventivas,2015-01-01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
PUERTO GONZALO MORENO,atencion odontologica,medidas preventivas,2015-01-01,16,26,0,2,0,11,3,3,0,1,0,0,0,0,19,43,62
PUERTO PEREZ,atencion odontologica,medidas preventivas,2015-01-01,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3
PUERTO QUIJARRO,atencion odontologica,medidas preventivas,2015-01-01,35,29,0,0,0,0,0,0,0,0,0,0,0,0,35,29,64
PUERTO SUAREZ,atencion odontologica,medidas preventivas,2015-01-01,5,17,0,0,0,1,0,4,0,0,0,0,0,0,5,22,27
PUERTO VILLARROEL,atencion odontologica,medidas preventivas,2015-01-01,102,71,4,10,4,12,6,11,1,1,0,0,0,0,117,105,222
PUNA,atencion odontologica,medidas preventivas,2015-01-01,8,3,0,0,0,0,1,1,0,0,0,0,0,0,9,4,13
PUNATA,atencion odontologica,medidas preventivas,2015-01-01,37,43,78,87,10,43,44,124,1,3,0,0,0,0,170,300,470
QUIABAYA,atencion odontologica,medidas preventivas,2015-01-01,16,17,0,0,0,0,0,0,0,0,0,0,0,0,16,17,33
QUILLACOLLO,atencion odontologica,medidas preventivas,2015-01-01,287,284,227,225,89,175,177,391,24,24,0,0,0,0,804,1099,1903
QUIME,atencion odontologica,medidas preventivas,2015-01-01,41,36,26,41,13,5,16,15,6,0,0,0,0,0,102,97,199
RAVELO,atencion odontologica,medidas preventivas,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
REYES,atencion odontologica,medidas preventivas,2015-01-01,11,2,22,7,2,24,2,17,0,0,0,0,0,0,37,50,87
RIBERALTA,atencion odontologica,medidas preventivas,2015-01-01,62,77,15,26,6,17,6,43,0,0,0,0,0,0,89,163,252
RURRENABAQUE,atencion odontologica,medidas preventivas,2015-01-01,13,14,6,7,6,7,5,8,0,1,0,0,0,0,30,37,67
SABAYA,atencion odontologica,medidas preventivas,2015-01-01,9,1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,10
SACABA,atencion odontologica,medidas preventivas,2015-01-01,128,199,200,262,68,169,107,309,32,23,0,0,0,0,535,962,1497
SACABAMBA,atencion odontologica,medidas preventivas,2015-01-01,3,3,1,3,0,0,1,2,2,4,0,0,0,0,7,12,19
SACACA,atencion odontologica,medidas preventivas,2015-01-01,9,14,0,1,0,1,1,11,1,1,0,0,0,0,11,28,39
SAIPINA,atencion odontologica,medidas preventivas,2015-01-01,0,2,0,1,0,0,2,0,0,0,0,0,0,0,2,3,5
SALINAS DE GARCI MENDOZA,atencion odontologica,medidas preventivas,2015-01-01,39,20,22,24,0,14,0,7,3,8,0,0,0,0,64,73,137
SAMAIPATA,atencion odontologica,medidas preventivas,2015-01-01,25,23,0,0,0,0,0,0,0,0,0,0,0,0,25,23,48
SAN ANDRES,atencion odontologica,medidas preventivas,2015-01-01,3,7,6,0,2,8,0,0,0,0,0,0,0,0,11,15,26
SAN ANDRES DE MACHACA,atencion odontologica,medidas preventivas,2015-01-01,0,3,0,0,2,0,0,0,0,1,0,0,0,0,2,4,6
SAN ANTONIO DE ESMORUCO,atencion odontologica,medidas preventivas,2015-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN ANTONIO DE LOMERIO,atencion odontologica,medidas preventivas,2015-01-01,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6
SAN BENITO,atencion odontologica,medidas preventivas,2015-01-01,19,18,8,4,4,11,7,23,0,5,0,0,0,0,38,61,99
