,group,variable,month,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA MENORES DE 5 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 5 A 13 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 14 A 19 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 20 A 59 AÑOS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA 60 AÑOS Y MAS,EXODONCIA EMB,EXODONCIA EMB,EXODONCIA POST,EXODONCIA POST,TOTALES,TOTALES,TOTALES
CHAQUI,atencion odontologica,exodoncia,2015-01-01,0,0,1,0,1,1,1,2,0,4,0,0,0,0,3,7,10
CHARAGUA,atencion odontologica,exodoncia,2015-01-01,0,0,16,17,29,35,35,54,19,17,0,0,0,0,99,123,222
CHARAÑA,atencion odontologica,exodoncia,2015-01-01,0,0,1,1,3,0,0,6,3,1,0,0,0,0,7,8,15
CHAYANTA,atencion odontologica,exodoncia,2015-01-01,0,0,3,3,0,3,6,11,2,5,0,0,0,0,11,22,33
CHIMORE,atencion odontologica,exodoncia,2015-01-01,0,0,4,7,0,2,6,10,3,0,0,0,0,0,13,19,32
CHIPAYA,atencion odontologica,exodoncia,2015-01-01,0,0,3,1,0,0,0,2,0,0,0,0,0,0,3,3,6
CHUA COCANI,atencion odontologica,exodoncia,2015-01-01,2,0,2,4,2,5,1,4,5,3,0,0,0,0,12,16,28
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,exodoncia,2015-01-01,2,3,3,11,3,0,2,10,1,0,0,0,0,0,11,24,35
CHUMA,atencion odontologica,exodoncia,2015-01-01,1,1,10,22,4,12,41,58,28,20,0,0,0,0,84,113,197
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,exodoncia,2015-01-01,0,0,1,0,3,0,0,1,4,0,0,0,0,0,8,1,9
CKOCHAS,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,0,4,3,16,3,3,0,0,0,0,6,23,29
CLIZA,atencion odontologica,exodoncia,2015-01-01,0,0,5,15,1,3,5,8,3,11,0,0,0,0,14,37,51
COBIJA,atencion odontologica,exodoncia,2015-01-01,2,1,17,17,2,5,11,26,9,0,0,0,0,0,41,49,90
COCAPATA,atencion odontologica,exodoncia,2015-01-01,0,3,2,0,2,4,9,36,0,2,0,0,0,0,13,45,58
COCHABAMBA,atencion odontologica,exodoncia,2015-01-01,10,7,152,167,54,59,78,125,49,43,0,0,0,0,343,401,744
COLCAPIRHUA,atencion odontologica,exodoncia,2015-01-01,2,0,5,10,1,0,2,8,3,4,0,0,0,0,13,22,35
"COLCHA ""K""",atencion odontologica,exodoncia,2015-01-01,0,0,0,0,0,1,0,6,3,10,0,0,0,0,3,17,20
COLLANA,atencion odontologica,exodoncia,2015-01-01,3,4,3,2,1,0,4,17,13,6,0,0,0,0,24,29,53
COLOMI,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
COLPA BELGICA,atencion odontologica,exodoncia,2015-01-01,0,0,0,5,0,0,1,3,0,1,0,0,0,0,1,9,10
COLQUECHACA,atencion odontologica,exodoncia,2015-01-01,0,0,6,8,0,10,13,31,11,12,0,0,0,0,30,61,91
COLQUENCHA,atencion odontologica,exodoncia,2015-01-01,0,0,14,10,6,14,8,9,7,0,0,0,0,0,35,33,68
COLQUIRI,atencion odontologica,exodoncia,2015-01-01,1,0,20,9,3,5,14,19,3,1,0,0,0,0,41,34,75
COMANCHE,atencion odontologica,exodoncia,2015-01-01,0,1,2,4,3,0,8,13,0,2,0,0,0,0,13,20,33
COMARAPA,atencion odontologica,exodoncia,2015-01-01,12,7,18,22,17,23,28,31,15,7,0,0,0,0,90,90,180
COMBAYA,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,0,0,2,2,1,0,0,0,0,0,3,2,5
CONCEPCION,atencion odontologica,exodoncia,2015-01-01,5,3,13,7,7,5,7,20,3,2,0,0,0,0,35,37,72
COPACABANA,atencion odontologica,exodoncia,2015-01-01,0,0,5,8,3,6,5,22,3,3,0,0,0,0,16,39,55
CORO CORO,atencion odontologica,exodoncia,2015-01-01,0,0,8,2,1,10,7,12,2,5,0,0,0,0,18,29,47
COROICO,atencion odontologica,exodoncia,2015-01-01,0,1,8,13,13,22,11,15,7,6,0,0,0,0,39,57,96
CORQUE,atencion odontologica,exodoncia,2015-01-01,0,0,0,2,0,2,2,1,4,0,0,0,0,0,6,5,11
COTAGAITA,atencion odontologica,exodoncia,2015-01-01,0,1,2,5,1,5,5,18,7,9,0,0,0,0,15,38,53
COTOCA,atencion odontologica,exodoncia,2015-01-01,5,4,19,18,4,13,1,29,7,8,0,0,0,0,36,72,108
CUATRO CAÑADAS,atencion odontologica,exodoncia,2015-01-01,0,1,5,13,2,3,4,22,14,8,0,0,0,0,25,47,72
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,exodoncia,2015-01-01,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,5,5
CUEVO,atencion odontologica,exodoncia,2015-01-01,0,0,3,2,0,4,3,16,8,5,0,0,0,0,14,27,41
CULPINA,atencion odontologica,exodoncia,2015-01-01,0,0,6,7,2,7,2,14,5,5,0,0,0,0,15,33,48
CURAHUARA DE CARANGAS,atencion odontologica,exodoncia,2015-01-01,0,0,2,1,0,0,3,9,5,1,0,0,0,0,10,11,21
CURVA,atencion odontologica,exodoncia,2015-01-01,4,1,2,4,0,2,2,2,0,3,0,0,0,0,8,12,20
DESAGUADERO,atencion odontologica,exodoncia,2015-01-01,0,0,1,1,2,1,4,5,5,6,0,0,0,0,12,13,25
EL ALTO,atencion odontologica,exodoncia,2015-01-01,39,49,613,698,109,156,53,157,56,42,0,0,0,0,870,1102,1972
EL CHORO,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,0,0,3,7,4,13,0,0,0,0,7,20,27
EL PUENTE(STC),atencion odontologica,exodoncia,2015-01-01,1,0,8,4,5,2,1,17,2,5,0,0,0,0,17,28,45
EL PUENTE(TJA),atencion odontologica,exodoncia,2015-01-01,0,0,11,17,3,6,7,30,3,4,0,0,0,0,24,57,81
EL TORNO,atencion odontologica,exodoncia,2015-01-01,4,2,13,20,1,11,12,33,42,8,0,0,0,0,72,74,146
EL VILLAR,atencion odontologica,exodoncia,2015-01-01,0,0,2,0,0,1,0,3,0,0,0,0,0,0,2,4,6
ENTRE RIOS TRJ,atencion odontologica,exodoncia,2015-01-01,0,0,25,22,2,9,8,42,3,7,0,0,0,0,38,80,118
ENTRE RIOS CBBA,atencion odontologica,exodoncia,2015-01-01,0,0,0,1,1,0,1,4,1,0,0,0,0,0,3,5,8
ESCOMA,atencion odontologica,exodoncia,2015-01-01,1,0,2,5,8,3,7,5,3,2,0,0,0,0,21,15,36
EUCALIPTUS,atencion odontologica,exodoncia,2015-01-01,0,0,0,8,1,2,4,7,8,4,0,0,0,0,13,21,34
FERNANDEZ ALONSO,atencion odontologica,exodoncia,2015-01-01,0,4,12,12,0,4,16,27,9,2,0,0,0,0,37,49,86
FILADELFIA,atencion odontologica,exodoncia,2015-01-01,0,0,1,0,0,1,2,5,0,0,0,0,0,0,3,6,9
GENERAL SAAVEDRA,atencion odontologica,exodoncia,2015-01-01,0,2,1,3,0,2,0,4,2,1,0,0,0,0,3,12,15
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,exodoncia,2015-01-01,1,0,5,13,7,10,11,22,5,21,0,0,0,0,29,66,95
GUANAY,atencion odontologica,exodoncia,2015-01-01,0,0,0,2,0,1,0,3,2,0,0,0,0,0,2,6,8
GUAQUI,atencion odontologica,exodoncia,2015-01-01,0,1,10,8,5,12,5,21,18,12,0,0,0,0,38,54,92
GUAYARAMERIN,atencion odontologica,exodoncia,2015-01-01,3,4,37,36,15,22,32,52,2,5,0,0,0,0,89,119,208
GUTIERREZ,atencion odontologica,exodoncia,2015-01-01,1,2,2,6,3,14,15,17,3,7,0,0,0,0,24,46,70
HUACARETA,atencion odontologica,exodoncia,2015-01-01,0,0,0,1,0,3,3,11,2,0,0,0,0,0,5,15,20
HUACAYA (VILLA DE HUACAYA),atencion odontologica,exodoncia,2015-01-01,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,2,4
HUACHACALLA,atencion odontologica,exodoncia,2015-01-01,0,0,0,2,0,0,3,2,6,13,0,0,0,0,9,17,26
HUANUNI,atencion odontologica,exodoncia,2015-01-01,0,0,12,50,1,6,5,3,7,5,0,0,0,0,25,64,89
HUARACAJE,atencion odontologica,exodoncia,2015-01-01,1,0,4,6,0,2,3,4,0,0,0,0,0,0,8,12,20
HUARINA,atencion odontologica,exodoncia,2015-01-01,0,0,1,3,1,2,1,2,5,0,0,0,0,0,8,7,15
HUATAJATA,atencion odontologica,exodoncia,2015-01-01,1,2,3,4,1,4,2,6,15,7,0,0,0,0,22,23,45
HUAYLLAMARCA,atencion odontologica,exodoncia,2015-01-01,0,0,6,3,4,1,2,6,10,5,0,0,0,0,22,15,37
HUMANATA,atencion odontologica,exodoncia,2015-01-01,2,0,2,2,5,5,10,15,24,13,0,0,0,0,43,35,78
ICHOCA,atencion odontologica,exodoncia,2015-01-01,1,0,1,0,0,1,0,5,4,0,0,0,0,0,6,6,12
ICLA,atencion odontologica,exodoncia,2015-01-01,0,0,4,9,0,5,0,5,1,1,0,0,0,0,5,20,25
INCAHUASI,atencion odontologica,exodoncia,2015-01-01,0,0,2,1,3,4,4,7,0,3,0,0,0,0,9,15,24
INQUISIVI,atencion odontologica,exodoncia,2015-01-01,2,0,5,8,6,14,5,14,3,6,0,0,0,0,21,42,63
IRUPANA (VILLA DE LANZA),atencion odontologica,exodoncia,2015-01-01,2,0,4,6,6,4,9,5,3,0,0,0,0,0,24,15,39
IXIAMAS,atencion odontologica,exodoncia,2015-01-01,0,5,15,6,7,3,2,8,2,0,0,0,0,0,26,22,48
JESUS DE MACHACA,atencion odontologica,exodoncia,2015-01-01,0,0,5,3,1,8,5,10,11,5,0,0,0,0,22,26,48
LA ASUNTA,atencion odontologica,exodoncia,2015-01-01,7,5,23,35,17,38,33,63,7,2,0,0,0,0,87,143,230
LA GUARDIA,atencion odontologica,exodoncia,2015-01-01,4,0,7,2,4,6,5,15,9,9,0,0,0,0,29,32,61
LA PAZ,atencion odontologica,exodoncia,2015-01-01,47,36,305,352,123,193,214,389,154,95,0,0,0,0,843,1065,1908
LAGUNILLAS,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,4,3,4,15,5,0,0,0,0,0,13,18,31
LAJA,atencion odontologica,exodoncia,2015-01-01,7,1,13,34,4,12,10,26,15,18,0,0,0,0,49,91,140
LAS CARRERAS,atencion odontologica,exodoncia,2015-01-01,0,0,1,2,1,1,7,5,2,3,0,0,0,0,11,11,22
LICOMA PAMPA,atencion odontologica,exodoncia,2015-01-01,0,1,0,3,1,3,3,4,4,2,0,0,0,0,8,13,21
LLALLAGUA,atencion odontologica,exodoncia,2015-01-01,1,0,11,14,0,2,3,23,2,8,0,0,0,0,17,47,64
LURIBAY,atencion odontologica,exodoncia,2015-01-01,0,0,5,1,0,3,4,5,5,3,0,0,0,0,14,12,26
MACHACAMARCA,atencion odontologica,exodoncia,2015-01-01,1,0,3,7,1,0,2,6,1,1,0,0,0,0,8,14,22
MACHARETI,atencion odontologica,exodoncia,2015-01-01,0,0,0,2,1,1,3,14,3,0,0,0,0,0,7,17,24
MAGDALENA,atencion odontologica,exodoncia,2015-01-01,0,1,3,2,2,2,7,7,3,0,0,0,0,0,15,12,27
MAIRANA,atencion odontologica,exodoncia,2015-01-01,0,0,5,1,1,0,0,7,7,0,0,0,0,0,13,8,21
MALLA,atencion odontologica,exodoncia,2015-01-01,0,0,1,0,0,0,1,3,3,0,0,0,0,0,5,3,8
MAPIRI,atencion odontologica,exodoncia,2015-01-01,1,1,10,13,2,5,6,16,4,0,0,0,0,0,23,35,58
MECAPACA,atencion odontologica,exodoncia,2015-01-01,2,1,7,17,2,11,4,10,1,0,0,0,0,0,16,39,55
MIZQUE,atencion odontologica,exodoncia,2015-01-01,4,5,3,6,1,0,1,8,1,0,0,0,0,0,10,19,29
MOCOMOCO,atencion odontologica,exodoncia,2015-01-01,0,0,5,9,4,7,28,19,9,5,0,0,0,0,46,40,86
MOJINETE,atencion odontologica,exodoncia,2015-01-01,0,0,2,4,0,0,1,10,1,0,0,0,0,0,4,14,18
MOJOCOYA,atencion odontologica,exodoncia,2015-01-01,0,0,2,3,0,1,7,23,2,2,0,0,0,0,11,29,40
MONTEAGUDO,atencion odontologica,exodoncia,2015-01-01,0,0,8,10,0,4,11,27,16,5,0,0,0,0,35,46,81
MONTERO,atencion odontologica,exodoncia,2015-01-01,4,5,57,22,6,10,14,51,14,8,0,0,0,0,95,96,191
MORO MORO,atencion odontologica,exodoncia,2015-01-01,1,0,5,1,0,0,1,10,0,1,0,0,0,0,7,12,19
MOROCHATA,atencion odontologica,exodoncia,2015-01-01,2,0,4,7,3,5,7,24,8,18,0,0,0,0,24,54,78
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,exodoncia,2015-01-01,0,0,0,2,2,0,8,8,0,0,0,0,0,0,10,10,20
OCURI,atencion odontologica,exodoncia,2015-01-01,0,5,0,0,1,1,4,5,8,2,0,0,0,0,13,13,26
OKINAWA,atencion odontologica,exodoncia,2015-01-01,0,0,7,1,1,1,3,9,2,1,0,0,0,0,13,12,25
ORURO,atencion odontologica,exodoncia,2015-01-01,19,22,152,201,40,58,103,209,70,61,0,0,0,0,384,551,935
PADCAYA,atencion odontologica,exodoncia,2015-01-01,0,0,1,8,1,6,6,11,1,0,0,0,0,0,9,25,34
PADILLA,atencion odontologica,exodoncia,2015-01-01,1,0,5,11,0,4,4,27,8,10,0,0,0,0,18,52,70
PAILON,atencion odontologica,exodoncia,2015-01-01,2,0,2,5,2,3,12,27,1,1,0,0,0,0,19,36,55
PALCA,atencion odontologica,exodoncia,2015-01-01,0,0,7,3,0,4,3,7,10,5,0,0,0,0,20,19,39
PALOS BLANCOS,atencion odontologica,exodoncia,2015-01-01,0,1,6,8,3,3,5,15,8,2,0,0,0,0,22,29,51
PAMPA AULLAGAS,atencion odontologica,exodoncia,2015-01-01,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,5,6
PAMPA GRANDE,atencion odontologica,exodoncia,2015-01-01,0,0,2,0,1,2,0,0,1,0,0,0,0,0,4,2,6
PAPEL PAMPA,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,2,1,3,2,2,0,0,0,0,0,7,3,10
PASORAPA,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
PATACAMAYA,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,6,3,2,2,5,0,0,0,0,0,13,5,18
PAZÑA,atencion odontologica,exodoncia,2015-01-01,0,0,1,6,0,1,2,7,0,1,0,0,0,0,3,15,18
PELECHUCO,atencion odontologica,exodoncia,2015-01-01,0,0,1,4,2,5,7,16,11,2,0,0,0,0,21,27,48
POCOATA,atencion odontologica,exodoncia,2015-01-01,0,2,0,2,1,1,1,10,1,0,0,0,0,0,3,15,18
POCONA,atencion odontologica,exodoncia,2015-01-01,0,0,10,7,2,1,3,7,0,2,0,0,0,0,15,17,32
POJO (CBBA),atencion odontologica,exodoncia,2015-01-01,0,2,12,16,2,7,3,20,15,7,0,0,0,0,32,52,84
POOPO,atencion odontologica,exodoncia,2015-01-01,0,0,11,10,3,3,2,2,0,2,0,0,0,0,16,17,33
PORCO,atencion odontologica,exodoncia,2015-01-01,0,1,1,4,0,2,0,3,0,0,0,0,0,0,1,10,11
POROMA,atencion odontologica,exodoncia,2015-01-01,0,0,1,1,1,4,3,8,5,0,0,0,0,0,10,13,23
PORONGO,atencion odontologica,exodoncia,2015-01-01,0,0,2,7,2,1,4,1,0,4,0,0,0,0,8,13,21
PORTACHUELO,atencion odontologica,exodoncia,2015-01-01,3,0,10,9,1,11,5,21,6,0,0,0,0,0,25,41,66
PORVENIR,atencion odontologica,exodoncia,2015-01-01,0,0,14,14,14,8,9,8,1,0,0,0,0,0,38,30,68
POSTRER VALLE,atencion odontologica,exodoncia,2015-01-01,0,0,0,1,0,0,2,5,3,0,0,0,0,0,5,6,11
POTOSI,atencion odontologica,exodoncia,2015-01-01,1,3,34,44,28,49,51,129,35,22,0,0,0,0,149,247,396
PRESTO,atencion odontologica,exodoncia,2015-01-01,0,0,5,15,1,2,9,22,1,0,0,0,0,0,16,39,55
PUCARA,atencion odontologica,exodoncia,2015-01-01,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,3
PUCARANI,atencion odontologica,exodoncia,2015-01-01,8,1,11,11,5,12,17,35,2,5,0,0,0,0,43,64,107
PUERTO ACOSTA,atencion odontologica,exodoncia,2015-01-01,4,2,15,18,6,8,12,22,22,30,0,0,0,0,59,80,139
PUERTO CARABUCO,atencion odontologica,exodoncia,2015-01-01,0,0,11,7,6,7,14,23,12,1,0,0,0,0,43,38,81
PUERTO GONZALO MORENO,atencion odontologica,exodoncia,2015-01-01,1,0,2,5,0,8,3,7,0,0,0,0,0,0,6,20,26
PUERTO PEREZ,atencion odontologica,exodoncia,2015-01-01,0,0,2,0,0,2,4,10,7,6,0,0,0,0,13,18,31
PUERTO QUIJARRO,atencion odontologica,exodoncia,2015-01-01,0,0,0,1,8,2,4,3,0,0,0,0,0,0,12,6,18
PUERTO RICO,atencion odontologica,exodoncia,2015-01-01,0,0,6,12,10,7,8,34,0,0,0,0,0,0,24,53,77
PUERTO SUAREZ,atencion odontologica,exodoncia,2015-01-01,0,0,6,4,2,2,0,9,1,18,0,0,0,0,9,33,42
PUERTO VILLARROEL,atencion odontologica,exodoncia,2015-01-01,5,4,10,6,4,7,7,30,3,3,0,0,0,0,29,50,79
PUNA,atencion odontologica,exodoncia,2015-01-01,0,0,6,13,5,3,2,23,2,6,0,0,0,0,15,45,60
PUNATA,atencion odontologica,exodoncia,2015-01-01,1,0,16,6,1,8,7,6,6,6,0,0,0,0,31,26,57
QUIABAYA,atencion odontologica,exodoncia,2015-01-01,0,3,4,5,3,4,7,13,2,3,0,0,0,0,16,28,44
QUILLACOLLO,atencion odontologica,exodoncia,2015-01-01,0,9,24,36,4,8,5,36,12,12,0,0,0,0,45,101,146
QUIME,atencion odontologica,exodoncia,2015-01-01,1,0,9,15,3,5,20,20,6,1,0,0,0,0,39,41,80
RAVELO,atencion odontologica,exodoncia,2015-01-01,0,0,3,2,0,0,7,9,0,3,0,0,0,0,10,14,24
REYES,atencion odontologica,exodoncia,2015-01-01,0,0,8,6,1,4,7,11,5,0,0,0,0,0,21,21,42
RIBERALTA,atencion odontologica,exodoncia,2015-01-01,1,2,23,20,10,49,12,96,2,1,0,0,0,0,48,168,216
ROBORE,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,0,0,6,3,0,0,0,0,0,0,6,3,9
RURRENABAQUE,atencion odontologica,exodoncia,2015-01-01,1,2,2,3,5,4,11,20,1,3,0,0,0,0,20,32,52
SABAYA,atencion odontologica,exodoncia,2015-01-01,0,0,1,1,1,1,6,6,0,3,0,0,0,0,8,11,19
SACABA,atencion odontologica,exodoncia,2015-01-01,14,7,20,14,1,7,14,21,2,4,0,0,0,0,51,53,104
SACABAMBA,atencion odontologica,exodoncia,2015-01-01,0,0,0,0,1,0,0,5,2,8,0,0,0,0,3,13,16
SACACA,atencion odontologica,exodoncia,2015-01-01,1,1,5,6,4,11,15,18,1,3,0,0,0,0,26,39,65
SAIPINA,atencion odontologica,exodoncia,2015-01-01,1,0,2,1,1,1,2,3,2,0,0,0,0,0,8,5,13
SALINAS DE GARCI MENDOZA,atencion odontologica,exodoncia,2015-01-01,0,0,8,11,1,7,8,20,5,12,0,0,0,0,22,50,72
SAMAIPATA,atencion odontologica,exodoncia,2015-01-01,1,0,3,6,1,0,1,7,2,2,0,0,0,0,8,15,23
SAN AGUSTIN,atencion odontologica,exodoncia,2015-01-01,0,0,1,0,2,1,2,7,0,4,0,0,0,0,5,12,17
SAN ANDRES,atencion odontologica,exodoncia,2015-01-01,0,0,4,4,1,0,1,1,2,1,0,0,0,0,8,6,14
SAN ANDRES DE MACHACA,atencion odontologica,exodoncia,2015-01-01,0,2,4,7,1,2,3,4,4,2,0,0,0,0,12,17,29
SAN ANTONIO DE ESMORUCO,atencion odontologica,exodoncia,2015-01-01,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
