,group,variable,month,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR MENORES DE 5 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 5 A 13 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 14 A 19 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 20 A 59 AÑOS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR 60 AÑOS Y MAS,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR EMB,CIRUGIA BUCAL MENOR POST,CIRUGIA BUCAL MENOR POST,TOTALES,TOTALES,TOTALES
CHARAGUA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,4,5,5,1,6,1,0,0,0,0,0,0,15,7,22
CHARAÑA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,1,1,5,0,0,14,4,1,0,0,0,0,10,16,26
CHAYANTA,atencion odontologica,cirugia bucal menor,2015-01-01,2,2,0,2,0,1,1,4,1,0,0,0,0,0,4,9,13
CHIMORE,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,5,6
CHIPAYA,atencion odontologica,cirugia bucal menor,2015-01-01,0,1,1,1,0,0,0,1,1,0,0,0,0,0,2,3,5
CHOQUE COTA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
CHUA COCANI,atencion odontologica,cirugia bucal menor,2015-01-01,3,0,2,6,2,5,6,6,5,3,0,0,0,0,18,20,38
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,cirugia bucal menor,2015-01-01,3,2,3,5,2,2,1,4,0,0,0,0,0,0,9,13,22
CHUMA,atencion odontologica,cirugia bucal menor,2015-01-01,3,1,11,22,4,13,42,59,31,23,0,0,0,0,91,118,209
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,cirugia bucal menor,2015-01-01,6,7,1,0,0,0,0,0,0,0,0,0,0,0,7,7,14
CKOCHAS,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,2,1,0,0,0,4,0,2,0,0,0,0,3,7,10
CLIZA,atencion odontologica,cirugia bucal menor,2015-01-01,2,2,1,3,1,0,7,2,2,2,0,0,0,0,13,9,22
COBIJA,atencion odontologica,cirugia bucal menor,2015-01-01,8,2,21,14,1,4,6,25,2,1,0,0,0,0,38,46,84
COCHABAMBA,atencion odontologica,cirugia bucal menor,2015-01-01,57,57,52,58,24,54,86,120,31,17,0,0,0,0,250,306,556
COLCAPIRHUA,atencion odontologica,cirugia bucal menor,2015-01-01,8,8,0,1,1,0,1,5,1,2,0,0,0,0,11,16,27
"COLCHA ""K""",atencion odontologica,cirugia bucal menor,2015-01-01,6,2,1,3,2,1,0,6,3,1,0,0,0,0,12,13,25
COLLANA,atencion odontologica,cirugia bucal menor,2015-01-01,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,5,5
COLOMI,atencion odontologica,cirugia bucal menor,2015-01-01,5,4,0,0,0,0,0,1,1,0,0,0,0,0,6,5,11
COLPA BELGICA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,5,0,0,1,4,0,1,0,0,0,0,1,10,11
COLQUECHACA,atencion odontologica,cirugia bucal menor,2015-01-01,4,3,3,3,3,4,2,5,6,12,0,0,0,0,18,27,45
COLQUENCHA,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,13,8,6,12,4,8,4,0,0,0,0,0,28,28,56
COLQUIRI,atencion odontologica,cirugia bucal menor,2015-01-01,6,2,18,12,4,9,19,40,3,1,0,0,0,0,50,64,114
COMANCHE,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2,2,4
COMARAPA,atencion odontologica,cirugia bucal menor,2015-01-01,12,7,15,20,16,19,24,37,15,8,0,0,0,0,82,91,173
COMBAYA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,0,0,0,2,2,2,1,0,0,0,0,4,3,7
CONCEPCION,atencion odontologica,cirugia bucal menor,2015-01-01,7,5,15,9,8,6,8,0,5,2,0,0,0,0,43,22,65
COPACABANA,atencion odontologica,cirugia bucal menor,2015-01-01,3,2,2,2,0,2,1,6,2,1,0,0,0,0,8,13,21
CORIPATA,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
CORO CORO,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,4,0,1,4,3,9,1,1,0,0,0,0,9,14,23
CORQUE,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,0,1,2,0,1,4,0,2,0,0,0,0,4,7,11
COTAGAITA,atencion odontologica,cirugia bucal menor,2015-01-01,3,6,5,7,2,11,25,32,13,14,0,0,0,0,48,70,118
COTOCA,atencion odontologica,cirugia bucal menor,2015-01-01,7,3,0,0,0,3,0,7,0,3,0,0,0,0,7,16,23
CUATRO CAÑADAS,atencion odontologica,cirugia bucal menor,2015-01-01,1,2,6,10,0,3,2,12,1,7,0,0,0,0,10,34,44
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,cirugia bucal menor,2015-01-01,3,0,0,1,0,1,1,5,0,3,0,0,0,0,4,10,14
CUEVO,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,3,8,1,5,10,39,10,0,0,0,0,0,25,52,77
CULPINA,atencion odontologica,cirugia bucal menor,2015-01-01,9,2,2,4,2,0,3,9,3,5,0,0,0,0,19,20,39
CURAHUARA DE CARANGAS,atencion odontologica,cirugia bucal menor,2015-01-01,3,1,2,2,0,0,3,13,5,1,0,0,0,0,13,17,30
CURVA,atencion odontologica,cirugia bucal menor,2015-01-01,4,1,2,4,0,2,2,5,0,4,0,0,0,0,8,16,24
EL ALTO,atencion odontologica,cirugia bucal menor,2015-01-01,157,139,508,525,140,226,122,190,56,52,0,0,0,0,983,1132,2115
EL CHORO,atencion odontologica,cirugia bucal menor,2015-01-01,0,2,0,0,0,0,2,1,2,4,0,0,0,0,4,7,11
EL PUENTE(STC),atencion odontologica,cirugia bucal menor,2015-01-01,0,0,8,3,1,0,0,8,0,2,0,0,0,0,9,13,22
EL PUENTE(TJA),atencion odontologica,cirugia bucal menor,2015-01-01,0,1,14,20,8,15,17,48,6,5,0,0,0,0,45,89,134
EL TORNO,atencion odontologica,cirugia bucal menor,2015-01-01,6,2,9,6,2,3,7,31,3,7,0,0,0,0,27,49,76
EL VILLAR,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,2,0,0,1,0,3,0,0,0,0,0,0,2,4,6
ENTRE RIOS TRJ,atencion odontologica,cirugia bucal menor,2015-01-01,2,2,1,16,5,10,7,30,1,0,0,0,0,0,16,58,74
ENTRE RIOS CBBA,atencion odontologica,cirugia bucal menor,2015-01-01,17,9,0,1,0,0,0,0,1,0,0,0,0,0,18,10,28
ESCOMA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
EUCALIPTUS,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,3,10,3,2,7,10,8,5,0,0,0,0,21,27,48
FERNANDEZ ALONSO,atencion odontologica,cirugia bucal menor,2015-01-01,0,4,16,16,0,4,16,31,9,2,0,0,0,0,41,57,98
FILADELFIA,atencion odontologica,cirugia bucal menor,2015-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
GENERAL SAAVEDRA,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,6,1,2,2,0,3,2,1,0,0,0,0,11,7,18
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,cirugia bucal menor,2015-01-01,8,6,10,16,9,18,15,32,5,16,0,0,0,0,47,88,135
GUANAY,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,3,5,6,3,11,13,3,2,0,0,0,0,23,23,46
GUAQUI,atencion odontologica,cirugia bucal menor,2015-01-01,2,0,0,2,0,1,2,2,2,1,0,0,0,0,6,6,12
GUAYARAMERIN,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,3,5,1,4,5,5,0,0,0,0,0,0,9,14,23
GUTIERREZ,atencion odontologica,cirugia bucal menor,2015-01-01,1,2,2,6,3,14,15,17,3,7,0,0,0,0,24,46,70
HUACARETA,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),atencion odontologica,cirugia bucal menor,2015-01-01,2,0,1,2,0,3,1,3,0,0,0,0,0,0,4,8,12
HUACHACALLA,atencion odontologica,cirugia bucal menor,2015-01-01,0,2,0,0,0,0,3,2,8,11,0,0,0,0,11,15,26
HUANUNI,atencion odontologica,cirugia bucal menor,2015-01-01,10,6,0,2,2,0,2,1,1,2,0,0,0,0,15,11,26
HUARINA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,1,3,1,2,1,2,5,0,0,0,0,0,8,7,15
HUATAJATA,atencion odontologica,cirugia bucal menor,2015-01-01,1,5,3,6,1,6,6,9,20,9,0,0,0,0,31,35,66
HUAYLLAMARCA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,4,2,4,2,3,8,11,9,0,0,0,0,22,21,43
HUMANATA,atencion odontologica,cirugia bucal menor,2015-01-01,2,0,0,0,5,5,0,0,24,13,0,0,0,0,31,18,49
ICHOCA,atencion odontologica,cirugia bucal menor,2015-01-01,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,3
ICLA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,5,13,1,5,1,7,1,2,0,0,0,0,8,27,35
INCAHUASI,atencion odontologica,cirugia bucal menor,2015-01-01,1,1,3,1,3,5,4,7,0,3,0,0,0,0,11,17,28
INQUISIVI,atencion odontologica,cirugia bucal menor,2015-01-01,5,3,8,8,6,19,6,20,5,6,0,0,0,0,30,56,86
IRUPANA (VILLA DE LANZA),atencion odontologica,cirugia bucal menor,2015-01-01,3,0,11,10,5,5,20,12,14,6,0,0,0,0,53,33,86
IXIAMAS,atencion odontologica,cirugia bucal menor,2015-01-01,4,3,1,5,0,1,0,2,1,0,0,0,0,0,6,11,17
JESUS DE MACHACA,atencion odontologica,cirugia bucal menor,2015-01-01,0,1,1,9,0,2,1,7,2,4,0,0,0,0,4,23,27
LA ASUNTA,atencion odontologica,cirugia bucal menor,2015-01-01,6,3,0,0,0,0,3,0,0,0,0,0,0,0,9,3,12
LA GUARDIA,atencion odontologica,cirugia bucal menor,2015-01-01,11,19,0,0,3,4,0,10,1,12,0,0,0,0,15,45,60
LA PAZ,atencion odontologica,cirugia bucal menor,2015-01-01,75,94,138,165,75,101,96,218,44,53,0,0,0,0,428,631,1059
LAGUNILLAS,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
LAJA,atencion odontologica,cirugia bucal menor,2015-01-01,10,13,1,1,1,3,4,3,0,3,0,0,0,0,16,23,39
LAS CARRERAS,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,3,4
LICOMA PAMPA,atencion odontologica,cirugia bucal menor,2015-01-01,0,2,0,3,1,3,3,4,4,2,0,0,0,0,8,14,22
LLALLAGUA,atencion odontologica,cirugia bucal menor,2015-01-01,35,20,8,13,2,7,10,14,6,1,0,0,0,0,61,55,116
LURIBAY,atencion odontologica,cirugia bucal menor,2015-01-01,0,4,5,1,0,4,9,13,6,3,0,0,0,0,20,25,45
MACHACAMARCA,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
MACHARETI,atencion odontologica,cirugia bucal menor,2015-01-01,0,1,2,4,1,1,4,15,0,0,0,0,0,0,7,21,28
MAGDALENA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MAIRANA,atencion odontologica,cirugia bucal menor,2015-01-01,5,0,0,1,0,0,0,1,0,0,0,0,0,0,5,2,7
MALLA,atencion odontologica,cirugia bucal menor,2015-01-01,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,2,4
MAPIRI,atencion odontologica,cirugia bucal menor,2015-01-01,2,3,11,15,3,8,7,22,6,2,0,0,0,0,29,50,79
MECAPACA,atencion odontologica,cirugia bucal menor,2015-01-01,0,1,2,9,1,6,6,9,11,1,0,0,0,0,20,26,46
MIZQUE,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,3,15,0,4,2,9,4,4,0,0,0,0,9,32,41
MOJOCOYA,atencion odontologica,cirugia bucal menor,2015-01-01,0,3,0,0,0,0,0,0,1,2,0,0,0,0,1,5,6
MONTEAGUDO,atencion odontologica,cirugia bucal menor,2015-01-01,6,5,11,14,1,6,12,30,18,6,0,0,0,0,48,61,109
MONTERO,atencion odontologica,cirugia bucal menor,2015-01-01,14,11,63,31,7,12,17,68,10,8,0,0,0,0,111,130,241
MORO MORO,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,0,0,2,1,1,1,0,0,0,0,0,2,3,5
MOROCHATA,atencion odontologica,cirugia bucal menor,2015-01-01,2,2,5,6,4,5,7,20,4,1,0,0,0,0,22,34,56
OCURI,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,1,0,0,0,1,2,1,0,0,0,0,0,3,2,5
ORURO,atencion odontologica,cirugia bucal menor,2015-01-01,75,82,166,189,33,62,119,172,70,45,0,0,0,0,463,550,1013
PADCAYA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,5,1,4,3,6,1,0,0,0,0,0,5,15,20
PADILLA,atencion odontologica,cirugia bucal menor,2015-01-01,2,1,2,3,0,2,3,9,2,3,0,0,0,0,9,18,27
PAILON,atencion odontologica,cirugia bucal menor,2015-01-01,3,2,3,5,2,5,17,25,1,2,0,0,0,0,26,39,65
PALCA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,6,3,3,8,5,12,1,3,0,0,0,0,15,26,41
PALOS BLANCOS,atencion odontologica,cirugia bucal menor,2015-01-01,2,1,3,8,2,4,3,12,1,0,0,0,0,0,11,25,36
PAMPA AULLAGAS,atencion odontologica,cirugia bucal menor,2015-01-01,2,0,0,1,0,0,0,1,0,2,0,0,0,0,2,4,6
PAPEL PAMPA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,1,1,2,1,3,3,2,0,0,0,0,0,8,5,13
PATACAMAYA,atencion odontologica,cirugia bucal menor,2015-01-01,3,1,3,1,0,1,0,1,0,0,0,0,0,0,6,4,10
PAZÑA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
PELECHUCO,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,2,4,2,5,9,17,11,2,0,0,0,0,24,28,52
POCOATA,atencion odontologica,cirugia bucal menor,2015-01-01,2,7,5,1,1,1,6,8,0,0,0,0,0,0,14,17,31
POCONA,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,1,2,0,3,2,2,0,0,0,0,0,0,4,7,11
POJO (CBBA),atencion odontologica,cirugia bucal menor,2015-01-01,1,5,16,20,4,9,5,25,16,8,0,0,0,0,42,67,109
POOPO,atencion odontologica,cirugia bucal menor,2015-01-01,2,1,0,0,2,1,0,3,0,1,0,0,0,0,4,6,10
PORCO,atencion odontologica,cirugia bucal menor,2015-01-01,4,7,0,2,4,3,0,6,0,0,0,0,0,0,8,18,26
POROMA,atencion odontologica,cirugia bucal menor,2015-01-01,0,2,1,0,2,0,4,9,4,4,0,0,0,0,11,15,26
PORONGO,atencion odontologica,cirugia bucal menor,2015-01-01,0,1,4,8,1,3,1,3,0,2,0,0,0,0,6,17,23
PORTACHUELO,atencion odontologica,cirugia bucal menor,2015-01-01,6,5,7,7,0,11,3,0,6,0,0,0,0,0,22,23,45
PORVENIR,atencion odontologica,cirugia bucal menor,2015-01-01,1,1,0,1,1,2,1,1,0,0,0,0,0,0,3,5,8
POSTRER VALLE,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,1,0,0,2,5,3,0,0,0,0,0,5,6,11
POTOSI,atencion odontologica,cirugia bucal menor,2015-01-01,43,60,10,15,15,19,14,63,30,4,0,0,0,0,112,161,273
PRESTO,atencion odontologica,cirugia bucal menor,2015-01-01,1,1,5,16,1,4,9,23,1,0,0,0,0,0,17,44,61
PUCARA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,3
PUCARANI,atencion odontologica,cirugia bucal menor,2015-01-01,8,0,13,9,8,11,18,26,6,5,0,0,0,0,53,51,104
PUERTO ACOSTA,atencion odontologica,cirugia bucal menor,2015-01-01,8,5,17,22,6,13,18,26,26,39,0,0,0,0,75,105,180
PUERTO CARABUCO,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO GONZALO MORENO,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,3
PUERTO PEREZ,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,2,0,0,2,4,12,7,6,0,0,0,0,13,20,33
PUERTO QUIJARRO,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,1,8,2,4,3,0,0,0,0,0,0,12,6,18
PUERTO RICO,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
PUERTO SUAREZ,atencion odontologica,cirugia bucal menor,2015-01-01,1,0,3,1,0,1,1,6,1,14,0,0,0,0,6,22,28
PUERTO VILLARROEL,atencion odontologica,cirugia bucal menor,2015-01-01,10,10,0,2,0,1,0,1,0,0,0,0,0,0,10,14,24
PUNA,atencion odontologica,cirugia bucal menor,2015-01-01,1,4,3,8,2,4,7,11,1,0,0,0,0,0,14,27,41
PUNATA,atencion odontologica,cirugia bucal menor,2015-01-01,4,5,5,3,0,2,4,5,4,5,0,0,0,0,17,20,37
QUIABAYA,atencion odontologica,cirugia bucal menor,2015-01-01,1,4,6,8,4,4,10,15,2,3,0,0,0,0,23,34,57
QUILLACOLLO,atencion odontologica,cirugia bucal menor,2015-01-01,19,27,7,24,1,3,1,11,2,6,0,0,0,0,30,71,101
QUIME,atencion odontologica,cirugia bucal menor,2015-01-01,6,5,2,3,2,1,6,8,0,1,0,0,0,0,16,18,34
RAVELO,atencion odontologica,cirugia bucal menor,2015-01-01,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2
REYES,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,3
RIBERALTA,atencion odontologica,cirugia bucal menor,2015-01-01,6,14,21,31,15,59,20,111,5,0,0,0,0,0,67,215,282
RURRENABAQUE,atencion odontologica,cirugia bucal menor,2015-01-01,3,3,3,2,4,6,10,12,13,2,0,0,0,0,33,25,58
SABAYA,atencion odontologica,cirugia bucal menor,2015-01-01,1,1,2,0,0,1,5,5,0,1,0,0,0,0,8,8,16
SACABA,atencion odontologica,cirugia bucal menor,2015-01-01,30,45,12,8,0,0,4,31,2,9,0,0,0,0,48,93,141
SACABAMBA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
SACACA,atencion odontologica,cirugia bucal menor,2015-01-01,6,3,3,3,2,10,10,13,1,2,0,0,0,0,22,31,53
SAIPINA,atencion odontologica,cirugia bucal menor,2015-01-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2
SALINAS DE GARCI MENDOZA,atencion odontologica,cirugia bucal menor,2015-01-01,4,3,7,2,1,0,1,4,1,5,0,0,0,0,14,14,28
SAMAIPATA,atencion odontologica,cirugia bucal menor,2015-01-01,1,3,4,6,1,2,1,7,7,2,0,0,0,0,14,20,34
SAN AGUSTIN,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,1,3,2,0,1,3,0,0,0,0,0,0,4,6,10
SAN ANDRES,atencion odontologica,cirugia bucal menor,2015-01-01,0,1,0,0,0,0,1,6,1,0,0,0,0,0,2,7,9
SAN ANDRES DE MACHACA,atencion odontologica,cirugia bucal menor,2015-01-01,0,0,3,1,3,3,3,5,5,2,0,0,0,0,14,11,25
