,group,variable,month,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA MENORES DE 5 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 5 A 13 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 14 A 19 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 20 A 59 AÑOS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA 60 AÑOS Y MAS,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA EMB,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,CIRUGIA BUCOMAXILOFACIAL MEDIANA POST,TOTALES,TOTALES,TOTALES
BATALLAS,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-04-01,0,0,1,1,1,0,3,0,0,0,0,0,0,0,5,1,6
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-04-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
HUANUNI,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-04-01,3,6,8,12,7,17,14,13,4,3,0,0,0,0,36,51,87
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-04-01,2,1,0,1,0,0,0,1,0,0,0,0,0,0,2,3,5
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-04-01,1,1,1,0,0,2,4,14,8,2,0,0,0,0,14,19,33
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-04-01,0,0,0,1,4,6,15,15,2,2,0,0,0,0,21,24,45
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-04-01,3,1,0,0,0,0,2,0,0,0,0,0,0,0,5,1,6
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-04-01,0,0,2,0,0,2,4,11,1,0,0,0,0,0,7,13,20
CAMIRI,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-05-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-05-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-05-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
RAVELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-05-01,0,0,0,0,0,1,1,8,2,0,0,0,0,0,3,9,12
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-05-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,2
SOPACHUY,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-05-01,0,0,6,2,4,1,2,2,5,2,0,0,0,0,17,7,24
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-05-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-05-01,1,0,3,0,0,0,5,1,3,0,0,0,0,0,12,1,13
TRIGAL,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
VIACHA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-05-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
CALACOTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-06-01,0,0,0,0,0,1,2,3,3,2,0,0,0,0,5,6,11
CAMIRI,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-06-01,0,0,1,1,0,1,1,1,0,0,0,0,0,0,2,3,5
EL ALTO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
MAGDALENA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-06-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN ANTONIO DE ESMORUCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-06-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
SAN LUCAS,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-06-01,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,3,4
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-06-01,0,0,0,0,0,0,0,0,6,10,0,0,0,0,6,10,16
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-06-01,0,0,3,2,1,0,1,6,1,0,0,0,0,0,6,8,14
ACHOCALLA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
BATALLAS,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-07-01,0,0,2,0,0,1,3,2,0,0,0,0,0,0,5,3,8
COBIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-07-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
PUNATA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-07-01,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,4,4
SACABA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-07-01,17,15,1,1,0,1,3,7,1,2,0,0,0,0,22,26,48
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-07-01,1,0,0,1,1,0,1,0,1,0,0,0,0,0,4,1,5
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-07-01,30,0,0,0,0,7,3,4,0,1,0,0,0,0,33,12,45
COCHABAMBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-08-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-08-01,0,0,0,0,0,2,2,6,0,0,0,0,0,0,2,8,10
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-08-01,1,1,0,0,0,0,1,2,0,0,0,0,0,0,2,3,5
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-08-01,0,0,2,2,0,1,5,2,6,3,0,0,0,0,13,8,21
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-08-01,4,1,0,0,0,1,1,2,0,0,0,0,0,0,5,4,9
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-08-01,0,0,3,4,2,2,8,18,2,0,0,0,0,0,15,24,39
TUPIZA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-08-01,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
ALTO BENI,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-09-01,0,0,0,2,0,2,5,0,1,0,0,0,0,0,6,4,10
CAIROMA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-09-01,0,0,0,0,0,0,4,1,0,0,0,0,0,0,4,1,5
CHAYANTA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-09-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MONTEAGUDO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-09-01,0,0,1,0,1,0,3,12,3,3,0,0,0,0,8,15,23
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-09-01,1,0,0,0,8,0,9,2,0,0,0,0,0,0,18,2,20
POROMA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-09-01,0,0,9,10,1,0,2,3,2,2,0,0,0,0,14,15,29
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-09-01,0,0,0,0,1,0,1,11,3,5,0,0,0,0,5,16,21
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-09-01,0,1,2,1,0,1,1,4,2,1,0,0,0,0,5,8,13
BERMEJO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-10-01,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-10-01,2,3,0,1,0,0,5,8,0,0,0,0,0,0,7,12,19
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-10-01,0,0,1,0,0,3,16,14,1,2,0,0,0,0,18,19,37
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-10-01,0,0,1,0,0,0,0,0,2,1,0,0,0,0,3,1,4
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-10-01,0,1,0,0,0,2,4,9,3,1,0,0,0,0,7,13,20
TOTORA(ORR),atencion odontologica,cirugia bucomaxilofacial  mediana,2015-10-01,1,0,0,1,0,0,4,0,0,2,0,0,0,0,5,3,8
VILLA TUNARI,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-10-01,0,0,2,5,0,1,6,12,0,2,0,0,0,0,8,20,28
"COLCHA ""K""",atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,0,0,3,2,1,0,5,8,6,0,0,0,0,0,15,10,25
COTAGAITA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,1,0,1,0,0,1,0,1,0,1,0,0,0,0,2,3,5
GUAYARAMERIN,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,1,1,0,0,0,0,2,7,0,0,0,0,0,0,3,8,11
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,0,1,0,0,1,0,0,4,0,0,0,0,0,0,1,5,6
ORURO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,2,0,0,1,1,0,3,1,1,1,0,0,0,0,7,3,10
PORTACHUELO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,0,0,3,3,2,0,0,0,0,0,0,0,0,0,5,3,8
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,0,0,0,1,3,4,13,20,8,5,0,0,0,0,24,30,54
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
TARIJA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,0,0,2,0,0,1,3,1,2,2,0,0,0,0,7,4,11
TIQUIPAYA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,0,0,0,3,0,0,2,6,9,0,0,0,0,0,11,9,20
TOMINA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,0,0,2,2,0,0,2,3,0,0,0,0,0,0,4,5,9
YACUIBA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-11-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
COTOCA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-12-01,0,0,2,0,0,3,0,3,0,0,0,0,0,0,2,6,8
LA PAZ,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-12-01,1,0,4,0,0,8,1,3,0,0,0,0,0,0,6,11,17
SANTA CRUZ DE LA SIERRA,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-12-01,0,0,1,0,0,1,1,2,0,0,0,0,0,0,2,3,5
SUCRE,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-12-01,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,5,5
TRINIDAD,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-12-01,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,13,13
TURCO,atencion odontologica,cirugia bucomaxilofacial  mediana,2015-12-01,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2
