,group,variable,month,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA MENORES DE 5 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 5 A 13 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 14 A 19 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 20 A 59 AÑOS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA 60 AÑOS Y MAS,PRIMERA CONSULTA EMB,PRIMERA CONSULTA EMB,PRIMERA CONSULTA POST,PRIMERA CONSULTA POST,TOTALES,TOTALES,TOTALES
CHALLAPATA,atencion odontologica,primera consulta,2015-01-01,58,70,77,84,16,31,54,141,23,22,0,20,0,21,228,389,617
CHAQUI,atencion odontologica,primera consulta,2015-01-01,14,5,3,1,2,3,3,5,2,4,0,6,0,3,24,27,51
CHARAGUA,atencion odontologica,primera consulta,2015-01-01,34,15,10,17,10,33,20,48,3,7,0,12,0,12,77,144,221
CHARAÑA,atencion odontologica,primera consulta,2015-01-01,1,3,2,2,6,0,1,17,4,1,0,4,0,1,14,28,42
CHAYANTA,atencion odontologica,primera consulta,2015-01-01,2,7,3,2,2,3,7,12,1,4,0,1,0,6,15,35,50
CHIMORE,atencion odontologica,primera consulta,2015-01-01,37,27,10,14,4,12,12,40,4,0,0,2,0,17,67,112,179
CHIPAYA,atencion odontologica,primera consulta,2015-01-01,1,1,2,1,0,1,2,7,1,0,0,2,0,1,6,13,19
CHOQUE COTA,atencion odontologica,primera consulta,2015-01-01,0,0,0,0,1,0,4,5,0,0,0,0,0,0,5,5,10
CHUA COCANI,atencion odontologica,primera consulta,2015-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica,primera consulta,2015-01-01,18,12,6,18,8,21,12,53,1,1,0,24,0,27,45,156,201
CHUMA,atencion odontologica,primera consulta,2015-01-01,21,14,26,43,5,32,46,64,30,22,0,10,0,11,128,196,324
CHUQUIHUTA AYLLU JUCUMANI,atencion odontologica,primera consulta,2015-01-01,3,9,1,2,2,3,2,12,1,0,0,0,0,6,9,32,41
CKOCHAS,atencion odontologica,primera consulta,2015-01-01,10,9,6,2,1,5,13,43,2,5,0,9,0,13,32,86,118
CLIZA,atencion odontologica,primera consulta,2015-01-01,27,21,26,35,6,10,14,56,12,13,0,9,0,11,85,155,240
COBIJA,atencion odontologica,primera consulta,2015-01-01,92,69,34,48,23,47,73,144,16,2,0,68,0,21,238,399,637
COCAPATA,atencion odontologica,primera consulta,2015-01-01,9,11,2,1,4,7,11,28,1,2,0,2,0,4,27,55,82
COCHABAMBA,atencion odontologica,primera consulta,2015-01-01,506,527,391,416,142,236,316,605,65,64,0,355,0,154,1420,2357,3777
COLCAPIRHUA,atencion odontologica,primera consulta,2015-01-01,53,44,11,12,1,4,7,17,11,16,0,15,0,22,83,130,213
"COLCHA ""K""",atencion odontologica,primera consulta,2015-01-01,7,5,1,4,2,2,0,7,7,6,0,2,0,4,17,30,47
COLLANA,atencion odontologica,primera consulta,2015-01-01,7,6,4,2,3,5,11,17,2,3,0,2,0,3,27,38,65
COLOMI,atencion odontologica,primera consulta,2015-01-01,8,13,0,0,0,0,0,0,1,2,0,8,0,2,9,25,34
COLPA BELGICA,atencion odontologica,primera consulta,2015-01-01,12,5,1,0,0,3,0,7,1,2,0,2,0,7,14,26,40
COLQUECHACA,atencion odontologica,primera consulta,2015-01-01,24,28,17,14,5,19,36,77,22,17,0,21,0,21,104,197,301
COLQUENCHA,atencion odontologica,primera consulta,2015-01-01,12,8,16,18,5,14,9,14,4,2,0,1,0,4,46,61,107
COLQUIRI,atencion odontologica,primera consulta,2015-01-01,17,10,34,28,10,22,36,53,4,2,0,1,0,2,101,118,219
COMANCHE,atencion odontologica,primera consulta,2015-01-01,3,5,3,4,4,1,7,13,1,2,0,0,0,0,18,25,43
COMARAPA,atencion odontologica,primera consulta,2015-01-01,27,28,27,20,21,27,18,37,10,16,0,17,0,12,103,157,260
COMBAYA,atencion odontologica,primera consulta,2015-01-01,0,0,0,3,0,0,0,0,1,1,0,0,0,0,1,4,5
CONCEPCION,atencion odontologica,primera consulta,2015-01-01,7,15,9,8,10,8,13,33,3,1,0,2,0,0,42,67,109
COPACABANA,atencion odontologica,primera consulta,2015-01-01,18,18,10,14,4,14,9,30,5,5,0,0,0,1,46,82,128
CORIPATA,atencion odontologica,primera consulta,2015-01-01,8,8,3,3,1,1,7,12,2,1,0,4,0,2,21,31,52
CORO CORO,atencion odontologica,primera consulta,2015-01-01,4,4,16,6,4,17,10,21,4,3,0,0,0,2,38,53,91
CORQUE,atencion odontologica,primera consulta,2015-01-01,3,2,1,2,1,2,5,5,3,2,0,1,0,3,13,17,30
COTAGAITA,atencion odontologica,primera consulta,2015-01-01,20,13,25,18,21,32,49,84,14,18,0,9,0,17,129,191,320
COTOCA,atencion odontologica,primera consulta,2015-01-01,249,238,120,123,13,24,5,48,72,41,0,18,0,1,459,493,952
CUATRO CAÑADAS,atencion odontologica,primera consulta,2015-01-01,82,98,14,22,8,11,17,54,6,4,0,21,0,27,127,237,364
CUCHUMUELA (V. G. VILLARROEL),atencion odontologica,primera consulta,2015-01-01,4,1,1,2,1,7,1,7,0,2,0,6,0,2,7,27,34
CUEVO,atencion odontologica,primera consulta,2015-01-01,24,25,7,20,4,21,15,48,5,7,0,11,0,2,55,134,189
CULPINA,atencion odontologica,primera consulta,2015-01-01,51,40,17,21,10,29,32,79,5,10,0,29,0,17,115,225,340
CURAHUARA DE CARANGAS,atencion odontologica,primera consulta,2015-01-01,9,4,3,10,0,1,9,27,6,3,0,3,0,7,27,55,82
CURVA,atencion odontologica,primera consulta,2015-01-01,15,10,6,4,0,2,4,8,0,3,0,0,0,7,25,34,59
DESAGUADERO,atencion odontologica,primera consulta,2015-01-01,15,18,5,6,2,1,10,13,7,10,0,5,0,2,39,55,94
EL ALTO,atencion odontologica,primera consulta,2015-01-01,759,789,1038,1411,405,652,272,725,81,67,0,154,0,147,2555,3945,6500
EL CHORO,atencion odontologica,primera consulta,2015-01-01,18,13,1,1,0,1,2,8,2,11,0,1,0,3,23,38,61
EL PUENTE(STC),atencion odontologica,primera consulta,2015-01-01,26,25,12,11,7,14,10,24,5,4,0,9,0,2,60,89,149
EL PUENTE(TJA),atencion odontologica,primera consulta,2015-01-01,1,1,18,26,16,39,27,85,6,5,0,0,0,0,68,156,224
EL TORNO,atencion odontologica,primera consulta,2015-01-01,82,77,58,58,23,59,40,133,40,21,0,29,0,39,243,416,659
EL VILLAR,atencion odontologica,primera consulta,2015-01-01,0,0,0,2,1,4,2,8,1,0,0,2,0,2,4,18,22
ENTRE RIOS TRJ,atencion odontologica,primera consulta,2015-01-01,15,18,53,69,23,69,35,120,4,5,0,14,0,8,130,303,433
ENTRE RIOS CBBA,atencion odontologica,primera consulta,2015-01-01,38,29,0,6,5,4,2,26,5,0,0,20,0,22,50,107,157
ESCOMA,atencion odontologica,primera consulta,2015-01-01,3,8,8,12,11,8,19,25,4,4,0,2,0,1,45,60,105
EUCALIPTUS,atencion odontologica,primera consulta,2015-01-01,1,7,8,17,4,10,9,26,7,4,0,4,0,4,29,72,101
FERNANDEZ ALONSO,atencion odontologica,primera consulta,2015-01-01,85,67,20,24,8,45,20,133,17,16,0,9,0,12,150,306,456
FILADELFIA,atencion odontologica,primera consulta,2015-01-01,5,6,1,2,0,1,3,5,0,0,0,2,0,0,9,16,25
GENERAL SAAVEDRA,atencion odontologica,primera consulta,2015-01-01,22,23,7,5,2,11,5,21,2,2,0,7,0,4,38,73,111
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica,primera consulta,2015-01-01,28,36,19,16,5,17,18,49,4,14,0,7,0,9,74,148,222
GUANAY,atencion odontologica,primera consulta,2015-01-01,16,16,9,8,5,11,26,32,5,2,0,7,0,8,61,84,145
GUAQUI,atencion odontologica,primera consulta,2015-01-01,15,16,12,15,7,22,14,35,30,28,0,5,0,3,78,124,202
GUAYARAMERIN,atencion odontologica,primera consulta,2015-01-01,33,29,83,83,52,82,46,113,8,0,0,58,0,4,222,369,591
GUTIERREZ,atencion odontologica,primera consulta,2015-01-01,4,6,1,3,3,8,10,19,7,8,0,6,0,3,25,53,78
HUACARETA,atencion odontologica,primera consulta,2015-01-01,24,17,4,2,0,11,6,28,5,1,0,18,0,4,39,81,120
HUACAYA (VILLA DE HUACAYA),atencion odontologica,primera consulta,2015-01-01,4,5,2,1,1,2,4,12,0,0,0,7,0,0,11,27,38
HUACHACALLA,atencion odontologica,primera consulta,2015-01-01,4,3,0,4,2,2,9,22,13,17,0,0,0,0,28,48,76
HUANUNI,atencion odontologica,primera consulta,2015-01-01,23,19,43,91,18,42,44,69,9,19,0,0,0,0,137,240,377
HUATAJATA,atencion odontologica,primera consulta,2015-01-01,10,15,6,8,1,7,8,17,13,16,0,0,0,18,38,81,119
HUAYLLAMARCA,atencion odontologica,primera consulta,2015-01-01,5,9,12,14,7,5,9,25,10,12,0,7,0,2,43,74,117
HUMANATA,atencion odontologica,primera consulta,2015-01-01,1,0,0,0,0,0,0,1,0,0,0,2,0,13,1,16,17
ICHOCA,atencion odontologica,primera consulta,2015-01-01,6,6,2,1,0,2,4,8,3,0,0,1,0,0,15,18,33
ICLA,atencion odontologica,primera consulta,2015-01-01,79,77,12,24,3,12,7,40,2,3,0,22,0,9,103,187,290
INCAHUASI,atencion odontologica,primera consulta,2015-01-01,3,6,11,11,6,12,13,28,0,2,0,9,0,6,33,74,107
INQUISIVI,atencion odontologica,primera consulta,2015-01-01,19,29,11,9,8,26,8,27,11,6,0,12,0,16,57,125,182
IRUPANA (VILLA DE LANZA),atencion odontologica,primera consulta,2015-01-01,19,34,21,14,9,19,35,36,10,4,0,5,0,10,94,122,216
IXIAMAS,atencion odontologica,primera consulta,2015-01-01,10,8,19,22,11,14,15,21,3,0,0,2,0,1,58,68,126
JESUS DE MACHACA,atencion odontologica,primera consulta,2015-01-01,14,12,11,17,6,15,10,27,15,9,0,0,0,1,56,81,137
LA ASUNTA,atencion odontologica,primera consulta,2015-01-01,37,40,26,29,27,50,50,83,5,4,0,8,0,30,145,244,389
LA GUARDIA,atencion odontologica,primera consulta,2015-01-01,106,97,27,29,2,21,13,57,12,11,0,46,0,22,160,283,443
LA PAZ,atencion odontologica,primera consulta,2015-01-01,954,949,830,988,421,588,662,1139,380,251,0,172,0,157,3247,4244,7491
LAGUNILLAS,atencion odontologica,primera consulta,2015-01-01,8,1,10,7,6,23,26,42,3,2,0,1,0,1,53,77,130
LAJA,atencion odontologica,primera consulta,2015-01-01,38,34,21,29,6,12,16,31,11,9,0,6,0,9,92,130,222
LAS CARRERAS,atencion odontologica,primera consulta,2015-01-01,0,3,4,6,3,7,12,25,7,4,0,3,0,3,26,51,77
LICOMA PAMPA,atencion odontologica,primera consulta,2015-01-01,10,14,1,3,2,5,5,13,39,36,0,12,0,1,57,84,141
LLALLAGUA,atencion odontologica,primera consulta,2015-01-01,59,61,22,37,8,26,20,82,2,6,0,17,0,14,111,243,354
LORETO,atencion odontologica,primera consulta,2015-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
LURIBAY,atencion odontologica,primera consulta,2015-01-01,5,9,7,3,0,8,12,19,6,1,0,1,0,4,30,45,75
MACHACAMARCA,atencion odontologica,primera consulta,2015-01-01,17,9,20,24,2,7,7,19,2,5,0,6,0,1,48,71,119
MACHARETI,atencion odontologica,primera consulta,2015-01-01,20,13,2,6,6,2,7,20,3,2,0,12,0,1,38,56,94
MAGDALENA,atencion odontologica,primera consulta,2015-01-01,4,3,7,22,10,15,16,33,7,0,0,2,0,3,44,78,122
MAIRANA,atencion odontologica,primera consulta,2015-01-01,5,7,2,2,0,7,1,6,2,0,0,8,0,0,10,30,40
MALLA,atencion odontologica,primera consulta,2015-01-01,3,3,0,0,1,2,2,8,1,0,0,0,0,0,7,13,20
MAPIRI,atencion odontologica,primera consulta,2015-01-01,8,17,14,20,6,22,16,33,6,7,0,1,0,6,50,106,156
MECAPACA,atencion odontologica,primera consulta,2015-01-01,34,24,22,25,6,23,16,34,9,2,0,1,0,3,87,112,199
MIZQUE,atencion odontologica,primera consulta,2015-01-01,19,19,9,16,2,14,4,16,1,3,0,5,0,5,35,78,113
MOCOMOCO,atencion odontologica,primera consulta,2015-01-01,2,5,9,11,5,14,32,31,7,5,0,3,0,2,55,71,126
MOJINETE,atencion odontologica,primera consulta,2015-01-01,1,0,2,5,0,0,1,9,1,1,0,0,0,0,5,15,20
MOJOCOYA,atencion odontologica,primera consulta,2015-01-01,4,3,2,4,0,3,14,20,3,7,0,4,0,3,23,44,67
MONTEAGUDO,atencion odontologica,primera consulta,2015-01-01,88,83,17,32,10,34,18,90,7,3,0,38,0,28,140,308,448
MONTERO,atencion odontologica,primera consulta,2015-01-01,85,89,101,82,25,61,56,186,13,19,0,36,0,11,280,484,764
MORO MORO,atencion odontologica,primera consulta,2015-01-01,18,21,9,6,3,6,5,17,2,2,0,4,0,4,37,60,97
MOROCHATA,atencion odontologica,primera consulta,2015-01-01,45,51,4,7,8,12,4,36,8,10,0,19,0,23,69,158,227
NUEVO MANOA (NUEVA ESPERANZA),atencion odontologica,primera consulta,2015-01-01,2,1,3,7,2,0,3,2,0,0,0,1,0,0,10,11,21
OCURI,atencion odontologica,primera consulta,2015-01-01,8,7,6,10,4,6,24,40,5,10,0,7,0,12,47,92,139
OKINAWA,atencion odontologica,primera consulta,2015-01-01,13,8,6,7,6,8,8,32,5,4,0,4,0,10,38,73,111
ORURO,atencion odontologica,primera consulta,2015-01-01,286,267,455,455,142,261,424,730,142,100,0,110,0,60,1449,1983,3432
PADCAYA,atencion odontologica,primera consulta,2015-01-01,8,11,16,28,21,46,26,53,1,1,0,12,0,0,72,151,223
PADILLA,atencion odontologica,primera consulta,2015-01-01,38,42,13,27,5,20,24,55,7,5,0,29,0,15,87,193,280
PAILON,atencion odontologica,primera consulta,2015-01-01,76,78,39,30,7,8,15,30,2,7,0,14,0,10,139,177,316
PALCA,atencion odontologica,primera consulta,2015-01-01,38,37,10,4,2,19,9,18,4,1,0,1,0,1,63,81,144
PALOS BLANCOS,atencion odontologica,primera consulta,2015-01-01,27,35,25,22,11,26,25,64,19,8,0,14,0,37,107,206,313
PAMPA AULLAGAS,atencion odontologica,primera consulta,2015-01-01,7,4,3,6,1,4,4,5,1,1,0,3,0,3,16,26,42
PAMPA GRANDE,atencion odontologica,primera consulta,2015-01-01,28,22,5,0,0,11,2,10,1,0,0,13,0,6,36,62,98
PAPEL PAMPA,atencion odontologica,primera consulta,2015-01-01,6,4,3,5,6,1,7,3,2,1,0,7,0,4,24,25,49
PASORAPA,atencion odontologica,primera consulta,2015-01-01,6,2,0,1,1,3,6,4,1,0,0,0,0,1,14,11,25
PATACAMAYA,atencion odontologica,primera consulta,2015-01-01,23,24,18,14,6,12,7,11,3,0,0,1,0,4,57,66,123
PAZÑA,atencion odontologica,primera consulta,2015-01-01,6,13,3,6,2,5,9,14,7,9,0,4,0,0,27,51,78
PELECHUCO,atencion odontologica,primera consulta,2015-01-01,14,9,2,4,5,8,11,23,4,1,0,6,0,3,36,54,90
POCOATA,atencion odontologica,primera consulta,2015-01-01,4,10,4,3,2,2,9,13,2,0,0,7,0,4,21,39,60
POCONA,atencion odontologica,primera consulta,2015-01-01,14,20,19,14,8,13,12,25,1,2,0,6,0,9,54,89,143
POJO (CBBA),atencion odontologica,primera consulta,2015-01-01,18,23,24,39,14,24,31,54,11,8,0,2,0,18,98,168,266
POOPO,atencion odontologica,primera consulta,2015-01-01,12,12,11,14,7,13,10,25,2,6,0,3,0,5,42,78,120
PORCO,atencion odontologica,primera consulta,2015-01-01,8,28,7,8,7,2,1,23,1,1,0,5,0,4,24,71,95
POROMA,atencion odontologica,primera consulta,2015-01-01,42,31,8,5,3,5,16,41,6,3,0,12,0,8,75,105,180
PORONGO,atencion odontologica,primera consulta,2015-01-01,1,5,9,15,3,6,7,14,1,2,0,5,0,2,21,49,70
PORTACHUELO,atencion odontologica,primera consulta,2015-01-01,11,15,16,27,2,20,17,38,5,3,0,3,0,0,51,106,157
PORVENIR,atencion odontologica,primera consulta,2015-01-01,17,16,74,61,47,54,42,44,23,5,0,7,0,1,203,188,391
POSTRER VALLE,atencion odontologica,primera consulta,2015-01-01,21,22,3,3,1,2,2,5,3,1,0,2,0,2,30,37,67
POTOSI,atencion odontologica,primera consulta,2015-01-01,230,209,202,195,73,204,135,428,37,46,0,185,0,94,677,1361,2038
PRESTO,atencion odontologica,primera consulta,2015-01-01,31,28,7,11,7,8,10,40,1,1,0,15,0,6,56,109,165
PUCARA,atencion odontologica,primera consulta,2015-01-01,16,14,0,1,0,0,1,3,0,1,0,2,0,5,17,26,43
PUCARANI,atencion odontologica,primera consulta,2015-01-01,23,18,13,12,9,21,27,44,5,4,0,22,0,10,77,131,208
PUERTO ACOSTA,atencion odontologica,primera consulta,2015-01-01,13,15,16,20,8,11,19,27,18,40,0,3,0,8,74,124,198
PUERTO CARABUCO,atencion odontologica,primera consulta,2015-01-01,23,15,27,31,25,26,41,62,29,7,0,2,0,3,145,146,291
PUERTO GONZALO MORENO,atencion odontologica,primera consulta,2015-01-01,39,37,19,11,3,12,2,10,0,2,0,23,0,10,63,105,168
PUERTO PEREZ,atencion odontologica,primera consulta,2015-01-01,4,3,3,1,1,3,5,13,6,8,0,4,0,1,19,33,52
PUERTO QUIJARRO,atencion odontologica,primera consulta,2015-01-01,16,12,2,2,9,7,12,20,1,0,0,7,0,2,40,50,90
PUERTO RICO,atencion odontologica,primera consulta,2015-01-01,9,5,11,15,14,6,13,36,0,1,0,8,0,4,47,75,122
PUERTO SUAREZ,atencion odontologica,primera consulta,2015-01-01,18,20,12,8,3,9,1,48,4,4,0,20,0,12,38,121,159
PUERTO VILLARROEL,atencion odontologica,primera consulta,2015-01-01,87,64,28,13,11,18,18,53,6,12,0,24,0,29,150,213,363
PUNA,atencion odontologica,primera consulta,2015-01-01,14,16,11,24,12,18,36,72,6,6,0,9,0,15,79,160,239
PUNATA,atencion odontologica,primera consulta,2015-01-01,17,18,11,17,8,15,9,19,2,9,0,11,0,3,47,92,139
QUIABAYA,atencion odontologica,primera consulta,2015-01-01,9,12,6,7,4,5,10,17,2,2,0,9,0,8,31,60,91
QUILLACOLLO,atencion odontologica,primera consulta,2015-01-01,70,104,31,37,8,30,14,59,8,13,0,37,0,40,131,320,451
QUIME,atencion odontologica,primera consulta,2015-01-01,24,32,17,27,11,12,41,40,7,6,0,4,0,10,100,131,231
RAVELO,atencion odontologica,primera consulta,2015-01-01,17,10,5,4,0,9,24,15,0,2,0,8,0,5,46,53,99
REYES,atencion odontologica,primera consulta,2015-01-01,1,2,10,8,2,5,10,18,4,0,0,1,0,2,27,36,63
RIBERALTA,atencion odontologica,primera consulta,2015-01-01,72,97,64,101,70,68,59,125,20,20,0,89,0,32,285,532,817
ROBORE,atencion odontologica,primera consulta,2015-01-01,5,2,0,0,6,0,18,29,1,0,0,0,0,0,30,31,61
RURRENABAQUE,atencion odontologica,primera consulta,2015-01-01,12,15,7,14,11,20,11,24,2,5,0,8,0,2,43,88,131
SABAYA,atencion odontologica,primera consulta,2015-01-01,3,2,3,1,0,3,4,6,0,3,0,2,0,1,10,18,28
SACABA,atencion odontologica,primera consulta,2015-01-01,54,65,13,8,12,13,48,85,9,8,0,30,0,70,136,279,415
SACABAMBA,atencion odontologica,primera consulta,2015-01-01,1,1,6,1,3,0,1,6,4,8,0,0,0,1,15,17,32
SACACA,atencion odontologica,primera consulta,2015-01-01,11,12,12,13,7,10,17,34,3,4,0,8,0,13,50,94,144
SAIPINA,atencion odontologica,primera consulta,2015-01-01,4,6,3,2,1,6,7,9,2,0,0,2,0,0,17,25,42
SALINAS DE GARCI MENDOZA,atencion odontologica,primera consulta,2015-01-01,24,13,18,8,3,7,9,22,9,19,0,11,0,4,63,84,147
SAMAIPATA,atencion odontologica,primera consulta,2015-01-01,29,23,7,5,0,3,3,16,3,2,0,0,0,0,42,49,91
SAN AGUSTIN,atencion odontologica,primera consulta,2015-01-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
SAN ANDRES,atencion odontologica,primera consulta,2015-01-01,8,8,16,13,2,3,2,6,3,1,0,0,0,1,31,32,63
