municipality,group,variable,month,Cirugia maxilo Faciales,TOTAL
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2006-03-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2006-04-01,2,2
BERMEJO,consultas odontologicas,cirugia maxilo faciales,2006-04-01,1,1
CALACOTO,consultas odontologicas,cirugia maxilo faciales,2006-04-01,1,1
CARACOLLO,consultas odontologicas,cirugia maxilo faciales,2006-04-01,7,7
COBIJA,consultas odontologicas,cirugia maxilo faciales,2006-04-01,6,6
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2006-04-01,31,31
COMBAYA,consultas odontologicas,cirugia maxilo faciales,2006-04-01,2,2
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2006-04-01,1,1
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2006-04-01,39,39
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2006-04-01,3,3
ORURO,consultas odontologicas,cirugia maxilo faciales,2006-04-01,28,28
POOPO,consultas odontologicas,cirugia maxilo faciales,2006-04-01,10,10
POTOSI,consultas odontologicas,cirugia maxilo faciales,2006-04-01,2,2
PUERTO ACOSTA,consultas odontologicas,cirugia maxilo faciales,2006-04-01,11,11
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2006-04-01,1,1
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2006-04-01,145,145
SORATA,consultas odontologicas,cirugia maxilo faciales,2006-04-01,14,14
SUCRE,consultas odontologicas,cirugia maxilo faciales,2006-04-01,23,23
TARIJA,consultas odontologicas,cirugia maxilo faciales,2006-04-01,13,13
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2006-04-01,5,5
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2006-04-01,3,3
VILLAZON,consultas odontologicas,cirugia maxilo faciales,2006-04-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,cirugia maxilo faciales,2006-05-01,1,1
AZURDUY,consultas odontologicas,cirugia maxilo faciales,2006-05-01,1,1
CARACOLLO,consultas odontologicas,cirugia maxilo faciales,2006-05-01,6,6
COBIJA,consultas odontologicas,cirugia maxilo faciales,2006-05-01,3,3
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2006-05-01,36,36
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2006-05-01,4,4
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2006-05-01,1,1
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2006-05-01,36,36
LAJA,consultas odontologicas,cirugia maxilo faciales,2006-05-01,4,4
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2006-05-01,2,2
MONTEAGUDO,consultas odontologicas,cirugia maxilo faciales,2006-05-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2006-05-01,23,23
POOPO,consultas odontologicas,cirugia maxilo faciales,2006-05-01,10,10
POTOSI,consultas odontologicas,cirugia maxilo faciales,2006-05-01,6,6
PUERTO ACOSTA,consultas odontologicas,cirugia maxilo faciales,2006-05-01,6,6
RIBERALTA,consultas odontologicas,cirugia maxilo faciales,2006-05-01,1,1
SAN BUENA VENTURA,consultas odontologicas,cirugia maxilo faciales,2006-05-01,4,4
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2006-05-01,3,3
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2006-05-01,45,45
SORATA,consultas odontologicas,cirugia maxilo faciales,2006-05-01,10,10
SUCRE,consultas odontologicas,cirugia maxilo faciales,2006-05-01,22,22
TARIJA,consultas odontologicas,cirugia maxilo faciales,2006-05-01,1,1
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2006-05-01,6,6
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2006-05-01,4,4
UYUNI,consultas odontologicas,cirugia maxilo faciales,2006-05-01,1,1
COBIJA,consultas odontologicas,cirugia maxilo faciales,2006-06-01,5,5
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2006-06-01,53,53
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2006-06-01,9,9
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2006-06-01,1,1
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2006-06-01,37,37
LAJA,consultas odontologicas,cirugia maxilo faciales,2006-06-01,1,1
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2006-06-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2006-06-01,17,17
POTOSI,consultas odontologicas,cirugia maxilo faciales,2006-06-01,1,1
SAN BUENA VENTURA,consultas odontologicas,cirugia maxilo faciales,2006-06-01,3,3
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2006-06-01,3,3
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2006-06-01,71,71
SORATA,consultas odontologicas,cirugia maxilo faciales,2006-06-01,11,11
SUCRE,consultas odontologicas,cirugia maxilo faciales,2006-06-01,24,24
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2006-06-01,9,9
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2006-06-01,14,14
YACUIBA,consultas odontologicas,cirugia maxilo faciales,2006-06-01,5,5
ACACIO,consultas odontologicas,cirugia maxilo faciales,2006-07-01,1,1
BETANZOS,consultas odontologicas,cirugia maxilo faciales,2006-07-01,4,4
CARACOLLO,consultas odontologicas,cirugia maxilo faciales,2006-07-01,13,13
CATACORA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,2,2
COBIJA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,13,13
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,47,47
COLCAPIRHUA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,6,6
CORIPATA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,1,1
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2006-07-01,4,4
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,4,4
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2006-07-01,22,22
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,1,1
MAGDALENA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2006-07-01,30,30
POOPO,consultas odontologicas,cirugia maxilo faciales,2006-07-01,39,39
POTOSI,consultas odontologicas,cirugia maxilo faciales,2006-07-01,4,4
PUCARANI,consultas odontologicas,cirugia maxilo faciales,2006-07-01,1,1
SAN BORJA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,2,2
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,64,64
SORATA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,6,6
SUCRE,consultas odontologicas,cirugia maxilo faciales,2006-07-01,33,33
TARIJA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,3,3
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2006-07-01,6,6
UNCIA,consultas odontologicas,cirugia maxilo faciales,2006-07-01,2,2
AZURDUY,consultas odontologicas,cirugia maxilo faciales,2006-08-01,1,1
BETANZOS,consultas odontologicas,cirugia maxilo faciales,2006-08-01,7,7
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2006-08-01,73,73
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2006-08-01,17,17
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2006-08-01,1,1
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2006-08-01,8,8
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2006-08-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2006-08-01,20,20
PAZÑA,consultas odontologicas,cirugia maxilo faciales,2006-08-01,2,2
POOPO,consultas odontologicas,cirugia maxilo faciales,2006-08-01,22,22
SAN BORJA,consultas odontologicas,cirugia maxilo faciales,2006-08-01,2,2
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2006-08-01,5,5
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2006-08-01,37,37
SUCRE,consultas odontologicas,cirugia maxilo faciales,2006-08-01,20,20
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2006-08-01,14,14
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2006-08-01,1,1
VILLAZON,consultas odontologicas,cirugia maxilo faciales,2006-08-01,47,47
YACUIBA,consultas odontologicas,cirugia maxilo faciales,2006-08-01,2,2
ACACIO,consultas odontologicas,cirugia maxilo faciales,2006-09-01,1,1
BAURES,consultas odontologicas,cirugia maxilo faciales,2006-09-01,30,30
COBIJA,consultas odontologicas,cirugia maxilo faciales,2006-09-01,1,1
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2006-09-01,66,66
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2006-09-01,4,4
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2006-09-01,8,8
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2006-09-01,62,62
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2006-09-01,3,3
ORURO,consultas odontologicas,cirugia maxilo faciales,2006-09-01,14,14
POTOSI,consultas odontologicas,cirugia maxilo faciales,2006-09-01,7,7
PUERTO ACOSTA,consultas odontologicas,cirugia maxilo faciales,2006-09-01,2,2
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2006-09-01,7,7
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2006-09-01,19,19
SICA SICA (VILLA AROMA),consultas odontologicas,cirugia maxilo faciales,2006-09-01,7,7
SORATA,consultas odontologicas,cirugia maxilo faciales,2006-09-01,2,2
SUCRE,consultas odontologicas,cirugia maxilo faciales,2006-09-01,16,16
TARIJA,consultas odontologicas,cirugia maxilo faciales,2006-09-01,2,2
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2006-09-01,8,8
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2006-09-01,1,1
UNCIA,consultas odontologicas,cirugia maxilo faciales,2006-09-01,5,5
VILLA TUNARI,consultas odontologicas,cirugia maxilo faciales,2006-09-01,1,1
ACACIO,consultas odontologicas,cirugia maxilo faciales,2006-10-01,1,1
AIQUILE,consultas odontologicas,cirugia maxilo faciales,2006-10-01,6,6
BETANZOS,consultas odontologicas,cirugia maxilo faciales,2006-10-01,8,8
CAPINOTA,consultas odontologicas,cirugia maxilo faciales,2006-10-01,2,2
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2006-10-01,53,53
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2006-10-01,1,1
GUAYARAMERIN,consultas odontologicas,cirugia maxilo faciales,2006-10-01,43,43
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2006-10-01,2,2
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2006-10-01,51,51
ORURO,consultas odontologicas,cirugia maxilo faciales,2006-10-01,27,27
PATACAMAYA,consultas odontologicas,cirugia maxilo faciales,2006-10-01,2,2
POTOSI,consultas odontologicas,cirugia maxilo faciales,2006-10-01,17,17
PUERTO ACOSTA,consultas odontologicas,cirugia maxilo faciales,2006-10-01,1,1
RURRENABAQUE,consultas odontologicas,cirugia maxilo faciales,2006-10-01,1,1
SAN BORJA,consultas odontologicas,cirugia maxilo faciales,2006-10-01,2,2
SAN IGNACIO,consultas odontologicas,cirugia maxilo faciales,2006-10-01,12,12
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2006-10-01,5,5
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2006-10-01,76,76
SORATA,consultas odontologicas,cirugia maxilo faciales,2006-10-01,3,3
SUCRE,consultas odontologicas,cirugia maxilo faciales,2006-10-01,25,25
TARIJA,consultas odontologicas,cirugia maxilo faciales,2006-10-01,1,1
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2006-10-01,13,13
UNCIA,consultas odontologicas,cirugia maxilo faciales,2006-10-01,12,12
UYUNI,consultas odontologicas,cirugia maxilo faciales,2006-10-01,2,2
VILLA TUNARI,consultas odontologicas,cirugia maxilo faciales,2006-10-01,2,2
VILLAZON,consultas odontologicas,cirugia maxilo faciales,2006-10-01,65,65
CAIROMA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,1,1
CAPINOTA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,2,2
CHALLAPATA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,1,1
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,cirugia maxilo faciales,2006-11-01,3,3
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,53,53
COLQUECHACA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,208,208
CORIPATA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,1,1
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2006-11-01,2,2
GUANAY,consultas odontologicas,cirugia maxilo faciales,2006-11-01,1,1
HUANUNI,consultas odontologicas,cirugia maxilo faciales,2006-11-01,2,2
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,2,2
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2006-11-01,51,51
LLALLAGUA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,4,4
MECAPACA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,1,1
ORURO,consultas odontologicas,cirugia maxilo faciales,2006-11-01,23,23
POTOSI,consultas odontologicas,cirugia maxilo faciales,2006-11-01,7,7
PUCARANI,consultas odontologicas,cirugia maxilo faciales,2006-11-01,4,4
PUERTO ACOSTA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,3,3
SAN BORJA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,1,1
SAN IGNACIO,consultas odontologicas,cirugia maxilo faciales,2006-11-01,8,8
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2006-11-01,5,5
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,27,27
SORATA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,3,3
SUCRE,consultas odontologicas,cirugia maxilo faciales,2006-11-01,14,14
TARIJA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,1,1
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2006-11-01,9,9
TOTORA(CBBA),consultas odontologicas,cirugia maxilo faciales,2006-11-01,1,1
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2006-11-01,1,1
YACUIBA,consultas odontologicas,cirugia maxilo faciales,2006-11-01,6,6
COCHABAMBA,consultas odontologicas,cirugia maxilo faciales,2006-12-01,59,59
EL ALTO,consultas odontologicas,cirugia maxilo faciales,2006-12-01,4,4
GUAYARAMERIN,consultas odontologicas,cirugia maxilo faciales,2006-12-01,2,2
HUANUNI,consultas odontologicas,cirugia maxilo faciales,2006-12-01,7,7
JESUS DE MACHACA,consultas odontologicas,cirugia maxilo faciales,2006-12-01,2,2
LA PAZ,consultas odontologicas,cirugia maxilo faciales,2006-12-01,48,48
ORURO,consultas odontologicas,cirugia maxilo faciales,2006-12-01,15,15
POTOSI,consultas odontologicas,cirugia maxilo faciales,2006-12-01,15,15
PUERTO ACOSTA,consultas odontologicas,cirugia maxilo faciales,2006-12-01,3,3
RIBERALTA,consultas odontologicas,cirugia maxilo faciales,2006-12-01,1,1
SAN LUCAS,consultas odontologicas,cirugia maxilo faciales,2006-12-01,9,9
SANTA CRUZ DE LA SIERRA,consultas odontologicas,cirugia maxilo faciales,2006-12-01,36,36
SOPACHUY,consultas odontologicas,cirugia maxilo faciales,2006-12-01,1,1
SUCRE,consultas odontologicas,cirugia maxilo faciales,2006-12-01,63,63
TARIJA,consultas odontologicas,cirugia maxilo faciales,2006-12-01,8,8
TIAWANACU,consultas odontologicas,cirugia maxilo faciales,2006-12-01,10,10
TOTORA(CBBA),consultas odontologicas,cirugia maxilo faciales,2006-12-01,2,2
TRINIDAD,consultas odontologicas,cirugia maxilo faciales,2006-12-01,3,3
UNCIA,consultas odontologicas,cirugia maxilo faciales,2006-12-01,8,8
