municipality,group,variable,month,Primeras consultas,TOTAL
COTAGAITA,consultas odontologicas,primeras consultas,2006-01-01,1,1
CUEVO,consultas odontologicas,primeras consultas,2006-01-01,76,76
CULPINA,consultas odontologicas,primeras consultas,2006-01-01,49,49
EL ALTO,consultas odontologicas,primeras consultas,2006-01-01,4267,4267
EUCALIPTUS,consultas odontologicas,primeras consultas,2006-01-01,32,32
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,primeras consultas,2006-01-01,204,204
GUANAY,consultas odontologicas,primeras consultas,2006-01-01,118,118
GUAQUI,consultas odontologicas,primeras consultas,2006-01-01,138,138
GUTIERREZ,consultas odontologicas,primeras consultas,2006-01-01,87,87
HUACHACALLA,consultas odontologicas,primeras consultas,2006-01-01,32,32
ICLA,consultas odontologicas,primeras consultas,2006-01-01,97,97
INCAHUASI,consultas odontologicas,primeras consultas,2006-01-01,352,352
INQUISIVI,consultas odontologicas,primeras consultas,2006-01-01,10,10
IRUPANA (VILLA DE LANZA),consultas odontologicas,primeras consultas,2006-01-01,228,228
IXIAMAS,consultas odontologicas,primeras consultas,2006-01-01,66,66
LA ASUNTA,consultas odontologicas,primeras consultas,2006-01-01,124,124
LA GUARDIA,consultas odontologicas,primeras consultas,2006-01-01,263,263
LA PAZ,consultas odontologicas,primeras consultas,2006-01-01,6461,6461
LAGUNILLAS,consultas odontologicas,primeras consultas,2006-01-01,43,43
LAJA,consultas odontologicas,primeras consultas,2006-01-01,123,123
LICOMA PAMPA,consultas odontologicas,primeras consultas,2006-01-01,3,3
MACHARETI,consultas odontologicas,primeras consultas,2006-01-01,57,57
MECAPACA,consultas odontologicas,primeras consultas,2006-01-01,23,23
MIZQUE,consultas odontologicas,primeras consultas,2006-01-01,217,217
MOCOMOCO,consultas odontologicas,primeras consultas,2006-01-01,142,142
MONTEAGUDO,consultas odontologicas,primeras consultas,2006-01-01,24,24
MONTERO,consultas odontologicas,primeras consultas,2006-01-01,54,54
MOROCHATA,consultas odontologicas,primeras consultas,2006-01-01,62,62
OMEREQUE,consultas odontologicas,primeras consultas,2006-01-01,166,166
ORURO,consultas odontologicas,primeras consultas,2006-01-01,1855,1855
PALCA,consultas odontologicas,primeras consultas,2006-01-01,3,3
PALOS BLANCOS,consultas odontologicas,primeras consultas,2006-01-01,89,89
PAPEL PAMPA,consultas odontologicas,primeras consultas,2006-01-01,12,12
PATACAMAYA,consultas odontologicas,primeras consultas,2006-01-01,62,62
POJO (CBBA),consultas odontologicas,primeras consultas,2006-01-01,35,35
PORONGO,consultas odontologicas,primeras consultas,2006-01-01,16,16
POTOSI,consultas odontologicas,primeras consultas,2006-01-01,261,261
PUCARANI,consultas odontologicas,primeras consultas,2006-01-01,290,290
PUERTO ACOSTA,consultas odontologicas,primeras consultas,2006-01-01,1,1
PUERTO CARABUCO,consultas odontologicas,primeras consultas,2006-01-01,98,98
PUERTO PEREZ,consultas odontologicas,primeras consultas,2006-01-01,230,230
PUERTO QUIJARRO,consultas odontologicas,primeras consultas,2006-01-01,453,453
PUERTO RICO,consultas odontologicas,primeras consultas,2006-01-01,38,38
PUERTO SUAREZ,consultas odontologicas,primeras consultas,2006-01-01,443,443
PUERTO VILLARROEL,consultas odontologicas,primeras consultas,2006-01-01,180,180
PUNA,consultas odontologicas,primeras consultas,2006-01-01,190,190
PUNATA,consultas odontologicas,primeras consultas,2006-01-01,51,51
QUILLACOLLO,consultas odontologicas,primeras consultas,2006-01-01,91,91
QUIRUSILLAS,consultas odontologicas,primeras consultas,2006-01-01,51,51
SABAYA,consultas odontologicas,primeras consultas,2006-01-01,16,16
SACABA,consultas odontologicas,primeras consultas,2006-01-01,364,364
SACACA,consultas odontologicas,primeras consultas,2006-01-01,54,54
SAN AGUSTIN,consultas odontologicas,primeras consultas,2006-01-01,7,7
SAN ANDRES,consultas odontologicas,primeras consultas,2006-01-01,21,21
SAN BUENA VENTURA,consultas odontologicas,primeras consultas,2006-01-01,2,2
SAN CARLOS,consultas odontologicas,primeras consultas,2006-01-01,24,24
SAN IGNACIO,consultas odontologicas,primeras consultas,2006-01-01,68,68
SAN IGNACIO DE VELASCO,consultas odontologicas,primeras consultas,2006-01-01,564,564
SAN LUCAS,consultas odontologicas,primeras consultas,2006-01-01,42,42
SAN MIGUEL DE VELASCO,consultas odontologicas,primeras consultas,2006-01-01,129,129
SAN PEDRO DE BUENA VISTA,consultas odontologicas,primeras consultas,2006-01-01,223,223
SAN PEDRO DE TIQUINA,consultas odontologicas,primeras consultas,2006-01-01,51,51
SAN RAFAEL,consultas odontologicas,primeras consultas,2006-01-01,38,38
SANTA CRUZ DE LA SIERRA,consultas odontologicas,primeras consultas,2006-01-01,4851,4851
SANTIAGO DE MACHACA,consultas odontologicas,primeras consultas,2006-01-01,25,25
SANTIVAÑES,consultas odontologicas,primeras consultas,2006-01-01,34,34
SANTUARIO DE QUILLACAS,consultas odontologicas,primeras consultas,2006-01-01,21,21
SENA,consultas odontologicas,primeras consultas,2006-01-01,82,82
SICA SICA (VILLA AROMA),consultas odontologicas,primeras consultas,2006-01-01,173,173
SIPE SIPE,consultas odontologicas,primeras consultas,2006-01-01,360,360
SOPACHUY,consultas odontologicas,primeras consultas,2006-01-01,240,240
SORACACHI,consultas odontologicas,primeras consultas,2006-01-01,29,29
SUCRE,consultas odontologicas,primeras consultas,2006-01-01,1691,1691
TACOPAYA,consultas odontologicas,primeras consultas,2006-01-01,111,111
TAPACARI,consultas odontologicas,primeras consultas,2006-01-01,59,59
TARABUCO,consultas odontologicas,primeras consultas,2006-01-01,218,218
TARACO,consultas odontologicas,primeras consultas,2006-01-01,16,16
TARIJA,consultas odontologicas,primeras consultas,2006-01-01,570,570
TIAWANACU,consultas odontologicas,primeras consultas,2006-01-01,155,155
TIPUANI,consultas odontologicas,primeras consultas,2006-01-01,49,49
TIQUIPAYA,consultas odontologicas,primeras consultas,2006-01-01,82,82
TIRAQUE (CBBA),consultas odontologicas,primeras consultas,2006-01-01,471,471
TOLATA,consultas odontologicas,primeras consultas,2006-01-01,20,20
TOLEDO,consultas odontologicas,primeras consultas,2006-01-01,59,59
TOMINA,consultas odontologicas,primeras consultas,2006-01-01,10,10
TORO TORO,consultas odontologicas,primeras consultas,2006-01-01,79,79
TOTORA(CBBA),consultas odontologicas,primeras consultas,2006-01-01,26,26
TRINIDAD,consultas odontologicas,primeras consultas,2006-01-01,469,469
UNCIA,consultas odontologicas,primeras consultas,2006-01-01,117,117
URIONDO (A. CONCEPCION),consultas odontologicas,primeras consultas,2006-01-01,28,28
UYUNI,consultas odontologicas,primeras consultas,2006-01-01,376,376
VACAS,consultas odontologicas,primeras consultas,2006-01-01,98,98
VIACHA,consultas odontologicas,primeras consultas,2006-01-01,79,79
VILA VILA,consultas odontologicas,primeras consultas,2006-01-01,10,10
VILLA MONTES,consultas odontologicas,primeras consultas,2006-01-01,203,203
VILLA SERRANO,consultas odontologicas,primeras consultas,2006-01-01,69,69
VILLA TUNARI,consultas odontologicas,primeras consultas,2006-01-01,550,550
VINTO,consultas odontologicas,primeras consultas,2006-01-01,98,98
YACUIBA,consultas odontologicas,primeras consultas,2006-01-01,16,16
YANACACHI,consultas odontologicas,primeras consultas,2006-01-01,46,46
YOCALLA,consultas odontologicas,primeras consultas,2006-01-01,24,24
YUNCHARA,consultas odontologicas,primeras consultas,2006-01-01,35,35
ACACIO,consultas odontologicas,primeras consultas,2006-02-01,135,135
AIQUILE,consultas odontologicas,primeras consultas,2006-02-01,361,361
ANDAMARCA,consultas odontologicas,primeras consultas,2006-02-01,107,107
APOLO,consultas odontologicas,primeras consultas,2006-02-01,533,533
ARANI,consultas odontologicas,primeras consultas,2006-02-01,44,44
ARBIETO,consultas odontologicas,primeras consultas,2006-02-01,14,14
AUCAPATA,consultas odontologicas,primeras consultas,2006-02-01,107,107
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,primeras consultas,2006-02-01,177,177
AZURDUY,consultas odontologicas,primeras consultas,2006-02-01,947,947
BATALLAS,consultas odontologicas,primeras consultas,2006-02-01,101,101
BERMEJO,consultas odontologicas,primeras consultas,2006-02-01,243,243
BETANZOS,consultas odontologicas,primeras consultas,2006-02-01,68,68
BOLIVAR,consultas odontologicas,primeras consultas,2006-02-01,213,213
BOYUIBE,consultas odontologicas,primeras consultas,2006-02-01,130,130
CABEZAS,consultas odontologicas,primeras consultas,2006-02-01,130,130
"CAIZA ""D""",consultas odontologicas,primeras consultas,2006-02-01,24,24
CAJUATA,consultas odontologicas,primeras consultas,2006-02-01,109,109
CALACOTO,consultas odontologicas,primeras consultas,2006-02-01,22,22
CALAMARCA,consultas odontologicas,primeras consultas,2006-02-01,92,92
CAMARGO,consultas odontologicas,primeras consultas,2006-02-01,328,328
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,primeras consultas,2006-02-01,96,96
CAMIRI,consultas odontologicas,primeras consultas,2006-02-01,833,833
CAPINOTA,consultas odontologicas,primeras consultas,2006-02-01,30,30
CAQUIAVIRI,consultas odontologicas,primeras consultas,2006-02-01,48,48
CARANAVI,consultas odontologicas,primeras consultas,2006-02-01,117,117
CARAPARI,consultas odontologicas,primeras consultas,2006-02-01,89,89
CARIPUYO,consultas odontologicas,primeras consultas,2006-02-01,23,23
CARMEN RIVERO TORREZ,consultas odontologicas,primeras consultas,2006-02-01,13,13
CATACORA,consultas odontologicas,primeras consultas,2006-02-01,11,11
CHACARILLA,consultas odontologicas,primeras consultas,2006-02-01,152,152
CHARAGUA,consultas odontologicas,primeras consultas,2006-02-01,187,187
CHAYANTA,consultas odontologicas,primeras consultas,2006-02-01,6,6
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,primeras consultas,2006-02-01,159,159
COCHABAMBA,consultas odontologicas,primeras consultas,2006-02-01,1962,1962
COLCAPIRHUA,consultas odontologicas,primeras consultas,2006-02-01,4,4
"COLCHA ""K""",consultas odontologicas,primeras consultas,2006-02-01,73,73
COLLANA,consultas odontologicas,primeras consultas,2006-02-01,29,29
COLOMI,consultas odontologicas,primeras consultas,2006-02-01,61,61
COLQUECHACA,consultas odontologicas,primeras consultas,2006-02-01,870,870
COLQUIRI,consultas odontologicas,primeras consultas,2006-02-01,110,110
CORIPATA,consultas odontologicas,primeras consultas,2006-02-01,122,122
CORO CORO,consultas odontologicas,primeras consultas,2006-02-01,83,83
COROICO,consultas odontologicas,primeras consultas,2006-02-01,286,286
CORQUE,consultas odontologicas,primeras consultas,2006-02-01,98,98
COTAGAITA,consultas odontologicas,primeras consultas,2006-02-01,1,1
COTOCA,consultas odontologicas,primeras consultas,2006-02-01,49,49
CUEVO,consultas odontologicas,primeras consultas,2006-02-01,94,94
EL ALTO,consultas odontologicas,primeras consultas,2006-02-01,5177,5177
EL PUENTE(TJA),consultas odontologicas,primeras consultas,2006-02-01,63,63
ENTRE RIOS,consultas odontologicas,primeras consultas,2006-02-01,57,57
EUCALIPTUS,consultas odontologicas,primeras consultas,2006-02-01,32,32
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,primeras consultas,2006-02-01,51,51
GUANAY,consultas odontologicas,primeras consultas,2006-02-01,141,141
GUAQUI,consultas odontologicas,primeras consultas,2006-02-01,181,181
GUTIERREZ,consultas odontologicas,primeras consultas,2006-02-01,111,111
HUACARETA,consultas odontologicas,primeras consultas,2006-02-01,16,16
HUACHACALLA,consultas odontologicas,primeras consultas,2006-02-01,30,30
HUANUNI,consultas odontologicas,primeras consultas,2006-02-01,182,182
HUAYLLAMARCA,consultas odontologicas,primeras consultas,2006-02-01,35,35
ICHOCA,consultas odontologicas,primeras consultas,2006-02-01,102,102
ICLA,consultas odontologicas,primeras consultas,2006-02-01,24,24
INCAHUASI,consultas odontologicas,primeras consultas,2006-02-01,1165,1165
INQUISIVI,consultas odontologicas,primeras consultas,2006-02-01,26,26
IRUPANA (VILLA DE LANZA),consultas odontologicas,primeras consultas,2006-02-01,142,142
IXIAMAS,consultas odontologicas,primeras consultas,2006-02-01,65,65
JESUS DE MACHACA,consultas odontologicas,primeras consultas,2006-02-01,210,210
LA ASUNTA,consultas odontologicas,primeras consultas,2006-02-01,112,112
LA GUARDIA,consultas odontologicas,primeras consultas,2006-02-01,186,186
LA PAZ,consultas odontologicas,primeras consultas,2006-02-01,5790,5790
LAGUNILLAS,consultas odontologicas,primeras consultas,2006-02-01,118,118
LAJA,consultas odontologicas,primeras consultas,2006-02-01,133,133
LICOMA PAMPA,consultas odontologicas,primeras consultas,2006-02-01,8,8
LLICA,consultas odontologicas,primeras consultas,2006-02-01,61,61
MACHARETI,consultas odontologicas,primeras consultas,2006-02-01,128,128
MIZQUE,consultas odontologicas,primeras consultas,2006-02-01,167,167
MOCOMOCO,consultas odontologicas,primeras consultas,2006-02-01,432,432
MOJOCOYA,consultas odontologicas,primeras consultas,2006-02-01,126,126
MONTEAGUDO,consultas odontologicas,primeras consultas,2006-02-01,34,34
MONTERO,consultas odontologicas,primeras consultas,2006-02-01,17,17
MOROCHATA,consultas odontologicas,primeras consultas,2006-02-01,60,60
ORURO,consultas odontologicas,primeras consultas,2006-02-01,1885,1885
PALOS BLANCOS,consultas odontologicas,primeras consultas,2006-02-01,288,288
PAPEL PAMPA,consultas odontologicas,primeras consultas,2006-02-01,8,8
PASORAPA,consultas odontologicas,primeras consultas,2006-02-01,30,30
PATACAMAYA,consultas odontologicas,primeras consultas,2006-02-01,55,55
PELECHUCO,consultas odontologicas,primeras consultas,2006-02-01,130,130
POCONA,consultas odontologicas,primeras consultas,2006-02-01,132,132
POJO (CBBA),consultas odontologicas,primeras consultas,2006-02-01,38,38
PORONGO,consultas odontologicas,primeras consultas,2006-02-01,141,141
POTOSI,consultas odontologicas,primeras consultas,2006-02-01,120,120
PUCARANI,consultas odontologicas,primeras consultas,2006-02-01,69,69
PUERTO ACOSTA,consultas odontologicas,primeras consultas,2006-02-01,181,181
PUERTO CARABUCO,consultas odontologicas,primeras consultas,2006-02-01,78,78
PUERTO PEREZ,consultas odontologicas,primeras consultas,2006-02-01,144,144
PUERTO QUIJARRO,consultas odontologicas,primeras consultas,2006-02-01,617,617
PUERTO SUAREZ,consultas odontologicas,primeras consultas,2006-02-01,477,477
PUERTO VILLARROEL,consultas odontologicas,primeras consultas,2006-02-01,109,109
PUNA,consultas odontologicas,primeras consultas,2006-02-01,27,27
PUNATA,consultas odontologicas,primeras consultas,2006-02-01,88,88
QUILLACOLLO,consultas odontologicas,primeras consultas,2006-02-01,217,217
QUIME,consultas odontologicas,primeras consultas,2006-02-01,347,347
QUIRUSILLAS,consultas odontologicas,primeras consultas,2006-02-01,100,100
REYES,consultas odontologicas,primeras consultas,2006-02-01,36,36
SABAYA,consultas odontologicas,primeras consultas,2006-02-01,6,6
SACABA,consultas odontologicas,primeras consultas,2006-02-01,199,199
SACABAMBA,consultas odontologicas,primeras consultas,2006-02-01,79,79
SACACA,consultas odontologicas,primeras consultas,2006-02-01,406,406
SAN BUENA VENTURA,consultas odontologicas,primeras consultas,2006-02-01,46,46
SAN IGNACIO,consultas odontologicas,primeras consultas,2006-02-01,58,58
SAN IGNACIO DE VELASCO,consultas odontologicas,primeras consultas,2006-02-01,156,156
SAN LORENZO(TJA),consultas odontologicas,primeras consultas,2006-02-01,195,195
SAN LUCAS,consultas odontologicas,primeras consultas,2006-02-01,42,42
SAN MIGUEL DE VELASCO,consultas odontologicas,primeras consultas,2006-02-01,107,107
SAN PEDRO DE BUENA VISTA,consultas odontologicas,primeras consultas,2006-02-01,96,96
SAN PEDRO DE TIQUINA,consultas odontologicas,primeras consultas,2006-02-01,43,43
SAN RAFAEL,consultas odontologicas,primeras consultas,2006-02-01,35,35
SAN RAMON,consultas odontologicas,primeras consultas,2006-02-01,148,148
SANTA ANA,consultas odontologicas,primeras consultas,2006-02-01,23,23
SANTA CRUZ DE LA SIERRA,consultas odontologicas,primeras consultas,2006-02-01,4417,4417
SANTIAGO DE MACHACA,consultas odontologicas,primeras consultas,2006-02-01,29,29
SANTIVAÑES,consultas odontologicas,primeras consultas,2006-02-01,33,33
SANTUARIO DE QUILLACAS,consultas odontologicas,primeras consultas,2006-02-01,16,16
SICA SICA (VILLA AROMA),consultas odontologicas,primeras consultas,2006-02-01,84,84
SIPE SIPE,consultas odontologicas,primeras consultas,2006-02-01,260,260
SOPACHUY,consultas odontologicas,primeras consultas,2006-02-01,119,119
SORACACHI,consultas odontologicas,primeras consultas,2006-02-01,58,58
SUCRE,consultas odontologicas,primeras consultas,2006-02-01,1669,1669
TAPACARI,consultas odontologicas,primeras consultas,2006-02-01,6,6
TARABUCO,consultas odontologicas,primeras consultas,2006-02-01,258,258
TARACO,consultas odontologicas,primeras consultas,2006-02-01,33,33
TARIJA,consultas odontologicas,primeras consultas,2006-02-01,545,545
TARVITA,consultas odontologicas,primeras consultas,2006-02-01,86,86
TEOPONTE,consultas odontologicas,primeras consultas,2006-02-01,149,149
TIAWANACU,consultas odontologicas,primeras consultas,2006-02-01,161,161
TIQUIPAYA,consultas odontologicas,primeras consultas,2006-02-01,1,1
TIRAQUE (CBBA),consultas odontologicas,primeras consultas,2006-02-01,488,488
TOLATA,consultas odontologicas,primeras consultas,2006-02-01,53,53
TOMINA,consultas odontologicas,primeras consultas,2006-02-01,190,190
TORO TORO,consultas odontologicas,primeras consultas,2006-02-01,123,123
TOTORA(CBBA),consultas odontologicas,primeras consultas,2006-02-01,84,84
TRINIDAD,consultas odontologicas,primeras consultas,2006-02-01,214,214
UMALA,consultas odontologicas,primeras consultas,2006-02-01,133,133
UNCIA,consultas odontologicas,primeras consultas,2006-02-01,342,342
UYUNI,consultas odontologicas,primeras consultas,2006-02-01,170,170
VACAS,consultas odontologicas,primeras consultas,2006-02-01,213,213
VIACHA,consultas odontologicas,primeras consultas,2006-02-01,206,206
VILA VILA,consultas odontologicas,primeras consultas,2006-02-01,57,57
VILLA MONTES,consultas odontologicas,primeras consultas,2006-02-01,128,128
VILLA SERRANO,consultas odontologicas,primeras consultas,2006-02-01,60,60
VILLA TUNARI,consultas odontologicas,primeras consultas,2006-02-01,754,754
VILLA VACA GUZMAN (MUYUPAMPA),consultas odontologicas,primeras consultas,2006-02-01,40,40
VILLAZON,consultas odontologicas,primeras consultas,2006-02-01,208,208
VINTO,consultas odontologicas,primeras consultas,2006-02-01,110,110
WALDO BALLIVIAN,consultas odontologicas,primeras consultas,2006-02-01,14,14
YACUIBA,consultas odontologicas,primeras consultas,2006-02-01,112,112
YANACACHI,consultas odontologicas,primeras consultas,2006-02-01,93,93
YOCALLA,consultas odontologicas,primeras consultas,2006-02-01,74,74
YUNCHARA,consultas odontologicas,primeras consultas,2006-02-01,51,51
ZUDAÑEZ,consultas odontologicas,primeras consultas,2006-02-01,13,13
ACACIO,consultas odontologicas,primeras consultas,2006-03-01,115,115
AIQUILE,consultas odontologicas,primeras consultas,2006-03-01,57,57
ARAMPAMPA,consultas odontologicas,primeras consultas,2006-03-01,27,27
ARANI,consultas odontologicas,primeras consultas,2006-03-01,176,176
ARBIETO,consultas odontologicas,primeras consultas,2006-03-01,70,70
ARQUE,consultas odontologicas,primeras consultas,2006-03-01,110,110
AUCAPATA,consultas odontologicas,primeras consultas,2006-03-01,40,40
AYATA,consultas odontologicas,primeras consultas,2006-03-01,35,35
AYOPAYA (V. DE INDEPENDENCIA),consultas odontologicas,primeras consultas,2006-03-01,54,54
AZURDUY,consultas odontologicas,primeras consultas,2006-03-01,185,185
BATALLAS,consultas odontologicas,primeras consultas,2006-03-01,115,115
BERMEJO,consultas odontologicas,primeras consultas,2006-03-01,622,622
BETANZOS,consultas odontologicas,primeras consultas,2006-03-01,18,18
BOLIVAR,consultas odontologicas,primeras consultas,2006-03-01,172,172
BOYUIBE,consultas odontologicas,primeras consultas,2006-03-01,66,66
CABEZAS,consultas odontologicas,primeras consultas,2006-03-01,227,227
"CAIZA ""D""",consultas odontologicas,primeras consultas,2006-03-01,37,37
CAJUATA,consultas odontologicas,primeras consultas,2006-03-01,40,40
CALACOTO,consultas odontologicas,primeras consultas,2006-03-01,47,47
CALAMARCA,consultas odontologicas,primeras consultas,2006-03-01,140,140
CAMARGO,consultas odontologicas,primeras consultas,2006-03-01,252,252
CAMATAQUI (C. VILLA ABECIA),consultas odontologicas,primeras consultas,2006-03-01,155,155
CAMIRI,consultas odontologicas,primeras consultas,2006-03-01,765,765
CAPINOTA,consultas odontologicas,primeras consultas,2006-03-01,34,34
CAQUIAVIRI,consultas odontologicas,primeras consultas,2006-03-01,41,41
CARACOLLO,consultas odontologicas,primeras consultas,2006-03-01,213,213
CARANAVI,consultas odontologicas,primeras consultas,2006-03-01,331,331
CARAPARI,consultas odontologicas,primeras consultas,2006-03-01,162,162
CARIPUYO,consultas odontologicas,primeras consultas,2006-03-01,343,343
CARMEN RIVERO TORREZ,consultas odontologicas,primeras consultas,2006-03-01,19,19
CATACORA,consultas odontologicas,primeras consultas,2006-03-01,24,24
CHALLAPATA,consultas odontologicas,primeras consultas,2006-03-01,86,86
CHARAGUA,consultas odontologicas,primeras consultas,2006-03-01,249,249
CHAYANTA,consultas odontologicas,primeras consultas,2006-03-01,6,6
CHIMORE,consultas odontologicas,primeras consultas,2006-03-01,379,379
CHULUMANI (V. DE LA LIBERTAD),consultas odontologicas,primeras consultas,2006-03-01,210,210
CHUMA,consultas odontologicas,primeras consultas,2006-03-01,167,167
CLIZA,consultas odontologicas,primeras consultas,2006-03-01,45,45
COBIJA,consultas odontologicas,primeras consultas,2006-03-01,3,3
COCHABAMBA,consultas odontologicas,primeras consultas,2006-03-01,4017,4017
"COLCHA ""K""",consultas odontologicas,primeras consultas,2006-03-01,48,48
COLLANA,consultas odontologicas,primeras consultas,2006-03-01,35,35
COLPA BELGICA,consultas odontologicas,primeras consultas,2006-03-01,186,186
COLQUECHACA,consultas odontologicas,primeras consultas,2006-03-01,72,72
COLQUIRI,consultas odontologicas,primeras consultas,2006-03-01,98,98
COMANCHE,consultas odontologicas,primeras consultas,2006-03-01,31,31
COMARAPA,consultas odontologicas,primeras consultas,2006-03-01,70,70
COPACABANA,consultas odontologicas,primeras consultas,2006-03-01,89,89
CORIPATA,consultas odontologicas,primeras consultas,2006-03-01,391,391
CORO CORO,consultas odontologicas,primeras consultas,2006-03-01,47,47
COROICO,consultas odontologicas,primeras consultas,2006-03-01,2,2
CORQUE,consultas odontologicas,primeras consultas,2006-03-01,70,70
COTAGAITA,consultas odontologicas,primeras consultas,2006-03-01,34,34
COTOCA,consultas odontologicas,primeras consultas,2006-03-01,179,179
CUEVO,consultas odontologicas,primeras consultas,2006-03-01,477,477
CULPINA,consultas odontologicas,primeras consultas,2006-03-01,438,438
DESAGUADERO,consultas odontologicas,primeras consultas,2006-03-01,10,10
EL ALTO,consultas odontologicas,primeras consultas,2006-03-01,6159,6159
EL PUENTE(TJA),consultas odontologicas,primeras consultas,2006-03-01,31,31
EL VILLAR,consultas odontologicas,primeras consultas,2006-03-01,212,212
ENTRE RIOS,consultas odontologicas,primeras consultas,2006-03-01,184,184
ENTRE RIOS,consultas odontologicas,primeras consultas,2006-03-01,130,130
EUCALIPTUS,consultas odontologicas,primeras consultas,2006-03-01,45,45
GRAL. J.J. PEREZ (CHARAZANI),consultas odontologicas,primeras consultas,2006-03-01,109,109
GUANAY,consultas odontologicas,primeras consultas,2006-03-01,195,195
GUAQUI,consultas odontologicas,primeras consultas,2006-03-01,119,119
GUAYARAMERIN,consultas odontologicas,primeras consultas,2006-03-01,128,128
GUTIERREZ,consultas odontologicas,primeras consultas,2006-03-01,59,59
HUACARETA,consultas odontologicas,primeras consultas,2006-03-01,2,2
HUACAYA (VILLA DE HUACAYA),consultas odontologicas,primeras consultas,2006-03-01,180,180
HUACHACALLA,consultas odontologicas,primeras consultas,2006-03-01,31,31
ICHOCA,consultas odontologicas,primeras consultas,2006-03-01,74,74
ICLA,consultas odontologicas,primeras consultas,2006-03-01,15,15
INCAHUASI,consultas odontologicas,primeras consultas,2006-03-01,273,273
INQUISIVI,consultas odontologicas,primeras consultas,2006-03-01,352,352
IRUPANA (VILLA DE LANZA),consultas odontologicas,primeras consultas,2006-03-01,217,217
IXIAMAS,consultas odontologicas,primeras consultas,2006-03-01,66,66
JESUS DE MACHACA,consultas odontologicas,primeras consultas,2006-03-01,159,159
LA ASUNTA,consultas odontologicas,primeras consultas,2006-03-01,75,75
LA GUARDIA,consultas odontologicas,primeras consultas,2006-03-01,204,204
LA PAZ,consultas odontologicas,primeras consultas,2006-03-01,9484,9484
LAGUNILLAS,consultas odontologicas,primeras consultas,2006-03-01,206,206
LAJA,consultas odontologicas,primeras consultas,2006-03-01,74,74
LLALLAGUA,consultas odontologicas,primeras consultas,2006-03-01,328,328
LLICA,consultas odontologicas,primeras consultas,2006-03-01,96,96
